 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13
1	1217.324	1217.324	1175.354	1105.997	1089.563	1089.089	1121.933	1070.771	1042.407	1073.761	1068.327	1034.639	1045.129
2	1187.024	1187.024	1176.439	1105.616	1073.762	1099.446	1095.561	1049.160	1077.516	1054.872	1078.288	1026.997	1040.438
3	1193.764	1193.764	1176.691	1084.442	1064.758	1085.234	1106.645	1069.533	1054.540	1048.781	1056.928	1012.361	1038.285
4	1223.932	1223.932	1150.036	1070.910	1080.385	1090.758	1074.330	1043.821	1056.447	1065.033	1054.625	1038.503	1034.414
5	1199.390	1199.390	1144.111	1106.224	1072.256	1086.110	1079.660	1049.297	1048.867	1044.493	1071.430	1018.885	1021.799
6	1207.716	1207.716	1134.585	1079.175	1092.841	1073.927	1061.787	1017.919	1050.065	1061.567	1061.291	1033.887	1015.802
7	1176.171	1176.171	1106.591	1100.211	1079.001	1076.194	1078.886	1035.128	1059.516	1042.749	1062.988	1017.321	1013.037
8	1184.306	1184.306	1106.441	1075.824	1098.254	1085.537	1049.541	1052.687	1044.557	1062.764	1061.589	1013.981	1031.938
9	1149.784	1149.784	1099.296	1084.960	1092.500	1077.965	1069.894	1050.011	1037.199	1057.825	1050.621	1031.346	1013.526
10	1171.568	1171.568	1086.968	1073.027	1090.741	1075.594	1065.539	1043.232	1035.166	1060.773	1040.088	1028.000	1007.268
11	1151.651	1151.651	1075.925	1063.742	1074.708	1079.106	1043.185	1015.525	1041.112	1050.055	1051.647	1013.116	1002.639
12	1134.588	1134.588	1074.606	1084.032	1088.257	1065.582	1066.780	1011.288	1038.367	1057.831	1062.485	1026.432	1018.345
13	1114.656	1114.656	1052.563	1080.982	1069.982	1086.333	1046.212	1025.015	1048.296	1042.759	1042.908	1036.672	996.491
14	1111.148	1111.148	1070.105	1081.510	1073.868	1066.867	1046.350	1026.825	1024.148	1048.145	1032.410	1013.242	1028.236
15	1095.910	1095.910	1060.789	1069.684	1089.260	1063.418	1055.160	1033.091	1033.817	1032.221	1067.269	1034.777	1035.867
16	1088.149	1088.149	1080.013	1057.313	1077.971	1070.092	1047.436	1027.234	1042.089	1070.637	1066.227	1007.969	1039.114
17	1099.545	1099.545	1066.299	1052.254	1073.675	1085.768	1064.761	1024.768	1043.503	1037.077	1048.327	1003.436	1018.232
18	1106.462	1106.462	1049.831	1066.208	1082.319	1079.857	1045.152	1015.765	1037.530	1043.303	1050.043	1004.996	1023.930
19	1079.412	1079.412	1076.654	1058.119	1091.135	1055.646	1052.313	1017.428	1045.398	1059.461	1053.927	1018.782	1020.867
20	1091.600	1091.600	1076.651	1071.365	1085.596	1058.676	1049.935	1029.836	1033.555	1053.143	1057.045	1013.165	1032.875
21	1072.406	1072.406	1088.287	1074.838	1096.011	1081.928	1053.655	1024.338	1024.319	1058.569	1049.948	1009.692	1018.377
22	1091.912	1091.912	1076.570	1070.585	1097.924	1070.928	1049.787	1023.474	1041.118	1053.255	1064.249	1023.976	1017.826
23	1068.495	1068.495	1082.384	1069.418	1083.326	1055.352	1035.336	1041.625	1043.137	1042.104	1074.600	992.510	1001.655
24	1064.001	1064.001	1089.890	1067.024	1078.536	1067.145	1045.167	1023.769	1037.161	1038.089	1026.626	997.064	1005.787
25	1096.190	1096.190	1081.921	1073.389	1094.040	1073.811	1064.624	1041.095	1044.696	1066.543	1059.295	1007.017	1015.436
26	1090.150	1090.150	1085.733	1078.831	1113.778	1057.082	1054.198	1029.717	1027.590	1040.417	1039.445	1010.707	1006.712
27	1080.720	1080.720	1093.622	1081.165	1102.540	1089.592	1045.943	1015.045	1021.865	1047.077	1054.542	1005.712	1010.365
28	1099.298	1099.298	1085.147	1077.592	1113.608	1094.844	1047.629	1031.491	1032.739	1035.535	1058.753	1000.058	1014.791
29	1072.248	1072.248	1109.458	1079.899	1105.866	1085.800	1038.509	1014.635	1017.921	1041.137	1072.407	1016.351	1006.616
30	1080.611	1080.611	1133.723	1071.466	1106.561	1090.833	1048.132	1019.106	1026.266	1047.480	1055.688	1031.612	996.549
31	1079.443	1079.443	1142.136	1102.993	1135.025	1086.769	1063.037	1029.891	1033.983	1065.478	1052.193	1019.003	1011.952
32	1077.467	1077.467	1135.874	1107.632	1153.759	1104.510	1071.670	1018.404	1030.952	1052.879	1057.956	1024.881	1017.051
33	1112.761	1112.761	1144.323	1083.433	1173.816	1087.571	1030.513	1025.041	1028.124	1072.242	1052.093	1062.248	1033.052
34	1090.340	1090.340	1162.555	1095.299	1173.167	1101.819	1049.984	1034.259	1032.191	1043.722	1049.481	1074.549	1007.736
35	1084.604	1084.604	1188.289	1110.345	1164.913	1098.034	1062.709	1019.437	1032.016	1070.752	1073.614	1096.121	995.813
36	1093.289	1093.289	1146.587	1154.152	1161.318	1138.187	1054.199	1054.108	1043.149	1060.404	1069.366	1134.283	1040.935
37	1123.378	1123.378	1166.347	1139.240	1197.967	1131.401	1071.926	1067.024	1045.046	1079.490	1121.576	1133.788	1028.851
38	1117.125	1117.125	1188.975	1152.163	1195.193	1148.142	1093.426	1055.638	1061.884	1121.433	1153.265	1159.194	1031.849
39	1123.072	1123.072	1173.897	1173.382	1198.123	1183.268	1091.411	1058.939	1073.783	1115.718	1150.713	1214.966	1041.936
40	1135.227	1135.227	1203.500	1180.521	1228.564	1175.044	1090.061	1070.886	1089.671	1119.450	1201.142	1245.335	1072.563
41	1138.969	1138.969	1200.657	1227.478	1222.610	1205.124	1114.458	1106.667	1100.117	1118.850	1203.033	1242.957	1071.194
42	1149.582	1149.582	1198.250	1230.842	1244.825	1230.996	1134.131	1087.658	1142.604	1174.527	1233.804	1267.975	1117.043
43	1159.411	1159.411	1233.511	1242.875	1262.060	1258.870	1148.396	1128.843	1136.464	1180.644	1260.042	1287.826	1151.425
44	1166.029	1166.029	1247.705	1233.323	1289.569	1272.183	1161.835	1151.624	1146.239	1190.591	1254.444	1302.019	1155.432
45	1163.043	1163.043	1289.714	1245.814	1308.657	1273.499	1204.815	1177.401	1175.406	1223.553	1272.180	1312.109	1184.464
46	1184.070	1184.070	1306.375	1266.562	1311.005	1261.593	1205.538	1204.112	1183.110	1242.733	1322.576	1311.905	1220.969
47	1172.092	1172.092	1332.650	1249.221	1307.041	1256.146	1206.784	1215.335	1195.879	1252.220	1309.871	1327.693	1231.492
48	1175.453	1175.453	1334.170	1288.204	1333.565	1288.851	1244.359	1210.318	1212.633	1285.289	1340.566	1297.068	1231.245
49	1189.500	1189.500	1358.657	1275.389	1334.264	1288.821	1241.878	1243.998	1196.432	1281.256	1339.067	1292.984	1241.811
50	1184.434	1184.434	1341.668	1298.573	1381.214	1273.880	1237.640	1218.886	1228.872	1269.392	1331.845	1269.602	1244.264
51	1204.898	1204.898	1329.861	1307.815	1372.709	1303.147	1237.189	1211.272	1226.860	1269.073	1321.707	1221.474	1269.571
52	1201.470	1201.470	1361.923	1324.292	1365.951	1314.397	1239.408	1222.249	1215.225	1268.738	1314.364	1191.164	1290.262
53	1220.087	1220.087	1362.984	1367.212	1395.272	1337.370	1263.612	1224.651	1206.359	1265.943	1284.622	1126.223	1256.772
54	1259.018	1259.018	1361.808	1374.061	1364.811	1324.906	1253.864	1192.096	1179.039	1279.570	1273.601	1071.065	1193.893
55	1281.990	1281.990	1361.865	1396.412	1358.013	1318.052	1257.108	1203.919	1205.341	1249.674	1258.482	1042.480	1139.470
56	1264.681	1264.681	1326.369	1392.125	1325.213	1268.320	1249.810	1201.948	1177.579	1239.213	1200.552	999.335	1127.468
57	1273.575	1273.575	1314.598	1403.090	1299.908	1258.463	1233.987	1204.662	1172.581	1223.508	1163.081	979.416	1079.280
58	1258.521	1258.521	1287.737	1403.218	1253.681	1240.250	1227.226	1201.614	1176.334	1206.556	1114.365	932.459	995.693
59	1277.836	1277.836	1264.727	1404.957	1191.661	1201.844	1239.694	1204.065	1176.601	1195.919	1051.651	915.742	991.415
60	1284.858	1284.858	1227.695	1342.378	1122.224	1166.178	1231.676	1156.382	1156.872	1150.519	1014.552	880.411	932.791
61	1273.497	1273.497	1168.000	1275.787	1047.454	1117.111	1196.876	1096.784	1132.809	1092.352	974.314	871.768	897.459
62	1281.295	1281.295	1123.820	1200.123	1016.836	1052.457	1179.469	1056.762	1122.355	1051.567	941.356	855.997	896.921
63	1310.479	1310.479	1054.840	1130.222	969.654	998.443	1149.423	1015.929	1116.292	1014.387	911.463	861.067	873.909
64	1296.248	1296.248	1030.903	1086.239	917.001	967.425	1068.582	957.428	1037.843	968.442	891.862	838.235	851.842
65	1255.363	1255.363	1008.362	980.375	901.697	943.899	1049.539	942.345	995.347	933.448	872.066	806.504	842.680
66	1240.886	1240.886	967.935	953.317	892.087	930.180	988.804	944.236	966.105	915.337	833.656	788.276	823.380
67	1202.437	1202.437	935.413	939.620	908.258	904.590	926.956	927.297	917.951	875.814	851.471	785.204	792.588
68	1155.017	1155.017	910.017	928.822	876.027	899.708	906.232	884.518	899.228	863.940	818.927	765.078	801.522
69	1120.688	1120.688	915.945	897.322	855.419	873.164	888.476	837.761	878.232	854.359	821.756	752.425	768.368
70	1069.034	1069.034	878.977	868.310	832.955	852.306	883.579	840.199	861.561	815.645	808.037	733.655	766.489
71	1029.252	1029.252	844.930	859.969	816.630	828.900	862.218	799.154	847.357	813.946	796.021	721.822	744.221
72	1006.300	1006.300	820.257	839.356	804.381	804.196	844.656	805.259	822.217	786.307	785.725	716.339	743.224
73	969.699	969.699	799.090	830.157	783.242	796.250	830.144	783.930	839.710	788.587	763.989	680.539	719.628
74	946.483	946.483	794.716	803.268	766.285	793.145	797.608	774.383	778.487	783.511	760.667	701.532	716.343
75	891.164	891.164	793.175	790.212	775.967	764.979	786.724	776.069	777.083	750.893	727.340	685.736	710.093
76	879.153	879.153	782.237	773.241	764.148	760.427	777.149	758.250	772.610	748.299	726.779	679.504	698.039
77	874.835	874.835	757.461	774.362	756.032	757.688	766.481	727.630	750.611	737.468	713.332	667.206	701.736
78	845.762	845.762	756.506	743.702	724.828	735.334	757.496	718.693	749.967	740.350	730.173	669.109	693.809
79	826.476	826.476	743.596	756.598	730.806	740.466	746.091	705.183	723.604	726.865	709.938	661.069	672.205
80	808.368	808.368	734.511	716.142	703.932	702.259	718.323	707.451	744.826	719.893	676.584	663.696	675.627
81	800.249	800.249	738.638	708.734	690.486	708.328	712.381	697.927	725.422	707.010	674.142	645.209	668.457
82	805.623	805.623	727.207	697.302	672.540	694.081	722.309	685.298	717.783	698.511	673.496	645.638	669.637
83	787.119	787.119	713.381	703.863	677.478	702.416	700.838	680.031	703.755	697.688	670.820	645.153	656.938
84	773.316	773.316	692.089	681.898	671.236	679.949	686.618	664.321	687.754	692.399	644.409	645.909	645.992
85	750.782	750.782	697.221	682.374	647.573	667.120	671.690	684.011	685.151	668.128	653.181	625.119	636.467
86	731.270	731.270	687.453	660.689	649.044	658.832	648.429	662.150	688.948	662.566	643.485	618.625	640.970
87	712.490	712.490	675.644	649.019	661.961	656.326	661.721	648.345	677.842	639.478	628.742	627.217	642.352
88	732.201	732.201	681.706	641.716	638.411	651.655	657.976	645.001	654.636	663.226	651.743	599.932	625.630
89	730.866	730.866	660.129	629.014	626.780	649.424	646.214	640.962	659.748	647.431	633.279	618.426	615.918
90	715.990	715.990	636.851	636.837	642.670	640.869	637.278	642.708	647.211	633.426	619.844	616.805	619.229
91	700.957	700.957	638.363	632.757	629.403	611.911	650.525	635.986	652.911	652.830	632.468	598.426	623.514
92	682.729	682.729	633.213	624.209	626.040	629.375	636.712	612.815	630.786	643.928	609.941	608.652	602.808
93	691.804	691.804	623.707	626.418	611.545	622.427	634.588	608.443	638.423	632.229	608.340	604.200	603.135
94	678.486	678.486	624.690	619.783	617.891	626.513	632.183	633.120	636.983	625.737	616.077	608.593	601.589
95	669.171	669.171	606.955	593.730	611.915	627.834	618.266	625.584	625.731	633.033	610.595	579.921	599.649
96	668.632	668.632	612.150	612.812	621.882	615.652	629.025	621.713	615.563	628.344	619.300	601.156	596.503
97	647.603	647.603	603.345	611.483	622.632	620.913	621.229	617.760	633.045	617.778	603.216	600.262	608.670
98	628.964	628.964	599.456	619.196	599.533	618.639	618.527	620.438	616.169	604.409	611.605	594.971	594.582
99	636.754	636.754	595.739	615.904	598.273	614.545	618.130	598.096	606.542	615.885	596.433	591.809	594.024
100	629.438	629.438	572.471	602.463	591.312	599.364	611.155	599.624	602.897	607.984	601.500	579.676	591.822
101	632.039	632.039	587.731	622.070	580.200	601.609	613.357	601.893	611.366	614.392	601.012	576.589	578.598
102	622.817	622.817	581.597	595.872	589.878	586.512	604.652	599.228	599.569	593.628	596.973	573.240	586.683
