 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11
1	560.400	560.400	550.267	564.000	540.733	572.200	562.467	561.800	566.133	562.467	566.800
2	544.200	544.200	563.600	565.467	536.467	551.800	558.067	536.533	564.400	562.867	579.600
3	560.400	560.400	550.267	581.867	578.333	561.267	553.133	566.733	565.533	546.800	574.267
4	551.067	551.067	559.400	563.467	553.933	553.933	544.400	562.400	575.133	556.067	559.267
5	549.200	549.200	559.267	569.000	553.533	548.467	552.933	552.000	556.467	556.933	562.733
6	556.667	556.667	558.867	572.667	553.800	565.800	564.600	549.600	559.333	551.133	551.600
7	559.467	559.467	546.733	560.933	557.733	563.133	562.867	555.933	566.667	553.733	578.467
8	551.600	551.600	581.467	592.200	553.400	557.933	553.067	557.667	576.133	562.800	579.133
9	554.733	554.733	565.667	544.867	562.800	560.467	551.867	564.133	567.733	550.800	566.200
10	560.533	560.533	562.867	557.467	548.800	552.933	569.200	555.867	576.600	546.600	553.800
11	568.067	568.067	558.467	554.533	574.000	568.000	558.800	565.533	577.600	543.000	552.800
12	558.400	558.400	543.067	575.733	554.733	559.267	541.467	556.933	558.933	555.400	549.067
13	575.867	575.867	543.667	548.200	554.867	559.600	555.200	553.200	580.333	563.667	577.000
14	567.467	567.467	561.200	573.933	553.333	547.333	547.800	565.667	543.733	548.133	571.800
15	568.467	568.467	563.600	561.600	576.067	563.733	551.067	557.400	564.733	570.933	558.067
16	571.800	571.800	559.267	544.467	559.600	551.600	570.467	559.267	556.867	551.800	556.400
17	552.933	552.933	551.400	571.533	546.333	560.867	556.000	566.333	573.600	540.867	552.667
18	562.400	562.400	568.533	564.400	561.000	543.600	561.200	557.533	562.333	554.133	554.733
19	558.733	558.733	559.067	557.733	561.000	563.933	580.000	549.200	570.467	565.933	574.867
20	561.867	561.867	572.933	560.733	554.533	549.067	559.467	559.000	544.467	546.467	568.000
21	572.133	572.133	558.200	563.467	536.200	554.067	548.000	559.800	573.400	536.333	560.467
22	572.800	572.800	561.000	552.467	563.467	545.267	566.733	557.333	562.867	550.667	559.533
23	564.867	564.867	555.600	554.733	574.600	566.800	564.600	559.200	584.667	558.133	562.200
24	575.600	575.600	566.400	565.600	543.867	559.733	565.600	545.733	566.333	549.400	567.333
25	575.067	575.067	553.867	562.667	557.133	553.400	566.800	573.067	563.800	552.067	563.200
26	560.933	560.933	557.667	554.600	567.000	579.733	570.067	568.800	556.133	561.333	573.333
27	562.733	562.733	562.267	571.933	561.533	560.133	549.867	561.933	562.000	558.267	581.000
28	577.667	577.667	572.533	585.800	560.400	559.133	571.467	579.467	576.933	566.400	587.800
29	568.067	568.067	566.000	581.600	557.933	563.000	560.267	563.000	574.067	567.133	569.933
