 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15
1	433.453	427.561	430.399	438.685	441.095	438.361	445.263	439.531	432.675	441.169	445.388	451.506	432.052	445.321	427.403
2	444.840	430.119	444.727	442.260	432.601	434.075	437.907	447.352	434.883	438.782	440.941	454.571	435.686	443.319	430.142
3	431.110	424.580	440.189	444.534	433.473	444.534	438.398	435.037	449.118	439.288	431.096	432.620	431.317	440.967	445.900
4	429.812	413.901	435.724	425.405	442.457	429.289	432.703	432.084	435.864	438.606	435.072	439.025	446.073	451.426	454.086
5	430.522	425.754	448.335	430.796	442.880	431.341	435.193	435.612	428.993	445.788	434.852	439.598	452.197	446.398	447.534
6	429.427	433.046	438.420	438.367	437.769	441.977	435.843	434.965	445.785	442.641	437.047	435.000	444.572	441.705	443.893
7	444.324	424.697	442.825	435.515	431.071	432.165	429.598	434.821	443.625	437.060	440.509	435.581	443.718	441.624	449.230
8	448.525	438.297	428.647	440.694	444.332	439.747	428.099	434.858	442.962	444.458	442.368	440.137	437.312	434.728	442.710
9	441.856	428.322	433.529	450.309	447.202	433.037	429.589	434.959	437.911	433.156	426.776	446.683	440.382	435.838	431.953
10	453.843	427.967	430.582	435.269	432.012	430.415	432.814	437.809	441.822	432.971	431.170	444.058	438.002	437.696	432.992
11	442.723	428.629	424.345	440.748	438.849	441.664	431.211	440.508	445.894	438.694	445.277	436.344	431.113	438.560	443.320
12	441.752	431.273	433.112	439.502	428.548	435.722	437.033	440.628	445.603	432.404	440.393	439.195	448.214	444.043	436.156
13	446.103	426.436	432.787	440.882	443.076	429.051	441.281	436.790	437.238	439.079	441.817	436.637	444.013	428.048	437.263
14	441.891	439.535	445.039	437.703	437.904	444.660	451.228	445.424	441.991	443.449	441.839	432.811	444.605	447.312	437.122
15	431.829	432.773	445.295	434.215	436.522	434.997	427.467	451.093	447.566	453.005	437.871	434.965	447.334	445.954	432.659
16	445.235	433.597	432.076	435.575	436.326	428.052	429.160	440.816	443.908	435.733	430.208	439.212	441.320	437.278	438.198
17	450.848	434.153	437.784	426.077	434.673	433.744	431.424	436.755	435.698	446.648	428.407	433.083	435.605	443.400	441.646
18	437.593	426.657	436.723	441.912	434.257	434.594	442.681	447.116	442.129	440.518	440.240	439.945	451.133	446.874	446.633
19	436.486	430.437	433.577	443.216	441.338	440.348	445.955	450.092	437.370	446.431	444.289	437.127	442.862	435.855	447.632
20	445.173	422.949	443.661	434.975	439.621	435.159	446.393	459.218	437.566	447.089	436.682	440.855	427.374	448.496	451.674
21	446.755	430.138	433.105	435.447	434.453	440.241	447.449	434.664	433.662	445.508	441.607	428.057	439.276	444.351	443.021
22	443.337	428.766	431.877	441.808	450.425	446.986	452.897	434.554	434.747	434.931	441.193	441.594	445.067	448.120	443.406
23	441.038	437.386	439.629	442.596	447.112	439.928	437.633	436.913	439.639	429.331	441.499	444.231	442.315	445.645	439.437
24	430.418	425.821	443.144	436.164	435.374	442.520	440.803	446.298	439.415	437.048	443.100	451.901	439.019	438.856	444.200
25	434.007	429.889	434.249	441.982	439.970	446.757	436.426	442.471	446.923	435.093	443.382	440.880	447.184	446.247	444.043
26	436.065	429.725	430.039	438.290	437.899	436.828	441.920	437.395	452.853	434.991	440.576	440.149	442.341	447.211	450.479
27	438.440	430.122	432.516	437.671	430.802	438.506	437.697	438.521	447.144	445.718	445.509	437.198	435.734	448.450	440.419
28	441.624	422.397	437.869	445.184	433.819	447.151	447.032	442.633	437.525	441.989	440.531	449.855	446.573	441.900	455.178
29	441.194	432.650	440.148	446.702	433.999	441.167	458.400	436.325	446.002	440.389	446.277	446.715	443.579	435.711	441.476
30	442.188	441.755	441.255	447.262	452.856	443.952	438.195	425.731	445.699	441.869	448.475	444.127	449.830	442.385	448.826
31	446.285	439.729	441.597	449.621	435.893	437.021	440.184	447.686	448.022	442.408	440.731	445.431	439.124	447.033	444.756
32	447.190	425.994	436.480	451.984	447.193	447.458	446.622	453.421	447.756	440.146	447.803	451.015	444.970	437.865	438.817
33	450.800	432.464	445.149	435.051	453.819	441.358	445.104	440.342	431.570	441.433	445.531	447.232	448.034	440.923	439.709
34	438.532	429.618	434.633	438.494	443.480	442.099	449.678	443.574	443.224	442.597	450.242	444.387	448.529	453.183	444.468
35	437.286	438.984	447.136	443.215	435.582	439.545	436.992	446.089	443.425	442.217	438.392	448.037	443.993	440.917	446.794
36	449.345	437.894	436.213	442.645	435.876	448.485	447.388	441.543	438.882	444.694	441.412	444.825	452.350	446.021	442.240
37	435.386	431.404	448.025	445.417	438.849	445.249	446.518	444.507	447.082	443.970	449.161	447.346	442.629	443.854	444.585
38	435.598	439.787	437.661	441.581	438.532	437.421	446.097	436.361	439.061	442.346	438.752	440.922	440.968	448.336	441.636
39	434.110	435.246	439.725	439.202	439.596	442.189	443.955	444.627	442.293	450.716	438.373	440.267	443.910	439.524	440.374
40	436.297	422.541	447.194	444.684	444.651	438.756	448.787	447.937	448.704	449.374	443.281	452.078	436.107	452.786	447.472
41	447.821	436.340	442.774	451.405	439.852	440.252	436.469	441.891	432.364	440.906	445.261	441.034	440.203	447.301	449.466
42	444.575	434.274	448.038	439.361	446.766	443.586	442.927	447.996	444.631	457.049	442.752	443.281	448.263	454.767	449.677
43	445.046	437.037	445.195	439.133	443.528	446.601	440.090	451.044	430.185	444.722	443.458	444.096	456.145	445.795	440.858
44	449.095	449.818	440.839	441.259	441.315	448.263	443.057	441.142	446.881	448.879	455.160	442.656	450.003	447.019	452.384
45	452.688	432.494	440.318	456.792	441.534	435.968	440.847	433.865	452.369	442.646	461.910	442.496	445.303	453.595	444.346
46	442.018	445.526	441.790	453.044	454.965	443.002	445.112	450.843	451.430	445.959	450.904	446.645	448.642	452.735	432.072
47	445.157	441.959	438.746	451.051	449.105	442.856	437.633	436.300	435.878	443.530	455.047	436.743	447.437	453.672	435.582
48	433.952	434.715	438.785	440.929	444.561	441.159	434.358	441.803	438.520	439.214	452.552	435.734	440.896	451.785	440.213
49	432.793	443.713	426.896	443.462	430.615	446.078	438.068	442.069	444.938	435.749	435.428	437.554	437.876	451.024	433.947
50	438.645	441.109	443.436	449.358	446.022	433.857	444.063	446.033	439.141	447.950	431.065	444.300	452.471	448.159	453.462
51	448.914	450.282	435.489	446.612	445.289	440.489	446.924	435.686	440.779	447.046	452.647	443.321	451.721	443.459	433.056
52	447.626	442.022	443.299	454.864	455.352	439.319	452.413	441.380	453.490	450.542	447.440	445.242	455.363	439.775	441.753
53	444.021	445.446	432.882	447.489	457.344	445.973	450.195	456.325	450.519	445.139	445.369	445.023	453.380	448.923	454.629
54	450.085	445.496	458.051	445.827	440.326	448.995	444.810	450.561	457.058	448.326	460.477	439.286	448.179	452.097	454.695
55	452.759	436.432	456.624	455.037	456.468	449.550	446.272	442.866	455.201	443.370	446.939	450.241	453.732	454.290	446.763
56	441.961	428.910	441.044	459.511	458.222	436.679	445.535	444.854	450.830	448.518	455.767	440.900	452.952	455.904	450.892
57	445.290	432.431	449.218	448.562	457.181	450.887	449.038	438.487	439.108	454.017	450.187	445.247	441.880	449.140	445.543
58	444.446	432.723	455.236	451.964	438.329	441.004	444.574	448.393	452.244	443.995	451.692	446.229	452.910	442.960	451.557
59	451.894	438.218	443.167	459.792	441.844	441.676	449.002	445.787	450.258	441.214	445.521	445.155	457.921	449.337	450.108
60	452.985	438.710	447.894	452.181	438.409	452.524	454.319	453.842	448.222	442.829	451.663	444.441	452.800	457.267	461.051
61	448.252	434.705	454.456	459.472	451.220	460.387	450.662	455.646	446.358	453.385	452.606	450.103	451.928	463.784	456.348
62	446.543	442.318	455.042	450.164	452.383	441.446	462.523	449.588	450.717	450.440	449.742	454.810	448.963	462.473	453.948
63	451.104	444.998	450.919	448.040	458.311	447.090	446.451	450.133	446.203	442.424	449.867	444.906	448.740	460.553	450.484
64	466.711	450.669	452.023	457.620	451.691	452.881	443.465	457.855	454.429	455.435	449.604	458.279	456.851	457.866	441.587
65	456.763	427.687	445.477	450.890	437.905	445.631	441.170	452.737	453.505	450.484	443.721	455.932	443.075	452.382	436.808
66	457.212	428.928	451.133	438.654	455.291	454.684	450.490	444.345	446.346	445.160	463.422	452.459	440.265	442.668	449.428
67	452.642	445.415	461.708	452.349	457.386	448.008	444.877	444.577	449.822	455.541	450.379	444.511	456.543	455.618	448.956
68	456.549	449.642	453.315	453.859	444.355	438.355	453.113	449.817	453.654	457.534	455.258	453.092	459.235	465.740	447.425
69	445.098	442.722	449.852	458.377	452.562	452.411	453.632	459.285	451.844	453.208	450.007	456.396	447.793	452.396	442.130
70	449.919	436.736	446.862	457.575	440.688	456.422	441.293	448.054	455.118	457.645	454.648	459.556	442.856	454.782	446.333
71	446.977	437.596	452.335	446.725	443.639	447.759	441.872	441.302	457.087	457.365	456.479	449.553	451.547	446.787	452.520
72	448.489	447.124	455.664	445.706	448.972	448.317	445.031	450.807	447.825	457.879	445.229	452.262	456.353	454.205	459.545
73	456.275	449.991	445.542	459.089	457.821	445.768	448.838	459.133	452.664	458.858	440.501	449.449	449.994	452.141	453.670
74	457.329	447.596	444.959	444.462	459.669	449.487	443.180	451.616	444.559	444.076	440.639	447.651	449.177	451.924	461.267
75	463.125	449.675	452.361	456.665	461.125	451.630	453.553	462.315	452.342	451.268	452.574	454.454	451.530	462.539	460.793
76	457.281	446.093	447.877	459.742	454.947	456.767	461.502	452.986	467.433	458.505	451.962	452.882	448.032	465.155	457.661
77	443.933	444.862	446.723	451.140	445.337	464.416	453.331	449.198	459.921	449.655	447.765	446.155	450.832	454.876	449.768
