 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10
1	619.650	619.650	613.797	607.427	624.983	633.473	625.918	624.093	625.868	651.379
2	613.346	613.346	612.450	601.625	639.461	619.096	624.204	619.591	634.176	637.812
3	600.549	600.549	603.836	601.281	635.344	616.476	618.955	626.363	642.939	632.015
4	608.245	608.245	609.421	606.761	617.293	616.800	620.308	616.477	621.969	634.167
5	612.371	612.371	599.757	599.221	631.050	629.851	625.669	616.154	632.595	641.001
6	622.318	622.318	603.636	595.184	617.940	621.684	618.239	628.216	630.582	643.066
7	618.712	618.712	617.702	593.154	626.220	623.280	615.925	632.759	634.380	644.177
8	599.727	599.727	624.982	609.113	630.424	617.430	623.846	621.148	632.602	643.843
9	615.692	615.692	601.856	610.418	628.940	625.211	622.023	620.832	640.971	639.708
10	604.982	604.982	623.155	606.815	624.409	619.654	634.571	633.001	625.701	632.163
11	604.221	604.221	615.981	615.602	613.936	613.740	620.694	623.877	635.092	636.665
12	628.128	628.128	607.086	614.782	620.553	622.296	620.586	624.275	634.590	635.440
13	623.581	623.581	614.519	596.235	619.026	618.562	617.627	615.576	625.868	633.909
14	611.099	611.099	605.098	600.622	617.904	616.748	617.381	618.905	613.148	630.317
15	603.760	603.760	611.895	596.047	606.038	632.796	627.252	618.231	617.532	632.168
16	600.774	600.774	611.072	594.980	624.725	621.632	617.040	637.186	608.419	638.752
17	595.246	595.246	607.965	585.761	607.660	616.367	608.193	621.017	625.288	629.393
18	601.872	601.872	595.697	598.076	618.004	609.871	599.509	624.660	628.437	626.584
19	606.691	606.691	584.872	595.755	609.560	608.780	612.408	619.462	612.674	635.532
20	597.105	597.105	580.555	592.780	614.445	609.356	609.690	606.656	610.943	634.567
21	601.788	601.788	588.703	588.669	616.943	600.289	600.862	605.533	605.832	638.660
22	596.997	596.997	600.767	597.094	618.112	609.305	614.071	604.804	610.868	640.706
23	610.310	610.310	596.163	597.612	600.171	606.808	610.972	613.110	621.896	656.676
24	600.554	600.554	605.710	583.407	601.897	601.924	605.572	616.650	621.395	641.482
25	605.538	605.538	596.070	605.753	596.714	604.490	609.286	631.182	619.120	634.887
26	609.296	609.296	587.556	601.717	616.291	609.858	609.477	609.087	615.281	630.478
27	590.044	590.044	590.362	597.298	622.310	600.518	623.463	604.849	616.763	625.722
28	600.843	600.843	596.316	602.347	602.835	597.447	614.383	608.279	627.281	623.499
29	596.667	596.667	588.736	598.263	611.242	607.837	605.100	613.569	622.016	631.511
30	597.605	597.605	596.457	601.269	626.366	610.892	606.209	612.762	617.262	627.098
31	597.417	597.417	598.568	591.429	613.789	611.337	600.192	620.072	617.283	635.425
32	596.213	596.213	601.393	590.422	619.427	618.324	600.790	620.508	621.577	623.285
33	608.398	608.398	597.638	601.202	609.574	603.326	601.056	616.716	620.370	636.749
34	602.840	602.840	591.282	588.489	609.418	597.624	610.362	615.256	631.155	635.192
35	615.168	615.168	590.924	576.730	620.401	595.881	614.563	611.734	645.786	633.514
36	596.823	596.823	597.749	577.305	617.541	595.558	601.544	610.912	637.482	647.212
37	599.147	599.147	590.722	584.255	617.728	588.626	594.678	619.287	627.304	629.417
38	590.107	590.107	593.308	586.553	610.206	598.385	609.439	614.850	619.879	635.935
39	598.600	598.600	586.569	599.531	602.519	610.179	608.650	599.495	627.927	628.273
40	601.022	601.022	589.003	593.608	614.264	603.198	607.829	600.744	621.601	650.731
41	598.543	598.543	591.247	585.028	609.541	597.769	605.803	604.389	626.377	634.266
42	589.497	589.497	587.494	597.010	614.127	601.056	599.490	606.493	609.570	630.861
43	597.116	597.116	589.525	592.515	603.387	595.147	598.033	601.742	614.206	614.354
44	591.494	591.494	584.397	590.345	611.733	594.064	603.727	603.128	616.085	623.540
45	593.496	593.496	598.645	578.952	614.217	602.089	590.556	596.713	606.987	609.503
46	594.338	594.338	591.531	578.711	618.084	608.469	587.328	604.598	601.460	614.539
47	595.408	595.408	597.027	601.721	600.794	610.113	602.939	597.689	608.152	612.506
48	599.803	599.803	601.861	606.620	603.870	598.501	604.165	611.280	615.891	616.402
49	596.982	596.982	598.474	591.190	600.306	599.194	599.579	611.464	619.977	619.195
50	590.792	590.792	588.083	585.540	608.096	609.484	599.796	605.475	613.422	620.072
51	593.460	593.460	590.898	586.284	615.124	601.614	593.693	608.347	608.055	618.750
52	609.776	609.776	596.555	593.958	604.349	606.136	607.683	607.160	612.900	607.313
53	605.721	605.721	595.885	596.473	611.185	599.349	607.812	603.517	617.099	626.186
54	609.423	609.423	598.166	578.761	610.531	587.138	611.357	618.376	617.263	609.079
55	599.012	599.012	596.056	581.328	598.616	606.971	618.982	617.281	609.147	608.228
