 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12
1	500.111	500.111	505.203	491.739	483.459	492.498	502.871	495.680	488.903	499.464	489.144	489.298
2	492.654	492.654	501.800	486.117	489.355	493.444	486.207	487.615	485.330	496.848	489.974	494.398
3	493.541	493.541	494.995	492.198	485.223	490.448	484.716	493.257	483.347	495.405	480.606	497.241
4	492.901	492.901	493.121	487.131	498.236	491.702	486.279	477.495	486.037	490.656	475.853	496.461
5	496.134	496.134	495.619	491.818	504.857	486.542	490.362	490.663	490.120	489.905	476.921	492.084
6	503.723	503.723	497.901	506.487	497.388	492.489	496.282	497.515	495.314	486.609	488.647	498.109
7	500.753	500.753	493.990	505.811	494.487	497.611	499.468	501.098	492.108	486.104	499.526	482.773
8	493.007	493.007	478.727	490.240	487.194	486.440	482.979	485.498	491.931	492.902	494.041	489.694
9	498.837	498.837	479.174	495.183	500.499	491.378	485.439	488.314	496.984	489.958	483.469	493.331
10	503.641	503.641	494.564	500.798	495.071	490.937	492.652	493.726	486.537	486.345	491.501	486.312
11	507.396	507.396	500.042	498.023	493.630	500.072	488.910	493.288	489.396	487.510	494.012	491.833
12	497.727	497.727	483.878	496.039	484.749	490.571	496.732	498.495	493.949	480.016	490.577	496.229
13	497.496	497.496	495.272	497.565	494.635	495.012	493.079	496.331	496.849	491.163	491.900	497.828
14	493.434	493.434	504.686	494.409	498.868	501.044	487.894	495.233	503.574	493.693	502.274	488.817
15	498.415	498.415	497.131	495.928	497.394	497.245	494.454	490.020	496.798	494.960	477.929	495.516
16	500.226	500.226	489.251	498.748	501.258	485.879	498.673	487.898	495.449	489.365	484.710	489.441
17	500.943	500.943	490.926	487.972	499.697	476.657	501.398	491.926	502.623	477.899	484.196	488.483
18	501.203	501.203	486.741	496.200	496.803	495.343	494.890	491.603	498.971	475.672	489.397	489.739
19	503.359	503.359	495.824	485.580	503.375	497.938	501.068	497.728	480.739	482.224	498.295	500.554
20	497.777	497.777	503.093	495.366	504.518	491.669	481.853	491.625	497.077	494.683	493.406	492.090
