 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10
1	907.210	2039.371	1966.399	1028.875	988.064	971.609	968.450	985.274	934.208	958.611
2	912.429	2049.400	1955.138	1018.974	977.186	972.400	958.257	982.758	925.944	949.098
3	906.779	2055.250	1970.065	1004.247	973.829	965.079	968.318	954.988	937.763	937.947
4	900.661	2012.814	1955.688	995.209	973.851	972.810	960.511	953.240	937.295	933.342
5	902.102	2002.993	1929.393	980.844	970.571	937.136	959.671	956.996	920.532	932.130
6	899.820	2002.997	1918.101	980.684	957.464	960.061	976.216	968.068	916.800	946.941
7	897.701	2009.839	1893.642	973.225	946.880	968.303	958.885	943.024	908.291	926.774
8	891.827	1997.649	1913.268	950.004	954.864	957.969	951.976	912.229	892.739	929.715
9	910.462	1953.741	1897.101	950.391	952.019	944.960	947.604	932.194	895.099	938.048
10	901.779	1957.167	1878.374	942.557	948.360	935.663	944.754	922.508	895.272	928.288
11	926.343	1944.228	1862.825	944.801	929.405	925.168	940.846	920.109	893.588	928.502
12	929.717	1948.464	1843.516	929.304	918.058	922.566	938.850	921.634	917.285	916.315
13	922.120	1920.776	1836.081	912.127	912.019	907.466	931.056	919.405	915.275	923.316
14	923.708	1912.474	1824.612	911.392	913.596	904.788	927.467	924.759	914.233	920.779
15	924.265	1873.926	1813.612	914.569	905.837	906.752	937.011	916.287	929.351	945.637
16	920.465	1891.751	1778.268	901.171	914.639	909.908	935.504	921.958	932.120	944.583
17	916.118	1869.690	1747.855	901.138	910.187	904.530	933.014	924.707	942.366	941.765
18	914.122	1838.478	1718.400	903.823	904.355	892.792	932.752	923.685	930.781	940.627
19	905.037	1842.170	1687.896	911.857	900.811	890.882	930.488	942.085	943.922	957.471
20	924.314	1825.184	1644.218	917.773	922.763	891.457	946.496	956.382	955.740	966.860
21	910.404	1806.490	1628.831	914.950	924.829	888.940	951.006	948.916	944.992	942.405
22	923.232	1763.216	1579.968	916.007	906.664	897.898	932.583	948.682	934.428	957.679
23	916.474	1748.343	1528.356	920.740	901.326	899.775	934.178	956.568	959.400	974.795
24	904.541	1725.842	1485.986	906.845	938.447	917.044	955.571	972.494	957.250	977.141
25	925.166	1692.471	1417.447	916.259	919.855	927.909	962.754	975.434	961.781	971.330
26	926.449	1642.933	1379.645	919.159	923.077	940.537	947.327	980.066	954.489	944.025
27	928.878	1618.680	1322.782	918.268	939.345	946.026	944.658	995.187	964.124	949.798
28	925.097	1585.743	1258.127	908.489	946.563	926.745	963.848	994.489	973.090	969.132
29	939.143	1496.255	1201.217	917.649	947.303	945.996	967.674	973.250	977.953	963.957
30	944.771	1450.114	1141.859	925.655	948.669	946.009	970.975	968.511	994.197	957.719
31	961.677	1391.315	1107.595	929.872	954.232	953.662	970.288	993.079	1000.748	966.748
32	983.713	1333.152	1098.675	927.465	952.387	943.034	972.702	996.495	1003.353	981.438
33	978.018	1274.977	1090.389	925.142	957.189	956.507	982.797	993.702	1034.853	994.888
34	1015.946	1196.774	1087.272	940.638	980.622	954.441	1001.931	995.660	1041.867	1011.414
35	1025.358	1151.819	1066.328	960.840	997.490	970.963	1000.898	1021.184	1064.648	1023.386
36	1020.593	1094.594	1067.117	958.519	1002.191	978.526	983.540	1033.971	1058.066	1037.969
37	1017.383	1078.294	1075.650	972.356	1008.235	985.463	983.984	1052.302	1053.002	1039.085
38	981.695	1061.574	1087.447	988.144	1018.165	1008.266	995.207	1061.804	1025.468	1039.759
39	961.354	1064.653	1088.621	982.783	1022.353	1004.264	1017.664	1081.704	1005.996	1010.597
40	925.329	1081.184	1086.747	976.610	1013.631	1021.903	1029.254	1046.789	990.480	1006.201
41	900.184	1095.481	1081.859	990.546	1033.429	1037.289	1019.682	1018.262	945.683	961.877
42	889.487	1102.951	1078.132	1011.222	1010.857	1047.627	1023.224	1006.085	905.896	930.242
43	868.077	1084.322	1060.751	1000.204	1016.794	1030.235	1007.643	965.911	885.274	897.839
44	834.688	1074.246	1043.759	1019.686	1021.384	1037.610	998.602	937.507	856.297	891.274
45	831.712	1090.949	1031.770	1008.924	1004.355	997.821	962.906	904.852	852.486	856.829
46	806.030	1089.544	1054.922	1014.598	976.078	973.931	951.732	875.180	826.386	838.514
47	802.532	1098.230	1055.085	997.841	952.337	968.066	909.192	855.393	823.372	823.385
48	789.569	1086.013	1055.187	981.846	929.502	924.031	879.555	831.338	807.229	802.535
49	790.854	1087.261	1052.555	966.724	915.852	912.553	857.677	818.845	798.704	807.148
50	764.686	1078.868	1074.414	929.156	907.212	873.073	845.281	811.436	785.626	799.668
51	761.112	1076.869	1088.683	904.378	857.112	841.705	818.490	800.435	771.826	782.877
52	750.024	1091.079	1101.906	867.092	844.657	832.093	812.491	793.901	755.506	773.586
53	743.215	1085.945	1082.805	853.292	826.518	807.767	810.791	785.684	745.944	772.226
54	726.792	1079.813	1059.754	833.075	806.495	787.303	792.109	767.720	748.956	741.158
55	714.196	1073.420	1019.815	813.274	791.142	775.412	772.805	748.229	726.441	717.151
56	704.264	1072.371	987.372	788.228	783.273	768.876	775.238	738.989	722.184	728.727
57	717.371	1083.228	952.444	802.530	763.970	768.750	761.489	727.538	712.220	732.953
58	697.440	1051.829	922.325	800.319	764.237	747.256	743.521	724.214	689.165	707.107
59	675.459	1019.094	891.854	789.012	756.894	748.055	739.639	711.962	690.969	701.470
60	652.320	991.680	869.749	765.540	740.706	731.241	725.769	699.850	691.038	686.059
61	655.050	945.275	840.494	768.319	726.808	703.585	717.274	692.477	679.107	681.704
62	655.467	918.162	834.968	746.718	727.749	698.133	697.020	692.132	683.583	675.525
63	653.684	906.739	820.036	726.587	703.455	702.860	703.706	671.580	675.473	676.091
64	650.471	878.515	802.429	715.107	702.396	698.543	699.676	662.399	662.379	673.333
65	639.489	844.896	786.467	712.466	700.619	682.086	672.029	668.803	645.817	677.556
66	629.388	833.476	778.629	699.362	701.988	679.155	667.724	677.882	630.239	660.327
67	618.866	829.663	768.464	685.366	693.401	675.634	690.863	656.787	643.910	656.668
68	615.015	806.400	764.578	675.944	695.314	660.550	669.886	660.354	629.317	660.050
69	613.228	794.431	735.315	673.163	673.084	648.510	658.442	642.925	629.568	650.757
70	626.938	786.158	745.935	666.238	655.334	657.110	655.440	626.284	645.213	632.817
71	607.773	760.480	728.555	656.649	657.554	646.871	657.847	636.511	626.874	636.828
72	618.126	747.950	727.755	648.325	638.066	627.387	637.539	637.373	617.845	621.526
73	605.105	743.772	713.414	649.977	634.386	632.360	633.368	623.823	621.636	638.716
74	600.767	727.017	695.128	641.837	634.948	623.205	628.108	618.992	614.144	619.016
75	610.362	727.232	693.254	634.920	629.344	618.820	614.766	619.903	619.000	619.596
76	589.501	708.187	673.834	638.093	626.144	615.672	620.104	606.591	615.567	604.772
77	583.401	703.320	678.689	627.339	617.275	597.011	628.108	611.581	614.172	605.110
78	584.307	699.925	675.415	625.305	613.842	630.647	613.046	610.763	614.484	602.279
79	585.376	694.070	664.073	617.049	601.719	607.701	613.639	595.841	597.349	594.839
80	580.332	689.951	665.230	616.541	611.181	604.106	622.449	592.738	590.320	602.372
81	577.684	699.575	672.428	614.210	603.661	600.247	604.151	589.513	594.793	601.419
82	568.243	679.555	663.579	606.823	610.172	592.916	606.164	583.351	581.329	599.449
83	566.330	682.255	656.187	609.527	600.627	589.597	594.530	571.178	574.393	588.618
84	581.726	654.472	645.051	603.053	593.296	584.773	593.222	597.109	594.645	585.910
85	566.805	668.760	657.450	597.118	600.498	586.162	600.694	578.634	594.830	583.613
86	581.830	670.240	655.924	589.344	594.043	577.114	596.505	581.392	577.698	578.142
87	584.594	659.282	647.565	588.645	590.462	567.866	604.376	597.965	578.625	575.818
88	574.612	650.510	648.975	586.307	584.609	581.322	586.242	564.358	573.579	577.299
89	574.959	654.151	647.215	587.243	587.803	583.180	576.823	577.723	568.887	590.367
90	570.684	643.093	645.432	593.162	575.660	578.245	597.055	572.797	574.221	599.992
91	576.261	635.138	634.305	583.023	579.869	575.253	582.225	578.630	575.787	583.876
92	572.312	641.842	628.597	568.483	578.345	566.938	581.013	566.623	570.014	570.775
93	567.104	637.519	615.816	570.063	574.893	568.130	570.014	566.458	583.420	558.380
94	563.855	643.267	621.664	574.505	571.338	558.378	573.834	571.619	576.380	569.810
95	560.786	625.684	621.068	569.280	571.839	559.853	572.395	560.742	565.869	579.117
96	565.545	624.498	598.173	576.489	560.979	571.188	580.088	557.746	569.307	566.600
97	564.508	642.375	603.591	576.855	564.416	557.907	575.280	564.030	549.916	556.288
98	542.561	621.177	593.447	573.069	564.692	555.266	562.865	551.865	558.321	578.979
99	553.133	630.693	592.511	566.342	559.587	555.119	564.953	563.249	564.016	561.707
100	555.745	597.884	601.664	565.926	567.582	565.415	551.787	552.265	566.926	559.719
101	554.048	609.097	600.788	571.531	568.889	556.693	561.316	557.730	561.210	558.534
102	554.104	609.067	599.469	556.704	548.634	555.074	559.884	550.200	558.475	549.166
103	549.445	616.509	585.691	553.170	551.557	538.668	555.334	550.661	552.945	560.113
104	535.599	599.757	592.240	564.307	556.307	542.996	563.759	549.183	560.983	562.290
105	538.337	595.128	578.248	558.320	562.270	554.324	561.624	531.862	555.192	553.597
106	538.532	603.156	577.502	552.790	546.982	538.526	557.903	535.751	560.937	558.988
107	530.269	597.237	579.182	536.944	541.773	536.659	549.592	553.552	553.386	556.647
108	535.935	589.710	582.638	547.782	543.726	535.456	551.641	547.554	547.348	541.988
109	532.741	590.362	580.289	541.909	545.520	543.695	547.520	543.807	554.433	543.286
110	524.097	584.984	585.138	553.494	535.904	529.053	549.149	535.735	557.347	548.315
111	544.844	587.185	576.594	550.106	542.588	542.282	561.006	529.351	552.256	538.959
112	547.156	586.045	577.309	537.348	543.625	532.773	544.165	521.335	548.650	533.649
113	522.974	581.846	568.774	532.925	553.246	537.952	547.395	528.195	557.958	545.303
114	523.566	572.748	559.261	540.948	540.588	545.211	550.446	529.374	549.498	543.130
