;date;cellID;manipID;compNum ;Adhesion;Minor;Majeur;Square_Mean_radius;Radius ;ratio_adhesion;Area_ellipse;mean_area;area_adhesion;ratio_area;User_Validation;Comment
0;22/06/2010;22-06-10_M1_P1_C10;22-06-10_M1;1;;;;;;;;;;;;
1;22/06/2010;22-06-10_M1_P1_C10;22-06-10_M1;2;;;;;;;;;;;;
2;22/06/2010;22-06-10_M1_P1_C10;22-06-10_M1;3;;;;;;;;;;;;
3;22/06/2010;22-06-10_M1_P1_C10;22-06-10_M1;4;;;;;;;;;;;;
4;22/06/2010;22-06-10_M1_P1_C10;22-06-10_M1;5;;;;;;;;;;;;
5;22/06/2010;22-06-10_M1_P1_C10;22-06-10_M1;6;;;;;;;;;;;;
6;22/06/2010;22-06-10_M1_P1_C1;22-06-10_M1;1;;;;;;;;;;;;
7;22/06/2010;22-06-10_M1_P1_C1;22-06-10_M1;2;;;;;;;;;;;;
8;22/06/2010;22-06-10_M1_P1_C1;22-06-10_M1;3;;;;;;;;;;;;
9;22/06/2010;22-06-10_M1_P1_C1;22-06-10_M1;4;;;;;;;;;;;;
10;22/06/2010;22-06-10_M1_P1_C1;22-06-10_M1;5;;;;;;;;;;;;
11;22/06/2010;22-06-10_M1_P1_C1;22-06-10_M1;6;;;;;;;;;;;;
12;22/06/2010;22-06-10_M1_P1_C1;22-06-10_M1;7;;;;;;;;;;;;
13;22/06/2010;22-06-10_M1_P1_C1;22-06-10_M1;8;;;;;;;;;;;;
14;22/06/2010;22-06-10_M1_P1_C2;22-06-10_M1;1;35;332.8;332.8;332.8;21.56496424;0.616141835;1393.806014;1455.450803;3848.451001;0.37819133;;
15;22/06/2010;22-06-10_M1_P1_C2;22-06-10_M1;2;35;332.3;344.2;338.3023278;;0.616141835;1439.38478;;3848.451001;;;
16;22/06/2010;22-06-10_M1_P1_C2;22-06-10_M1;3;35;335;348;341.5618538;;0.616141835;1467.10011;;3848.451001;;;
17;22/06/2010;22-06-10_M1_P1_C2;22-06-10_M1;4;35;330;348;354.8126266;;0.616141835;1569.789567;;3848.451001;;;
18;22/06/2010;22-06-10_M1_P1_C2;22-06-10_M1;5;35;320;358;339.5320309;;0.616141835;1441.679436;;3848.451001;;;
19;22/06/2010;22-06-10_M1_P1_C2;22-06-10_M1;6;35;321;355;338.4272448;;0.616141835;1434.065818;;3848.451001;;;
20;22/06/2010;22-06-10_M1_P1_C2;22-06-10_M1;7;35;323;358;340.9494097;;0.616141835;1455.195181;;3848.451001;;;
21;22/06/2010;22-06-10_M1_P1_C2;22-06-10_M1;8;35;322;356;339.425986;;0.616141835;1442.585519;;3848.451001;;;
22;22/06/2010;22-06-10_M1_P1_C3;22-06-10_M1;1;25;320;365;343.2382554;22.19157059;0.887662823;1469.868699;1538.580027;1963.495408;0.783592373;;
23;22/06/2010;22-06-10_M1_P1_C3;22-06-10_M1;2;25;326;365;346.0498519;;0.887662823;1497.428737;;1963.495408;;;
24;22/06/2010;22-06-10_M1_P1_C3;22-06-10_M1;3;25;328;367;348.0466923;;0.887662823;1514.870843;;1963.495408;;;
25;22/06/2010;22-06-10_M1_P1_C3;22-06-10_M1;4;25;328;367;348.0466923;;0.887662823;1514.870843;;1963.495408;;;
26;22/06/2010;22-06-10_M1_P1_C3;22-06-10_M1;5;25;335;371;353.4586256;;0.887662823;1564.063623;;1963.495408;;;
