idxCompression;T;B;F;dx;dy;dz;D2;D3
0;0;5.75;98.1023216574184;-4493.29113924051;-1554.49367088608;-234.007375993193;4754.58892385053;257.344030300894
0;0.8;5.75115;99.0727008644752;-4505.75949367089;-1505.6329113924;-296.139551541101;4750.66301464051;256.884212106453
0;1.4;5.7546;99.8941965478947;-4512.27848101266;-1466.51898734177;-357.940939631223;4744.61115692781;255.093814408025
0;2;5.75115;97.8538323055613;-4533.10126582278;-1442.91139240506;-464.964869316316;4757.20510095334;276.873711954614
0;2.6;5.75115;97.8656877231128;-4540.12658227848;-1427.72151898734;-474.499712777405;4759.32118257333;279.916275277776
0;3.201;5.75345;99.2030371531952;-4547.6582278481;-1407.78481012659;-407.511255822394;4760.57280470929;274.982717900893
0;3.801;5.7546;100.785984229317;-4549.24050632912;-1374.6835443038;-395.23284464136;4752.40402653281;265.810442121656
0;4.401;5.75345;100.327366487148;-4559.6835443038;-1376.01265822785;-356.689572458392;4762.78540979941;273.123146538273
0;5.001;5.75345;100.993323366958;-4549.17721518987;-1383.67088607595;-343.009005380065;4754.95094151106;264.306748463825
0;5.601;5.75345;101.633630187312;-4559.11392405063;-1356.89873417722;-322.300713813714;4756.75245806255;264.6589325799
0;6.202;5.75;102.134567862181;-4570.94936708861;-1320.50632911393;-328.441745925993;4757.86875415008;266.191657103392
0;6.801;5.75345;102.279990225302;-4574.55696202531;-1309.81012658228;-338.181140431178;4758.37934243496;267.381583296569
0;7.402;5.7546;101.496999935692;-4578.60759493671;-1301.58227848101;-404.962979428111;4760.01722014405;274.212466572449
0;8.491;5.7546;101.032448752352;-4583.67088607595;-1285.37974683544;-456.718270660799;4760.4873579745;279.345811857441
0;9.09;5.75345;100.04846201281;-4583.54430379747;-1287.84810126582;-510.827798557732;4761.03256834147;285.358398928338
0;9.691;5.75345;99.7308928209408;-4582.40506329114;-1291.83544303797;-525.122483602721;4761.01617052131;286.888161403198
0;10.29;5.7546;99.8238183838921;-4593.16455696203;-1278.41772151899;-502.597177438126;4767.75759849701;291.175261793704
0;10.891;5.7546;99.7689307563339;-4587.02531645569;-1284.62025316456;-520.286212090035;4763.51240668543;288.841837032712
0;11.491;5.75575;99.5240940054686;-4587.72151898734;-1293.03797468354;-512.100727407097;4766.45947635698;290.89018384486
0;12.09;5.75345;100.087661966345;-4586.13924050633;-1289.43037974684;-491.477744222841;4763.95884087237;286.243594827102
0;12.691;5.7546;100.438409530587;-4577.84810126582;-1303.60759493671;-475.763715187056;4759.84096371294;280.559042441971
0;13.291;5.75115;100.713413237016;-4583.60759493671;-1292.91139240506;-451.424234168304;4762.46558548954;280.812526862514
0;13.891;5.75345;101.145837719667;-4589.17721518987;-1287.0253164557;-410.270828589886;4766.23348962425;280.858675839784
0;14.49;5.75345;101.64957320602;-4593.29113924051;-1279.49367088607;-369.71793526324;4768.16815387869;279.480412434345
0;14.601;5.7546;101.245381440805;-4603.98734177215;-1267.08860759494;-374.78454015798;4775.16627801536;286.851400016134
0;15.69;5.7546;102.852956284996;-4595.50632911392;-1272.0253164557;-272.92226858862;4768.3043974384;273.108603384338
0;16.291;5.7546;102.839179845518;-4586.83544303797;-1302.72151898734;-199.863158731513;4768.24315000211;269.429991080036
0;16.891;5.75345;103.606049321941;-4586.20253164557;-1291.83544303797;-156.839437607168;4764.67128699991;264.251942403534
0;17.491;5.75115;103.137516183502;-4600.50632911393;-1274.93670886076;-141.287221849232;4773.90009277718;272.990386807314
0;18.09;5.7546;103.929572083407;-4602.0253164557;-1258.10126582278;-115.274493344895;4770.89675096454;269.289179961746
0;18.691;5.75115;103.46488328941;-4607.46835443038;-1259.43037974684;-67.7582790965515;4776.49762048581;273.978197866594
0;19.29;5.75345;103.664004423706;-4608.79746835443;-1254.24050632911;-49.7124971909721;4776.41427768016;273.672972310736
0;19.891;5.75345;104.301026432224;-4602.27848101266;-1253.03797468354;-36.663424303432;4769.8083171959;266.949222944923
0;20.49;5.75345;104.649084365584;-4590.6329113924;-1268.29113924051;-41.9196694772368;4762.61198724346;259.796468433662
0;21.091;5.7546;104.634658531652;-4600.56962025317;-1248.48101265823;-60.6463042292096;4766.96398872117;264.349750540769
0;21.689;5.7546;104.69169386613;-4593.79746835443;-1259.49367088608;-84.5325557888543;4763.32861424253;261.078634977582
0;22.291;5.7546;104.629442486187;-4590.37974683544;-1265.82278481013;-109.93165705414;4761.71119900204;259.980003309286
0;22.89;5.75115;104.842653554045;-4589.05063291139;-1258.48101265822;-141.617700573122;4758.48296946051;257.589852503715
0;23.49;5.7546;104.320427307914;-4597.3417721519;-1237.40506329114;-256.681900944832;4760.95816623412;264.872508667148
0;24.09;5.75115;103.822701214875;-4589.30379746836;-1231.58227848101;-380.809216883837;4751.68435969036;263.919331579845
0;24.691;5.7546;102.279220085778;-4596.77215189873;-1207.0253164557;-513.169103060543;4752.6018485706;277.226653556572
0;25.29;5.75345;98.895682739082;-4594.30379746836;-1206.01265822785;-694.581899023019;4749.95725404324;297.472677735847
0;25.89;5.75115;100.455527817308;-4596.70886075949;-1198.60759493671;-623.607069560246;4750.40972098458;288.166694494183
0;26.49;5.75345;103.042707222482;-4598.16455696202;-1180.12658227848;-522.983815398512;4747.19033145944;272.911233918698
0;27.091;5.75115;105.752861412694;-4601.13924050633;-1170.75949367089;-345.425270245611;4747.75316360778;257.302376936985
0;27.69;5.75345;107.697034290677;-4601.07594936709;-1164.55696202531;-164.978082584818;4746.16611694596;246.032593842587
0;28.29;5.75115;108.44430542425;-4608.35443037975;-1140.56962025317;-1.83747692154026;4747.40240706906;244.402762665764
0;28.89;5.75345;108.043533340075;-4614.24050632911;-1117.97468354431;-215.210139988573;4747.74502719916;249.620145524807
0;29.49;5.75345;108.573384652975;-4610.56962025317;-1111.07594936709;-226.013918620136;4742.55648236934;244.938950731511
0;30.09;5.75345;107.848331525421;-4621.64556962025;-1079.49367088608;-321.713801964652;4746.04196743704;253.933269139704
0;30.69;5.75345;109.874850595011;-4621.77215189873;-1034.24050632911;-292.892428454685;4736.07762278012;242.125627804246
0;31.29;5.75345;110.460845299404;-4619.24050632911;-1041.20253164557;-228.97273301254;4735.13310976754;237.665995372382
0;31.891;5.75345;110.766885894906;-4622.15189873418;-1038.2911392405;-163.090019706959;4737.33434167331;237.140822731466
0;32.001;5.75345;110.637411271884;-4638.98734177215;-1003.2911392405;-129.674365832855;4746.2402664847;245.011384606708
0;33.09;5.75345;110.935404631784;-4624.11392405063;-1017.72151898734;-222.396287291043;4734.78475464396;237.004934745287
0;33.69;5.75115;109.222237272412;-4620.88607594937;-1030.25316455696;-362.415855938616;4734.34364088438;245.194916241127
0;34.29;5.75115;106.758429719061;-4623.48101265823;-1046.13924050633;-472.52709178509;4740.35694699653;260.849896607698
0;34.4;5.75345;105.423012321703;-4630.37974683545;-1051.13924050633;-507.134197706217;4748.19021342196;272.195849106007
0;35.49;5.75115;106.418343749504;-4619.6835443038;-1033.35443037975;-537.491550528554;4733.84594471522;261.26222989314
0;35.599;5.75115;106.470084595206;-4632.08860759494;-1051.89873417721;-427.854773944162;4750.02482262719;266.255237787263
0;36.199;5.7546;106.965427749134;-4626.89873417722;-1077.53164556962;-363.465160411427;4750.71219329636;261.595813536296
0;36.8;5.75115;107.541353242418;-4621.58227848101;-1102.08860759494;-261.76621411152;4751.17059846942;255.376152282473
0;37.399;5.75345;107.739144266453;-4620.18987341772;-1105.75949367089;-244.52144736843;4750.66927119485;253.957984100566
0;38;5.75345;107.108672497077;-4603.60759493671;-1163.03797468355;-225.542458151922;4748.24812101421;250.601752265768
0;38.599;5.75115;107.372459461793;-4605.69620253165;-1153.73417721519;-208.615913385663;4748.0037975647;249.584629547021
0;39.199;5.75345;107.41598963061;-4611.70886075949;-1143.2911392405;-193.416360895566;4751.31279179486;252.247957166436
0;39.8;5.7546;107.275340551787;-4612.59493670886;-1146.83544303797;-185.250095585795;4753.02678127952;253.635489658092
0;40.4;5.75;107.174212505674;-4614.43037974684;-1142.27848101266;-185.435284273121;4753.71095647549;254.32636071655
0;41;5.75345;106.790243638218;-4613.35443037975;-1161.13924050633;-152.392710228884;4757.23485190169;256.675091251393
0;41.601;5.75575;106.634623125069;-4612.3417721519;-1172.46835443038;-118.9857737769;4759.03127382853;257.51848853035
0;42.201;5.7546;106.983661889428;-4618.73417721519;-1152.15189873417;-83.3055028139245;4760.2688366869;257.997711019352
0;42.801;5.75345;107.73698355308;-4610.56962025317;-1152.6582278481;-60.9133427956363;4752.47022225572;249.860575354372
0;43.401;5.75345;108.417211063801;-4611.26582278481;-1134.74683544304;-54.9746254297025;4748.8338430536;246.152037824478
0;44.001;5.75115;108.506524003966;-4607.40506329114;-1139.49367088607;-62.393865117247;4746.2224182217;243.632515545577
0;44.601;5.7546;109.509010986965;-4609.87341772152;-1111.20253164557;-65.3012893122243;4741.90931943569;239.358933288036
0;45.201;5.75345;110.023732019085;-4605.37974683544;-1107.15189873418;-81.4356752685021;4736.59243965879;234.292444913995
0;45.8;5.75115;109.223939355964;-4607.53164556962;-1116.64556962025;-122.623646840469;4740.91185248977;239.497417167718
0;46.401;5.7546;109.395320187195;-4604.24050632911;-1117.59493670886;-159.381820277125;4737.93721810231;237.61722218889
0;47.001;5.75345;109.132751875967;-4612.21518987342;-1106.58227848101;-146.634771068841;4743.10587028661;242.371961483495
0;47.6;5.7546;109.623103911781;-4616.96202531645;-1089.05063291139;-99.7318580946733;4743.66626400498;241.714540178148
0;48.199;5.7546;109.49836782912;-4617.27848101266;-1095.44303797468;-34.8323895037011;4745.4458189584;242.573655105178
0;48.799;5.75345;109.771653892788;-4614.36708860759;-1095.18987341772;14.1625889873411;4742.5546372458;239.575783916212
0;49.399;5.75345;109.626808376992;-4608.29113924051;-1112.6582278481;33.1198245633153;4740.71255783354;237.828248184041
0;50;5.75345;109.1326809058;-4610.75949367089;-1118.60759493671;47.7930820393409;4744.51115078533;241.75186270232
0;50.599;5.7546;109.237815343727;-4599.30379746835;-1142.21518987342;62.3878874632861;4739.01371187976;236.424354274105
0;51.199;5.7546;108.841769896752;-4596.96202531646;-1156.39240506329;72.1377272028883;4740.17966502216;237.728541941167
0;51.799;5.7546;108.818827340267;-4594.81012658228;-1163.73417721519;22.1031907123447;4739.89001291821;236.941548753681
0;52.399;5.75115;108.40777943905;-4586.32911392405;-1189.43037974684;-35.6635544962137;4738.05438650635;235.188605217332
0;53;5.7546;107.618765611001;-4586.32911392405;-1206.96202531646;-89.9382249456013;4742.48585361974;240.338587544613
0;53.6;5.75345;106.688224434467;-4584.3670886076;-1230.63291139241;-104.950143877598;4746.6703030346;244.830399078147
0;54.2;5.7546;107.165772933507;-4585.63291139241;-1222.0253164557;-20.839915879078;4745.6690858196;242.714843329473
0;54.799;5.7546;107.215065195668;-4590.37974683544;-1207.91139240506;88.228567542179;4746.64472570457;244.464632010387
0;55.399;5.75345;105.795183549686;-4583.35443037974;-1247.6582278481;156.978635705864;4750.13567048339;249.728814067426
0;56;5.75345;105.925658799486;-4578.2911392405;-1249.43037974684;195.931069823205;4745.71659810006;246.759469026249
0;56.6;5.75115;105.530319015437;-4578.22784810127;-1252.78481012658;222.632217919117;4746.53979332459;248.758107697554
0;57.201;5.7546;104.92037793609;-4573.79746835443;-1276.58227848101;227.106126188322;4748.60880629866;251.036473125699
0;57.801;5.75115;103.513904709717;-4570.25316455696;-1312.84810126582;227.97465726627;4755.07982321435;257.541625644698
0;58.4;5.75345;103.348441681733;-4564.24050632911;-1329.3670886076;226.447371248446;4753.8940097449;256.284260036778
0;59.001;5.75115;102.755789281954;-4558.16455696203;-1354.87341772152;210.750799974028;4755.26509317758;256.932983360469
0;67.736;5.75345;104.72491301023;-4574.55696202532;-1293.35443037975;119.425423999412;4753.87600610252;252.375854051355
0;68.412;5.7546;105.642775221001;-4576.77215189873;-1274.43037974683;26.8030598981774;4750.89634945001;247.97195605671
0;69.011;5.75115;105.156640224604;-4577.6582278481;-1281.70886075949;22.9276889322397;4753.7072327537;250.762523901944
0;69.612;5.75345;105.084595639945;-4583.67088607595;-1272.91139240506;-9.64045999392508;4757.13592456374;254.145692875485
0;70.212;5.75345;105.544558431036;-4574.87341772152;-1279.93670886076;-13.6318539096179;4750.54783860391;247.567397091142
0;70.811;5.75575;105.307324387609;-4576.77215189874;-1282.78481012658;-13.2082803934782;4753.14424349685;250.162595384071
0;71.412;5.7546;106.289999219428;-4582.6582278481;-1248.29113924051;-9.44432920956771;4749.63021735064;246.63960705699
0;72.012;5.75115;106.650150067751;-4571.83544303797;-1260;-13.2636040585717;4742.286296526;239.30484484189
0;72.611;5.7546;106.320134856303;-4580.12658227848;-1250.56962025317;74.2167544010104;4747.78726195626;245.367299549178
0;73.211;5.75115;106.366350095767;-4572.21518987342;-1258.67088607595;132.725195045577;4742.29945722161;241.156418096299
0;73.812;5.75575;105.912710485422;-4573.60759493671;-1258.98734177215;205.101328299813;4743.72591527011;245.157760023943
0;74.411;5.75345;105.243376130568;-4567.40506329114;-1276.58227848101;252.007765363491;4742.45203728085;246.143000554185
0;75.012;5.75345;105.322468422693;-4567.3417721519;-1262.40506329114;308.708506379028;4738.59445484278;245.639631449995
0;75.612;5.7546;105.785561303715;-4560.18987341772;-1271.32911392405;289.487369834185;4734.09013407354;239.932883230159
0;76.213;5.75345;105.780298058949;-4558.79746835443;-1274.30379746836;286.112292043999;4733.5488299707;239.187761927579
0;76.813;5.75345;106.378301992022;-4552.08860759494;-1278.67088607595;265.483604899441;4728.26711663944;232.714462545675
0;77.413;5.75345;106.949530229051;-4553.2911392405;-1264.43037974683;262.057056242921;4725.59460638688;229.855193711244
0;78.013;5.7546;107.336578850173;-4546.51898734177;-1270.9493670886;257.046771177141;4720.8206062042;224.813473323032
0;78.611;5.7546;107.549646004483;-4551.01265822785;-1258.79746835443;250.0391870163;4721.8944589736;225.510005988081
0;79.211;5.75115;107.13097728295;-4553.60759493671;-1259.11392405063;259.080623302773;4724.4798658057;228.578253793803
0;79.812;5.7546;107.753402158387;-4553.03797468354;-1244.05063291139;279.266003532407;4719.93821740896;225.192707249422
0;80.412;5.75345;108.42533489939;-4550.88607594937;-1228.98734177215;295.590287340501;4713.91280811451;220.17134777853
0;81.011;5.75115;108.46519230747;-4555;-1216.07594936709;304.681804435281;4714.53769892967;221.372626770988
0;81.611;5.7546;108.605573256351;-4550.06329113924;-1225.3164556962;303.727854770088;4712.16260012033;218.941018239852
0;82.211;5.75345;108.865375740739;-4541.26582278481;-1241.13924050633;285.480644827598;4707.81498017053;213.462772681368
0;82.812;5.75345;108.481477900574;-4531.07594936709;-1268.73417721519;289.831872656878;4705.35181164669;211.269634394555
0;83.411;5.75345;108.686722893936;-4529.24050632911;-1262.40506329114;312.984130091995;4701.88112440069;209.286618371696
0;84.011;5.75345;108.361300208679;-4530.06329113924;-1263.22784810127;330.970964591831;4702.89464244585;211.526465865759
0;84.611;5.7546;108.225277973608;-4531.51898734177;-1261.20253164557;341.285737346244;4703.75341174133;213.118331104954
0;85.211;5.75345;107.451758179768;-4523.73417721519;-1290.12658227848;349.481442496648;4704.10432541694;214.068452233428
0;85.811;5.75115;107.256658032933;-4518.60759493671;-1308.67088607595;326.749008610578;4704.29953182007;212.633467489868
0;86.411;5.75345;107.562153231497;-4522.08860759493;-1289.87341772152;353.323075253708;4702.45242492516;212.707370500339
0;87.012;5.75115;106.699691699947;-4516.83544303798;-1306.51898734177;389.778621801425;4701.99896679791;215.126922602025
0;87.612;5.75115;107.141579349973;-4522.27848101266;-1282.84810126582;402.425329748429;4700.71291515994;214.907169156108
0;88.212;5.7546;107.389146929351;-4525.69620253165;-1278.35443037975;384.377333992183;4702.77749497899;215.459717128868
0;88.812;5.75345;107.976288081328;-4529.93670886076;-1261.32911392405;368.849451335495;4702.26304239955;213.707287681438
0;89.411;5.75575;107.664387852674;-4537.08860759494;-1258.92405063291;356.334647267018;4708.50961541226;218.973864738415
0;90.011;5.75345;108.641798602674;-4528.79746835443;-1276.77215189873;257.150718720096;4705.33246829994;209.353990244777
0;90.612;5.7546;109.186833059609;-4513.60759493671;-1305.44303797468;198.542521274284;4698.59926429855;199.792168406005
0;91.211;5.7546;110.133044545211;-4524.3670886076;-1272.78481012658;139.435100495263;4699.98709842533;199.054962738596
0;91.81;5.75115;110.090154833156;-4512.40506329114;-1299.49367088607;87.2234233886426;4695.79420927796;193.604218100149
0;92.412;5.75345;109.407799759084;-4509.3670886076;-1321.07594936709;76.1216974191818;4698.89701992005;196.513561703115
0;93.012;5.75115;109.918313984628;-4515.75949367088;-1298.10126582278;61.5721618861835;4698.63285445984;196.036266313421
0;93.612;5.75575;110.14261881821;-4518.16455696203;-1291.45569620253;59.0678608393198;4699.11361631551;196.484843174403
0;94.212;5.75;110.272973003259;-4530.94936708861;-1260.82278481013;54.7945147785154;4703.10283342997;200.422020260018
