idxCompression;T;Tabs;B;F;dx;dy;dz;D2;D3
0;0.677;77236.164;5.771154;106.407292162135;4.30056962025316;1.3679746835443;-1.01694980229296;4.51289860216941;4.62606103438403
0;1.277;77236.764;5.77577;108.830457533045;4.29424050632912;1.33740506329114;-1.0124580353138;4.4976831624198;4.61023048260996
0;1.876;77237.363;5.773462;109.065017904727;4.2929746835443;1.3370253164557;-1.00829492049091;4.49636167700017;4.60802853475144
0;2.476;77237.963;5.771154;110.453753664994;4.28063291139241;1.32993670886076;-1.00824969618296;4.48247139105998;4.59446593430882
0;3.076;77238.563;5.771154;110.625853761175;4.28898734177216;1.30974683544304;-1.01223092245158;4.48451214635827;4.59733190352861
0;3.676;77239.163;5.773462;111.01836049465;4.28316455696202;1.30481012658228;-1.0230028957843;4.47750243868692;4.59288177653534
1;3.806;77239.293;3.46777;51.6368545758761;4.32006329113924;1.30886075949367;-1.03727077273634;4.51398530427284;4.63162973295191
1;3.822;77239.309;3.46777;51.5502136721469;4.3120253164557;1.31329113924051;-1.05332630213935;4.50758205096285;4.62901633664659
1;3.836;77239.323;3.477002;51.611037057986;4.30632911392405;1.31151898734177;-1.07470688678355;4.5016166531134;4.62812568801755
1;3.852;77239.339;3.509314;52.5837506550726;4.30379746835443;1.30841772151899;-1.07130373238376;4.49829185164757;4.6241022122806
1;3.867;77239.354;3.56009;53.7323561755309;4.3020253164557;1.3123417721519;-1.06980448490997;4.49773973795289;4.62321796871984
1;3.881;77239.368;3.636254;55.4064509897474;4.30474683544304;1.30816455696202;-1.07149163993285;4.49912656249505;4.6249577468118
1;3.896;77239.383;3.73319;57.5349670176661;4.30594936708861;1.30791139240506;-1.07275;4.50020356898593;4.62629708566297
1;3.912;77239.399;3.84859;60.2896495694842;4.30316455696203;1.30974683544304;-1.07150110407141;4.49807314049552;4.62393518480455
1;3.926;77239.413;3.98707;63.4582064519798;4.30417721518987;1.31018987341772;-1.07049913910373;4.49917092408879;4.6247710657921
1;3.942;77239.429;4.146322;67.2066163170825;4.30563291139241;1.30721518987342;-1.07025293723957;4.49969846993121;4.62522731008663
1;3.956;77239.443;4.328654;71.5549596751288;4.3020253164557;1.31164556962025;-1.071;4.49753665062668;4.62329719180264
1;3.972;77239.459;4.528296;76.2912465509761;4.30208860759494;1.31164556962025;-1.07224980154344;4.49759719048989;4.62364576117295
1;3.986;77239.473;4.755634;82.0100174365741;4.30183544303797;1.30753164556962;-1.07075457621667;4.49615693488825;4.62189815396582
1;4.002;77239.489;5.000282;87.8754582708926;4.30094936708861;1.31291139240506;-1.06981045952057;4.49687689208487;4.62237992833416
1;4.016;77239.503;5.269164;94.8483167690681;4.29892405063291;1.30778481012658;-1.07125740528523;4.49344512625979;4.61937674703919
1;4.032;77239.519;5.553048;101.869813453556;4.29974683544304;1.30677215189873;-1.07300397521965;4.49393772830471;4.62026123035458
1;4.046;77239.533;5.86232;109.635320363662;4.29917721518987;1.30727848101266;-1.07445181210716;4.49354000255105;4.62021086651539
1;4.062;77239.549;6.190056;117.846073237753;4.3;1.30962025316456;-1.07257020902613;4.49500892184863;4.62120244750099
1;4.076;77239.563;6.547796;127.376900471608;4.29594936708861;1.31151898734177;-1.07058494036169;4.49168821477482;4.61751179026933
1;4.092;77239.579;6.914768;137.375908929501;4.29310126582278;1.31037974683544;-1.06753518689658;4.488631590978;4.61383191444899
1;4.106;77239.593;7.31059;147.768490285257;4.29348101265823;1.31132911392405;-1.06377590791858;4.4892720179425;4.61358672112593
1;4.121;77239.608;7.727184;159.541035896775;4.29069620253165;1.30803797468355;-1.05862871514089;4.48564791815338;4.60887535111925
1;4.137;77239.624;8.16455;170.830705776872;4.29240506329114;1.30816455696203;-1.05826048705855;4.48731943764415;4.6104176593806
1;4.151;77239.638;8.622688;182.625523165544;4.29259493670886;1.31126582278481;-1.05765314644447;4.48840610335808;4.61133598069431
1;4.167;77239.654;9.098136;196.196216044375;4.28905063291139;1.31246835443038;-1.04855008137557;4.48536826950238;4.60629849078536
1;4.181;77239.668;9.597818;209.505622584894;4.29151898734177;1.31386075949367;-1.03982589512021;4.48813606233726;4.60701673604674
1;4.197;77239.684;10.12058;223.675891495631;4.29398734177215;1.30905063291139;-1.03558877895647;4.48909131682851;4.60699305077897
1;4.212;77239.699;10.660652;237.739900688354;4.29481012658228;1.30715189873418;-1.03748805586255;4.48932512854193;4.607648161027
1;4.227;77239.714;11.22842;251.908728851661;4.29335443037975;1.30550632911392;-1.04949763096817;4.48745351398963;4.60854470713106
1;4.241;77239.728;11.81119;265.338888981316;4.29316455696203;1.30696202531645;-1.06461339042959;4.487695583345;4.61224601683998
1;4.256;77239.743;12.425118;280.613074437172;4.29240506329114;1.30424050632912;-1.0731968138665;4.48617705019731;4.61275795235456
1;4.271;77239.758;13.048278;298.765049207311;4.28664556962025;1.30107594936709;-1.06724039539566;4.47974651800371;4.60512007738459
1;4.287;77239.774;13.700288;316.664387524311;4.28594936708861;1.30044303797468;-1.05724670287768;4.47889652395141;4.60198703420705
1;4.302;77239.789;14.371916;335.147660959581;4.28867088607595;1.29721518987342;-1.04251088610061;4.48056527883635;4.60024935906219
1;4.316;77239.803;15.063162;354.077947841144;4.29037974683544;1.29208860759494;-1.03222411965799;4.48071995799027;4.59807981391538
1;4.332;77239.819;15.772872;373.684533893872;4.28924050632912;1.2870253164557;-1.0258222608149;4.47817131051642;4.59416255667077
1;4.346;77239.833;16.510278;390.956825157827;4.29329113924051;1.28594936708861;-1.02452253319036;4.48174235995295;4.59735369555263
1;4.362;77239.849;17.262686;409.74967969563;4.29405063291139;1.28449367088608;-1.02057177792918;4.48205252407344;4.59677730398794
1;4.376;77239.863;18.041636;430.676734396189;4.29120253164557;1.28316455696202;-1.01294882378268;4.47894300564819;4.59205790114275
1;4.391;77239.878;18.840204;446.331861071288;4.29791139240506;1.28240506329114;-1.01960271714095;4.48515385280371;4.59958637098176
1;4.407;77239.894;19.660698;464.203395423936;4.29689873417722;1.27949367088608;-1.03160513182836;4.48335173565618;4.60050561717143
1;4.421;77239.908;20.504272;483.060532376983;4.29348101265823;1.27740506329114;-1.04249313304429;4.47948020441865;4.59918849735723
1;4.436;77239.923;21.364002;499.683621829031;4.29955696202532;1.27588607594937;-1.04536406194364;4.4848718318924;4.60509081023438
1;4.451;77239.938;22.250274;523.124981392441;4.29759493670886;1.27411392405063;-1.02931180385006;4.48248686908119;4.59914897791215
1;4.466;77239.953;23.152702;544.309074861989;4.30151898734177;1.26930379746836;-1.01769728624935;4.4848854755422;4.59890264032287
1;4.481;77239.968;24.081672;566.552140624842;4.3046835443038;1.26740506329114;-1.00012939124765;4.48738409444254;4.59748570528428
1;4.497;77239.984;25.026798;591.593603990033;4.30537974683544;1.26018987341772;-0.981355512574964;4.4860197593775;4.59210539116718
1;4.511;77239.998;25.995004;614.865489227999;4.30886075949367;1.25601265822785;-0.962789890482932;4.48818992939615;4.59029554773428
1;4.527;77240.014;26.983982;637.668430358875;4.30848101265823;1.25721518987342;-0.948915967059472;4.4881620592493;4.58737835616655
1;4.541;77240.028;27.994886;659.571655137683;4.30860759493671;1.2553164556962;-0.942868618121234;4.4877520888623;4.58573004461948
1;4.561;77240.048;29.02887;678.71443837965;4.31613924050633;1.24898734177215;-0.938451772622697;4.49322015077668;4.59017636402832
1;4.574;77240.061;30.08478;702.090635896723;4.31411392405063;1.24139240506329;-0.938974828165368;4.48916852580034;4.58631745313869
1;4.587;77240.074;31.160308;723.757872440549;4.31784810126582;1.23373417721519;-0.933796438683009;4.490647196745;4.5867077555182
1;4.602;77240.089;32.258916;741.167621609909;4.31822784810127;1.2246835443038;-0.955780936557172;4.48853445255863;4.58916754221198
1;4.617;77240.104;33.371372;756.271667307381;4.32145569620253;1.21860759493671;-0.97475;4.489987060636;4.5945752107435
1;4.631;77240.118;34.513832;774.386180025979;4.32386075949367;1.21670886075949;-0.978035002801996;4.49178720770918;4.59703217152608
1;4.647;77240.134;35.673602;798.245073034134;4.32778481012658;1.21107594936709;-0.960090814544879;4.49404342634757;4.59545435077656
1;4.661;77240.148;36.85299;824.406778314553;4.3296835443038;1.20537974683544;-0.938272227814712;4.49434087802607;4.59123672896362
1;4.676;77240.163;38.057766;853.956967009551;4.32778481012658;1.19898734177215;-0.914561492499831;4.49080082039854;4.58298098752938
1;4.692;77240.179;39.28216;875.722037024664;4.33183544303797;1.19955696202532;-0.896235783856374;4.49485652837812;4.58333653477115
1;4.707;77240.194;40.527326;896.810119377424;4.33443037974683;1.19487341772152;-0.890493218052363;4.49611045251891;4.58344710590698
1;4.722;77240.209;41.79211;918.059589963529;4.33575949367088;1.19177215189874;-0.88472504379571;4.49656883067507;4.58277968618587
1;4.736;77240.223;43.083436;939.076178940674;4.34006329113924;1.18924050632912;-0.871378215706161;4.50004915006362;4.58363854899092
1;4.752;77240.239;44.392072;965.399894279283;4.33930379746836;1.18297468354431;-0.856926001776619;4.49766456604203;4.57857059803067
1;4.766;77240.253;45.723788;988.111887837088;4.34189873417721;1.17981012658228;-0.842119471569012;4.49933734594727;4.57746674013383
1;4.786;77240.273;45.267958;984.226333991608;4.34518987341772;1.17702531645569;-0.828019472044762;4.50178449413447;4.57730050113764
1;4.799;77240.286;43.94432;954.520202486706;4.34911392405063;1.1706329113924;-0.863644865949196;4.50390645302566;4.58596290784025
1;4.811;77240.298;42.6403;932.728202240204;4.35120253164557;1.1667088607595;-0.872502027694463;4.50490544153521;4.588619926024
1;4.827;77240.314;41.362822;911.585646517151;4.35215189873417;1.16556962025317;-0.878163786523794;4.50552757058622;4.59031048244826
1;4.842;77240.329;40.102654;891.193988527736;4.35158227848101;1.16113924050633;-0.888639519491184;4.50383310772431;4.59066366202482
1;4.856;77240.343;38.862104;867.89153941754;4.35107594936709;1.16354430379747;-0.900236260050103;4.50396461620873;4.59305155511771
1;4.871;77240.358;37.645788;848.872510855948;4.355;1.15860759493671;-0.894207879325175;4.5064838354359;4.59434481623792
1;4.887;77240.374;36.451398;830.773392068658;4.35575949367089;1.15670886075949;-0.887866929210238;4.50673009567509;4.59335648945831
1;4.901;77240.388;35.27778;813.257141478531;4.35544303797468;1.15341772151899;-0.882800088991632;4.50558059492406;4.59125173503695
1;4.917;77240.404;34.121472;795.85832544894;4.35430379746835;1.15310126582278;-0.874146992962836;4.50439830497808;4.58843514231109
1;4.931;77240.418;32.990552;776.149407820914;4.35702531645569;1.14905063291139;-0.869517249504573;4.50599455894366;4.58912270618425
1;4.947;77240.434;31.881558;754.821249134944;4.35601265822785;1.15284810126582;-0.870743032712496;4.50598546638063;4.58934619006355
1;4.961;77240.448;30.792182;734.866166347604;4.35392405063291;1.15379746835443;-0.87200572491383;4.50420950186165;4.58784232738476
1;4.977;77240.464;29.722424;708.069970191565;4.35588607594937;1.15291139240506;-0.896095525925884;4.50587929103598;4.59411965200857
1;4.991;77240.478;28.675746;682.768785770329;4.35620253164556;1.1540506329114;-0.9159396150922;4.50647682342186;4.59861704630138
1;5.007;77240.494;27.652148;657.227244036124;4.3543670886076;1.15721518987342;-0.940618771919659;4.50551436997184;4.6026539531134
1;5.021;77240.508;26.643552;634.651121582598;4.35708860759494;1.155;-0.94733218619783;4.50757652563255;4.6060486759738
1;5.037;77240.524;25.662652;614.688256616528;4.35487341772152;1.15563291139241;-0.950564366749049;4.50559761965833;4.60477822762441
1;5.051;77240.538;24.702524;597.328143973275;4.35417721518987;1.15164556962025;-0.942500824596734;4.50390350022118;4.60146221799877
1;5.067;77240.554;23.762014;578.104763331733;4.3523417721519;1.15411392405063;-0.938158387979071;4.50276113638131;4.5994563822523
1;5.081;77240.568;22.841122;561.39508488711;4.35018987341772;1.15531645569621;-0.921970946792572;4.50098967423705;4.59444648182108
1;5.097;77240.584;21.946772;544.577122856238;4.35044303797469;1.15443037974683;-0.902669778629908;4.50100701269669;4.59062924418827
1;5.111;77240.598;21.068578;526.95967556037;4.35094936708861;1.15487341772152;-0.884021776873808;4.50161004596451;4.58759059942315
1;5.127;77240.614;20.215772;508.165438993219;4.35196202531646;1.15632911392405;-0.870146679718019;4.50296241262404;4.58626490008255
1;5.141;77240.628;19.382584;488.546958821123;4.34943037974683;1.15854430379747;-0.869966188834606;4.50108537267693;4.58438771286217
1;5.157;77240.644;18.566706;466.404492150986;4.35158227848101;1.16417721518988;-0.870976585133721;4.50461728837837;4.58804720187233
1;5.171;77240.658;17.776216;446.976989008314;4.34987341772152;1.16278481012658;-0.875024257304155;4.50260671887534;4.5868436550347
1;5.187;77240.674;17.00419;425.371837768943;4.35158227848101;1.16367088607595;-0.884791721526497;4.50448645879758;4.59056147415244
1;5.201;77240.688;16.256398;406.064656979638;4.35006329113924;1.16493670886076;-0.888181366305579;4.50334633051562;4.59009741857631
1;5.217;77240.704;15.52707;386.551333833917;4.34905063291139;1.16784810126582;-0.891700610930692;4.50312231626648;4.59055994131341
1;5.231;77240.718;14.824284;368.021109900767;4.34810126582278;1.16575949367088;-0.897457543460289;4.50166411618342;4.59025161154019
1;5.247;77240.734;14.141116;348.915554486893;4.34835443037975;1.16791139240506;-0.902620423484369;4.50246635442317;4.59205040277258
1;5.261;77240.748;13.47295;331.475975533789;4.34556962025317;1.16892405063291;-0.903895659258226;4.50003986211403;4.58992223501021
1;5.277;77240.764;12.833634;313.737344142541;4.34322784810126;1.16835443037975;-0.914536161478602;4.49763051122592;4.58966846364335
1;5.291;77240.778;12.211628;294.922182159836;4.34487341772152;1.16930379746835;-0.928217788614764;4.49946623354337;4.59421208151059
1;5.307;77240.794;11.611548;278.362278150364;4.34493670886076;1.16981012658228;-0.92890095731011;4.49965895777227;4.59453890230041
1;5.321;77240.808;11.035702;263.479649268974;4.34613924050633;1.16867088607595;-0.915953461359999;4.50052418478454;4.59278659216906
1;5.337;77240.824;10.47832;247.933638350129;4.34898734177215;1.16879746835443;-0.909219776877936;4.50330749793151;4.59417664261967
1;5.351;77240.838;9.942864;232.924626506195;4.34620253164557;1.17215189873417;-0.912523730744098;4.50149047758501;4.59305084654629
1;5.367;77240.854;9.425872;218.010651860822;4.34537974683544;1.17518987341772;-0.916604357391905;4.50148824088114;4.59386111357113
1;5.381;77240.868;8.934268;203.738344219859;4.34417721518987;1.17860759493671;-0.922459070786946;4.50122111652131;4.59477118876386
1;5.397;77240.884;8.463436;190.219472158663;4.34379746835443;1.17772151898734;-0.929740236060947;4.50062267051663;4.59565243778497
1;5.411;77240.898;8.011068;176.703005087891;4.34493670886076;1.18158227848101;-0.936740377786613;4.50273380123966;4.59914059582896
1;5.427;77240.914;7.582934;165.2887030728;4.34291139240506;1.17746835443038;-0.938;4.4997012220776;4.59642851439753
1;5.441;77240.928;7.173264;153.442483569715;4.34443037974684;1.17930379746835;-0.940752595701964;4.50164778399982;4.59889641300068
1;5.457;77240.944;6.787828;142.737236593005;4.34322784810126;1.17835443037974;-0.945977638199797;4.50023858302178;4.59858902230804
1;5.471;77240.958;6.420856;132.530018795886;4.34398734177215;1.17835443037975;-0.946782157460579;4.50097158278879;4.59947188737554
1;5.487;77240.974;6.076964;123.175503545141;4.34240506329114;1.17974683544304;-0.948037705138852;4.49980936589922;4.59859324356909
