idxCompression,T,Tabs,B,F,dx,dy,dz,D2,D3
0,0.000189,57.730409,15,393.9518438,4.498544304,-0.940822785,0.5285,4.595872971,4.626160462
0,0.000681,57.730901,15,388.9768342,4.496898734,-0.955886076,0.57925,4.597370598,4.633718483
0,0.001316,57.731536,15,390.3520717,4.501012658,-0.957848101,0.539,4.601802683,4.633261155
0,0.001997,57.732217,15,387.1417854,4.496962025,-0.975759494,0.5705,4.601605594,4.636835591
0,0.002549,57.732769,15,386.0118522,4.491392405,-0.970886076,0.616,4.59513063,4.636235705
0,0.003144,57.733364,15,391.0515681,4.486202532,-0.976265823,0.56175,4.591198984,4.625437404
0,0.003775,57.733995,15,390.7582147,4.491392405,-0.978607595,0.539,4.596768274,4.628260965
0,0.004409,57.734629,15,388.3424167,4.491392405,-0.987911392,0.5565,4.598757947,4.632306867
0,0.005103,57.735323,15,388.2211704,4.484303797,-1.006898734,0.55475,4.595957529,4.629316707
0,0.005857,57.736077,15,382.957621,4.485759494,-1.009873418,0.61425,4.598030291,4.638877625
0,0.006379,57.736599,15,384.3394787,4.479746835,-1.005759494,0.6265,4.591261686,4.633809029
0,0.007003,57.737223,15,385.0766816,4.480253165,-1.016835443,0.59675,4.59419446,4.632788933
0,0.007734,57.737954,15,384.9654663,4.470696203,-1.021075949,0.62825,4.585817335,4.62865193
0,0.008344,57.738564,15,379.6198264,4.476898734,-1.013164557,0.6825,4.590111621,4.64057442
0,0.008978,57.739198,15,379.6549717,4.469746835,-1.031772152,0.679,4.587285749,4.637265525
0,0.009665,57.739885,15,389.1942159,4.47056962,-1.029810127,0.55825,4.587646633,4.621487281
0,0.010327,57.740547,15,382.8066341,4.467848101,-1.033291139,0.64575,4.585777713,4.631020438
0,0.010998,57.741218,15,391.6216205,4.478607595,-1.014810127,0.51625,4.592141721,4.621069102
0,0.011663,57.741883,15,394.1458416,4.491962025,-0.998670886,0.44275,4.601637358,4.622888052
0,0.01234,57.74256,15,398.821806,4.481772152,-1.002721519,0.40775,4.592573578,4.610639015
0,0.013042,57.743262,15,400.4856855,4.485759494,-0.994240506,0.37275,4.594622119,4.609717451
