X	Y	idxAnalysis	StdDev	Bead	Status	Status_2	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
98.906	249.393	0	4489.745	<BeadTracker.Bead object at 0x000001DC116D6D08>	2	1	1	1	0	True	197.0		M450	1
99.041	249.19	0	4515.744	<BeadTracker.Bead object at 0x000001DC046AC1C8>	2	2	4	4	0	True	195.0		M450	4
99.127	249.217	0	4492.959	<BeadTracker.Bead object at 0x000001DC046B7DC8>	2	3	7	7	0	True	199.0		M450	7
99.241	249.264	0	4465.671	<BeadTracker.Bead object at 0x000001DC0B893D08>	2	4	10	10	0	True	196.0		M450	10
99.404	248.981	0	4491.417	<BeadTracker.Bead object at 0x000001DC11710308>	2	5	13	13	0	True	200.0		M450	13
99.366	249.018	0	4447.396	<BeadTracker.Bead object at 0x000001DC029D9688>	2	6	16	16	0	True	193.0		M450	16
99.258	248.959	1	2705.858	<BeadTracker.Bead object at 0x000001DC029D9C08>	0	0	18	18	0	True	233.0		M450	18
99.328	248.99	1	3895.206	<BeadTracker.Bead object at 0x000001DC0B8936C8>	0	0	19	19	0	True	248.0		M450	19
99.364	248.993	1	4196.805	<BeadTracker.Bead object at 0x000001DC029D92C8>	0	0	20	20	0	True	240.0		M450	20
99.428	248.837	1	4317.846	<BeadTracker.Bead object at 0x000001DC06045708>	0	0	21	21	0	True	238.0		M450	21
99.482	248.83	1	4335.731	<BeadTracker.Bead object at 0x000001DC09DD0088>	0	0	22	22	0	True	221.0		M450	22
99.476	248.946	1	4343.814	<BeadTracker.Bead object at 0x000001DC02734DC8>	0	0	23	23	0	True	221.0		M450	23
99.473	248.889	1	4358.081	<BeadTracker.Bead object at 0x000001DC13F7CA88>	0	0	24	24	0	True	221.0		M450	24
99.462	248.864	1	4319.63	<BeadTracker.Bead object at 0x000001DC13ED7EC8>	0	0	25	25	0	True	239.0		M450	25
99.415	248.904	1	4368.023	<BeadTracker.Bead object at 0x000001DC11710BC8>	0	0	26	26	0	True	221.0		M450	26
99.4	248.895	1	4339.875	<BeadTracker.Bead object at 0x000001DC090CD588>	0	0	27	27	0	True	221.0		M450	27
99.485	248.876	1	4324.402	<BeadTracker.Bead object at 0x000001DC015D7608>	0	0	28	28	0	True	221.0		M450	28
99.419	248.865	1	4338.883	<BeadTracker.Bead object at 0x000001DC09E26948>	0	0	29	29	0	True	221.0		M450	29
99.411	248.9	1	4336.208	<BeadTracker.Bead object at 0x000001DC12A6CE48>	0	0	30	30	0	True	221.0		M450	30
99.341	248.944	1	4325.314	<BeadTracker.Bead object at 0x000001DC09E26688>	0	0	31	31	0	True	221.0		M450	31
99.299	249.008	1	4324.735	<BeadTracker.Bead object at 0x000001DC09E26C48>	0	0	32	32	0	True	221.0		M450	32
99.342	248.973	1	4320.604	<BeadTracker.Bead object at 0x000001DC0355D508>	0	0	33	33	0	True	221.0		M450	33
99.315	248.975	1	4321.038	<BeadTracker.Bead object at 0x000001DC013C1D08>	0	0	34	34	0	True	221.0		M450	34
99.339	248.936	1	4357.079	<BeadTracker.Bead object at 0x000001DC09E266C8>	0	0	35	35	0	True	221.0		M450	35
99.217	248.999	1	4333.658	<BeadTracker.Bead object at 0x000001DC013C1B88>	0	0	36	36	0	True	221.0		M450	36
99.241	248.979	1	4334.364	<BeadTracker.Bead object at 0x000001DC09E26E48>	0	0	37	37	0	True	221.0		M450	37
99.224	249.06	1	4318.338	<BeadTracker.Bead object at 0x000001DC013C18C8>	0	0	38	38	0	True	221.0		M450	38
99.267	249.058	1	4289.354	<BeadTracker.Bead object at 0x000001DC013C1488>	0	0	39	39	0	True	236.0		M450	39
99.18	249.03	1	4357.234	<BeadTracker.Bead object at 0x000001DC0355D0C8>	0	0	40	40	0	True	220.0		M450	40
99.261	249.072	1	4345.832	<BeadTracker.Bead object at 0x000001DC013C1B48>	0	0	41	41	0	True	221.0		M450	41
99.23	249.05	1	4346.203	<BeadTracker.Bead object at 0x000001DC0355D748>	0	0	42	42	0	True	221.0		M450	42
99.31	248.965	1	4357.647	<BeadTracker.Bead object at 0x000001DC0854C608>	0	0	43	43	0	True	221.0		M450	43
99.267	248.947	1	4372.751	<BeadTracker.Bead object at 0x000001DC0355DF08>	0	0	44	44	0	True	221.0		M450	44
99.239	248.915	1	4320.79	<BeadTracker.Bead object at 0x000001DC0854CE88>	0	0	45	45	0	True	238.0		M450	45
99.256	248.894	1	4377.777	<BeadTracker.Bead object at 0x000001DC0854C348>	0	0	46	46	0	True	221.0		M450	46
99.326	248.897	1	4364.759	<BeadTracker.Bead object at 0x000001DC0854C508>	0	0	47	47	0	True	238.0		M450	47
99.307	248.935	1	4417.397	<BeadTracker.Bead object at 0x000001DC003A7D08>	0	0	48	48	0	True	220.0		M450	48
99.367	248.902	1	4375.943	<BeadTracker.Bead object at 0x000001DC003A7048>	0	0	49	49	0	True	221.0		M450	49
99.327	248.901	1	4402.751	<BeadTracker.Bead object at 0x000001DC0854C488>	0	0	50	50	0	True	221.0		M450	50
99.348	248.873	1	4405.508	<BeadTracker.Bead object at 0x000001DC00140488>	0	0	51	51	0	True	221.0		M450	51
99.343	248.842	1	4396.748	<BeadTracker.Bead object at 0x000001DC003A71C8>	0	0	52	52	0	True	221.0		M450	52
99.388	248.741	1	4385.794	<BeadTracker.Bead object at 0x000001DC05817C08>	0	0	53	53	0	True	239.0		M450	53
99.371	248.816	1	4403.896	<BeadTracker.Bead object at 0x000001DC08EC2148>	0	0	54	54	0	True	221.0		M450	54
99.33	248.813	1	4327.141	<BeadTracker.Bead object at 0x000001DC00140648>	0	0	55	55	0	True	239.0		M450	55
99.362	248.79	1	4319.589	<BeadTracker.Bead object at 0x000001DC08EC2348>	0	0	56	56	0	True	239.0		M450	56
99.362	248.806	1	4347.282	<BeadTracker.Bead object at 0x000001DC08EC2C08>	0	0	57	57	0	True	238.0		M450	57
99.274	248.753	1	4354.68	<BeadTracker.Bead object at 0x000001DC08EC2D08>	0	0	58	58	0	True	239.0		M450	58
99.305	248.807	1	4357.547	<BeadTracker.Bead object at 0x000001DC08EC21C8>	0	0	59	59	0	True	239.0		M450	59
99.331	248.721	1	4367.696	<BeadTracker.Bead object at 0x000001DC05817208>	0	0	60	60	0	True	239.0		M450	60
99.261	248.711	1	4331.51	<BeadTracker.Bead object at 0x000001DC08EC2388>	0	0	61	61	0	True	239.0		M450	61
99.245	248.658	1	4341.496	<BeadTracker.Bead object at 0x000001DC05817D08>	0	0	62	62	0	True	239.0		M450	62
99.242	248.631	1	4373.695	<BeadTracker.Bead object at 0x000001DC10AE5888>	0	0	63	63	0	True	240.0		M450	63
99.219	248.639	1	4354.582	<BeadTracker.Bead object at 0x000001DC05817888>	0	0	64	64	0	True	240.0		M450	64
99.202	248.693	1	4360.734	<BeadTracker.Bead object at 0x000001DC10AE5BC8>	0	0	65	65	0	True	240.0		M450	65
99.161	248.619	1	4374.054	<BeadTracker.Bead object at 0x000001DC10AE5388>	0	0	66	66	0	True	240.0		M450	66
99.228	248.599	1	4325.942	<BeadTracker.Bead object at 0x000001DC10AE56C8>	0	0	67	67	0	True	241.0		M450	67
99.184	248.538	1	4352.793	<BeadTracker.Bead object at 0x000001DC08E67F08>	0	0	68	68	0	True	241.0		M450	68
99.187	248.477	1	4334.174	<BeadTracker.Bead object at 0x000001DC10AE5088>	0	0	69	69	0	True	230.0		M450	69
99.192	248.444	1	4314.647	<BeadTracker.Bead object at 0x000001DC10AE5308>	0	0	70	70	0	True	230.0		M450	70
99.24	248.43	1	4332.736	<BeadTracker.Bead object at 0x000001DC08E67908>	0	0	71	71	0	True	229.0		M450	71
99.229	248.333	1	4357.439	<BeadTracker.Bead object at 0x000001DC08E67B88>	0	0	72	72	0	True	228.0		M450	72
99.207	248.218	1	4331.083	<BeadTracker.Bead object at 0x000001DC08E67648>	0	0	73	73	0	True	229.0		M450	73
