X	Y	idxCompression	StdDev	Bead	Status	Status_2	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
162.085	238.957	0	9589.811	<BeadTracker.Bead object at 0x000001DC03EBF848>	3	1	2	2	0	True	-321.0	M450		2
162.049	239.276	0	9567.72	<BeadTracker.Bead object at 0x000001DC02C40488>	3	2	5	5	0	True	-325.0	M450		5
162.046	239.004	0	9570.015	<BeadTracker.Bead object at 0x000001DC007ED248>	3	3	8	8	0	True	-271.0	M450		8
162.087	239.201	0	9498.567	<BeadTracker.Bead object at 0x000001DC02C40C48>	3	4	11	11	0	True	-272.0	M450		11
162.144	239.226	0	9511.747	<BeadTracker.Bead object at 0x000001DC00CECBC8>	3	5	14	14	0	True	-264.0	M450		14
162.065	238.773	0	9543.093	<BeadTracker.Bead object at 0x000001DC013E8F08>	3	6	17	17	0	True	-319.0	M450		17
162.119	239.09	1	9231.545	<BeadTracker.Bead object at 0x000001DC091BCA88>	0	0	18	18	0	True	-280.0	M450		18
162.219	238.891	1	8733.819	<BeadTracker.Bead object at 0x000001DC091BC2C8>	0	0	19	19	0	True	-295.0	M450		19
162.289	238.802	1	8550.856	<BeadTracker.Bead object at 0x000001DC091BC5C8>	0	0	20	20	0	True	-303.0	M450		20
162.397	238.793	1	8461.456	<BeadTracker.Bead object at 0x000001DC07AC6948>	0	0	21	21	0	True	-304.0	M450		21
162.439	238.844	1	8454.358	<BeadTracker.Bead object at 0x000001DC03AF0848>	0	0	22	22	0	True	-304.0	M450		22
162.39	238.648	1	8410.006	<BeadTracker.Bead object at 0x000001DC075D8848>	0	0	23	23	0	True	-307.0	M450		23
162.39	238.649	1	8381.414	<BeadTracker.Bead object at 0x000001DC03EBF5C8>	0	0	24	24	0	True	-330.0	M450		24
162.389	238.65	1	8409.645	<BeadTracker.Bead object at 0x000001DC01B23088>	0	0	25	25	0	True	-307.0	M450		25
162.392	238.777	1	8466.039	<BeadTracker.Bead object at 0x000001DC01B23648>	0	0	26	26	0	True	-305.0	M450		26
