X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
249.885	368.927	0	8291.627	<BeadTracker.Bead object at 0x000002319A132708>	1.0	1	0	0	1	True	-246.0	M450	M450	0
250.211	368.718	0	8167.415	<BeadTracker.Bead object at 0x000002319A13BA88>	1.0	2	3	3	1	True	-262.0	M450	M450	3
250.644	368.618	0	8100.594	<BeadTracker.Bead object at 0x000002319A146508>	1.0	3	6	6	2	True	-222.0	M450	M450	6
250.535	369.05	0	8132.368	<BeadTracker.Bead object at 0x000002319A14AFC8>	1.0	4	9	9	1	True	-232.0	M450	M450	9
250.556	369.349	0	8218.499	<BeadTracker.Bead object at 0x000002319A153A88>	1.0	5	12	12	1	True	-240.0	M450	M450	12
250.693	369.447	0	8372.096	<BeadTracker.Bead object at 0x000002319A15D548>	1.0	6	15	15	1	True	-260.0	M450	M450	15
250.609	369.6	0	8424.119	<BeadTracker.Bead object at 0x000002319A162FC8>	1.0	7	18	18	1	True	-290.0	M450	M450	18
250.763	370.215	0	8499.718	<BeadTracker.Bead object at 0x000002319A16BA88>	1.0	8	21	21	1	True	-301.0	M450	M450	21
251.049	370.531	0	8479.796	<BeadTracker.Bead object at 0x000002319A177548>	1.0	9	24	24	1	True	-309.0	M450	M450	24
251.248	370.409	0	8490.688	<BeadTracker.Bead object at 0x000002319A17E188>	1.0	10	27	27	1	True	-309.0	M450	M450	27
251.293	370.488	0	8556.288	<BeadTracker.Bead object at 0x000002319A184EC8>	1.0	11	30	30	1	True	-310.0	M450	M450	30
250.918	370.781	0	8717.752	<BeadTracker.Bead object at 0x000002319A18DBC8>	1.0	12	33	33	1	True	-347.0	M450	M450	33
250.597	371.103	0	8749.695	<BeadTracker.Bead object at 0x000002319A1968C8>	1.0	13	36	36	1	True	-375.0	M450	M450	36
250.333	371.624	0	8807.334	<BeadTracker.Bead object at 0x000002319A19F5C8>	1.0	14	39	39	1	True	-412.0	M450	M450	39
250.258	371.989	0	8862.008	<BeadTracker.Bead object at 0x000002319A1A82C8>	1.0	15	42	42	1	True	-430.0	M450	M450	42
250.38	372.37	0	8808.271	<BeadTracker.Bead object at 0x000002319A1ADF88>	1.0	16	45	45	1	True	-442.0	M450	M450	45
250.152	372.414	0	8838.024	<BeadTracker.Bead object at 0x000002319A1B7C88>	1.0	17	48	48	1	True	-458.0	M450	M450	48
251.212	372.271	0	8850.827	<BeadTracker.Bead object at 0x000002319A1C0988>	1.0	18	51	51	1	True	-474.0	M450	M450	51
250.994	371.588	0	8823.107	<BeadTracker.Bead object at 0x000002319A1C9688>	1.0	19	54	54	1	True	-442.0	M450	M450	54
250.323	370.679	0	8659.016	<BeadTracker.Bead object at 0x000002319A1D2388>	1.0	20	57	57	1	True	-402.0	M450	M450	57
249.57	359.541	0	7588.244	<BeadTracker.Bead object at 0x000002319A1D7FC8>	1.0	21	60	60	1	True	-362.0	M450	M450	60
249.909	340.03	0	7704.81	<BeadTracker.Bead object at 0x000002319A1E0D48>	1.0	22	63	63	1	True	-322.0	M450	M450	63
