X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
101.026	231.482	0	5016.666	<BeadTracker.Bead object at 0x000001959BE212E0>	1.0	1	0	0	0	True	17.0		M450	0
100.902	232.193	0	5128.871	<BeadTracker.Bead object at 0x000001959A8E9460>	1.0	2	3	3	0	True	9.0		M450	3
100.81	232.256	0	5204.498	<BeadTracker.Bead object at 0x00000195B4BB1EB0>	1.0	3	6	6	0	True	17.0		M450	6
100.464	231.327	0	5187.906	<BeadTracker.Bead object at 0x000001959E7447F0>	1.0	4	9	9	1	True	9.0		M450	9
100.04	230.876	0	5278.817	<BeadTracker.Bead object at 0x000001959E759B80>	1.0	5	12	12	1	True	13.0		M450	12
99.806	230.68	0	5299.054	<BeadTracker.Bead object at 0x000001959E74BF10>	1.0	6	15	15	1	True	7.0		M450	15
99.569	231.022	0	5412.581	<BeadTracker.Bead object at 0x000001959E7562E0>	1.0	7	18	18	1	True	9.0		M450	18
99.501	231.255	0	5391.203	<BeadTracker.Bead object at 0x000001959E76E670>	1.0	8	21	21	1	True	9.0		M450	21
99.322	231.03	0	5441.169	<BeadTracker.Bead object at 0x000001959E754A30>	1.0	9	24	24	1	True	9.0		M450	24
99.397	230.843	0	5480.823	<BeadTracker.Bead object at 0x000001959E762DF0>	1.0	10	27	27	1	True	7.0		M450	27
99.488	230.073	0	5495.604	<BeadTracker.Bead object at 0x000001959E7461F0>	1.0	11	30	30	1	True	-1.0		M450	30
99.4	229.721	0	5570.036	<BeadTracker.Bead object at 0x000001959E735580>	1.0	12	33	33	1	True	-4.0		M450	33
99.585	228.543	0	5641.619	<BeadTracker.Bead object at 0x00000195B27BFA90>	1.0	13	36	36	0	True	6.0		M450	36
99.68	227.734	0	5377.264	<BeadTracker.Bead object at 0x00000195B27B0070>	1.0	14	39	39	0	True	7.0		M450	39
99.699	227.595	0	5175.071	<BeadTracker.Bead object at 0x00000195B27B0610>	1.0	15	42	42	0	True	11.0		M450	42
99.65	227.456	0	5264.305	<BeadTracker.Bead object at 0x00000195A60303A0>	1.0	16	45	45	1	True	14.0		M450	45
99.517	227.936	0	5415.086	<BeadTracker.Bead object at 0x000001959EF3E190>	1.0	17	48	48	0	True	6.0		M450	48
99.901	228.875	0	5487.746	<BeadTracker.Bead object at 0x000001959EF3E730>	1.0	18	51	51	0	True	-4.0		M450	51
100.319	228.189	0	5245.205	<BeadTracker.Bead object at 0x00000195A602EDF0>	1.0	19	54	54	1	True	6.0		M450	54
99.999	228.492	0	5215.343	<BeadTracker.Bead object at 0x00000195A60451C0>	1.0	20	57	57	1	True	15.0		M450	57
100.024	228.875	0	5275.443	<BeadTracker.Bead object at 0x000001959EF3D850>	1.0	21	60	60	0	True	7.0		M450	60
99.979	229.251	0	5386.87	<BeadTracker.Bead object at 0x00000195A202C8E0>	1.0	22	63	63	1	True	6.0		M450	63
100.312	229.238	0	5412.084	<BeadTracker.Bead object at 0x00000195A2053C40>	1.0	23	66	66	1	True	5.0		M450	66
99.947	229.227	0	5433.22	<BeadTracker.Bead object at 0x00000195A202BFD0>	1.0	24	69	69	1	True	-2.0		M450	69
99.98	228.736	0	5327.226	<BeadTracker.Bead object at 0x000001959EF63160>	1.0	25	72	72	0	True	9.0		M450	72
100.341	228.715	0	5502.836	<BeadTracker.Bead object at 0x000001959EF63790>	1.0	26	75	75	0	True	2.0		M450	75
100.731	228.76	0	5423.713	<BeadTracker.Bead object at 0x000001959EF63DC0>	1.0	27	78	78	0	True	7.0		M450	78
100.623	228.545	0	5237.522	<BeadTracker.Bead object at 0x000001959EF34430>	1.0	28	81	81	0	True	9.0		M450	81
100.383	228.776	0	5325.634	<BeadTracker.Bead object at 0x000001959EF34A60>	1.0	29	84	84	0	True	0.0		M450	84
100.544	228.767	0	5268.059	<BeadTracker.Bead object at 0x000001959EF5D0D0>	1.0	30	87	87	0	True	8.0		M450	87
100.249	229.308	0	5483.536	<BeadTracker.Bead object at 0x00000195A83FB8B0>	1.0	1	90	90	1	True	-2.0		M450	90
100.303	229.062	0	5344.326	<BeadTracker.Bead object at 0x00000195A83E6C40>	1.0	2	93	93	1	True	7.0		M450	93
100.141	229.451	0	5304.396	<BeadTracker.Bead object at 0x000001959EF323A0>	1.0	3	96	96	0	True	6.0		M450	96
100.144	229.217	0	5403.303	<BeadTracker.Bead object at 0x000001959EF329D0>	1.0	4	99	99	0	True	6.0		M450	99
99.855	229.383	0	5374.658	<BeadTracker.Bead object at 0x000001959EF32FA0>	1.0	5	102	102	0	True	7.0		M450	102
99.83	229.305	0	5276.97	<BeadTracker.Bead object at 0x000001959EF42670>	1.0	6	105	105	0	True	11.0		M450	105
100.1	228.971	0	7557.576	<BeadTracker.Bead object at 0x00000195A23B0490>	2.0	7	109	109	1	True	21.0		M450	109
100.377	228.564	0	4765.47	<BeadTracker.Bead object at 0x00000195A23C1190>	1.0	8	111	111	1	True	21.0		M450	111
100.271	228.75	0	7524.164	<BeadTracker.Bead object at 0x00000195A23DEB80>	2.0	9	115	115	1	True	21.0		M450	115
100.384	228.862	0	7489.45	<BeadTracker.Bead object at 0x00000195A23C2F40>	2.0	10	118	118	2	True	19.0		M450	118
100.229	229.526	0	7256.39	<BeadTracker.Bead object at 0x00000195A23C7310>	2.0	11	121	121	1	True	21.0		M450	121
100.147	229.409	0	7163.447	<BeadTracker.Bead object at 0x00000195A23D56A0>	2.0	12	124	124	1	True	35.0		M450	124
99.959	229.214	0	7066.255	<BeadTracker.Bead object at 0x00000195A23C0A60>	2.0	13	127	127	2	True	37.0		M450	127
99.879	229.411	0	6912.886	<BeadTracker.Bead object at 0x00000195AB3C2E20>	2.0	14	130	130	2	True	33.0		M450	130
100.398	229.536	0	6981.38	<BeadTracker.Bead object at 0x00000195AB3F4220>	2.0	15	133	133	1	True	40.0		M450	133
100.723	229.684	0	6761.274	<BeadTracker.Bead object at 0x00000195AB3ED5E0>	2.0	16	136	136	2	True	39.0		M450	136
100.747	229.845	0	6681.821	<BeadTracker.Bead object at 0x00000195AB3FF9A0>	2.0	17	139	139	2	True	40.0		M450	139
100.562	229.435	0	6582.107	<BeadTracker.Bead object at 0x00000195AB3F2D30>	2.0	18	142	142	1	True	38.0		M450	142
100.544	229.477	0	6386.61	<BeadTracker.Bead object at 0x00000195AB3CD100>	2.0	19	145	145	1	True	58.0		M450	145
100.676	229.557	0	6113.956	<BeadTracker.Bead object at 0x00000195AB3C04C0>	2.0	20	148	148	1	True	58.0		M450	148
100.73	229.008	0	6031.157	<BeadTracker.Bead object at 0x00000195AB3D1850>	2.0	21	151	151	1	True	59.0		M450	151
100.366	228.699	0	5998.092	<BeadTracker.Bead object at 0x00000195A848EC10>	2.0	22	154	154	1	True	59.0		M450	154
100.011	228.475	0	5868.588	<BeadTracker.Bead object at 0x00000195A849AFA0>	2.0	23	157	157	1	True	60.0		M450	157
99.819	228.194	0	6011.675	<BeadTracker.Bead object at 0x00000195A8480340>	2.0	24	160	160	1	True	60.0		M450	160
99.856	228.099	0	5849.022	<BeadTracker.Bead object at 0x00000195A84646A0>	2.0	25	163	163	1	True	58.0		M450	163
99.942	228.122	0	5680.094	<BeadTracker.Bead object at 0x00000195A849BA00>	2.0	26	166	166	1	True	60.0		M450	166
99.928	227.635	0	5402.895	<BeadTracker.Bead object at 0x00000195A847ED90>	2.0	27	169	169	1	True	60.0		M450	169
99.485	227.322	0	5438.818	<BeadTracker.Bead object at 0x00000195A8477130>	2.0	28	172	172	1	True	60.0		M450	172
99.466	226.789	0	5452.359	<BeadTracker.Bead object at 0x00000195A10E6910>	2.0	29	175	175	0	True	60.0		M450	175
99.26	226.729	0	5462.621	<BeadTracker.Bead object at 0x00000195A10D7070>	2.0	30	178	178	0	True	60.0		M450	178
98.733	227.385	0	5398.429	<BeadTracker.Bead object at 0x00000195A1143B50>	2.0	1	181	181	1	True	60.0		M450	181
98.973	226.598	0	5554.924	<BeadTracker.Bead object at 0x00000195A10D7BE0>	2.0	2	184	184	0	True	60.0		M450	184
98.859	227.492	0	5465.968	<BeadTracker.Bead object at 0x00000195A1144250>	2.0	3	187	187	1	True	61.0		M450	187
98.731	227.49	0	5568.804	<BeadTracker.Bead object at 0x00000195A11365B0>	2.0	4	190	190	1	True	61.0		M450	190
