X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
189.929	127.899	0	7205.147	<BeadTracker.Bead object at 0x00000195AB31DEB0>	1.0	1	0	0	1	True	-51.0	M450		0
190.428	127.772	0	7612.347	<BeadTracker.Bead object at 0x00000195AB30B250>	1.0	2	3	3	1	True	-82.0	M450		3
191.048	127.876	0	7570.259	<BeadTracker.Bead object at 0x00000195AB3104F0>	1.0	3	6	6	1	True	-83.0	M450		6
190.775	128.317	0	7607.901	<BeadTracker.Bead object at 0x00000195AB31B850>	1.0	4	9	9	1	True	-84.0	M450		9
190.552	128.246	0	7659.961	<BeadTracker.Bead object at 0x00000195AB9DBBB0>	1.0	5	12	12	1	True	-82.0	M450		12
190.53	129.182	0	7554.322	<BeadTracker.Bead object at 0x00000195AB9CEF10>	1.0	6	15	15	1	True	-78.0	M450		15
190.019	129.485	0	7295.566	<BeadTracker.Bead object at 0x00000195AB9B72B0>	1.0	7	18	18	1	True	-67.0	M450		18
190.444	129.688	0	7304.782	<BeadTracker.Bead object at 0x00000195AB9A4610>	1.0	8	21	21	1	True	-60.0	M450		21
189.703	129.626	0	7540.23	<BeadTracker.Bead object at 0x00000195AB9A9970>	1.0	9	24	24	1	True	-78.0	M450		24
189.619	129.715	0	7467.878	<BeadTracker.Bead object at 0x00000195AB9B2CD0>	1.0	10	27	27	1	True	-81.0	M450		27
189.335	130.126	0	7406.589	<BeadTracker.Bead object at 0x00000195AB9C5F70>	1.0	11	30	30	1	True	-79.0	M450		30
188.974	130.678	0	7394.241	<BeadTracker.Bead object at 0x00000195AB9993D0>	1.0	12	33	33	1	True	-78.0	M450		33
188.9	131.758	0	7025.44	<BeadTracker.Bead object at 0x00000195AB98B730>	1.0	13	36	36	1	True	-50.0	M450		36
188.671	132.126	0	7168.837	<BeadTracker.Bead object at 0x00000195AB982A90>	1.0	14	39	39	1	True	-50.0	M450		39
188.893	131.944	0	7204.799	<BeadTracker.Bead object at 0x00000195AB979DF0>	1.0	15	42	42	1	True	-60.0	M450		42
188.934	131.744	0	7006.468	<BeadTracker.Bead object at 0x00000195AB960190>	1.0	16	45	45	1	True	-51.0	M450		45
188.366	131.773	0	7039.729	<BeadTracker.Bead object at 0x00000195AB9754F0>	1.0	17	48	48	1	True	-49.0	M450		48
188.247	132.109	0	7241.701	<BeadTracker.Bead object at 0x00000195AB98C850>	1.0	18	51	51	1	True	-55.0	M450		51
187.832	132.298	0	7156.252	<BeadTracker.Bead object at 0x00000195AB99EBB0>	1.0	19	54	54	1	True	-51.0	M450		54
187.533	132.257	0	7220.879	<BeadTracker.Bead object at 0x00000195A0FD9F10>	1.0	20	57	57	1	True	-50.0	M450		57
187.008	132.546	0	7098.29	<BeadTracker.Bead object at 0x00000195A0FD62B0>	1.0	21	60	60	1	True	-50.0	M450		60
186.093	132.919	0	7217.62	<BeadTracker.Bead object at 0x00000195A0FD1610>	1.0	22	63	63	1	True	-52.0	M450		63
185.986	133.826	0	7010.266	<BeadTracker.Bead object at 0x00000195A0FEF970>	1.0	23	66	66	1	True	-52.0	M450		66
186.178	133.846	0	7209.004	<BeadTracker.Bead object at 0x00000195A0FDACD0>	1.0	24	69	69	1	True	-58.0	M450		69
185.864	134.334	0	7472.045	<BeadTracker.Bead object at 0x00000195A1007F70>	1.0	25	72	72	1	True	-81.0	M450		72
185.626	134.521	0	7519.93	<BeadTracker.Bead object at 0x00000195A13DD3D0>	1.0	26	75	75	1	True	-79.0	M450		75
185.453	133.884	0	7511.556	<BeadTracker.Bead object at 0x00000195A13F1730>	1.0	27	78	78	1	True	-71.0	M450		78
185.022	134.106	0	7286.6	<BeadTracker.Bead object at 0x00000195A13E0A90>	1.0	28	81	81	1	True	-59.0	M450		81
185.066	134.498	0	7038.371	<BeadTracker.Bead object at 0x00000195A13FCDF0>	1.0	29	84	84	1	True	-49.0	M450		84
184.83	135.247	0	6766.881	<BeadTracker.Bead object at 0x00000195A13E1190>	1.0	30	87	87	1	True	-44.0	M450		87
185.013	135.175	0	8839.697	<BeadTracker.Bead object at 0x00000195A13DFB50>	2.0	1	91	91	1	True	-27.0	M450		91
185.283	135.346	0	8779.551	<BeadTracker.Bead object at 0x00000195A13E6EB0>	2.0	2	94	94	1	True	-19.0	M450		94
185.855	135.081	0	8708.616	<BeadTracker.Bead object at 0x000001959CB89250>	2.0	3	97	97	1	True	-20.0	M450		97
186.212	135.97	0	8814.728	<BeadTracker.Bead object at 0x000001959CB965B0>	2.0	4	100	100	1	True	-20.0	M450		100
187.103	136.029	0	8782.902	<BeadTracker.Bead object at 0x000001959CBA4910>	2.0	5	103	103	1	True	-22.0	M450		103
186.653	136.107	0	8855.959	<BeadTracker.Bead object at 0x000001959CB7FC70>	2.0	6	106	106	1	True	-22.0	M450		106
187.063	135.93	0	8817.504	<BeadTracker.Bead object at 0x000001959CB70FD0>	2.0	7	109	109	1	True	-20.0	M450		109
186.599	136.534	0	8765.784	<BeadTracker.Bead object at 0x000001959CBAB370>	2.0	8	112	112	1	True	-20.0	M450		112
186.488	136.917	0	6196.42	<BeadTracker.Bead object at 0x000001959CBABF70>	1.0	9	114	114	1	True	-22.0	M450		114
186.5	137.186	0	6323.218	<BeadTracker.Bead object at 0x000001959CB7E3D0>	1.0	10	117	117	1	True	-27.0	M450		117
186.594	136.953	0	6398.412	<BeadTracker.Bead object at 0x00000195A8462A00>	1.0	11	120	120	1	True	-25.0	M450		120
187.269	136.832	0	6343.26	<BeadTracker.Bead object at 0x00000195A848DA90>	1.0	12	123	123	1	True	-23.0	M450		123
187.269	136.338	0	6550.687	<BeadTracker.Bead object at 0x00000195A848BEE0>	1.0	13	126	126	1	True	-38.0	M450		126
187.708	136.031	0	6734.501	<BeadTracker.Bead object at 0x00000195A8479190>	1.0	14	129	129	1	True	-50.0	M450		129
187.517	135.964	0	6764.006	<BeadTracker.Bead object at 0x00000195A84974F0>	1.0	15	132	132	1	True	-38.0	M450		132
187.649	135.963	0	6742.804	<BeadTracker.Bead object at 0x00000195A8464850>	1.0	16	135	135	1	True	-37.0	M450		135
187.792	135.594	0	6773.927	<BeadTracker.Bead object at 0x00000195A8498BB0>	1.0	17	138	138	1	True	-48.0	M450		138
188.129	135.454	0	6664.319	<BeadTracker.Bead object at 0x00000195AB3C8F10>	1.0	18	141	141	1	True	-41.0	M450		141
188.045	135.808	0	6742.077	<BeadTracker.Bead object at 0x00000195AB3F52B0>	1.0	19	144	144	1	True	-47.0	M450		144
188.327	135.588	0	6782.193	<BeadTracker.Bead object at 0x00000195AB3C08E0>	1.0	20	147	147	1	True	-42.0	M450		147
188.89	134.939	0	6828.801	<BeadTracker.Bead object at 0x00000195AB3EF970>	1.0	21	150	150	1	True	-49.0	M450		150
189.308	134.594	0	6706.159	<BeadTracker.Bead object at 0x00000195AB3D5CD0>	1.0	22	153	153	1	True	-36.0	M450		153
189.395	134.769	0	6855.049	<BeadTracker.Bead object at 0x00000195AB3F0F70>	1.0	23	156	156	1	True	-47.0	M450		156
189.181	134.442	0	6928.822	<BeadTracker.Bead object at 0x00000195AB3F9970>	1.0	24	159	159	1	True	-48.0	M450		159
188.608	134.22	0	7019.651	<BeadTracker.Bead object at 0x00000195A87BFA30>	1.0	25	162	162	1	True	-51.0	M450		162
188.487	134.282	0	7270.042	<BeadTracker.Bead object at 0x00000195A87D3730>	1.0	26	165	165	1	True	-69.0	M450		165
188.031	134.316	0	7440.116	<BeadTracker.Bead object at 0x00000195A87D6DF0>	1.0	27	168	168	1	True	-68.0	M450		168
188.21	134.323	0	8672.884	<BeadTracker.Bead object at 0x00000195A87C07F0>	2.0	28	172	172	1	True	-51.0	M450		172
188.276	134.551	0	8683.617	<BeadTracker.Bead object at 0x00000195A87B1C40>	2.0	29	175	175	1	True	-58.0	M450		175
188.447	134.629	0	8630.24	<BeadTracker.Bead object at 0x00000195A87A1EB0>	2.0	30	178	178	1	True	-61.0	M450		178
188.111	135.169	0	8478.033	<BeadTracker.Bead object at 0x00000195A87D7340>	2.0	1	181	181	1	True	-75.0	M450		181
188.212	135.065	0	8496.187	<BeadTracker.Bead object at 0x000001960E3185B0>	2.0	2	184	184	1	True	-78.0	M450		184
187.605	135.349	0	8454.443	<BeadTracker.Bead object at 0x000001960E30F910>	2.0	3	187	187	1	True	-81.0	M450		187
187.476	135.431	0	8379.483	<BeadTracker.Bead object at 0x000001960E32CC70>	2.0	4	190	190	1	True	-82.0	M450		190
187.225	135.428	0	8203.065	<BeadTracker.Bead object at 0x000001960E333FD0>	2.0	5	193	193	1	True	-99.0	M450		193
186.982	135.523	0	8165.84	<BeadTracker.Bead object at 0x000001960E317370>	2.0	6	196	196	1	True	-102.0	M450		196
187.1	135.742	0	7969.865	<BeadTracker.Bead object at 0x000001960E317F70>	1.0	7	198	198	1	True	-87.0	M450		198
187.136	135.77	0	7914.615	<BeadTracker.Bead object at 0x000001960E3023D0>	1.0	8	201	201	1	True	-85.0	M450		201
186.972	135.159	0	8378.852	<BeadTracker.Bead object at 0x000001960E327D90>	2.0	9	205	205	1	True	-79.0	M450		205
186.591	135.333	0	8512.636	<BeadTracker.Bead object at 0x000001959C177130>	2.0	10	208	208	1	True	-77.0	M450		208
186.431	135.695	0	8504.268	<BeadTracker.Bead object at 0x000001959C186490>	2.0	11	211	211	1	True	-68.0	M450		211
186.218	135.924	0	8542.093	<BeadTracker.Bead object at 0x000001959C1837F0>	2.0	12	214	214	1	True	-79.0	M450		214
186.368	135.75	0	8565.0	<BeadTracker.Bead object at 0x000001959C178B50>	2.0	13	217	217	1	True	-76.0	M450		217
186.808	135.729	0	8623.555	<BeadTracker.Bead object at 0x000001959C19EEB0>	2.0	14	220	220	1	True	-69.0	M450		220
186.876	135.806	0	8616.886	<BeadTracker.Bead object at 0x000001959C172250>	2.0	15	223	223	1	True	-69.0	M450		223
187.446	135.86	0	8672.419	<BeadTracker.Bead object at 0x000001959C1705B0>	2.0	16	226	226	1	True	-63.0	M450		226
187.214	136.041	0	8644.88	<BeadTracker.Bead object at 0x000001959C5C1910>	2.0	17	229	229	1	True	-60.0	M450		229
187.314	135.794	0	8567.819	<BeadTracker.Bead object at 0x000001959C5A7C70>	2.0	18	232	232	1	True	-70.0	M450		232
187.059	135.459	0	8575.497	<BeadTracker.Bead object at 0x000001959C5B5FD0>	2.0	19	235	235	1	True	-73.0	M450		235
186.708	135.406	0	8554.796	<BeadTracker.Bead object at 0x000001959C5CA370>	2.0	20	238	238	1	True	-60.0	M450		238
186.661	134.953	0	8747.485	<BeadTracker.Bead object at 0x000001959C5C86D0>	2.0	21	241	241	1	True	-60.0	M450		241
186.935	134.401	0	8640.501	<BeadTracker.Bead object at 0x000001959C5AEA30>	2.0	22	244	244	1	True	-71.0	M450		244
187.184	134.402	0	8516.652	<BeadTracker.Bead object at 0x000001959C5BFD90>	2.0	23	247	247	1	True	-58.0	M450		247
187.639	134.378	0	8669.144	<BeadTracker.Bead object at 0x00000195AB70D130>	2.0	24	250	250	1	True	-56.0	M450		250
187.214	133.974	0	8609.361	<BeadTracker.Bead object at 0x00000195AB703490>	2.0	25	253	253	1	True	-79.0	M450		253
187.288	133.917	0	8376.441	<BeadTracker.Bead object at 0x00000195AB7257F0>	2.0	26	256	256	1	True	-84.0	M450		256
186.949	134.03	0	8312.834	<BeadTracker.Bead object at 0x00000195AB72EB50>	2.0	27	259	259	1	True	-102.0	M450		259
186.203	134.567	0	8034.299	<BeadTracker.Bead object at 0x00000195AB72DEB0>	2.0	28	262	262	1	True	-112.0	M450		262
185.786	134.285	0	7630.909	<BeadTracker.Bead object at 0x00000195AB706250>	2.0	29	265	265	1	True	-121.0	M450		265
185.083	134.18	0	7462.451	<BeadTracker.Bead object at 0x00000195AB7205B0>	2.0	30	268	268	1	True	-131.0	M450		268
184.908	134.024	0	7629.336	<BeadTracker.Bead object at 0x00000195A6023E50>	2.0	1	271	271	1	True	-117.0	M450		271
184.718	134.199	0	7725.363	<BeadTracker.Bead object at 0x00000195A6043C70>	2.0	2	274	274	1	True	-107.0	M450		274
184.787	133.982	0	7851.92	<BeadTracker.Bead object at 0x00000195A6015FD0>	2.0	3	277	277	1	True	-110.0	M450		277
184.454	133.903	0	7855.434	<BeadTracker.Bead object at 0x00000195A603F370>	2.0	4	280	280	1	True	-117.0	M450		280
184.286	133.683	0	7837.464	<BeadTracker.Bead object at 0x00000195A60486D0>	2.0	5	283	283	1	True	-115.0	M450		283
184.18	133.604	0	8065.061	<BeadTracker.Bead object at 0x00000195A604E400>	2.0	6	286	286	1	True	-103.0	M450		286
183.761	133.932	0	8115.874	<BeadTracker.Bead object at 0x00000195A6022D90>	2.0	7	289	289	1	True	-106.0	M450		289
183.624	134.262	0	8417.243	<BeadTracker.Bead object at 0x00000195A6042130>	2.0	8	292	292	1	True	-82.0	M450		292
183.837	134.335	0	8405.084	<BeadTracker.Bead object at 0x00000195ACED3490>	2.0	9	295	295	1	True	-80.0	M450		295
184.093	134.937	0	8375.038	<BeadTracker.Bead object at 0x00000195ACEFA7F0>	2.0	10	298	298	1	True	-80.0	M450		298
184.442	134.585	0	8422.742	<BeadTracker.Bead object at 0x00000195ACECDCA0>	2.0	11	301	301	1	True	-83.0	M450		301
184.707	134.712	0	8513.243	<BeadTracker.Bead object at 0x00000195ACEEFEB0>	2.0	12	304	304	1	True	-69.0	M450		304
184.777	134.964	0	8601.008	<BeadTracker.Bead object at 0x00000195ACEE4250>	2.0	13	307	307	1	True	-57.0	M450		307
185.042	135.145	0	8618.191	<BeadTracker.Bead object at 0x00000195ACEF15B0>	2.0	14	310	310	1	True	-69.0	M450		310
184.79	135.316	0	8711.001	<BeadTracker.Bead object at 0x00000195ACEC8910>	2.0	15	313	313	1	True	-51.0	M450		313
184.817	135.477	0	8726.835	<BeadTracker.Bead object at 0x00000195AD360C70>	2.0	16	316	316	1	True	-45.0	M450		316
185.083	135.29	0	8680.089	<BeadTracker.Bead object at 0x00000195AD365FD0>	2.0	17	319	319	1	True	-52.0	M450		319
185.108	135.44	0	8807.989	<BeadTracker.Bead object at 0x00000195AD363370>	2.0	18	322	322	1	True	-47.0	M450		322
