X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
190.162	279.711	0	8131.265	<BeadTracker.Bead object at 0x0000016B64D7B308>	1.0	1	0	0	0	True	-43.0	M450		0
189.763	279.662	0	8104.318	<BeadTracker.Bead object at 0x0000016B72823288>	1.0	2	3	3	0	True	-41.0	M450		3
189.565	279.559	0	8150.818	<BeadTracker.Bead object at 0x0000016B0254B348>	1.0	3	6	6	0	True	-43.0	M450		6
189.638	278.762	0	8139.832	<BeadTracker.Bead object at 0x0000016B02745208>	1.0	4	9	9	0	True	-43.0	M450		9
189.552	278.29	0	7961.892	<BeadTracker.Bead object at 0x0000016B7556F8C8>	1.0	5	12	12	0	True	-51.0	M450		12
189.356	277.871	0	8048.4	<BeadTracker.Bead object at 0x0000016B027383C8>	1.0	6	15	15	0	True	-49.0	M450		15
189.332	278.266	0	7891.784	<BeadTracker.Bead object at 0x0000016B02738388>	1.0	7	18	18	0	True	-50.0	M450		18
188.538	279.294	0	7904.211	<BeadTracker.Bead object at 0x0000016B018290C8>	1.0	8	21	21	0	True	-88.0	M450		21
191.053	278.511	0	8266.38	<BeadTracker.Bead object at 0x0000016B75650F08>	1.0	9	24	24	0	True	-48.0	M450		24
191.175	263.969	0	7663.871	<BeadTracker.Bead object at 0x0000016B02740388>	1.0	10	27	27	0	True	-49.0	M450		27
193.018	241.433	0	7370.193	<BeadTracker.Bead object at 0x0000016B02740648>	1.0	11	30	30	0	True	-11.0	M450		30
196.74	197.892	0	7209.094	<BeadTracker.Bead object at 0x0000016B75570A08>	1.0	12	33	33	0	True	20.0	M450		33
193.656	196.102	0	9107.88	<BeadTracker.Bead object at 0x0000016B054B32C8>	2.0	13	37	37	1	True	30.0	M450		37
193.374	196.107	0	8622.649	<BeadTracker.Bead object at 0x0000016B02762B88>	2.0	14	40	40	0	True	50.0	M450		40
193.236	195.555	0	8988.062	<BeadTracker.Bead object at 0x0000016B0337F848>	2.0	15	43	43	0	True	26.0	M450		43
193.266	194.709	0	9074.447	<BeadTracker.Bead object at 0x0000016B0337FEC8>	2.0	16	46	46	0	True	28.0	M450		46
193.044	194.909	0	8899.41	<BeadTracker.Bead object at 0x0000016B0337FB88>	2.0	17	49	49	0	True	22.0	M450		49
193.392	195.039	0	8783.085	<BeadTracker.Bead object at 0x0000016B75565E48>	2.0	18	52	52	0	True	30.0	M450		52
194.044	194.753	0	8712.019	<BeadTracker.Bead object at 0x0000016B033A8CC8>	2.0	19	55	55	0	True	35.0	M450		55
194.358	195.504	0	8653.736	<BeadTracker.Bead object at 0x0000016B033A8748>	2.0	20	58	58	0	True	31.0	M450		58
194.927	195.325	0	8867.314	<BeadTracker.Bead object at 0x0000016B07655B88>	2.0	21	61	61	0	True	16.0	M450		61
195.463	194.822	0	8935.328	<BeadTracker.Bead object at 0x0000016B07655E88>	2.0	22	64	64	0	True	29.0	M450		64
195.29	194.611	0	9021.431	<BeadTracker.Bead object at 0x0000016B0339ADC8>	2.0	23	67	67	0	True	27.0	M450		67
195.183	194.503	0	9099.309	<BeadTracker.Bead object at 0x0000016B03370F88>	2.0	24	70	70	0	True	31.0	M450		70
194.92	194.317	0	9060.715	<BeadTracker.Bead object at 0x0000016B7559AB88>	2.0	25	73	73	0	True	21.0	M450		73
194.93	194.492	0	9103.45	<BeadTracker.Bead object at 0x0000016B03370288>	2.0	26	76	76	0	True	23.0	M450		76
194.906	194.581	0	9187.428	<BeadTracker.Bead object at 0x0000016B72655388>	2.0	27	79	79	0	True	28.0	M450		79
195.171	195.013	0	9206.652	<BeadTracker.Bead object at 0x0000016B0338D1C8>	2.0	28	82	82	0	True	29.0	M450		82
195.169	194.963	0	9175.005	<BeadTracker.Bead object at 0x0000016B03386588>	2.0	29	85	85	0	True	28.0	M450		85
195.459	194.825	0	9091.019	<BeadTracker.Bead object at 0x0000016B03386FC8>	2.0	30	88	88	0	True	28.0	M450		88
195.496	194.509	0	9111.717	<BeadTracker.Bead object at 0x0000016B03386F08>	2.0	31	91	91	0	True	35.0	M450		91
195.859	194.423	0	9202.221	<BeadTracker.Bead object at 0x0000016B75409BC8>	2.0	32	94	94	0	True	20.0	M450		94
195.852	194.262	0	9053.357	<BeadTracker.Bead object at 0x0000016B03372BC8>	2.0	33	97	97	0	True	25.0	M450		97
195.8	194.311	0	9016.723	<BeadTracker.Bead object at 0x0000016BF256F748>	2.0	34	100	100	0	True	23.0	M450		100
195.988	194.038	0	8789.908	<BeadTracker.Bead object at 0x0000016B75582888>	2.0	35	103	103	0	True	30.0	M450		103
195.869	194.205	0	8649.358	<BeadTracker.Bead object at 0x0000016BF256F1C8>	2.0	36	106	106	0	True	26.0	M450		106
196.299	194.097	0	8590.129	<BeadTracker.Bead object at 0x0000016B06961C88>	2.0	37	109	109	0	True	45.0	M450		109
196.744	193.758	0	8587.086	<BeadTracker.Bead object at 0x0000016B75588548>	2.0	38	112	112	0	True	27.0	M450		112
196.917	193.649	0	8621.797	<BeadTracker.Bead object at 0x0000016B06969208>	2.0	39	115	115	0	True	48.0	M450		115
197.074	193.863	0	8858.323	<BeadTracker.Bead object at 0x0000016B069699C8>	2.0	40	118	118	0	True	27.0	M450		118
197.343	194.128	0	8860.102	<BeadTracker.Bead object at 0x0000016B06969FC8>	2.0	41	121	121	0	True	28.0	M450		121
197.337	194.526	0	8883.19	<BeadTracker.Bead object at 0x0000016B754050C8>	2.0	42	124	124	0	True	27.0	M450		124
197.383	194.846	0	8900.052	<BeadTracker.Bead object at 0x0000016B01016708>	2.0	43	127	127	0	True	33.0	M450		127
197.675	194.756	0	8842.979	<BeadTracker.Bead object at 0x0000016B0695B908>	2.0	44	130	130	0	True	35.0	M450		130
197.797	194.889	0	8884.141	<BeadTracker.Bead object at 0x0000016B0695B688>	2.0	45	133	133	0	True	32.0	M450		133
197.776	194.53	0	8590.858	<BeadTracker.Bead object at 0x0000016B010160C8>	2.0	46	136	136	0	True	30.0	M450		136
197.27	194.333	0	8691.697	<BeadTracker.Bead object at 0x0000016B010168C8>	2.0	47	139	139	0	True	44.0	M450		139
197.152	194.355	0	8721.597	<BeadTracker.Bead object at 0x0000016B06970A48>	2.0	48	142	142	0	True	23.0	M450		142
197.5	194.228	0	8547.559	<BeadTracker.Bead object at 0x0000016B06970448>	2.0	49	145	145	0	True	26.0	M450		145
197.78	194.227	0	8666.645	<BeadTracker.Bead object at 0x0000016B751EC588>	2.0	50	148	148	0	True	24.0	M450		148
198.235	194.393	0	8871.836	<BeadTracker.Bead object at 0x0000016B7536DA88>	2.0	51	151	151	0	True	16.0	M450		151
198.177	194.669	0	9012.813	<BeadTracker.Bead object at 0x0000016B0311E148>	2.0	52	154	154	0	True	-5.0	M450		154
197.572	195.027	0	8484.476	<BeadTracker.Bead object at 0x0000016B0311E088>	2.0	53	157	157	0	True	-1.0	M450		157
197.52	195.287	0	8582.786	<BeadTracker.Bead object at 0x0000016B0311ED48>	2.0	54	160	160	0	True	15.0	M450		160
197.611	195.806	0	7975.556	<BeadTracker.Bead object at 0x0000016B75470848>	2.0	55	163	163	0	True	-7.0	M450		163
197.543	195.725	0	8580.404	<BeadTracker.Bead object at 0x0000016B03104B88>	2.0	56	166	166	0	True	29.0	M450		166
197.351	195.413	0	8702.651	<BeadTracker.Bead object at 0x0000016B030F3648>	2.0	57	169	169	0	True	20.0	M450		169
197.166	195.88	0	8534.68	<BeadTracker.Bead object at 0x0000016B72827388>	2.0	58	172	172	0	True	32.0	M450		172
196.781	196.306	0	8789.834	<BeadTracker.Bead object at 0x0000016B030F3EC8>	2.0	59	175	175	0	True	14.0	M450		175
196.32	196.281	0	8808.14	<BeadTracker.Bead object at 0x0000016B75404E08>	2.0	60	178	178	0	True	20.0	M450		178
195.863	196.123	0	8624.005	<BeadTracker.Bead object at 0x0000016B7547BD48>	2.0	61	181	181	0	True	34.0	M450		181
195.903	196.471	0	8405.266	<BeadTracker.Bead object at 0x0000016B03117B88>	2.0	62	184	184	0	True	45.0	M450		184
