X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
423.577	201.917	0	13222.727	<BeadTracker.Bead object at 0x000002EBCC333D00>	1.0	1	0	0	3	True	-400.0	M450	M450	0
423.548	201.824	0	13322.846	<BeadTracker.Bead object at 0x000002EBC77EE7F0>	1.0	2	3	3	3	True	-407.0	M450	M450	3
423.567	201.271	0	13519.045	<BeadTracker.Bead object at 0x000002EBD8C2BAC0>	1.0	3	6	6	2	True	-413.0	M450	M450	6
423.433	200.858	0	13410.864	<BeadTracker.Bead object at 0x000002EBC27E8D60>	1.0	4	9	9	3	True	-393.0	M450	M450	9
423.68	201.092	0	13374.567	<BeadTracker.Bead object at 0x000002EBC20E58E0>	1.0	5	12	12	3	True	-387.0	M450	M450	12
423.63	201.032	0	13282.377	<BeadTracker.Bead object at 0x000002EBCD506520>	1.0	6	15	15	3	True	-393.0	M450	M450	15
424.027	200.762	1	9470.238	<BeadTracker.Bead object at 0x000002EBD01ECA90>	0.0	0	18	18	1	True	-411.0	M450	M450	18
423.956	200.784	1	11517.221	<BeadTracker.Bead object at 0x000002EBD01ECC10>	0.0	0	19	19	2	True	-371.0	M450	M450	19
424.029	200.841	1	11896.325	<BeadTracker.Bead object at 0x000002EBC8A09190>	0.0	0	20	20	2	True	-331.0	M450	M450	20
424.022	200.764	1	12004.77	<BeadTracker.Bead object at 0x000002EBC8A096A0>	0.0	0	21	21	2	True	-291.0	M450	M450	21
424.002	200.806	1	12040.458	<BeadTracker.Bead object at 0x000002EBC19DE580>	0.0	0	22	22	2	True	-251.0	M450	M450	22
423.962	200.78	1	12118.001	<BeadTracker.Bead object at 0x000002EBC19DE1F0>	0.0	0	23	23	2	True	-239.0	M450	M450	23
423.988	200.766	1	12130.501	<BeadTracker.Bead object at 0x000002EBC0F611C0>	0.0	0	24	24	2	True	-239.0	M450	M450	24
423.977	200.786	1	12116.282	<BeadTracker.Bead object at 0x000002EBC0F61E50>	0.0	0	25	25	2	True	-239.0	M450	M450	25
423.908	200.735	1	12112.059	<BeadTracker.Bead object at 0x000002EBC078CC70>	0.0	0	26	26	2	True	-239.0	M450	M450	26
423.97	200.66	1	12129.681	<BeadTracker.Bead object at 0x000002EBC078CF10>	0.0	0	27	27	2	True	-239.0	M450	M450	27
423.967	200.814	1	12180.416	<BeadTracker.Bead object at 0x000002EBCC49EB50>	0.0	0	28	28	2	True	-238.0	M450	M450	28
423.96	200.826	1	12040.725	<BeadTracker.Bead object at 0x000002EBCC49E7F0>	0.0	0	29	29	2	True	-240.0	M450	M450	29
423.948	200.847	1	12110.244	<BeadTracker.Bead object at 0x000002EBCC49EB20>	0.0	0	30	30	2	True	-239.0	M450	M450	30
423.868	200.849	1	12151.897	<BeadTracker.Bead object at 0x000002EBCD32C490>	0.0	0	31	31	2	True	-239.0	M450	M450	31
423.848	200.919	1	12124.746	<BeadTracker.Bead object at 0x000002EBCD32C3A0>	0.0	0	32	32	2	True	-239.0	M450	M450	32
423.819	200.829	1	12122.364	<BeadTracker.Bead object at 0x000002EBDCDC8B50>	0.0	0	33	33	2	True	-239.0	M450	M450	33
423.806	200.896	1	12102.69	<BeadTracker.Bead object at 0x000002EBDCDC8F40>	0.0	0	34	34	2	True	-241.0	M450	M450	34
423.792	200.734	1	12070.769	<BeadTracker.Bead object at 0x000002EBC4C58340>	0.0	0	35	35	2	True	-240.0	M450	M450	35
423.88	200.862	1	12018.162	<BeadTracker.Bead object at 0x000002EBC4C58190>	0.0	0	36	36	2	True	-242.0	M450	M450	36
423.787	200.869	1	12082.181	<BeadTracker.Bead object at 0x000002EBC3218D00>	0.0	0	37	37	2	True	-241.0	M450	M450	37
423.749	200.831	1	11914.94	<BeadTracker.Bead object at 0x000002EBC3218E80>	0.0	0	38	38	2	True	-243.0	M450	M450	38
423.743	200.876	1	11945.391	<BeadTracker.Bead object at 0x000002EBC2A2B3D0>	0.0	0	39	39	2	True	-242.0	M450	M450	39
423.706	200.981	1	11960.913	<BeadTracker.Bead object at 0x000002EBC2A2BA00>	0.0	0	40	40	2	True	-262.0	M450	M450	40
423.663	201.001	1	11970.561	<BeadTracker.Bead object at 0x000002EBC28A2970>	0.0	0	41	41	2	True	-245.0	M450	M450	41
423.653	201.027	1	11857.908	<BeadTracker.Bead object at 0x000002EBBE500C40>	0.0	0	42	42	2	True	-263.0	M450	M450	42
423.536	201.094	1	11953.553	<BeadTracker.Bead object at 0x000002EBBE500CA0>	0.0	0	43	43	2	True	-259.0	M450	M450	43
423.566	201.204	1	11787.483	<BeadTracker.Bead object at 0x000002EBC2CBBDF0>	0.0	0	44	44	2	True	-261.0	M450	M450	44
423.476	201.186	1	11820.018	<BeadTracker.Bead object at 0x000002EBC2CBBCA0>	0.0	0	45	45	2	True	-258.0	M450	M450	45
423.493	201.179	1	11882.531	<BeadTracker.Bead object at 0x000002EBC2AD0F70>	0.0	0	46	46	2	True	-245.0	M450	M450	46
423.458	201.27	1	11886.411	<BeadTracker.Bead object at 0x000002EBC2AD02B0>	0.0	0	47	47	2	True	-257.0	M450	M450	47
423.428	201.356	1	11852.246	<BeadTracker.Bead object at 0x000002EBCADB33A0>	0.0	0	48	48	2	True	-257.0	M450	M450	48
423.38	201.352	1	11884.597	<BeadTracker.Bead object at 0x000002EBCADB3BE0>	0.0	0	49	49	2	True	-257.0	M450	M450	49
423.38	201.46	1	11780.726	<BeadTracker.Bead object at 0x000002EBCC577E20>	0.0	0	50	50	2	True	-258.0	M450	M450	50
