X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
255.411	339.471	0	12575.278	<BeadTracker.Bead object at 0x000002EBCC333160>	2.0	1	1	1	0	True	-194.0		M450	1
255.368	339.485	0	12445.853	<BeadTracker.Bead object at 0x000002EBC2C24B80>	2.0	2	4	4	0	True	-195.0		M450	4
255.17	339.351	0	12386.565	<BeadTracker.Bead object at 0x000002EBC2C24A60>	2.0	3	7	7	0	True	-196.0		M450	7
255.205	338.956	0	12238.16	<BeadTracker.Bead object at 0x000002EBC2C24B20>	2.0	4	10	10	0	True	-216.0		M450	10
255.334	338.779	0	12095.226	<BeadTracker.Bead object at 0x000002EBC199E5B0>	2.0	5	13	13	0	True	-199.0		M450	13
255.742	338.637	0	12022.79	<BeadTracker.Bead object at 0x000002EBCBAD7AC0>	2.0	6	16	16	0	True	-222.0		M450	16
255.598	338.872	1	11649.705	<BeadTracker.Bead object at 0x000002EBCBAD73A0>	0.0	0	18	18	0	True	-261.0		M450	18
255.65	338.711	1	12107.128	<BeadTracker.Bead object at 0x000002EBCBAD7370>	0.0	0	19	19	0	True	-289.0		M450	19
255.621	338.625	1	12128.739	<BeadTracker.Bead object at 0x000002EBCBAD7940>	0.0	0	20	20	0	True	-270.0		M450	20
255.67	338.6	1	12125.553	<BeadTracker.Bead object at 0x000002EBBDA88BE0>	0.0	0	21	21	0	True	-271.0		M450	21
255.629	338.538	1	12225.525	<BeadTracker.Bead object at 0x000002EBC18FE040>	0.0	0	22	22	0	True	-270.0		M450	22
255.661	338.448	1	12244.48	<BeadTracker.Bead object at 0x000002EBC18FED90>	0.0	0	23	23	0	True	-259.0		M450	23
255.643	338.514	1	12198.466	<BeadTracker.Bead object at 0x000002EBC1CC3460>	0.0	0	24	24	0	True	-270.0		M450	24
255.684	338.528	1	12241.968	<BeadTracker.Bead object at 0x000002EBC8C845B0>	0.0	0	25	25	0	True	-270.0		M450	25
255.639	338.546	1	12278.292	<BeadTracker.Bead object at 0x000002EBCC7D9850>	0.0	0	26	26	0	True	-270.0		M450	26
255.722	338.516	1	12308.589	<BeadTracker.Bead object at 0x000002EBCBADCEB0>	0.0	0	27	27	0	True	-270.0		M450	27
255.672	338.567	1	12302.394	<BeadTracker.Bead object at 0x000002EBCBADC6A0>	0.0	0	28	28	0	True	-270.0		M450	28
255.668	338.521	1	12330.776	<BeadTracker.Bead object at 0x000002EBCBADC700>	0.0	0	29	29	0	True	-269.0		M450	29
255.649	338.563	1	12269.499	<BeadTracker.Bead object at 0x000002EBCBADC5B0>	0.0	0	30	30	0	True	-269.0		M450	30
255.66	338.578	1	12259.951	<BeadTracker.Bead object at 0x000002EBCBADC3A0>	0.0	0	31	31	0	True	-270.0		M450	31
255.682	338.559	1	12306.235	<BeadTracker.Bead object at 0x000002EBCBADC1F0>	0.0	0	32	32	0	True	-269.0		M450	32
255.773	338.524	1	12264.328	<BeadTracker.Bead object at 0x000002EBD0107E20>	0.0	0	33	33	0	True	-270.0		M450	33
255.719	338.606	1	12257.128	<BeadTracker.Bead object at 0x000002EBCBAB3E50>	0.0	0	34	34	0	True	-269.0		M450	34
255.757	338.621	1	12202.028	<BeadTracker.Bead object at 0x000002EBCBAB3580>	0.0	0	35	35	0	True	-268.0		M450	35
255.776	338.6	1	12224.859	<BeadTracker.Bead object at 0x000002EBCBAB38E0>	0.0	0	36	36	0	True	-268.0		M450	36
255.78	338.673	1	12174.998	<BeadTracker.Bead object at 0x000002EBCBAB3970>	0.0	0	37	37	0	True	-267.0		M450	37
255.835	338.757	1	12118.621	<BeadTracker.Bead object at 0x000002EBCBAB3DF0>	0.0	0	38	38	0	True	-267.0		M450	38
255.824	338.727	1	12063.46	<BeadTracker.Bead object at 0x000002EBCBAB3A30>	0.0	0	39	39	0	True	-269.0		M450	39
255.814	338.763	1	12137.69	<BeadTracker.Bead object at 0x000002EBCBAB3430>	0.0	0	40	40	0	True	-267.0		M450	40
255.928	338.892	1	12089.573	<BeadTracker.Bead object at 0x000002EBCBAD3670>	0.0	0	41	41	0	True	-266.0		M450	41
255.875	338.875	1	12090.71	<BeadTracker.Bead object at 0x000002EBCBAD3880>	0.0	0	42	42	0	True	-267.0		M450	42
255.902	338.794	1	12115.81	<BeadTracker.Bead object at 0x000002EBCBAD30A0>	0.0	0	43	43	0	True	-242.0		M450	43
255.901	338.932	1	12189.498	<BeadTracker.Bead object at 0x000002EBCBAD3370>	0.0	0	44	44	0	True	-243.0		M450	44
255.927	338.945	1	12139.78	<BeadTracker.Bead object at 0x000002EBCBAD3580>	0.0	0	45	45	0	True	-263.0		M450	45
255.929	339.04	1	12166.393	<BeadTracker.Bead object at 0x000002EBCBAD3E80>	0.0	0	46	46	0	True	-243.0		M450	46
256.06	339.098	1	12239.11	<BeadTracker.Bead object at 0x000002EBCBAD3430>	0.0	0	47	47	0	True	-240.0		M450	47
256.12	339.233	1	12208.986	<BeadTracker.Bead object at 0x000002EBCBAD3C40>	0.0	0	48	48	0	True	-241.0		M450	48
256.213	339.236	1	12231.8	<BeadTracker.Bead object at 0x000002EBCBAD3910>	0.0	0	49	49	0	True	-242.0		M450	49
256.205	339.285	1	12256.126	<BeadTracker.Bead object at 0x000002EBCACDD6D0>	0.0	0	50	50	0	True	-236.0		M450	50
