X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
272.442	229.862	0	6720.886	<BeadTracker.Bead object at 0x000002EBBFACB640>	3.0	1	2	2	1	True	113.0	M450		2
272.165	229.437	0	6914.877	<BeadTracker.Bead object at 0x000002EBBFAE5CD0>	3.0	2	5	5	1	True	112.0	M450		5
272.31	228.894	0	6932.247	<BeadTracker.Bead object at 0x000002EBC08DD460>	3.0	3	8	8	1	True	115.0	M450		8
272.019	228.429	0	6715.343	<BeadTracker.Bead object at 0x000002EBC08D0520>	3.0	4	11	11	1	True	113.0	M450		11
271.931	229.254	0	7256.402	<BeadTracker.Bead object at 0x000002EBC08D8340>	3.0	5	14	14	1	True	110.0	M450		14
272.077	229.294	0	7095.449	<BeadTracker.Bead object at 0x000002EBC08FEA90>	3.0	6	17	17	1	True	115.0	M450		17
271.091	229.911	1	6495.417	<BeadTracker.Bead object at 0x000002EBCBEBC280>	0.0	0	18	18	1	True	155.0	M450		18
270.982	230.134	1	5595.996	<BeadTracker.Bead object at 0x000002EBCBEBCA30>	0.0	0	19	19	1	True	195.0	M450		19
271.114	230.023	1	5080.452	<BeadTracker.Bead object at 0x000002EBCBEB7220>	0.0	0	20	20	1	True	235.0	M450		20
271.245	229.81	1	4723.503	<BeadTracker.Bead object at 0x000002EBCBEB79D0>	0.0	0	21	21	1	True	275.0	M450		21
271.43	229.673	1	4624.135	<BeadTracker.Bead object at 0x000002EBCBEC5E20>	0.0	0	22	22	1	True	287.0	M450		22
271.446	229.688	1	4628.382	<BeadTracker.Bead object at 0x000002EBCBEC5A30>	0.0	0	23	23	1	True	288.0	M450		23
271.535	229.678	1	4712.054	<BeadTracker.Bead object at 0x000002EBCBEA6160>	0.0	0	24	24	1	True	286.0	M450		24
271.559	229.596	1	4661.837	<BeadTracker.Bead object at 0x000002EBCBEA6910>	0.0	0	25	25	1	True	287.0	M450		25
271.582	229.602	1	4680.946	<BeadTracker.Bead object at 0x000002EBCBECB100>	0.0	0	26	26	1	True	287.0	M450		26
271.528	229.638	1	4705.244	<BeadTracker.Bead object at 0x000002EBCBECB8B0>	0.0	0	27	27	1	True	286.0	M450		27
271.507	229.631	1	4723.656	<BeadTracker.Bead object at 0x000002EBCBECBFA0>	0.0	0	28	28	1	True	286.0	M450		28
271.438	229.701	1	4742.89	<BeadTracker.Bead object at 0x000002EBC2C04850>	0.0	0	29	29	1	True	286.0	M450		29
271.471	229.749	1	4778.132	<BeadTracker.Bead object at 0x000002EBC2C04F40>	0.0	0	30	30	1	True	285.0	M450		30
271.458	229.778	1	4743.215	<BeadTracker.Bead object at 0x000002EBC2BE97F0>	0.0	0	31	31	1	True	285.0	M450		31
271.464	229.765	1	4768.475	<BeadTracker.Bead object at 0x000002EBC2BE9FA0>	0.0	0	32	32	1	True	285.0	M450		32
271.34	229.808	1	4782.53	<BeadTracker.Bead object at 0x000002EBC2BE6790>	0.0	0	33	33	1	True	284.0	M450		33
271.336	229.792	1	4747.026	<BeadTracker.Bead object at 0x000002EBC2BE6F40>	0.0	0	34	34	1	True	284.0	M450		34
271.282	229.917	1	4791.128	<BeadTracker.Bead object at 0x000002EBC2C05730>	0.0	0	35	35	1	True	283.0	M450		35
271.213	229.96	1	4825.47	<BeadTracker.Bead object at 0x000002EBC2C05EE0>	0.0	0	36	36	1	True	283.0	M450		36
271.195	229.965	1	4781.564	<BeadTracker.Bead object at 0x000002EBC265F6D0>	0.0	0	37	37	1	True	283.0	M450		37
