X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
493.569	231.538	0	9629.962	<BeadTracker.Bead object at 0x000002EBC1024910>	2.0	1	1	1	2	True	48.0	M450	M450	1
493.856	231.591	0	9649.198	<BeadTracker.Bead object at 0x000002EBC29C9B50>	2.0	2	4	4	2	True	49.0	M450	M450	4
493.986	231.624	0	9514.531	<BeadTracker.Bead object at 0x000002EBC1031460>	2.0	3	7	7	2	True	43.0	M450	M450	7
493.873	231.693	0	9515.994	<BeadTracker.Bead object at 0x000002EBC1013DF0>	2.0	4	10	10	2	True	49.0	M450	M450	10
493.739	230.785	0	9568.882	<BeadTracker.Bead object at 0x000002EBC4DA4790>	2.0	5	13	13	2	True	26.0	M450	M450	13
493.606	230.826	0	9475.36	<BeadTracker.Bead object at 0x000002EBC4DB0070>	2.0	6	16	16	2	True	26.0	M450	M450	16
493.649	230.616	1	10365.989	<BeadTracker.Bead object at 0x000002EBC4DB0550>	0.0	0	18	18	2	True	66.0	M450	M450	18
493.667	230.602	1	9753.933	<BeadTracker.Bead object at 0x000002EBC4DBC430>	0.0	0	19	19	2	True	106.0	M450	M450	19
493.637	230.444	1	9568.811	<BeadTracker.Bead object at 0x000002EBC4DBC550>	0.0	0	20	20	2	True	146.0	M450	M450	20
493.591	230.455	1	9321.312	<BeadTracker.Bead object at 0x000002EBC4D9F5E0>	0.0	0	21	21	2	True	156.0	M450	M450	21
493.652	230.45	1	9401.099	<BeadTracker.Bead object at 0x000002EBC4D9F9D0>	0.0	0	22	22	2	True	154.0	M450	M450	22
493.589	230.483	1	9329.25	<BeadTracker.Bead object at 0x000002EBC4DA2070>	0.0	0	23	23	2	True	156.0	M450	M450	23
493.583	230.499	1	9331.367	<BeadTracker.Bead object at 0x000002EBC4DA2A60>	0.0	0	24	24	2	True	156.0	M450	M450	24
493.567	230.543	1	9399.583	<BeadTracker.Bead object at 0x000002EBC4DA29D0>	0.0	0	25	25	2	True	168.0	M450	M450	25
493.632	230.743	1	9289.669	<BeadTracker.Bead object at 0x000002EBBE7C4820>	0.0	0	26	26	2	True	168.0	M450	M450	26
493.585	230.762	1	9335.733	<BeadTracker.Bead object at 0x000002EBBE7C4430>	0.0	0	27	27	2	True	168.0	M450	M450	27
493.606	230.67	1	9413.529	<BeadTracker.Bead object at 0x000002EBC4DC89A0>	0.0	0	28	28	2	True	168.0	M450	M450	28
493.635	230.742	1	9436.468	<BeadTracker.Bead object at 0x000002EBC4DC8700>	0.0	0	29	29	2	True	167.0	M450	M450	29
493.595	230.791	1	9488.9	<BeadTracker.Bead object at 0x000002EBBE7A1640>	0.0	0	30	30	2	True	167.0	M450	M450	30
493.643	230.887	1	9441.16	<BeadTracker.Bead object at 0x000002EBBE7A15E0>	0.0	0	31	31	2	True	167.0	M450	M450	31
493.589	230.824	1	9454.087	<BeadTracker.Bead object at 0x000002EBBE7A17F0>	0.0	0	32	32	2	True	167.0	M450	M450	32
493.628	230.987	1	9492.275	<BeadTracker.Bead object at 0x000002EBC4DCEBB0>	0.0	0	33	33	2	True	149.0	M450	M450	33
493.621	231.07	1	9500.474	<BeadTracker.Bead object at 0x000002EBC4DCE760>	0.0	0	34	34	2	True	150.0	M450	M450	34
493.55	231.304	1	9482.085	<BeadTracker.Bead object at 0x000002EBC4DBF400>	0.0	0	35	35	2	True	151.0	M450	M450	35
493.634	231.423	1	9412.513	<BeadTracker.Bead object at 0x000002EBC4DBFD00>	0.0	0	36	36	2	True	153.0	M450	M450	36
493.585	231.524	1	9493.846	<BeadTracker.Bead object at 0x000002EBC4D937F0>	0.0	0	37	37	2	True	168.0	M450	M450	37
493.554	231.602	1	9562.814	<BeadTracker.Bead object at 0x000002EBC4D93A90>	0.0	0	38	38	2	True	167.0	M450	M450	38
493.539	231.692	1	9515.811	<BeadTracker.Bead object at 0x000002EBBE770940>	0.0	0	39	39	2	True	167.0	M450	M450	39
493.481	231.756	1	9610.142	<BeadTracker.Bead object at 0x000002EBBE770490>	0.0	0	40	40	2	True	145.0	M450	M450	40
493.513	231.911	1	9533.7	<BeadTracker.Bead object at 0x000002EBBE770FA0>	0.0	0	41	41	2	True	148.0	M450	M450	41
493.518	232.025	1	9564.624	<BeadTracker.Bead object at 0x000002EBC10D9A90>	0.0	0	42	42	2	True	149.0	M450	M450	42
493.476	232.031	1	9594.838	<BeadTracker.Bead object at 0x000002EBC10D9D30>	0.0	0	43	43	2	True	142.0	M450	M450	43
493.486	232.103	1	9595.059	<BeadTracker.Bead object at 0x000002EBC10DF670>	0.0	0	44	44	2	True	142.0	M450	M450	44
493.56	232.037	1	9611.997	<BeadTracker.Bead object at 0x000002EBC10DFA30>	0.0	0	45	45	2	True	146.0	M450	M450	45
493.542	232.107	1	9694.444	<BeadTracker.Bead object at 0x000002EBC10DFF40>	0.0	0	46	46	2	True	145.0	M450	M450	46
493.482	232.246	1	9633.537	<BeadTracker.Bead object at 0x000002EBC110C700>	0.0	0	47	47	2	True	132.0	M450	M450	47
493.512	232.28	1	9687.02	<BeadTracker.Bead object at 0x000002EBC110C130>	0.0	0	48	48	2	True	133.0	M450	M450	48
493.465	232.378	1	9702.305	<BeadTracker.Bead object at 0x000002EBC10F7850>	0.0	0	49	49	2	True	131.0	M450	M450	49
493.461	232.369	1	9716.707	<BeadTracker.Bead object at 0x000002EBC10F7BE0>	0.0	0	50	50	2	True	130.0	M450	M450	50
493.518	232.483	1	9780.716	<BeadTracker.Bead object at 0x000002EBC31524F0>	0.0	0	51	51	2	True	130.0	M450	M450	51
493.505	232.528	1	9793.031	<BeadTracker.Bead object at 0x000002EBC31529D0>	0.0	0	52	52	2	True	145.0	M450	M450	52
493.491	232.619	1	9835.698	<BeadTracker.Bead object at 0x000002EBC10E3700>	0.0	0	53	53	2	True	142.0	M450	M450	53
493.402	232.674	1	9775.866	<BeadTracker.Bead object at 0x000002EBC10E3430>	0.0	0	54	54	2	True	142.0	M450	M450	54
493.431	232.702	1	9877.747	<BeadTracker.Bead object at 0x000002EBC10E30D0>	0.0	0	55	55	2	True	141.0	M450	M450	55
493.434	232.66	1	9882.413	<BeadTracker.Bead object at 0x000002EBC28A2A00>	0.0	0	56	56	2	True	142.0	M450	M450	56
493.46	232.587	1	9925.528	<BeadTracker.Bead object at 0x000002EBC28A21F0>	0.0	0	57	57	2	True	141.0	M450	M450	57
493.403	232.663	1	9962.76	<BeadTracker.Bead object at 0x000002EBC10E1610>	0.0	0	58	58	2	True	140.0	M450	M450	58
493.418	232.625	1	9949.652	<BeadTracker.Bead object at 0x000002EBC10E1FA0>	0.0	0	59	59	2	True	141.0	M450	M450	59
493.359	232.698	1	10012.085	<BeadTracker.Bead object at 0x000002EBC10D3040>	0.0	0	60	60	2	True	110.0	M450	M450	60
493.288	232.684	1	10110.875	<BeadTracker.Bead object at 0x000002EBC10D3610>	0.0	0	61	61	2	True	110.0	M450	M450	61
493.252	232.654	1	10014.637	<BeadTracker.Bead object at 0x000002EBC302BF40>	0.0	0	62	62	2	True	110.0	M450	M450	62
493.183	232.733	1	10089.824	<BeadTracker.Bead object at 0x000002EBC302BBB0>	0.0	0	63	63	2	True	110.0	M450	M450	63
493.151	232.649	1	10133.535	<BeadTracker.Bead object at 0x000002EBC10ED130>	0.0	0	64	64	2	True	110.0	M450	M450	64
493.098	232.678	1	10061.944	<BeadTracker.Bead object at 0x000002EBC10EDCA0>	0.0	0	65	65	2	True	110.0	M450	M450	65
493.057	232.666	1	10178.847	<BeadTracker.Bead object at 0x000002EBC47B37F0>	0.0	0	66	66	2	True	110.0	M450	M450	66
493.036	232.635	1	10159.399	<BeadTracker.Bead object at 0x000002EBC47B3B80>	0.0	0	67	67	2	True	110.0	M450	M450	67
493.013	232.531	1	10246.054	<BeadTracker.Bead object at 0x000002EBBFA2E130>	0.0	0	68	68	2	True	110.0	M450	M450	68
492.976	232.484	1	10280.654	<BeadTracker.Bead object at 0x000002EBBFA2ECA0>	0.0	0	69	69	2	True	99.0	M450	M450	69
492.894	232.513	1	10372.104	<BeadTracker.Bead object at 0x000002EBC47AC7C0>	0.0	0	70	70	2	True	110.0	M450	M450	70
492.925	232.598	1	10367.755	<BeadTracker.Bead object at 0x000002EBC47AC280>	0.0	0	71	71	2	True	110.0	M450	M450	71
492.939	232.509	1	10373.184	<BeadTracker.Bead object at 0x000002EBC47AC520>	0.0	0	72	72	2	True	110.0	M450	M450	72
492.911	232.455	1	10446.288	<BeadTracker.Bead object at 0x000002EBC477D8E0>	0.0	0	73	73	2	True	99.0	M450	M450	73
492.882	232.425	1	10469.753	<BeadTracker.Bead object at 0x000002EBC477D3A0>	0.0	0	74	74	2	True	80.0	M450	M450	74
492.812	232.355	1	10443.748	<BeadTracker.Bead object at 0x000002EBBE8067F0>	0.0	0	75	75	2	True	80.0	M450	M450	75
492.818	232.278	1	10477.72	<BeadTracker.Bead object at 0x000002EBBE806DC0>	0.0	0	76	76	2	True	79.0	M450	M450	76
492.755	232.117	1	10437.629	<BeadTracker.Bead object at 0x000002EBC2550C10>	0.0	0	77	77	2	True	70.0	M450	M450	77
492.736	232.091	1	10485.865	<BeadTracker.Bead object at 0x000002EBC2550970>	0.0	0	78	78	2	True	70.0	M450	M450	78
492.704	232.2	1	10566.218	<BeadTracker.Bead object at 0x000002EBC25513A0>	0.0	0	79	79	2	True	77.0	M450	M450	79
492.695	231.905	1	10580.438	<BeadTracker.Bead object at 0x000002EBC25518B0>	0.0	0	80	80	2	True	67.0	M450	M450	80
492.622	231.769	1	10665.389	<BeadTracker.Bead object at 0x000002EBC24A1E50>	0.0	0	81	81	2	True	67.0	M450	M450	81
492.558	231.709	1	10691.745	<BeadTracker.Bead object at 0x000002EBC24A1580>	0.0	0	82	82	2	True	47.0	M450	M450	82
492.583	231.516	1	10768.401	<BeadTracker.Bead object at 0x000002EBC24A1280>	0.0	0	83	83	2	True	46.0	M450	M450	83
492.539	231.45	1	10779.051	<BeadTracker.Bead object at 0x000002EBBE808370>	0.0	0	84	84	2	True	30.0	M450	M450	84
492.556	231.643	1	10786.278	<BeadTracker.Bead object at 0x000002EBBE8081C0>	0.0	0	85	85	2	True	-9.0	M450	M450	85
492.54	231.776	1	10838.353	<BeadTracker.Bead object at 0x000002EBBC7656A0>	0.0	0	86	86	2	True	-34.0	M450	M450	86
492.536	231.784	1	10806.617	<BeadTracker.Bead object at 0x000002EBBC765E80>	0.0	0	87	87	2	True	-61.0	M450	M450	87
492.536	231.944	1	10807.496	<BeadTracker.Bead object at 0x000002EBC03BCE20>	0.0	0	88	88	2	True	-89.0	M450	M450	88
492.6	232.044	1	10741.583	<BeadTracker.Bead object at 0x000002EBC03BCD90>	0.0	0	89	89	2	True	-89.0	M450	M450	89
492.584	232.124	1	10702.718	<BeadTracker.Bead object at 0x000002EBC03BC160>	0.0	0	90	90	2	True	-92.0	M450	M450	90
492.63	232.275	1	10731.83	<BeadTracker.Bead object at 0x000002EBBE4B2EB0>	0.0	0	91	91	2	True	-52.0	M450	M450	91
