X	Y	idxCompression	StdDev	Bead	Status	Status_2	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
527.533	334.403	0	5499.178	<BeadTracker.Bead object at 0x000001DA95C08108>	1	1	0	0	1	True	-100.0	M450		0
527.295	334.166	0	5283.036	<BeadTracker.Bead object at 0x000001DA95C03188>	1	2	3	3	1	True	-110.0	M450		3
527.115	334.489	0	5073.318	<BeadTracker.Bead object at 0x000001DA95C009C8>	1	3	6	6	1	True	-108.0	M450		6
527.1	334.721	0	5121.003	<BeadTracker.Bead object at 0x000001DA95C17CC8>	1	4	9	9	1	True	-117.0	M450		9
527.16	334.706	0	5148.083	<BeadTracker.Bead object at 0x000001DA95C3E7C8>	1	5	12	12	1	True	-123.0	M450		12
527.523	334.264	0	5377.037	<BeadTracker.Bead object at 0x000001DA95C20908>	1	6	15	15	1	True	-110.0	M450		15
527.666	334.161	1	12732.709	<BeadTracker.Bead object at 0x000001DA95C333C8>	0	0	18	18	2	True	-70.0	M450		18
527.601	334.219	1	12330.866	<BeadTracker.Bead object at 0x000001DA95C33E48>	0	0	19	19	1	True	-30.0	M450		19
527.699	334.134	1	11720.332	<BeadTracker.Bead object at 0x000001DA95C04248>	0	0	20	20	2	True	-62.0	M450		20
527.724	334.087	1	11442.518	<BeadTracker.Bead object at 0x000001DA95C04708>	0	0	21	21	2	True	-78.0	M450		21
527.737	333.994	1	11379.247	<BeadTracker.Bead object at 0x000001DA95C02348>	0	0	22	22	2	True	-79.0	M450		22
527.737	334.126	1	11495.229	<BeadTracker.Bead object at 0x000001DADDB6C208>	0	0	23	23	2	True	-75.0	M450		23
527.724	333.975	1	11537.019	<BeadTracker.Bead object at 0x000001DADDB6C888>	0	0	24	24	2	True	-78.0	M450		24
527.743	333.922	1	11468.102	<BeadTracker.Bead object at 0x000001DADE0641C8>	0	0	25	25	2	True	-79.0	M450		25
527.738	334.026	1	11520.467	<BeadTracker.Bead object at 0x000001DADDB75A88>	0	0	26	26	2	True	-78.0	M450		26
527.757	333.981	1	11504.081	<BeadTracker.Bead object at 0x000001DADDB75DC8>	0	0	27	27	1	True	-78.0	M450		27
527.819	334.092	1	11589.371	<BeadTracker.Bead object at 0x000001DADE068D48>	0	0	28	28	1	True	-74.0	M450		28
527.792	333.959	1	11506.809	<BeadTracker.Bead object at 0x000001DADDB8D288>	0	0	29	29	2	True	-78.0	M450		29
527.78	333.911	1	11447.645	<BeadTracker.Bead object at 0x000001DADDB8D708>	0	0	30	30	2	True	-79.0	M450		30
527.843	333.948	1	11419.352	<BeadTracker.Bead object at 0x000001DADDB8C488>	0	0	31	31	2	True	-79.0	M450		31
527.845	334.114	1	11435.173	<BeadTracker.Bead object at 0x000001DADDB6FAC8>	0	0	32	32	1	True	-76.0	M450		32
527.825	334.134	1	11563.878	<BeadTracker.Bead object at 0x000001DADDD4AF08>	0	0	33	33	1	True	-70.0	M450		33
527.886	333.936	1	11422.039	<BeadTracker.Bead object at 0x000001DADDD4A848>	0	0	34	34	2	True	-78.0	M450		34
527.888	334.026	1	11442.333	<BeadTracker.Bead object at 0x000001DADDB9A648>	0	0	35	35	1	True	-78.0	M450		35
527.858	334.024	1	11453.254	<BeadTracker.Bead object at 0x000001DADDB90248>	0	0	36	36	1	True	-78.0	M450		36
527.901	334.08	1	11422.892	<BeadTracker.Bead object at 0x000001DADDB907C8>	0	0	37	37	2	True	-76.0	M450		37
527.913	334.025	1	11444.111	<BeadTracker.Bead object at 0x000001DADDB76A08>	0	0	38	38	1	True	-78.0	M450		38
527.951	333.935	1	11406.957	<BeadTracker.Bead object at 0x000001DADE06C688>	0	0	39	39	1	True	-78.0	M450		39
527.956	333.995	1	11459.913	<BeadTracker.Bead object at 0x000001DADDB98B08>	0	0	40	40	1	True	-76.0	M450		40
527.984	333.866	1	11397.3	<BeadTracker.Bead object at 0x000001DADDB98C48>	0	0	41	41	1	True	-79.0	M450		41
527.982	333.868	1	11468.989	<BeadTracker.Bead object at 0x000001DADDB9D308>	0	0	42	42	2	True	-78.0	M450		42
527.985	333.905	1	11500.706	<BeadTracker.Bead object at 0x000001DADDB781C8>	0	0	43	43	1	True	-78.0	M450		43
527.971	333.992	1	11618.986	<BeadTracker.Bead object at 0x000001DADDB78808>	0	0	44	44	1	True	-38.0	M450		44
527.983	333.847	1	11619.26	<BeadTracker.Bead object at 0x000001DADE072F48>	0	0	45	45	1	True	-36.0	M450		45
528.014	333.8	1	11628.028	<BeadTracker.Bead object at 0x000001DADDB91908>	0	0	46	46	2	True	-36.0	M450		46
528.015	333.852	1	11701.322	<BeadTracker.Bead object at 0x000001DADDB85588>	0	0	47	47	1	True	-36.0	M450		47
528.035	333.882	1	11730.205	<BeadTracker.Bead object at 0x000001DADDB85CC8>	0	0	48	48	1	True	-35.0	M450		48
528.011	333.936	1	11636.773	<BeadTracker.Bead object at 0x000001DADDB6B788>	0	0	49	49	2	True	-37.0	M450		49
528.032	333.91	1	11624.578	<BeadTracker.Bead object at 0x000001DADE076688>	0	0	50	50	1	True	-36.0	M450		50
528.061	333.923	1	11807.986	<BeadTracker.Bead object at 0x000001DADE076048>	0	0	51	51	1	True	-35.0	M450		51
528.08	333.961	1	11945.282	<BeadTracker.Bead object at 0x000001DADDBB0808>	0	0	52	52	1	True	-35.0	M450		52
528.029	333.877	1	11875.381	<BeadTracker.Bead object at 0x000001DADDBBA908>	0	0	53	53	1	True	-35.0	M450		53
528.006	333.873	1	11728.023	<BeadTracker.Bead object at 0x000001DADDBBD508>	0	0	54	54	1	True	-35.0	M450		54
527.98	334.025	1	11877.658	<BeadTracker.Bead object at 0x000001DADDBBD488>	0	0	55	55	1	True	-36.0	M450		55
527.987	334.042	1	11902.989	<BeadTracker.Bead object at 0x000001DADDDC8608>	0	0	56	56	2	True	-35.0	M450		56
528.025	334.014	1	11907.44	<BeadTracker.Bead object at 0x000001DADDBC0AC8>	0	0	57	57	2	True	-35.0	M450		57
528.034	333.977	1	11896.021	<BeadTracker.Bead object at 0x000001DADDBC0C48>	0	0	58	58	2	True	-35.0	M450		58
528.067	333.973	1	11887.867	<BeadTracker.Bead object at 0x000001DADDBAEBC8>	0	0	59	59	1	True	-35.0	M450		59
528.064	333.934	1	11992.373	<BeadTracker.Bead object at 0x000001DADDBDB348>	0	0	60	60	1	True	-34.0	M450		60
528.065	333.894	1	12026.609	<BeadTracker.Bead object at 0x000001DADE07A088>	0	0	61	61	1	True	-34.0	M450		61
528.064	333.92	1	12077.09	<BeadTracker.Bead object at 0x000001DADDBA2488>	0	0	62	62	1	True	-34.0	M450		62
528.094	333.937	1	12027.913	<BeadTracker.Bead object at 0x000001DADDBA2A08>	0	0	63	63	1	True	-35.0	M450		63
528.093	333.952	1	12039.213	<BeadTracker.Bead object at 0x000001DADDBA7C08>	0	0	64	64	2	True	-34.0	M450		64
528.104	333.963	1	12132.09	<BeadTracker.Bead object at 0x000001DADDBD9D88>	0	0	65	65	1	True	-33.0	M450		65
528.118	334.113	1	12122.544	<BeadTracker.Bead object at 0x000001DADE07DDC8>	0	0	66	66	1	True	-25.0	M450		66
528.17	333.984	1	12188.848	<BeadTracker.Bead object at 0x000001DADDBC93C8>	0	0	67	67	1	True	-33.0	M450		67
528.148	333.975	1	12103.355	<BeadTracker.Bead object at 0x000001DADDBDE448>	0	0	68	68	2	True	-34.0	M450		68
528.196	334.07	1	12238.243	<BeadTracker.Bead object at 0x000001DADDBDE808>	0	0	69	69	2	True	-29.0	M450		69
528.203	334.147	1	12297.276	<BeadTracker.Bead object at 0x000001DADDBCD108>	0	0	70	70	2	True	-20.0	M450		70
528.27	334.093	1	12381.252	<BeadTracker.Bead object at 0x000001DADE081648>	0	0	71	71	1	True	-22.0	M450		71
528.212	334.133	1	12333.573	<BeadTracker.Bead object at 0x000001DADDBD1108>	0	0	72	72	1	True	-21.0	M450		72
528.24	334.122	1	12317.625	<BeadTracker.Bead object at 0x000001DADDBC1A88>	0	0	73	73	1	True	-22.0	M450		73
528.305	334.062	1	12323.433	<BeadTracker.Bead object at 0x000001DADDBC1F88>	0	0	74	74	1	True	-25.0	M450		74
528.268	334.005	1	12378.304	<BeadTracker.Bead object at 0x000001DADDBA5B48>	0	0	75	75	1	True	-30.0	M450		75
528.301	333.996	1	12416.094	<BeadTracker.Bead object at 0x000001DADC74D2C8>	0	0	76	76	1	True	-30.0	M450		76
528.307	334.065	1	12446.528	<BeadTracker.Bead object at 0x000001DADE086888>	0	0	77	77	1	True	-23.0	M450		77
528.273	334.068	1	12487.344	<BeadTracker.Bead object at 0x000001DADC72E088>	0	0	78	78	1	True	-22.0	M450		78
528.316	334.098	1	12568.54	<BeadTracker.Bead object at 0x000001DADC576908>	0	0	79	79	1	True	-21.0	M450		79
528.338	334.118	1	12632.735	<BeadTracker.Bead object at 0x000001DADC576C48>	0	0	80	80	1	True	2.0	M450		80
528.359	334.107	1	12656.727	<BeadTracker.Bead object at 0x000001DADC72D288>	0	0	81	81	1	True	3.0	M450		81
528.363	334.074	1	12665.286	<BeadTracker.Bead object at 0x000001DADC712AC8>	0	0	82	82	1	True	3.0	M450		82
528.425	334.201	1	12658.087	<BeadTracker.Bead object at 0x000001DADC71C3C8>	0	0	83	83	1	True	1.0	M450		83
528.458	334.307	1	12663.116	<BeadTracker.Bead object at 0x000001DADC71CF88>	0	0	84	84	1	True	0.0	M450		84
528.479	334.293	1	12685.505	<BeadTracker.Bead object at 0x000001DADC71D848>	0	0	85	85	1	True	0.0	M450		85
528.461	334.228	1	12675.668	<BeadTracker.Bead object at 0x000001DADE08ADC8>	0	0	86	86	1	True	1.0	M450		86
528.448	334.285	1	12651.659	<BeadTracker.Bead object at 0x000001DADC714048>	0	0	87	87	1	True	0.0	M450		87
528.448	334.414	1	12615.876	<BeadTracker.Bead object at 0x000001DADC737708>	0	0	88	88	1	True	0.0	M450		88
528.476	334.315	1	12699.715	<BeadTracker.Bead object at 0x000001DADC737C08>	0	0	89	89	2	True	0.0	M450		89
528.503	334.234	1	12695.658	<BeadTracker.Bead object at 0x000001DADC746908>	0	0	90	90	2	True	0.0	M450		90
528.536	334.189	1	12621.634	<BeadTracker.Bead object at 0x000001DADE08EB88>	0	0	91	91	1	True	0.0	M450		91
528.549	334.234	1	12609.684	<BeadTracker.Bead object at 0x000001DADC72BF88>	0	0	92	92	1	True	0.0	M450		92
528.509	334.263	1	12600.719	<BeadTracker.Bead object at 0x000001DADC720488>	0	0	93	93	1	True	-1.0	M450		93
528.518	334.192	1	12616.842	<BeadTracker.Bead object at 0x000001DADC7324C8>	0	0	94	94	1	True	0.0	M450		94
528.563	334.102	1	12528.788	<BeadTracker.Bead object at 0x000001DADC732948>	0	0	95	95	1	True	1.0	M450		95
528.584	333.934	1	12513.019	<BeadTracker.Bead object at 0x000001DA97A04188>	0	0	96	96	1	True	-32.0	M450		96
528.52	333.979	1	12423.808	<BeadTracker.Bead object at 0x000001DA954E2488>	0	0	97	97	1	True	-30.0	M450		97
528.572	333.952	1	12476.543	<BeadTracker.Bead object at 0x000001DA954E2688>	0	0	98	98	1	True	-31.0	M450		98
528.569	333.836	1	12434.369	<BeadTracker.Bead object at 0x000001DADC5151C8>	0	0	99	99	2	True	-34.0	M450		99
528.589	333.806	1	12534.772	<BeadTracker.Bead object at 0x000001DADC717308>	0	0	100	100	1	True	-34.0	M450		100
528.547	333.812	1	12517.38	<BeadTracker.Bead object at 0x000001DADC74A508>	0	0	101	101	1	True	-34.0	M450		101
528.556	333.785	1	12443.376	<BeadTracker.Bead object at 0x000001DADC74A888>	0	0	102	102	1	True	-34.0	M450		102
528.503	333.803	1	12417.106	<BeadTracker.Bead object at 0x000001DA93F98B48>	0	0	103	103	1	True	-34.0	M450		103
528.476	333.841	1	12481.224	<BeadTracker.Bead object at 0x000001DA979BF188>	0	0	104	104	1	True	-33.0	M450		104
528.453	333.741	1	12399.038	<BeadTracker.Bead object at 0x000001DA979BF388>	0	0	105	105	1	True	-34.0	M450		105
528.473	333.655	1	12445.3	<BeadTracker.Bead object at 0x000001DADC540CC8>	0	0	106	106	1	True	-34.0	M450		106
528.441	333.644	1	12445.893	<BeadTracker.Bead object at 0x000001DADC719548>	0	0	107	107	1	True	-34.0	M450		107
528.354	333.679	1	12498.134	<BeadTracker.Bead object at 0x000001DADC719DC8>	0	0	108	108	1	True	-34.0	M450		108
528.415	333.523	1	12478.877	<BeadTracker.Bead object at 0x000001DADC7B9488>	0	0	109	109	1	True	-35.0	M450		109
528.421	333.563	1	12329.976	<BeadTracker.Bead object at 0x000001DA95D7FE88>	0	0	110	110	2	True	-35.0	M450		110
528.351	333.642	1	12415.484	<BeadTracker.Bead object at 0x000001DA95D7F608>	0	0	111	111	1	True	-34.0	M450		111
528.335	333.652	1	12326.475	<BeadTracker.Bead object at 0x000001DA9405CD88>	0	0	112	112	1	True	-35.0	M450		112
528.339	333.795	1	12271.105	<BeadTracker.Bead object at 0x000001DA979F6A48>	0	0	113	113	1	True	-34.0	M450		113
528.406	333.616	1	12415.628	<BeadTracker.Bead object at 0x000001DA979F6188>	0	0	114	114	1	True	-34.0	M450		114
528.447	333.628	1	12328.564	<BeadTracker.Bead object at 0x000001DA95DF95C8>	0	0	115	115	1	True	-34.0	M450		115
528.431	333.708	1	12311.214	<BeadTracker.Bead object at 0x000001DA97A0D0C8>	0	0	116	116	1	True	-34.0	M450		116
528.375	333.755	1	12353.557	<BeadTracker.Bead object at 0x000001DA956B0C88>	0	0	117	117	1	True	-34.0	M450		117
528.368	333.52	1	12272.402	<BeadTracker.Bead object at 0x000001DA98898BC8>	0	0	118	118	1	True	-35.0	M450		118
528.385	333.643	1	12302.508	<BeadTracker.Bead object at 0x000001DA98881D88>	0	0	119	119	1	True	-35.0	M450		119
528.387	333.694	1	12253.479	<BeadTracker.Bead object at 0x000001DA9888BFC8>	0	0	120	120	1	True	-34.0	M450		120
528.388	333.695	1	12270.998	<BeadTracker.Bead object at 0x000001DA9AB79248>	0	0	121	121	1	True	-34.0	M450		121
528.406	333.73	1	12252.546	<BeadTracker.Bead object at 0x000001DA9885E908>	0	0	122	122	2	True	-34.0	M450		122
528.386	333.586	1	12252.307	<BeadTracker.Bead object at 0x000001DA988640C8>	0	0	123	123	1	True	-35.0	M450		123
528.355	333.726	1	12083.554	<BeadTracker.Bead object at 0x000001DA98866288>	0	0	124	124	1	True	-35.0	M450		124
528.398	333.651	1	12111.37	<BeadTracker.Bead object at 0x000001DA988666C8>	0	0	125	125	1	True	-35.0	M450		125
528.348	333.657	1	12099.021	<BeadTracker.Bead object at 0x000001DA9884EB48>	0	0	126	126	1	True	-35.0	M450		126
528.405	333.594	1	12118.842	<BeadTracker.Bead object at 0x000001DA9884CB08>	0	0	127	127	1	True	-35.0	M450		127
528.36	333.665	1	12017.85	<BeadTracker.Bead object at 0x000001DA9884C788>	0	0	128	128	1	True	-35.0	M450		128
528.348	333.586	1	12003.926	<BeadTracker.Bead object at 0x000001DA9885AE88>	0	0	129	129	1	True	-35.0	M450		129
528.304	333.694	1	11913.612	<BeadTracker.Bead object at 0x000001DA98846CC8>	0	0	130	130	1	True	-35.0	M450		130
528.345	333.646	1	12011.078	<BeadTracker.Bead object at 0x000001DA98852FC8>	0	0	131	131	1	True	-35.0	M450		131
528.329	333.514	1	12038.066	<BeadTracker.Bead object at 0x000001DA988526C8>	0	0	132	132	2	True	-35.0	M450		132
528.348	333.409	1	11967.149	<BeadTracker.Bead object at 0x000001DA98843248>	0	0	133	133	1	True	-2.0	M450		133
528.298	333.531	1	11913.86	<BeadTracker.Bead object at 0x000001DA98831D88>	0	0	134	134	2	True	-35.0	M450		134
528.282	333.555	1	11988.639	<BeadTracker.Bead object at 0x000001DA98831308>	0	0	135	135	1	True	-35.0	M450		135
528.302	333.596	1	11933.084	<BeadTracker.Bead object at 0x000001DA9881B408>	0	0	136	136	1	True	-35.0	M450		136
528.276	333.497	1	11916.848	<BeadTracker.Bead object at 0x000001DA98155188>	0	0	137	137	1	True	-2.0	M450		137
528.223	333.344	1	11927.063	<BeadTracker.Bead object at 0x000001DA98155588>	0	0	138	138	1	True	-2.0	M450		138
528.25	333.578	1	11821.232	<BeadTracker.Bead object at 0x000001DA9880FCC8>	0	0	139	139	1	True	-35.0	M450		139
528.172	333.541	1	11791.94	<BeadTracker.Bead object at 0x000001DA988149C8>	0	0	140	140	1	True	-36.0	M450		140
528.188	333.447	1	11834.111	<BeadTracker.Bead object at 0x000001DA98814048>	0	0	141	141	1	True	-2.0	M450		141
528.186	333.406	1	11884.186	<BeadTracker.Bead object at 0x000001DA987F5508>	0	0	142	142	1	True	-2.0	M450		142
528.158	333.49	1	11754.775	<BeadTracker.Bead object at 0x000001DA987E0C88>	0	0	143	143	2	True	-2.0	M450		143
528.136	333.461	1	11731.472	<BeadTracker.Bead object at 0x000001DA987D8488>	0	0	144	144	1	True	-2.0	M450		144
528.104	333.452	1	11717.8	<BeadTracker.Bead object at 0x000001DA987D8F88>	0	0	145	145	2	True	-2.0	M450		145
528.123	333.582	1	11719.632	<BeadTracker.Bead object at 0x000001DA987D1B08>	0	0	146	146	2	True	-36.0	M450		146
528.208	333.402	1	11768.111	<BeadTracker.Bead object at 0x000001DA987B3908>	0	0	147	147	2	True	-3.0	M450		147
528.178	333.598	1	11748.898	<BeadTracker.Bead object at 0x000001DA987B3648>	0	0	148	148	1	True	-35.0	M450		148
528.186	333.55	1	11735.997	<BeadTracker.Bead object at 0x000001DA9879E588>	0	0	149	149	2	True	-36.0	M450		149
528.142	333.541	1	11697.359	<BeadTracker.Bead object at 0x000001DA98792048>	0	0	150	150	1	True	-36.0	M450		150
527.822	333.874	0	5403.379	<BeadTracker.Bead object at 0x000001DA98792188>	1	7	151	151	1	True	-104.0	M450		151
527.763	333.78	0	4958.927	<BeadTracker.Bead object at 0x000001DA98789CC8>	1	8	154	154	1	True	-120.0	M450		154
528.206	333.977	0	5095.755	<BeadTracker.Bead object at 0x000001DA982FC348>	1	9	157	157	1	True	-119.0	M450		157
528.361	334.141	0	5319.567	<BeadTracker.Bead object at 0x000001DA98255688>	1	10	160	160	1	True	-110.0	M450		160
528.159	334.792	0	5290.762	<BeadTracker.Bead object at 0x000001DA982D8AC8>	1	11	163	163	1	True	-100.0	M450		163
528.423	334.997	0	5345.721	<BeadTracker.Bead object at 0x000001DA982E6348>	1	12	166	166	1	True	-108.0	M450		166
528.109	334.611	0	5325.536	<BeadTracker.Bead object at 0x000001DA9826CC08>	1	13	169	169	1	True	-111.0	M450		169
528.316	334.716	0	5334.142	<BeadTracker.Bead object at 0x000001DA982A8808>	1	14	172	172	1	True	-100.0	M450		172
528.09	334.41	0	5416.344	<BeadTracker.Bead object at 0x000001DA9829CB48>	1	15	175	175	1	True	-106.0	M450		175
528.011	334.234	0	5654.594	<BeadTracker.Bead object at 0x000001DA9828F1C8>	1	16	178	178	1	True	-106.0	M450		178
527.927	334.145	0	5671.959	<BeadTracker.Bead object at 0x000001DA97FACA08>	1	17	181	181	1	True	-105.0	M450		181
527.656	333.825	0	5473.845	<BeadTracker.Bead object at 0x000001DA97AC5248>	1	18	184	184	1	True	-98.0	M450		184
527.853	334.046	2	12546.251	<BeadTracker.Bead object at 0x000001DA97A9F148>	0	0	187	187	1	True	-58.0	M450		187
