X	Y	idxCompression	StdDev	Bead	Status	Status_2	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
418.574	183.472	0	10284.823	<BeadTracker.Bead object at 0x000001DA96A60A88>	1	1	0	0	0	True	202.0	M450	M450	0
418.635	183.311	0	10217.033	<BeadTracker.Bead object at 0x000001DA9577A548>	1	2	3	3	0	True	216.0	M450	M450	3
418.652	183.416	0	10311.915	<BeadTracker.Bead object at 0x000001DA987D10C8>	1	3	6	6	0	True	217.0	M450	M450	6
418.744	183.407	0	10326.694	<BeadTracker.Bead object at 0x000001DA987D8948>	1	4	9	9	0	True	230.0	M450	M450	9
418.912	183.451	0	10260.41	<BeadTracker.Bead object at 0x000001DA987D8688>	1	5	12	12	0	True	236.0	M450	M450	12
418.891	183.397	0	10329.221	<BeadTracker.Bead object at 0x000001DA987B3348>	1	6	15	15	0	True	236.0	M450	M450	15
418.856	183.585	1	4010.322	<BeadTracker.Bead object at 0x000001DADDF0DE48>	0	0	18	18	0	True	276.0	M450	M450	18
418.946	183.479	1	5682.281	<BeadTracker.Bead object at 0x000001DA9588A948>	0	0	19	19	0	True	274.0	M450	M450	19
419.026	183.343	1	6632.719	<BeadTracker.Bead object at 0x000001DADDF0D688>	0	0	20	20	0	True	242.0	M450	M450	20
419.025	183.379	1	6841.471	<BeadTracker.Bead object at 0x000001DADDF0D348>	0	0	21	21	0	True	239.0	M450	M450	21
419.052	183.189	1	7064.111	<BeadTracker.Bead object at 0x000001DA95893FC8>	0	0	22	22	0	True	236.0	M450	M450	22
419.003	183.281	1	7074.561	<BeadTracker.Bead object at 0x000001DA963D7288>	0	0	23	23	0	True	235.0	M450	M450	23
419.035	183.232	1	7015.825	<BeadTracker.Bead object at 0x000001DA987B3488>	0	0	24	24	0	True	237.0	M450	M450	24
419.031	183.304	1	7021.361	<BeadTracker.Bead object at 0x000001DA987E0A48>	0	0	25	25	0	True	236.0	M450	M450	25
419.058	183.27	1	7069.804	<BeadTracker.Bead object at 0x000001DA987E0CC8>	0	0	26	26	0	True	235.0	M450	M450	26
419.022	183.289	1	6933.445	<BeadTracker.Bead object at 0x000001DA979EF1C8>	0	0	27	27	0	True	238.0	M450	M450	27
418.993	183.403	1	6887.466	<BeadTracker.Bead object at 0x000001DA987F5748>	0	0	28	28	0	True	238.0	M450	M450	28
419.047	183.498	1	6633.954	<BeadTracker.Bead object at 0x000001DA987B3188>	0	0	29	29	0	True	241.0	M450	M450	29
418.979	183.48	1	6567.208	<BeadTracker.Bead object at 0x000001DA987F5EC8>	0	0	30	30	0	True	243.0	M450	M450	30
419.063	183.448	1	6557.743	<BeadTracker.Bead object at 0x000001DA987B3B08>	0	0	31	31	0	True	242.0	M450	M450	31
419.014	183.492	1	6488.879	<BeadTracker.Bead object at 0x000001DA979EF388>	0	0	32	32	0	True	243.0	M450	M450	32
419.054	183.465	1	6465.217	<BeadTracker.Bead object at 0x000001DA987F5E48>	0	0	33	33	0	True	254.0	M450	M450	33
419.057	183.513	1	6431.186	<BeadTracker.Bead object at 0x000001DA987F5F48>	0	0	34	34	0	True	263.0	M450	M450	34
419.058	183.474	1	6454.093	<BeadTracker.Bead object at 0x000001DA979EF248>	0	0	35	35	0	True	255.0	M450	M450	35
419.076	183.469	1	6544.333	<BeadTracker.Bead object at 0x000001DA987F5208>	0	0	36	36	0	True	242.0	M450	M450	36
419.027	183.477	1	6619.52	<BeadTracker.Bead object at 0x000001DA979EFF08>	0	0	37	37	0	True	241.0	M450	M450	37
419.054	183.491	1	6650.301	<BeadTracker.Bead object at 0x000001DA98814108>	0	0	38	38	0	True	241.0	M450	M450	38
419.065	183.412	1	6759.202	<BeadTracker.Bead object at 0x000001DA979EF848>	0	0	39	39	0	True	240.0	M450	M450	39
419.077	183.416	1	6844.991	<BeadTracker.Bead object at 0x000001DA98814D88>	0	0	40	40	0	True	239.0	M450	M450	40
419.076	183.361	1	6916.875	<BeadTracker.Bead object at 0x000001DA98814808>	0	0	41	41	0	True	238.0	M450	M450	41
419.12	183.349	1	7033.896	<BeadTracker.Bead object at 0x000001DA98814088>	0	0	42	42	0	True	236.0	M450	M450	42
