X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
391.801	216.247	0	7921.604	<BeadTracker.Bead object at 0x0000019D26B3B788>	2.0	1	1	1	3	True	127.0	M450	M450	1
391.814	216.481	0	8164.465	<BeadTracker.Bead object at 0x0000019C280896C8>	2.0	2	4	4	2	True	120.0	M450	M450	4
391.627	216.457	0	8222.959	<BeadTracker.Bead object at 0x0000019D26B42F88>	2.0	3	7	7	2	True	111.0	M450	M450	7
391.451	216.574	0	8455.807	<BeadTracker.Bead object at 0x0000019D26B52A08>	2.0	4	10	10	1	True	86.0	M450	M450	10
391.437	216.646	0	8677.291	<BeadTracker.Bead object at 0x0000019C282D4EC8>	2.0	5	13	13	2	True	92.0	M450	M450	13
391.541	216.524	0	8782.609	<BeadTracker.Bead object at 0x0000019C4DB21648>	2.0	6	16	16	3	True	85.0	M450	M450	16
391.214	216.638	0	8655.912	<BeadTracker.Bead object at 0x0000019C282C7908>	3.0	7	20	20	3	True	-71.0	M450	M450	20
391.287	216.755	0	8778.372	<BeadTracker.Bead object at 0x0000019C4DAFAF88>	2.0	8	22	22	3	True	-49.0	M450	M450	22
391.429	216.65	0	8747.051	<BeadTracker.Bead object at 0x0000019C282F9288>	2.0	9	25	25	3	True	-52.0	M450	M450	25
391.409	216.673	0	8785.084	<BeadTracker.Bead object at 0x0000019C270E1848>	2.0	10	28	28	3	True	-49.0	M450	M450	28
391.384	216.681	0	8765.094	<BeadTracker.Bead object at 0x0000019C270C0448>	1.0	11	30	30	3	True	-50.0	M450	M450	30
391.246	216.629	0	8898.508	<BeadTracker.Bead object at 0x0000019C270D1D08>	3.0	12	35	35	3	True	-67.0	M450	M450	35
391.26	216.821	0	8877.353	<BeadTracker.Bead object at 0x0000019C282C4088>	1.0	13	36	36	2	True	-48.0	M450	M450	36
391.313	216.346	0	8928.539	<BeadTracker.Bead object at 0x0000019C270E9088>	3.0	14	41	41	3	True	-69.0	M450	M450	41
391.423	216.563	0	8856.895	<BeadTracker.Bead object at 0x0000019C288C23C8>	2.0	15	43	43	4	True	-68.0	M450	M450	43
391.217	216.602	0	8847.047	<BeadTracker.Bead object at 0x0000019C288D5188>	3.0	16	47	47	2	True	-46.0	M450	M450	47
391.346	216.592	0	8838.739	<BeadTracker.Bead object at 0x0000019C288E4208>	2.0	17	49	49	3	True	-68.0	M450	M450	49
391.267	217.11	0	8601.583	<BeadTracker.Bead object at 0x0000019CD79784C8>	3.0	18	53	53	2	True	-48.0	M450	M450	53
391.447	216.69	0	8952.611	<BeadTracker.Bead object at 0x0000019C27E1D608>	3.0	19	56	56	2	True	-53.0	M450	M450	56
391.555	216.592	0	9064.059	<BeadTracker.Bead object at 0x0000019CD7964DC8>	1.0	20	57	57	2	True	-47.0	M450	M450	57
391.246	216.195	0	9008.447	<BeadTracker.Bead object at 0x0000019C756116C8>	3.0	21	62	62	1	True	-67.0	M450	M450	62
391.036	216.481	0	8974.207	<BeadTracker.Bead object at 0x0000019C7561CF48>	2.0	22	64	64	2	True	-49.0	M450	M450	64
391.261	216.435	0	9040.608	<BeadTracker.Bead object at 0x0000019D1C9B7788>	3.0	23	68	68	2	True	-64.0	M450	M450	68
391.159	216.242	0	9089.071	<BeadTracker.Bead object at 0x0000019D1C9EB208>	2.0	24	70	70	3	True	-48.0	M450	M450	70
391.204	216.678	0	9060.229	<BeadTracker.Bead object at 0x0000019D1C9E1148>	3.0	25	74	74	2	True	-45.0	M450	M450	74
391.173	216.621	0	9055.875	<BeadTracker.Bead object at 0x0000019CC15C0608>	1.0	26	75	75	3	True	-55.0	M450	M450	75
