X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
300.811	278.661	0	10712.107	<BeadTracker.Bead object at 0x00000196F23ECCC8>	1.0	1	0	0	4	True	83.0	M450	M450	0
300.863	278.908	0	11020.214	<BeadTracker.Bead object at 0x00000196F9217E08>	1.0	2	3	3	4	True	77.0	M450	M450	3
300.93	278.698	0	10784.36	<BeadTracker.Bead object at 0x00000196F9306448>	1.0	3	6	6	4	True	77.0	M450	M450	6
300.874	278.717	0	10826.657	<BeadTracker.Bead object at 0x00000196F2358188>	1.0	4	9	9	4	True	80.0	M450	M450	9
300.969	278.949	0	10997.618	<BeadTracker.Bead object at 0x00000197B3703FC8>	1.0	5	12	12	4	True	89.0	M450	M450	12
301.398	279.652	0	11257.361	<BeadTracker.Bead object at 0x00000196EE99DAC8>	1.0	6	15	15	4	True	88.0	M450	M450	15
301.467	278.776	-1	5036.899	<BeadTracker.Bead object at 0x00000196ED778E08>	0.1	0	18	18	4	True	128.0	M450	M450	18
301.469	279.416	-1	7305.843	<BeadTracker.Bead object at 0x00000196EFB751C8>	0.1	0	19	19	4	True	168.0	M450	M450	19
301.381	278.911	-1	9039.218	<BeadTracker.Bead object at 0x00000196EFB75C08>	0.1	0	20	20	4	True	198.0	M450	M450	20
301.907	278.648	-1	11104.44	<BeadTracker.Bead object at 0x00000197795027C8>	0.1	0	21	21	4	True	159.0	M450	M450	21
301.58	279.336	-1	11036.89	<BeadTracker.Bead object at 0x0000019779502188>	0.1	0	22	22	4	True	146.0	M450	M450	22
301.29	279.38	-1	11113.658	<BeadTracker.Bead object at 0x00000196EE9A2EC8>	0.1	0	23	23	4	True	141.0	M450	M450	23
301.412	279.189	-1	11023.637	<BeadTracker.Bead object at 0x0000019779563208>	0.1	0	24	24	4	True	134.0	M450	M450	24
301.53	279.491	-1	10656.633	<BeadTracker.Bead object at 0x0000019779563488>	0.1	0	25	25	4	True	147.0	M450	M450	25
301.379	279.29	-1	10227.064	<BeadTracker.Bead object at 0x00000196EFBB20C8>	0.1	0	26	26	4	True	148.0	M450	M450	26
