X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
350.373	169.252	0	7928.004	<BeadTracker.Bead object at 0x000002438CEFA5E0>	0.0	0	0	0	1	True	251.0	M450	M450	0
350.438	169.223	0	7862.66	<BeadTracker.Bead object at 0x000002438CEFAF10>	0.0	0	1	1	1	True	253.0	M450	M450	1
350.424	169.192	0	7869.711	<BeadTracker.Bead object at 0x000002438CEFE5E0>	0.0	0	2	2	1	True	253.0	M450	M450	2
350.482	169.139	0	7913.165	<BeadTracker.Bead object at 0x000002438CEFEC70>	0.0	0	3	3	1	True	252.0	M450	M450	3
350.478	169.151	0	7918.819	<BeadTracker.Bead object at 0x000002438CF02340>	0.0	0	4	4	1	True	251.0	M450	M450	4
350.457	169.157	0	7951.638	<BeadTracker.Bead object at 0x000002438CEFA160>	0.0	0	5	5	1	True	249.0	M450	M450	5
350.493	169.188	0	7932.785	<BeadTracker.Bead object at 0x000002438CF02FA0>	0.0	0	6	6	1	True	249.0	M450	M450	6
350.508	169.26	0	8021.044	<BeadTracker.Bead object at 0x000002438CF09670>	0.0	0	7	7	1	True	262.0	M450	M450	7
350.419	169.118	0	8092.458	<BeadTracker.Bead object at 0x000002438CF09D00>	0.0	0	8	8	1	True	244.0	M450	M450	8
350.437	169.147	0	8055.811	<BeadTracker.Bead object at 0x000002438CF0E3D0>	0.0	0	9	9	1	True	247.0	M450	M450	9
350.492	169.154	0	8036.642	<BeadTracker.Bead object at 0x000002438CF0EA60>	0.0	0	10	10	1	True	246.0	M450	M450	10
350.391	169.178	0	7999.373	<BeadTracker.Bead object at 0x000002438CF14130>	0.0	0	11	11	1	True	247.0	M450	M450	11
350.481	169.131	0	7999.98	<BeadTracker.Bead object at 0x000002438CF147C0>	0.0	0	12	12	1	True	249.0	M450	M450	12
350.475	169.115	0	7948.396	<BeadTracker.Bead object at 0x000002438CF14E50>	0.0	0	13	13	1	True	249.0	M450	M450	13
350.405	169.164	0	7985.677	<BeadTracker.Bead object at 0x000002438CF19520>	0.0	0	14	14	1	True	249.0	M450	M450	14
350.472	169.076	0	7901.999	<BeadTracker.Bead object at 0x000002438CF19BB0>	0.0	0	15	15	1	True	252.0	M450	M450	15
350.477	169.067	0	7874.997	<BeadTracker.Bead object at 0x000002438CF1F280>	0.0	0	16	16	1	True	253.0	M450	M450	16
350.505	168.949	0	7849.868	<BeadTracker.Bead object at 0x000002438CF1F910>	0.0	0	17	17	1	True	269.0	M450	M450	17
350.504	169.187	0	7862.586	<BeadTracker.Bead object at 0x000002438CF1FFA0>	0.0	0	18	18	1	True	268.0	M450	M450	18
350.424	169.125	0	7890.044	<BeadTracker.Bead object at 0x000002438CF24670>	0.0	0	19	19	1	True	253.0	M450	M450	19
350.416	169.077	0	7757.244	<BeadTracker.Bead object at 0x000002438CF24D00>	0.0	0	20	20	1	True	257.0	M450	M450	20
350.451	169.109	0	7753.218	<BeadTracker.Bead object at 0x000002438CF2B3D0>	0.0	0	21	21	1	True	256.0	M450	M450	21
350.413	169.011	0	7793.913	<BeadTracker.Bead object at 0x000002438CF2BA60>	0.0	0	22	22	1	True	256.0	M450	M450	22
350.404	169.185	0	7744.187	<BeadTracker.Bead object at 0x000002438CF31130>	0.0	0	23	23	1	True	258.0	M450	M450	23
350.399	169.06	0	7736.517	<BeadTracker.Bead object at 0x000002438CF317C0>	0.0	0	24	24	1	True	258.0	M450	M450	24
350.344	169.146	0	7708.186	<BeadTracker.Bead object at 0x000002438CF31E50>	0.0	0	25	25	1	True	259.0	M450	M450	25
350.416	169.092	0	7726.361	<BeadTracker.Bead object at 0x000002438CF36520>	0.0	0	26	26	1	True	258.0	M450	M450	26
350.439	169.126	0	7764.496	<BeadTracker.Bead object at 0x000002438CF36BB0>	0.0	0	27	27	1	True	256.0	M450	M450	27
350.406	169.022	0	7765.438	<BeadTracker.Bead object at 0x000002438CF3D280>	0.0	0	28	28	1	True	257.0	M450	M450	28
350.438	169.071	0	7727.497	<BeadTracker.Bead object at 0x000002438CF3D910>	0.0	0	29	29	1	True	257.0	M450	M450	29
350.446	169.089	0	7741.985	<BeadTracker.Bead object at 0x000002438CF3DFA0>	0.0	0	30	30	1	True	257.0	M450	M450	30
350.434	169.016	0	7701.729	<BeadTracker.Bead object at 0x000002438CF44670>	0.0	0	31	31	1	True	259.0	M450	M450	31
350.497	169.171	0	7719.527	<BeadTracker.Bead object at 0x000002438CF44D00>	0.0	0	32	32	1	True	257.0	M450	M450	32
350.492	169.067	0	7796.766	<BeadTracker.Bead object at 0x000002438CF4C3D0>	0.0	0	33	33	1	True	255.0	M450	M450	33
350.449	169.025	0	7764.312	<BeadTracker.Bead object at 0x000002438CF4CA60>	0.0	0	34	34	1	True	257.0	M450	M450	34
350.485	169.103	0	7850.715	<BeadTracker.Bead object at 0x000002438CF50130>	0.0	0	35	35	1	True	253.0	M450	M450	35
350.419	169.13	0	7835.355	<BeadTracker.Bead object at 0x000002438CF507C0>	0.0	0	36	36	1	True	255.0	M450	M450	36
350.419	169.174	0	7830.084	<BeadTracker.Bead object at 0x000002438CF50E50>	0.0	0	37	37	1	True	254.0	M450	M450	37
350.491	169.091	0	7824.811	<BeadTracker.Bead object at 0x000002438CF58520>	0.0	0	38	38	1	True	254.0	M450	M450	38
350.401	169.053	0	7877.548	<BeadTracker.Bead object at 0x000002438CF58BB0>	0.0	0	39	39	1	True	254.0	M450	M450	39
350.404	169.157	0	7812.443	<BeadTracker.Bead object at 0x000002438CF5E280>	0.0	0	40	40	1	True	255.0	M450	M450	40
350.369	169.119	0	7821.413	<BeadTracker.Bead object at 0x000002438CF5E910>	0.0	0	41	41	1	True	255.0	M450	M450	41
350.402	169.035	0	7729.194	<BeadTracker.Bead object at 0x000002438CF5EFA0>	0.0	0	42	42	1	True	258.0	M450	M450	42
350.392	169.046	0	7742.998	<BeadTracker.Bead object at 0x000002438CF63670>	0.0	0	43	43	1	True	258.0	M450	M450	43
350.42	169.024	0	7843.861	<BeadTracker.Bead object at 0x000002438CF63D00>	0.0	0	44	44	1	True	255.0	M450	M450	44
350.352	168.891	0	7795.731	<BeadTracker.Bead object at 0x000002438CF693D0>	0.0	0	45	45	1	True	257.0	M450	M450	45
350.37	169.084	0	7726.739	<BeadTracker.Bead object at 0x000002438CF69A60>	0.0	0	46	46	1	True	257.0	M450	M450	46
350.37	169.106	0	7710.783	<BeadTracker.Bead object at 0x000002438CF6F130>	0.0	0	47	47	1	True	259.0	M450	M450	47
350.362	169.075	0	7602.866	<BeadTracker.Bead object at 0x000002438CF6F7C0>	0.0	0	48	48	1	True	264.0	M450	M450	48
350.34	169.211	0	7624.187	<BeadTracker.Bead object at 0x000002438CF6FE50>	0.0	0	49	49	1	True	261.0	M450	M450	49
350.384	169.222	0	7575.889	<BeadTracker.Bead object at 0x000002438CF76520>	0.0	0	50	50	1	True	264.0	M450	M450	50
350.535	169.57	0	7574.222	<BeadTracker.Bead object at 0x000002438CF76BB0>	0.0	0	51	51	1	True	278.0	M450	M450	51
350.585	169.542	0	7495.858	<BeadTracker.Bead object at 0x000002438CF7C280>	0.0	0	52	52	1	True	280.0	M450	M450	52
350.518	169.468	0	7488.499	<BeadTracker.Bead object at 0x000002438CF7C910>	0.0	0	53	53	1	True	275.0	M450	M450	53
350.467	169.41	0	7560.979	<BeadTracker.Bead object at 0x000002438CF7CFA0>	0.0	0	54	54	1	True	264.0	M450	M450	54
350.464	169.368	0	7434.458	<BeadTracker.Bead object at 0x000002438CF82670>	0.0	0	55	55	1	True	267.0	M450	M450	55
350.43	169.25	0	7399.802	<BeadTracker.Bead object at 0x000002438CF82D00>	0.0	0	56	56	1	True	269.0	M450	M450	56
