X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
365.898	107.836	0	9466.328	<BeadTracker.Bead object at 0x0000024413B5C0A0>	0.0	0	0	0	1	True	207.0		M450	0
365.919	107.847	0	9509.606	<BeadTracker.Bead object at 0x0000024413B5C9D0>	0.0	0	1	1	1	True	207.0		M450	1
365.972	107.886	0	9558.055	<BeadTracker.Bead object at 0x0000024413B5CFA0>	0.0	0	2	2	1	True	206.0		M450	2
365.972	107.866	0	9526.819	<BeadTracker.Bead object at 0x0000024413B4C670>	0.0	0	3	3	1	True	206.0		M450	3
366.041	107.889	0	9539.621	<BeadTracker.Bead object at 0x0000024413B4CD00>	0.0	0	4	4	1	True	205.0		M450	4
366.042	107.9	0	9566.354	<BeadTracker.Bead object at 0x0000024413B433D0>	0.0	0	5	5	1	True	205.0		M450	5
366.024	107.847	0	9511.035	<BeadTracker.Bead object at 0x0000024413B43A60>	0.0	0	6	6	1	True	206.0		M450	6
366.084	107.913	0	9539.299	<BeadTracker.Bead object at 0x0000024413B62130>	0.0	0	7	7	1	True	205.0		M450	7
366.016	107.852	0	9498.754	<BeadTracker.Bead object at 0x0000024413B627C0>	0.0	0	8	8	1	True	206.0		M450	8
366.081	107.862	0	9492.836	<BeadTracker.Bead object at 0x0000024413B62E50>	0.0	0	9	9	1	True	206.0		M450	9
366.151	107.836	0	9513.801	<BeadTracker.Bead object at 0x0000024413B49520>	0.0	0	10	10	1	True	205.0		M450	10
366.135	107.819	0	9526.582	<BeadTracker.Bead object at 0x0000024413B49BB0>	0.0	0	11	11	1	True	205.0		M450	11
366.144	107.783	0	9498.114	<BeadTracker.Bead object at 0x0000024413B58280>	0.0	0	12	12	1	True	206.0		M450	12
366.182	107.878	0	9543.686	<BeadTracker.Bead object at 0x0000024413B58910>	0.0	0	13	13	1	True	205.0		M450	13
366.121	107.73	0	9492.267	<BeadTracker.Bead object at 0x0000024413B58FA0>	0.0	0	14	14	1	True	207.0		M450	14
366.116	107.841	0	9480.145	<BeadTracker.Bead object at 0x0000024413B50670>	0.0	0	15	15	1	True	206.0		M450	15
366.174	107.802	0	9532.307	<BeadTracker.Bead object at 0x0000024413B50D00>	0.0	0	16	16	1	True	205.0		M450	16
366.124	107.817	0	9466.605	<BeadTracker.Bead object at 0x0000024413B473D0>	0.0	0	17	17	1	True	207.0		M450	17
366.207	107.823	0	9458.003	<BeadTracker.Bead object at 0x0000024413B47A60>	0.0	0	18	18	1	True	206.0		M450	18
366.206	107.829	0	9465.653	<BeadTracker.Bead object at 0x0000024413B48130>	0.0	0	19	19	1	True	206.0		M450	19
366.239	107.79	0	9447.598	<BeadTracker.Bead object at 0x0000024413B487C0>	0.0	0	20	20	1	True	207.0		M450	20
366.272	107.853	0	9467.029	<BeadTracker.Bead object at 0x0000024413B48E50>	0.0	0	21	21	1	True	207.0		M450	21
366.243	107.837	0	9408.19	<BeadTracker.Bead object at 0x00000244053A7520>	0.0	0	22	22	1	True	207.0		M450	22
366.229	107.856	0	9372.012	<BeadTracker.Bead object at 0x00000244053A7BB0>	0.0	0	23	23	1	True	207.0		M450	23
366.268	107.922	0	9387.146	<BeadTracker.Bead object at 0x000002440539A280>	0.0	0	24	24	1	True	207.0		M450	24
366.22	107.813	0	9394.386	<BeadTracker.Bead object at 0x000002440539A910>	0.0	0	25	25	1	True	207.0		M450	25
366.226	107.783	0	9419.72	<BeadTracker.Bead object at 0x000002440539AFA0>	0.0	0	26	26	1	True	207.0		M450	26
366.311	107.847	0	9437.182	<BeadTracker.Bead object at 0x0000024405385670>	0.0	0	27	27	1	True	207.0		M450	27
366.241	107.836	0	9357.303	<BeadTracker.Bead object at 0x0000024405385D00>	0.0	0	28	28	1	True	208.0		M450	28
366.273	107.847	0	9362.639	<BeadTracker.Bead object at 0x00000244053B63D0>	0.0	0	29	29	1	True	208.0		M450	29
366.311	107.847	0	9354.117	<BeadTracker.Bead object at 0x00000244053B6A60>	0.0	0	30	30	1	True	207.0		M450	30
366.23	107.822	0	9383.014	<BeadTracker.Bead object at 0x0000024405392130>	0.0	0	31	31	1	True	207.0		M450	31
366.299	107.863	0	9396.196	<BeadTracker.Bead object at 0x00000244053927C0>	0.0	0	32	32	1	True	206.0		M450	32
366.317	107.874	0	9407.095	<BeadTracker.Bead object at 0x0000024405392E50>	0.0	0	33	33	1	True	207.0		M450	33
366.225	107.804	0	9363.315	<BeadTracker.Bead object at 0x00000244053BB520>	0.0	0	34	34	1	True	208.0		M450	34
366.306	107.832	0	9409.61	<BeadTracker.Bead object at 0x00000244053BBBB0>	0.0	0	35	35	1	True	206.0		M450	35
366.322	107.833	0	9379.052	<BeadTracker.Bead object at 0x0000024405384280>	0.0	0	36	36	1	True	207.0		M450	36
366.288	107.795	0	9402.877	<BeadTracker.Bead object at 0x0000024405384910>	0.0	0	37	37	1	True	207.0		M450	37
366.337	107.819	0	9407.072	<BeadTracker.Bead object at 0x0000024405384FA0>	0.0	0	38	38	1	True	206.0		M450	38
366.292	107.822	0	9386.726	<BeadTracker.Bead object at 0x0000024405396670>	0.0	0	39	39	1	True	207.0		M450	39
366.256	107.759	0	9364.046	<BeadTracker.Bead object at 0x0000024405396D00>	0.0	0	40	40	1	True	208.0		M450	40
366.303	107.838	0	9371.56	<BeadTracker.Bead object at 0x00000244766903D0>	0.0	0	41	41	1	True	207.0		M450	41
366.271	107.819	0	9376.602	<BeadTracker.Bead object at 0x0000024476690A60>	0.0	0	42	42	1	True	207.0		M450	42
366.322	107.82	0	9402.833	<BeadTracker.Bead object at 0x00000244766BC130>	0.0	0	43	43	1	True	206.0		M450	43
366.358	107.845	0	9438.149	<BeadTracker.Bead object at 0x00000244766BC7C0>	0.0	0	44	44	1	True	206.0		M450	44
366.348	107.82	0	9442.595	<BeadTracker.Bead object at 0x00000244766BCE50>	0.0	0	45	45	1	True	205.0		M450	45
366.33	107.843	0	9444.167	<BeadTracker.Bead object at 0x0000024476681520>	0.0	0	46	46	1	True	205.0		M450	46
366.405	107.873	0	9457.118	<BeadTracker.Bead object at 0x0000024476681BB0>	0.0	0	47	47	1	True	205.0		M450	47
366.423	107.853	0	9405.672	<BeadTracker.Bead object at 0x0000024476693280>	0.0	0	48	48	1	True	205.0		M450	48
366.443	107.837	0	9417.671	<BeadTracker.Bead object at 0x0000024476693910>	0.0	0	49	49	1	True	205.0		M450	49
366.428	107.851	0	9426.999	<BeadTracker.Bead object at 0x0000024476693FA0>	0.0	0	50	50	1	True	204.0		M450	50
366.382	107.774	0	9405.838	<BeadTracker.Bead object at 0x0000024476687670>	0.0	0	51	51	1	True	206.0		M450	51
366.414	107.84	0	9427.596	<BeadTracker.Bead object at 0x0000024476687D00>	0.0	0	52	52	1	True	205.0		M450	52
366.41	107.843	0	9436.114	<BeadTracker.Bead object at 0x00000244766BD3D0>	0.0	0	53	53	1	True	205.0		M450	53
366.36	107.868	0	9397.341	<BeadTracker.Bead object at 0x00000244766BDA60>	0.0	0	54	54	1	True	206.0		M450	54
