X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
442.753	100.389	0	4829.17	<BeadTracker.Bead object at 0x0000024415F23340>	0.0	0	0	0	0	True	373.0	M450	M450	0
442.772	100.438	0	4838.713	<BeadTracker.Bead object at 0x0000024415F23C70>	0.0	0	1	1	0	True	372.0	M450	M450	1
442.822	100.456	0	4848.434	<BeadTracker.Bead object at 0x0000024415F23BE0>	0.0	0	2	2	0	True	371.0	M450	M450	2
442.783	100.406	0	4816.223	<BeadTracker.Bead object at 0x000002438954DC10>	0.0	0	3	3	0	True	372.0	M450	M450	3
442.869	100.455	0	4813.28	<BeadTracker.Bead object at 0x000002438954D160>	0.0	0	4	4	0	True	372.0	M450	M450	4
442.838	100.422	0	4815.443	<BeadTracker.Bead object at 0x000002438954D310>	0.0	0	5	5	0	True	372.0	M450	M450	5
442.841	100.388	0	4784.259	<BeadTracker.Bead object at 0x000002438954D7F0>	0.0	0	6	6	0	True	372.0	M450	M450	6
442.893	100.446	0	4790.044	<BeadTracker.Bead object at 0x000002438954D340>	0.0	0	7	7	0	True	371.0	M450	M450	7
442.837	100.426	0	4783.7	<BeadTracker.Bead object at 0x0000024415F235E0>	0.0	0	8	8	0	True	373.0	M450	M450	8
442.852	100.443	0	4815.537	<BeadTracker.Bead object at 0x0000024415F23D30>	0.0	0	9	9	0	True	372.0	M450	M450	9
442.944	100.459	0	4784.311	<BeadTracker.Bead object at 0x000002438954D910>	0.0	0	10	10	0	True	373.0	M450	M450	10
442.94	100.439	0	4816.698	<BeadTracker.Bead object at 0x000002438954D790>	0.0	0	11	11	0	True	373.0	M450	M450	11
442.92	100.379	0	4808.394	<BeadTracker.Bead object at 0x000002438954DB80>	0.0	0	12	12	0	True	374.0	M450	M450	12
442.967	100.468	0	4825.066	<BeadTracker.Bead object at 0x000002438954D4F0>	0.0	0	13	13	0	True	372.0	M450	M450	13
442.925	100.333	0	4745.249	<BeadTracker.Bead object at 0x00000245B1219E80>	0.0	0	14	14	0	True	373.0	M450	M450	14
442.91	100.462	0	4790.635	<BeadTracker.Bead object at 0x00000245B12194F0>	0.0	0	15	15	0	True	373.0	M450	M450	15
442.943	100.391	0	4847.499	<BeadTracker.Bead object at 0x00000245B1219CA0>	0.0	0	16	16	0	True	372.0	M450	M450	16
442.922	100.357	0	4817.408	<BeadTracker.Bead object at 0x00000245B1219D30>	0.0	0	17	17	0	True	373.0	M450	M450	17
