X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
184.544	147.441	0	7695.953	<BeadTracker.Bead object at 0x0000021C29FAB730>	1.0	1	0	0	0	True	462.0	M450		0
184.632	147.348	0	7663.379	<BeadTracker.Bead object at 0x0000021C29FA3940>	1.0	2	3	3	0	True	459.0	M450		3
184.53	147.178	0	7658.262	<BeadTracker.Bead object at 0x0000021C29FB2F10>	1.0	3	6	6	0	True	460.0	M450		6
184.757	146.875	0	7886.394	<BeadTracker.Bead object at 0x0000021C29FBD070>	1.0	4	9	9	0	True	461.0	M450		9
184.033	146.998	0	4287.809	<BeadTracker.Bead object at 0x0000021C29FBD550>	1.0	5	12	12	0	True	501.0	M450		12
184.211	146.824	0	4291.387	<BeadTracker.Bead object at 0x0000021C29FBDAF0>	1.0	6	15	15	0	True	498.0	M450		15
184.297	146.926	0	4284.574	<BeadTracker.Bead object at 0x0000021C29FDC0D0>	1.0	7	18	18	0	True	501.0	M450		18
184.315	146.922	0	4303.049	<BeadTracker.Bead object at 0x0000021C29FDC850>	2.0	8	22	22	0	True	500.0	M450		22
184.384	146.878	0	4298.334	<BeadTracker.Bead object at 0x0000021C29FDCDF0>	2.0	9	25	25	0	True	500.0	M450		25
184.383	146.946	0	4322.432	<BeadTracker.Bead object at 0x0000021C29FD75E0>	3.0	10	29	29	0	True	500.0	M450		29
184.38	146.981	0	4290.998	<BeadTracker.Bead object at 0x0000021C29FD7C10>	3.0	11	32	32	0	True	501.0	M450		32
184.4	146.887	0	4289.63	<BeadTracker.Bead object at 0x0000021C29FD7E20>	1.0	12	33	33	0	True	500.0	M450		33
184.377	146.922	0	4290.257	<BeadTracker.Bead object at 0x0000021C29FD3490>	1.0	13	36	36	0	True	501.0	M450		36
184.296	146.86	0	4292.954	<BeadTracker.Bead object at 0x0000021C29FD3CD0>	2.0	14	40	40	0	True	501.0	M450		40
184.275	146.886	0	4315.504	<BeadTracker.Bead object at 0x0000021C29FCD550>	3.0	15	44	44	0	True	500.0	M450		44
184.295	146.756	0	4281.358	<BeadTracker.Bead object at 0x0000021C29FCDB80>	3.0	16	47	47	0	True	499.0	M450		47
184.311	146.806	0	4304.115	<BeadTracker.Bead object at 0x0000021C29FCDD90>	1.0	17	48	48	0	True	500.0	M450		48
184.259	146.679	0	4310.573	<BeadTracker.Bead object at 0x0000021C29FCB400>	1.0	18	51	51	0	True	497.0	M450		51
184.299	146.736	0	4322.729	<BeadTracker.Bead object at 0x0000021C29FCBA30>	1.0	19	54	54	0	True	500.0	M450		54
184.302	146.694	0	4323.626	<BeadTracker.Bead object at 0x0000021C29FF20A0>	1.0	20	57	57	0	True	501.0	M450		57
184.332	146.751	0	4282.999	<BeadTracker.Bead object at 0x0000021C29FF2AF0>	3.0	21	62	62	0	True	500.0	M450		62
184.359	146.744	0	4301.575	<BeadTracker.Bead object at 0x0000021C29FF2D00>	1.0	22	63	63	0	True	499.0	M450		63
184.33	146.702	0	4296.905	<BeadTracker.Bead object at 0x0000021C29FEC790>	3.0	23	68	68	0	True	502.0	M450		68
184.325	146.726	0	4348.856	<BeadTracker.Bead object at 0x0000021C29FECBB0>	2.0	24	70	70	0	True	501.0	M450		70
184.307	146.701	0	4290.901	<BeadTracker.Bead object at 0x0000021C29FE9430>	3.0	25	74	74	0	True	500.0	M450		74
184.292	146.638	0	4320.31	<BeadTracker.Bead object at 0x0000021C29FE9850>	2.0	26	76	76	0	True	540.0	M450		76
184.307	146.658	1	4284.753	<BeadTracker.Bead object at 0x0000021C29FE9A60>	0.0	0	77	77	0	True	501.0	M450		77
184.271	146.676	1	4333.83	<BeadTracker.Bead object at 0x0000021C29FE9C70>	0.0	0	78	78	0	True	462.0	M450		78
184.244	146.668	1	4281.144	<BeadTracker.Bead object at 0x0000021C29FE9BE0>	0.0	0	79	79	0	True	454.0	M450		79
184.284	146.606	1	4297.682	<BeadTracker.Bead object at 0x0000021C29FE30D0>	0.0	0	80	80	0	True	457.0	M450		80
184.361	146.568	1	4294.822	<BeadTracker.Bead object at 0x0000021C29FE32E0>	0.0	0	81	81	0	True	453.0	M450		81
184.357	146.571	1	4295.962	<BeadTracker.Bead object at 0x0000021C29FE34F0>	0.0	0	82	82	0	True	456.0	M450		82
184.341	146.536	1	4302.029	<BeadTracker.Bead object at 0x0000021C29FE3700>	0.0	0	83	83	0	True	452.0	M450		83
184.331	146.594	1	4327.945	<BeadTracker.Bead object at 0x0000021C29FE3910>	0.0	0	84	84	0	True	458.0	M450		84
184.338	146.588	1	4322.121	<BeadTracker.Bead object at 0x0000021C29FE3B20>	0.0	0	85	85	0	True	454.0	M450		85
184.328	146.638	1	4324.908	<BeadTracker.Bead object at 0x0000021C29FE3D30>	0.0	0	86	86	0	True	459.0	M450		86
184.371	146.487	1	4251.758	<BeadTracker.Bead object at 0x0000021C2A00F070>	0.0	0	87	87	0	True	462.0	M450		87
184.337	146.55	1	4310.533	<BeadTracker.Bead object at 0x0000021C2A00F190>	0.0	0	88	88	0	True	459.0	M450		88
184.356	146.574	1	4305.171	<BeadTracker.Bead object at 0x0000021C2A00F3A0>	0.0	0	89	89	0	True	462.0	M450		89
184.393	146.675	1	4246.939	<BeadTracker.Bead object at 0x0000021C2A00F5B0>	0.0	0	90	90	0	True	457.0	M450		90
184.398	146.599	1	4278.539	<BeadTracker.Bead object at 0x0000021C2A00F7C0>	0.0	0	91	91	0	True	454.0	M450		91
184.432	146.608	1	4285.353	<BeadTracker.Bead object at 0x0000021C2A00F9D0>	0.0	0	92	92	0	True	455.0	M450		92
184.412	146.664	1	4275.707	<BeadTracker.Bead object at 0x0000021C2A00FBE0>	0.0	0	93	93	0	True	454.0	M450		93
184.429	146.64	1	4272.379	<BeadTracker.Bead object at 0x0000021C2A00FDF0>	0.0	0	94	94	0	True	456.0	M450		94
184.444	146.694	1	4297.624	<BeadTracker.Bead object at 0x0000021C2A00A040>	0.0	0	95	95	0	True	455.0	M450		95
184.431	146.699	1	4255.386	<BeadTracker.Bead object at 0x0000021C2A00A250>	0.0	0	96	96	0	True	459.0	M450		96
184.492	146.626	1	4219.548	<BeadTracker.Bead object at 0x0000021C2A00A460>	0.0	0	97	97	0	True	452.0	M450		97
184.435	146.729	1	4256.788	<BeadTracker.Bead object at 0x0000021C2A00A670>	0.0	0	98	98	0	True	458.0	M450		98
184.494	146.659	1	4270.043	<BeadTracker.Bead object at 0x0000021C2A00A880>	0.0	0	99	99	0	True	454.0	M450		99
184.475	146.644	1	4257.739	<BeadTracker.Bead object at 0x0000021C2A00AA90>	0.0	0	100	100	0	True	454.0	M450		100
184.497	146.528	1	4272.555	<BeadTracker.Bead object at 0x0000021C2A00ACA0>	0.0	0	101	101	0	True	450.0	M450		101
184.473	146.573	1	4286.532	<BeadTracker.Bead object at 0x0000021C2A005040>	0.0	0	102	102	0	True	452.0	M450		102
184.458	146.602	1	4259.541	<BeadTracker.Bead object at 0x0000021C2A005100>	0.0	0	103	103	0	True	453.0	M450		103
184.493	146.637	1	4263.081	<BeadTracker.Bead object at 0x0000021C2A005310>	0.0	0	104	104	0	True	452.0	M450		104
184.493	146.548	1	4290.473	<BeadTracker.Bead object at 0x0000021C2A005520>	0.0	0	105	105	0	True	450.0	M450		105
184.46	146.584	1	4291.726	<BeadTracker.Bead object at 0x0000021C2A005730>	0.0	0	106	106	0	True	453.0	M450		106
184.486	146.423	1	4280.448	<BeadTracker.Bead object at 0x0000021C2A005940>	0.0	0	107	107	0	True	456.0	M450		107
184.492	146.584	1	4275.78	<BeadTracker.Bead object at 0x0000021C2A005B50>	0.0	0	108	108	0	True	451.0	M450		108
184.492	146.591	1	4284.145	<BeadTracker.Bead object at 0x0000021C2A005D60>	0.0	0	109	109	0	True	451.0	M450		109
184.47	146.631	1	4288.417	<BeadTracker.Bead object at 0x0000021C29FFF0A0>	0.0	0	110	110	0	True	454.0	M450		110
184.495	146.483	1	4258.965	<BeadTracker.Bead object at 0x0000021C29FFF1C0>	0.0	0	111	111	0	True	458.0	M450		111
184.499	146.59	1	4269.914	<BeadTracker.Bead object at 0x0000021C29FFF3D0>	0.0	0	112	112	0	True	455.0	M450		112
184.448	146.522	1	4283.901	<BeadTracker.Bead object at 0x0000021C29FFF5E0>	0.0	0	113	113	0	True	453.0	M450		113
184.461	146.522	1	4299.457	<BeadTracker.Bead object at 0x0000021C29FFF7F0>	0.0	0	114	114	0	True	453.0	M450		114
184.499	146.37	1	4281.04	<BeadTracker.Bead object at 0x0000021C29FFFA00>	0.0	0	115	115	0	True	458.0	M450		115
184.5	146.553	1	4267.502	<BeadTracker.Bead object at 0x0000021C29FFFC10>	0.0	0	116	116	0	True	454.0	M450		116
184.485	146.552	1	4284.571	<BeadTracker.Bead object at 0x0000021C29FFFE20>	0.0	0	117	117	0	True	452.0	M450		117
184.437	146.599	1	4303.78	<BeadTracker.Bead object at 0x0000021C29FFB070>	0.0	0	118	118	0	True	454.0	M450		118
184.475	146.463	1	4266.013	<BeadTracker.Bead object at 0x0000021C29FFB280>	0.0	0	119	119	0	True	458.0	M450		119
184.508	146.546	1	4283.044	<BeadTracker.Bead object at 0x0000021C29FFB490>	0.0	0	120	120	0	True	451.0	M450		120
184.502	146.493	1	4287.217	<BeadTracker.Bead object at 0x0000021C29FFB6A0>	0.0	0	121	121	0	True	457.0	M450		121
184.509	146.603	1	4285.309	<BeadTracker.Bead object at 0x0000021C29FFB8B0>	0.0	0	122	122	0	True	454.0	M450		122
184.532	146.552	1	4297.208	<BeadTracker.Bead object at 0x0000021C29FFBAC0>	0.0	0	123	123	0	True	451.0	M450		123
184.554	146.608	1	4305.878	<BeadTracker.Bead object at 0x0000021C29FFBCD0>	0.0	0	124	124	0	True	453.0	M450		124
184.579	146.422	1	4279.585	<BeadTracker.Bead object at 0x0000021C29FF6040>	0.0	0	125	125	0	True	456.0	M450		125
184.566	146.528	1	4288.413	<BeadTracker.Bead object at 0x0000021C29FF6130>	0.0	0	126	126	0	True	452.0	M450		126
184.601	146.395	1	4298.285	<BeadTracker.Bead object at 0x0000021C29FF6340>	0.0	0	127	127	0	True	453.0	M450		127
184.576	146.545	1	4290.359	<BeadTracker.Bead object at 0x0000021C29FF6550>	0.0	0	128	128	0	True	452.0	M450		128
184.565	146.466	1	4278.772	<BeadTracker.Bead object at 0x0000021C29FF6760>	0.0	0	129	129	0	True	456.0	M450		129
184.61	146.507	1	4299.072	<BeadTracker.Bead object at 0x0000021C29FF6970>	0.0	0	130	130	0	True	453.0	M450		130
184.606	146.441	1	4322.079	<BeadTracker.Bead object at 0x0000021C29FF6B80>	0.0	0	131	131	0	True	457.0	M450		131
184.577	146.499	1	4290.293	<BeadTracker.Bead object at 0x0000021C29FF6D90>	0.0	0	132	132	0	True	459.0	M450		132
184.582	146.436	1	4267.269	<BeadTracker.Bead object at 0x0000021C2A018190>	0.0	0	133	133	0	True	456.0	M450		133
184.577	146.435	1	4313.536	<BeadTracker.Bead object at 0x0000021C2A0181F0>	0.0	0	134	134	0	True	457.0	M450		134
184.584	146.295	1	4239.081	<BeadTracker.Bead object at 0x0000021C2A018400>	0.0	0	135	135	0	True	456.0	M450		135
184.537	146.385	1	4271.402	<BeadTracker.Bead object at 0x0000021C2A018610>	0.0	0	136	136	0	True	457.0	M450		136
184.566	146.36	1	4254.442	<BeadTracker.Bead object at 0x0000021C2A018820>	0.0	0	137	137	0	True	457.0	M450		137
184.577	146.318	1	4286.112	<BeadTracker.Bead object at 0x0000021C2A018A30>	0.0	0	138	138	0	True	457.0	M450		138
184.596	146.319	1	4234.53	<BeadTracker.Bead object at 0x0000021C2A018C40>	0.0	0	139	139	0	True	456.0	M450		139
184.555	146.414	1	4284.16	<BeadTracker.Bead object at 0x0000021C2A018E50>	0.0	0	140	140	0	True	458.0	M450		140
184.574	146.202	1	4240.24	<BeadTracker.Bead object at 0x0000021C2A01E0A0>	0.0	0	141	141	0	True	456.0	M450		141
184.58	146.328	1	4279.847	<BeadTracker.Bead object at 0x0000021C2A01E2B0>	0.0	0	142	142	0	True	457.0	M450		142
184.638	146.182	1	4274.81	<BeadTracker.Bead object at 0x0000021C2A01E4C0>	0.0	0	143	143	0	True	454.0	M450		143
184.639	146.232	1	4261.724	<BeadTracker.Bead object at 0x0000021C2A01E6D0>	0.0	0	144	144	0	True	458.0	M450		144
184.601	146.157	1	4281.236	<BeadTracker.Bead object at 0x0000021C2A01E8E0>	0.0	0	145	145	0	True	455.0	M450		145
184.619	146.281	1	4273.777	<BeadTracker.Bead object at 0x0000021C2A01EAF0>	0.0	0	146	146	0	True	460.0	M450		146
184.641	146.212	1	4262.715	<BeadTracker.Bead object at 0x0000021C2A01ED00>	0.0	0	147	147	0	True	459.0	M450		147
