X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
253.173	251.021	0	3934.386	<BeadTracker.Bead object at 0x000001C61C46B8E0>	1.0	1	0	0	0	True	570.0		M450	0
253.579	250.58	0	2291.714	<BeadTracker.Bead object at 0x000001C6296D1130>	2.0	2	4	4	0	True	542.0		M450	4
253.437	250.28	0	2275.901	<BeadTracker.Bead object at 0x000001C6385F85B0>	2.0	3	7	7	0	True	557.0		M450	7
253.263	249.542	0	3858.837	<BeadTracker.Bead object at 0x000001C6385F8BE0>	1.0	4	9	9	0	True	573.0		M450	9
252.887	249.086	0	3874.616	<BeadTracker.Bead object at 0x000001C6385F87F0>	1.0	5	12	12	0	True	581.0		M450	12
252.473	249.107	0	3903.938	<BeadTracker.Bead object at 0x000001C5CAB30760>	1.0	6	15	15	0	True	571.0		M450	15
252.724	249.521	-1	1868.264	<BeadTracker.Bead object at 0x000001C5CAB30910>	0.1	0	18	18	0	True	611.0		M450	18
252.579	249.127	-1	2298.971	<BeadTracker.Bead object at 0x000001C5CB3E1250>	0.1	0	19	19	0	True	633.0		M450	19
252.626	249.423	-1	2331.536	<BeadTracker.Bead object at 0x000001C5CA62B610>	0.1	0	20	20	0	True	594.0		M450	20
252.663	249.085	-1	2312.032	<BeadTracker.Bead object at 0x000001C61DB74E50>	0.1	0	21	21	0	True	584.0		M450	21
252.67	249.401	-1	2317.854	<BeadTracker.Bead object at 0x000001C5CCFA6FA0>	0.1	0	22	22	0	True	581.0		M450	22
252.675	249.132	-1	2314.718	<BeadTracker.Bead object at 0x000001C6327070A0>	0.1	0	23	23	0	True	579.0		M450	23
252.681	249.382	-1	2320.131	<BeadTracker.Bead object at 0x000001C6327075B0>	0.1	0	24	24	0	True	580.0		M450	24
252.699	249.127	-1	2331.807	<BeadTracker.Bead object at 0x000001C6327074C0>	0.1	0	25	25	0	True	580.0		M450	25
252.686	249.459	-1	2333.993	<BeadTracker.Bead object at 0x000001C6327074F0>	0.1	0	26	26	0	True	581.0		M450	26
252.681	249.252	-1	2325.977	<BeadTracker.Bead object at 0x000001C632707F40>	0.1	0	27	27	0	True	581.0		M450	27
252.663	249.467	-1	2339.927	<BeadTracker.Bead object at 0x000001C632707B50>	0.1	0	28	28	0	True	581.0		M450	28
252.721	249.209	-1	2314.135	<BeadTracker.Bead object at 0x000001C632707EE0>	0.1	0	29	29	0	True	580.0		M450	29
252.717	249.515	-1	2342.558	<BeadTracker.Bead object at 0x000001C629A84790>	0.1	0	30	30	0	True	575.0		M450	30
252.667	249.253	-1	2354.967	<BeadTracker.Bead object at 0x000001C629A842B0>	0.1	0	31	31	0	True	581.0		M450	31
252.755	249.479	-1	2335.785	<BeadTracker.Bead object at 0x000001C629A84F40>	0.1	0	32	32	0	True	581.0		M450	32
252.717	249.17	-1	2340.144	<BeadTracker.Bead object at 0x000001C629A84520>	0.1	0	33	33	0	True	581.0		M450	33
252.701	249.442	-1	2338.288	<BeadTracker.Bead object at 0x000001C629A84E20>	0.1	0	34	34	0	True	580.0		M450	34
252.637	249.162	-1	2328.476	<BeadTracker.Bead object at 0x000001C629A84DF0>	0.1	0	35	35	0	True	580.0		M450	35
252.582	249.536	-1	2338.238	<BeadTracker.Bead object at 0x000001C629A845E0>	0.1	0	36	36	0	True	575.0		M450	36
252.622	249.16	-1	2333.075	<BeadTracker.Bead object at 0x000001C629A84CA0>	0.1	0	37	37	0	True	581.0		M450	37
252.649	249.498	-1	2342.547	<BeadTracker.Bead object at 0x000001C629A848B0>	0.1	0	38	38	0	True	582.0		M450	38
252.597	249.126	-1	2334.807	<BeadTracker.Bead object at 0x000001C62955F220>	0.1	0	39	39	0	True	582.0		M450	39
252.573	249.502	-1	2360.157	<BeadTracker.Bead object at 0x000001C62955FA30>	0.1	0	40	40	0	True	574.0		M450	40
252.598	249.047	-1	2328.919	<BeadTracker.Bead object at 0x000001C62955F2B0>	0.1	0	41	41	0	True	582.0		M450	41
252.557	249.385	-1	2359.521	<BeadTracker.Bead object at 0x000001C62955FC70>	0.1	0	42	42	0	True	582.0		M450	42
252.57	249.147	-1	2364.603	<BeadTracker.Bead object at 0x000001C62955F910>	0.1	0	43	43	0	True	581.0		M450	43
252.598	249.483	-1	2346.899	<BeadTracker.Bead object at 0x000001C62955F700>	0.1	0	44	44	0	True	581.0		M450	44
252.635	249.181	-1	2341.376	<BeadTracker.Bead object at 0x000001C62955F340>	0.1	0	45	45	0	True	581.0		M450	45
252.618	249.532	-1	2363.484	<BeadTracker.Bead object at 0x000001C629A5A130>	0.1	0	46	46	0	True	576.0		M450	46
252.637	249.059	-1	2343.471	<BeadTracker.Bead object at 0x000001C629A5A1C0>	0.1	0	47	47	0	True	583.0		M450	47
252.609	249.583	-1	2348.799	<BeadTracker.Bead object at 0x000001C629A5A040>	0.1	0	48	48	0	True	576.0		M450	48
252.668	249.19	-1	2330.379	<BeadTracker.Bead object at 0x000001C629A5A6D0>	0.1	0	49	49	0	True	583.0		M450	49
252.643	249.536	-1	2358.961	<BeadTracker.Bead object at 0x000001C629A5A940>	0.1	0	50	50	0	True	577.0		M450	50
252.691	249.092	-1	2354.481	<BeadTracker.Bead object at 0x000001C629A5AB50>	0.1	0	51	51	0	True	585.0		M450	51
252.699	249.499	-1	2354.752	<BeadTracker.Bead object at 0x000001C629A5A250>	0.1	0	52	52	0	True	584.0		M450	52
252.625	249.228	-1	2367.23	<BeadTracker.Bead object at 0x000001C629A5A550>	0.1	0	53	53	0	True	584.0		M450	53
