X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
325.937	269.48	0	8463.369	<BeadTracker.Bead object at 0x000001C5CC35F580>	1.0	1	0	0	1	True	28.0	M450		0
325.747	269.952	0	7731.91	<BeadTracker.Bead object at 0x000001C5CC341BE0>	2.0	2	4	4	1	True	38.0	M450		4
325.47	270.002	0	7692.116	<BeadTracker.Bead object at 0x000001C5CC337CA0>	2.0	3	7	7	1	True	37.0	M450		7
325.279	269.444	0	8445.658	<BeadTracker.Bead object at 0x000001C5CC342C10>	1.0	4	9	9	1	True	30.0	M450		9
324.805	269.361	0	8415.936	<BeadTracker.Bead object at 0x000001C5CC335F70>	1.0	5	12	12	1	True	31.0	M450		12
324.595	269.555	0	8298.113	<BeadTracker.Bead object at 0x000001C5CC350460>	1.0	6	15	15	1	True	18.0	M450		15
324.349	270.621	-1	6035.445	<BeadTracker.Bead object at 0x000001C5CC3255E0>	0.1	0	18	18	1	True	58.0	M450		18
324.448	270.029	-1	7225.948	<BeadTracker.Bead object at 0x000001C5CC325EE0>	0.1	0	19	19	1	True	98.0	M450		19
324.453	270.259	-1	7595.955	<BeadTracker.Bead object at 0x000001C6191153A0>	0.1	0	20	20	1	True	99.0	M450		20
324.435	269.926	-1	7632.456	<BeadTracker.Bead object at 0x000001C619115880>	0.1	0	21	21	1	True	97.0	M450		21
324.444	270.287	-1	7705.566	<BeadTracker.Bead object at 0x000001C619115E80>	0.1	0	22	22	1	True	90.0	M450		22
324.457	269.977	-1	7701.84	<BeadTracker.Bead object at 0x000001C61912D6A0>	0.1	0	23	23	1	True	94.0	M450		23
324.464	270.213	-1	7729.027	<BeadTracker.Bead object at 0x000001C61912DC10>	0.1	0	24	24	1	True	90.0	M450		24
324.475	270.036	-1	7665.192	<BeadTracker.Bead object at 0x000001C6191443D0>	0.1	0	25	25	1	True	94.0	M450		25
