X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
249.469	187.474	0	9861.799	<BeadTracker.Bead object at 0x000001C5CDFCC550>	1.0	1	0	0	4	True	129.0	M450	M450	0
249.363	187.604	0	9893.088	<BeadTracker.Bead object at 0x000001C5CDFB67F0>	1.0	2	3	3	4	True	118.0	M450	M450	3
249.343	187.505	0	9927.734	<BeadTracker.Bead object at 0x000001C5CDFE2C40>	1.0	3	6	6	4	True	117.0	M450	M450	6
249.09	188.472	0	6974.65	<BeadTracker.Bead object at 0x000001C5CDFC8A30>	2.0	4	10	10	4	True	123.0	M450	M450	10
249.053	188.563	0	6995.216	<BeadTracker.Bead object at 0x000001C5CDFD0F10>	2.0	5	13	13	4	True	115.0	M450	M450	13
248.978	188.295	0	7050.47	<BeadTracker.Bead object at 0x000001C5CDFBC370>	2.0	6	16	16	4	True	116.0	M450	M450	16
248.707	188.912	-1	4666.884	<BeadTracker.Bead object at 0x000001C5CDFE50A0>	0.1	0	18	18	4	True	156.0	M450	M450	18
248.888	188.468	-1	5375.656	<BeadTracker.Bead object at 0x000001C5CDFE5790>	0.1	0	19	19	4	True	178.0	M450	M450	19
248.947	188.616	-1	6169.807	<BeadTracker.Bead object at 0x000001C5CDFE5E80>	0.1	0	20	20	4	True	144.0	M450	M450	20
248.999	188.355	-1	6576.631	<BeadTracker.Bead object at 0x000001C5CDFCB700>	0.1	0	21	21	4	True	137.0	M450	M450	21
248.967	188.614	-1	6648.229	<BeadTracker.Bead object at 0x000001C5CDFCBC40>	0.1	0	22	22	4	True	132.0	M450	M450	22
249.067	188.217	-1	6724.388	<BeadTracker.Bead object at 0x000001C61B83E3D0>	0.1	0	23	23	4	True	132.0	M450	M450	23
249.038	188.527	-1	6774.626	<BeadTracker.Bead object at 0x000001C61B83EAC0>	0.1	0	24	24	4	True	131.0	M450	M450	24
248.995	188.301	-1	6766.448	<BeadTracker.Bead object at 0x000001C61B8391F0>	0.1	0	25	25	4	True	132.0	M450	M450	25
248.973	188.505	-1	6727.204	<BeadTracker.Bead object at 0x000001C61B8398E0>	0.1	0	26	26	4	True	131.0	M450	M450	26
249.008	188.302	-1	6748.172	<BeadTracker.Bead object at 0x000001C61B839FD0>	0.1	0	27	27	4	True	133.0	M450	M450	27
249.04	188.407	-1	6711.993	<BeadTracker.Bead object at 0x000001C61B82C700>	0.1	0	28	28	4	True	133.0	M450	M450	28
249.024	188.229	-1	6740.965	<BeadTracker.Bead object at 0x000001C61B82CDF0>	0.1	0	29	29	4	True	132.0	M450	M450	29
248.982	188.485	-1	6761.618	<BeadTracker.Bead object at 0x000001C61B829520>	0.1	0	30	30	4	True	133.0	M450	M450	30
248.986	188.322	-1	6714.185	<BeadTracker.Bead object at 0x000001C61B829C10>	0.1	0	31	31	4	True	133.0	M450	M450	31
248.923	188.348	-1	6696.805	<BeadTracker.Bead object at 0x000001C61B850340>	0.1	0	32	32	4	True	134.0	M450	M450	32
248.953	188.176	-1	6758.235	<BeadTracker.Bead object at 0x000001C61B850A30>	0.1	0	33	33	4	True	131.0	M450	M450	33
248.927	188.454	-1	6708.423	<BeadTracker.Bead object at 0x000001C61B856160>	0.1	0	34	34	4	True	134.0	M450	M450	34
248.921	188.188	-1	6717.591	<BeadTracker.Bead object at 0x000001C61B856850>	0.1	0	35	35	4	True	133.0	M450	M450	35
248.894	188.478	-1	6714.722	<BeadTracker.Bead object at 0x000001C61B856F40>	0.1	0	36	36	4	True	134.0	M450	M450	36
248.898	188.304	-1	6717.271	<BeadTracker.Bead object at 0x000001C61B84C670>	0.1	0	37	37	4	True	133.0	M450	M450	37
248.895	188.474	-1	6709.829	<BeadTracker.Bead object at 0x000001C61B84CD60>	0.1	0	38	38	4	True	135.0	M450	M450	38
248.904	188.111	-1	6707.589	<BeadTracker.Bead object at 0x000001C61B821490>	0.1	0	39	39	4	True	133.0	M450	M450	39
248.904	188.515	-1	6700.409	<BeadTracker.Bead object at 0x000001C61B821B80>	0.1	0	40	40	4	True	131.0	M450	M450	40
248.884	188.295	-1	6715.441	<BeadTracker.Bead object at 0x000001C5D1B382B0>	0.1	0	41	41	4	True	134.0	M450	M450	41
248.869	188.587	-1	6712.035	<BeadTracker.Bead object at 0x000001C5D1B389A0>	0.1	0	42	42	4	True	131.0	M450	M450	42
248.926	188.253	-1	6714.568	<BeadTracker.Bead object at 0x000001C5D1B1A0D0>	0.1	0	43	43	4	True	133.0	M450	M450	43
248.888	188.66	-1	6736.611	<BeadTracker.Bead object at 0x000001C5D1B1A7C0>	0.1	0	44	44	4	True	131.0	M450	M450	44
248.913	188.423	-1	6708.754	<BeadTracker.Bead object at 0x000001C5D1B1AEB0>	0.1	0	45	45	4	True	135.0	M450	M450	45
248.919	188.601	-1	6718.766	<BeadTracker.Bead object at 0x000001C5D1B245E0>	0.1	0	46	46	4	True	131.0	M450	M450	46
248.966	188.298	-1	6753.976	<BeadTracker.Bead object at 0x000001C5D1B24CD0>	0.1	0	47	47	4	True	132.0	M450	M450	47
248.895	188.701	-1	6818.942	<BeadTracker.Bead object at 0x000001C5D1B4D400>	0.1	0	48	48	4	True	131.0	M450	M450	48
