X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
250.224	165.28	0	2354.84	<BeadTracker.Bead object at 0x000001B56A2F9190>	2.0	1	1	1	3	True	261.0	M450	M450	1
250.343	165.342	0	2350.151	<BeadTracker.Bead object at 0x000001B56A312B20>	2.0	2	4	4	3	True	261.0	M450	M450	4
250.317	165.263	0	2307.888	<BeadTracker.Bead object at 0x000001B56A2F3BE0>	2.0	3	7	7	3	True	262.0	M450	M450	7
250.702	165.438	0	2222.326	<BeadTracker.Bead object at 0x000001B56A2E5070>	2.0	4	10	10	3	True	263.0	M450	M450	10
251.12	165.53	0	2199.543	<BeadTracker.Bead object at 0x000001B56A2F64C0>	2.0	5	13	13	3	True	268.0	M450	M450	13
251.115	165.234	0	2139.259	<BeadTracker.Bead object at 0x000001B56A31A910>	2.0	6	16	16	3	True	267.0	M450	M450	16
251.15	165.13	-1	1957.298	<BeadTracker.Bead object at 0x000001B56A2FA6A0>	0.1	0	18	18	3	True	297.0	M450	M450	18
251.434	165.218	-1	1840.205	<BeadTracker.Bead object at 0x000001B56A2FAD60>	0.1	0	19	19	3	True	298.0	M450	M450	19
251.536	165.313	-1	1966.84	<BeadTracker.Bead object at 0x000001B569A66460>	0.1	0	20	20	3	True	281.0	M450	M450	20
251.464	165.397	-1	2035.89	<BeadTracker.Bead object at 0x000001B569A66B20>	0.1	0	21	21	3	True	276.0	M450	M450	21
251.498	165.313	-1	2065.304	<BeadTracker.Bead object at 0x000001B569A7F160>	0.1	0	22	22	3	True	274.0	M450	M450	22
251.451	165.397	-1	2077.817	<BeadTracker.Bead object at 0x000001B569A7F3D0>	0.1	0	23	23	3	True	273.0	M450	M450	23
251.476	165.323	-1	2048.162	<BeadTracker.Bead object at 0x000001B569A7FC70>	0.1	0	24	24	3	True	274.0	M450	M450	24
251.391	165.377	-1	2058.404	<BeadTracker.Bead object at 0x000001B569A933A0>	0.1	0	25	25	3	True	273.0	M450	M450	25
251.411	165.366	-1	2057.959	<BeadTracker.Bead object at 0x000001B569A93B50>	0.1	0	26	26	3	True	273.0	M450	M450	26
251.424	165.37	-1	2054.417	<BeadTracker.Bead object at 0x000001B569A7B430>	0.1	0	27	27	3	True	274.0	M450	M450	27
251.358	165.361	-1	2068.354	<BeadTracker.Bead object at 0x000001B569A7BBE0>	0.1	0	28	28	3	True	273.0	M450	M450	28
251.293	165.337	-1	2040.309	<BeadTracker.Bead object at 0x000001B569A8B6A0>	0.1	0	29	29	3	True	275.0	M450	M450	29
251.339	165.273	-1	2048.122	<BeadTracker.Bead object at 0x000001B569A8BF10>	0.1	0	30	30	3	True	274.0	M450	M450	30
251.273	165.318	-1	2057.788	<BeadTracker.Bead object at 0x000001B569A8BD60>	0.1	0	31	31	3	True	275.0	M450	M450	31
251.318	165.3	-1	2044.932	<BeadTracker.Bead object at 0x000001B569A6D6A0>	0.1	0	32	32	3	True	274.0	M450	M450	32
251.251	165.353	-1	2042.667	<BeadTracker.Bead object at 0x000001B569A6DD60>	0.1	0	33	33	3	True	274.0	M450	M450	33
251.261	165.388	-1	2034.504	<BeadTracker.Bead object at 0x000001B569A85460>	0.1	0	34	34	3	True	274.0	M450	M450	34
251.22	165.279	-1	2059.333	<BeadTracker.Bead object at 0x000001B569A85B20>	0.1	0	35	35	3	True	274.0	M450	M450	35
251.269	165.371	-1	2069.09	<BeadTracker.Bead object at 0x000001B569A69220>	0.1	0	36	36	3	True	274.0	M450	M450	36
251.244	165.348	-1	2048.181	<BeadTracker.Bead object at 0x000001B569A698E0>	0.1	0	37	37	3	True	275.0	M450	M450	37
251.327	165.288	-1	2046.708	<BeadTracker.Bead object at 0x000001B569A69FA0>	0.1	0	38	38	3	True	275.0	M450	M450	38
251.313	165.31	-1	2045.151	<BeadTracker.Bead object at 0x000001B569A9D6A0>	0.1	0	39	39	3	True	275.0	M450	M450	39
251.415	165.304	-1	2054.506	<BeadTracker.Bead object at 0x000001B569A9DD60>	0.1	0	40	40	3	True	274.0	M450	M450	40
251.401	165.342	-1	2034.766	<BeadTracker.Bead object at 0x000001B569A68460>	0.1	0	41	41	3	True	274.0	M450	M450	41
251.5	165.389	-1	2034.173	<BeadTracker.Bead object at 0x000001B569A68B20>	0.1	0	42	42	3	True	272.0	M450	M450	42
251.492	165.317	-1	2028.172	<BeadTracker.Bead object at 0x000001B56B258CD0>	0.1	0	43	43	3	True	275.0	M450	M450	43
251.558	165.446	-1	2052.794	<BeadTracker.Bead object at 0x000001B56B258100>	0.1	0	44	44	3	True	272.0	M450	M450	44
251.61	165.327	-1	2055.445	<BeadTracker.Bead object at 0x000001B56B258970>	0.1	0	45	45	3	True	272.0	M450	M450	45
251.615	165.478	-1	2056.574	<BeadTracker.Bead object at 0x000001B56B26E3D0>	0.1	0	46	46	3	True	272.0	M450	M450	46
251.614	165.387	-1	2047.629	<BeadTracker.Bead object at 0x000001B56B26EDF0>	0.1	0	47	47	3	True	272.0	M450	M450	47
251.634	165.453	-1	2054.246	<BeadTracker.Bead object at 0x000001B56B2610D0>	0.1	0	48	48	3	True	272.0	M450	M450	48
251.693	165.404	-1	2050.65	<BeadTracker.Bead object at 0x000001B56B261E50>	0.1	0	49	49	3	True	272.0	M450	M450	49
251.679	165.424	-1	2051.414	<BeadTracker.Bead object at 0x000001B56B25F100>	0.1	0	50	50	3	True	272.0	M450	M450	50
251.658	165.417	-1	2034.304	<BeadTracker.Bead object at 0x000001B56B25F3A0>	0.1	0	51	51	3	True	272.0	M450	M450	51
251.676	165.357	-1	2041.044	<BeadTracker.Bead object at 0x000001B56B25FAF0>	0.1	0	52	52	3	True	273.0	M450	M450	52
251.678	165.328	-1	2047.884	<BeadTracker.Bead object at 0x000001B56B269250>	0.1	0	53	53	3	True	272.0	M450	M450	53
251.649	165.427	-1	2054.173	<BeadTracker.Bead object at 0x000001B56B269370>	0.1	0	54	54	3	True	272.0	M450	M450	54
251.616	165.424	-1	2026.815	<BeadTracker.Bead object at 0x000001B56B274460>	0.1	0	55	55	3	True	273.0	M450	M450	55
251.621	165.375	-1	2045.44	<BeadTracker.Bead object at 0x000001B56B274B20>	0.1	0	56	56	3	True	273.0	M450	M450	56
251.581	165.355	-1	2002.256	<BeadTracker.Bead object at 0x000001B56B27E220>	0.1	0	57	57	3	True	273.0	M450	M450	57
251.564	165.348	-1	2031.857	<BeadTracker.Bead object at 0x000001B56B27E8E0>	0.1	0	58	58	3	True	273.0	M450	M450	58
251.517	165.31	-1	2028.074	<BeadTracker.Bead object at 0x000001B56B27EFA0>	0.1	0	59	59	3	True	274.0	M450	M450	59
251.498	165.305	-1	2025.287	<BeadTracker.Bead object at 0x000001B56B2576A0>	0.1	0	60	60	3	True	276.0	M450	M450	60
251.459	165.264	-1	2016.748	<BeadTracker.Bead object at 0x000001B56B257D60>	0.1	0	61	61	3	True	276.0	M450	M450	61
251.452	165.32	-1	2029.081	<BeadTracker.Bead object at 0x000001B56B26B460>	0.1	0	62	62	3	True	276.0	M450	M450	62
251.444	165.199	-1	2005.822	<BeadTracker.Bead object at 0x000001B56B26BB20>	0.1	0	63	63	3	True	276.0	M450	M450	63
251.448	165.275	-1	2000.886	<BeadTracker.Bead object at 0x000001B56A39E610>	0.1	0	64	64	3	True	276.0	M450	M450	64
251.378	165.195	-1	2003.403	<BeadTracker.Bead object at 0x000001B56A39EB50>	0.1	0	65	65	3	True	277.0	M450	M450	65
251.429	165.185	-1	2007.16	<BeadTracker.Bead object at 0x000001B56A39EAF0>	0.1	0	66	66	3	True	277.0	M450	M450	66
251.431	165.189	-1	1989.441	<BeadTracker.Bead object at 0x000001B56A3726A0>	0.1	0	67	67	3	True	277.0	M450	M450	67
251.508	165.177	-1	1996.906	<BeadTracker.Bead object at 0x000001B56A372D60>	0.1	0	68	68	3	True	274.0	M450	M450	68
251.486	165.156	-1	1978.384	<BeadTracker.Bead object at 0x000001B56A36D460>	0.1	0	69	69	3	True	277.0	M450	M450	69
251.542	165.189	-1	1987.676	<BeadTracker.Bead object at 0x000001B56A36DB20>	0.1	0	70	70	3	True	275.0	M450	M450	70
251.527	165.163	-1	1985.58	<BeadTracker.Bead object at 0x000001B56A364100>	0.1	0	71	71	3	True	275.0	M450	M450	71
251.565	165.284	-1	1967.242	<BeadTracker.Bead object at 0x000001B56A364BB0>	0.1	0	72	72	3	True	276.0	M450	M450	72
251.624	165.193	-1	1973.88	<BeadTracker.Bead object at 0x000001B56A364BE0>	0.1	0	73	73	3	True	276.0	M450	M450	73
251.693	165.308	-1	1985.712	<BeadTracker.Bead object at 0x000001B56A3986A0>	0.1	0	74	74	3	True	275.0	M450	M450	74
251.697	165.29	-1	1987.684	<BeadTracker.Bead object at 0x000001B56A398D60>	0.1	0	75	75	3	True	275.0	M450	M450	75
251.788	165.225	-1	1998.852	<BeadTracker.Bead object at 0x000001B56A36F460>	0.1	0	76	76	3	True	276.0	M450	M450	76
251.805	165.292	-1	1989.556	<BeadTracker.Bead object at 0x000001B56A36FB20>	0.1	0	77	77	3	True	276.0	M450	M450	77
251.887	165.314	-1	1993.48	<BeadTracker.Bead object at 0x000001B56A360220>	0.1	0	78	78	3	True	276.0	M450	M450	78
251.841	165.287	-1	2004.67	<BeadTracker.Bead object at 0x000001B56A3608E0>	0.1	0	79	79	3	True	275.0	M450	M450	79
251.905	165.37	-1	1986.875	<BeadTracker.Bead object at 0x000001B56A360FA0>	0.1	0	80	80	3	True	275.0	M450	M450	80
251.934	165.263	-1	1987.542	<BeadTracker.Bead object at 0x000001B56A37E6A0>	0.1	0	81	81	3	True	276.0	M450	M450	81
251.964	165.267	-1	1987.405	<BeadTracker.Bead object at 0x000001B56A37ED60>	0.1	0	82	82	3	True	275.0	M450	M450	82
251.944	165.309	-1	1977.489	<BeadTracker.Bead object at 0x000001B56A36C460>	0.1	0	83	83	3	True	276.0	M450	M450	83
251.976	165.331	-1	1970.589	<BeadTracker.Bead object at 0x000001B56A36CB20>	0.1	0	84	84	3	True	277.0	M450	M450	84
251.93	165.219	-1	1986.294	<BeadTracker.Bead object at 0x000001B56A394220>	0.1	0	85	85	3	True	276.0	M450	M450	85
251.977	165.271	-1	1999.337	<BeadTracker.Bead object at 0x000001B56A3948E0>	0.1	0	86	86	3	True	276.0	M450	M450	86
251.883	165.188	-1	1995.572	<BeadTracker.Bead object at 0x000001B56A394FA0>	0.1	0	87	87	3	True	276.0	M450	M450	87
251.932	165.254	-1	2013.947	<BeadTracker.Bead object at 0x000001B501275BB0>	0.1	0	88	88	3	True	275.0	M450	M450	88
251.842	165.223	-1	1992.229	<BeadTracker.Bead object at 0x000001B501275C70>	0.1	0	89	89	3	True	276.0	M450	M450	89
251.866	165.167	-1	1971.137	<BeadTracker.Bead object at 0x000001B501276460>	0.1	0	90	90	3	True	277.0	M450	M450	90
251.81	165.189	-1	1967.901	<BeadTracker.Bead object at 0x000001B5012768E0>	0.1	0	91	91	3	True	277.0	M450	M450	91
251.836	165.168	-1	1971.858	<BeadTracker.Bead object at 0x000001B50125C160>	0.1	0	92	92	3	True	277.0	M450	M450	92
251.798	165.087	-1	1950.569	<BeadTracker.Bead object at 0x000001B50125C3D0>	0.1	0	93	93	3	True	277.0	M450	M450	93
251.796	165.147	-1	1956.823	<BeadTracker.Bead object at 0x000001B50125CC70>	0.1	0	94	94	3	True	278.0	M450	M450	94
251.737	165.095	-1	1944.134	<BeadTracker.Bead object at 0x000001B501272640>	0.1	0	95	95	3	True	278.0	M450	M450	95
251.794	165.13	-1	1955.204	<BeadTracker.Bead object at 0x000001B501272B80>	0.1	0	96	96	3	True	277.0	M450	M450	96
251.747	165.119	-1	1967.388	<BeadTracker.Bead object at 0x000001B501260460>	0.1	0	97	97	3	True	278.0	M450	M450	97
251.79	165.155	-1	1956.98	<BeadTracker.Bead object at 0x000001B501260B20>	0.1	0	98	98	3	True	278.0	M450	M450	98
251.766	165.037	-1	1954.202	<BeadTracker.Bead object at 0x000001B50125D220>	0.1	0	99	99	3	True	278.0	M450	M450	99
251.861	165.231	-1	1933.643	<BeadTracker.Bead object at 0x000001B50125D8E0>	0.1	0	100	100	3	True	279.0	M450	M450	100
251.905	165.082	-1	1955.417	<BeadTracker.Bead object at 0x000001B50125DFA0>	0.1	0	101	101	3	True	278.0	M450	M450	101
251.902	165.181	-1	1956.289	<BeadTracker.Bead object at 0x000001B5012786A0>	0.1	0	102	102	3	True	278.0	M450	M450	102
251.903	165.06	-1	1938.46	<BeadTracker.Bead object at 0x000001B501278D60>	0.1	0	103	103	3	True	278.0	M450	M450	103
251.992	165.082	-1	1954.227	<BeadTracker.Bead object at 0x000001B501271460>	0.1	0	104	104	3	True	278.0	M450	M450	104
252.057	165.036	-1	1957.412	<BeadTracker.Bead object at 0x000001B501271B20>	0.1	0	105	105	3	True	278.0	M450	M450	105
252.082	165.127	-1	1946.848	<BeadTracker.Bead object at 0x000001B50127E220>	0.1	0	106	106	3	True	278.0	M450	M450	106
252.123	165.109	-1	1942.973	<BeadTracker.Bead object at 0x000001B50127E8E0>	0.1	0	107	107	3	True	278.0	M450	M450	107
252.188	165.129	-1	1927.645	<BeadTracker.Bead object at 0x000001B50127EFA0>	0.1	0	108	108	3	True	278.0	M450	M450	108
252.159	165.046	-1	1927.609	<BeadTracker.Bead object at 0x000001B50126B6A0>	0.1	0	109	109	3	True	279.0	M450	M450	109
252.27	165.09	-1	1925.128	<BeadTracker.Bead object at 0x000001B50126BD60>	0.1	0	110	110	3	True	278.0	M450	M450	110
252.268	165.104	-1	1938.969	<BeadTracker.Bead object at 0x000001B50A241100>	0.1	0	111	111	3	True	278.0	M450	M450	111
252.297	165.084	-1	1931.067	<BeadTracker.Bead object at 0x000001B50A241670>	0.1	0	112	112	3	True	278.0	M450	M450	112
252.246	165.079	-1	1946.236	<BeadTracker.Bead object at 0x000001B50A2202B0>	0.1	0	113	113	3	True	278.0	M450	M450	113
252.333	165.037	-1	1929.146	<BeadTracker.Bead object at 0x000001B50A220A90>	0.1	0	114	114	3	True	278.0	M450	M450	114
252.353	165.143	-1	1932.649	<BeadTracker.Bead object at 0x000001B50A220A60>	0.1	0	115	115	3	True	278.0	M450	M450	115
252.36	165.091	-1	1940.289	<BeadTracker.Bead object at 0x000001B50A23E790>	0.1	0	116	116	3	True	277.0	M450	M450	116
252.286	165.104	-1	1940.983	<BeadTracker.Bead object at 0x000001B50A23EF10>	0.1	0	117	117	3	True	278.0	M450	M450	117
252.298	165.04	-1	1935.006	<BeadTracker.Bead object at 0x000001B50A219790>	0.1	0	118	118	3	True	278.0	M450	M450	118
252.257	164.954	-1	1923.698	<BeadTracker.Bead object at 0x000001B50A219E50>	0.1	0	119	119	3	True	278.0	M450	M450	119
252.221	165.038	-1	1933.591	<BeadTracker.Bead object at 0x000001B50A23C130>	0.1	0	120	120	3	True	278.0	M450	M450	120
252.226	164.955	-1	1940.631	<BeadTracker.Bead object at 0x000001B50A23C460>	0.1	0	121	121	3	True	278.0	M450	M450	121
252.176	165.012	-1	1941.62	<BeadTracker.Bead object at 0x000001B50A23CC70>	0.1	0	122	122	3	True	277.0	M450	M450	122
252.157	165.018	-1	1911.926	<BeadTracker.Bead object at 0x000001B50A22C6A0>	0.1	0	123	123	3	True	278.0	M450	M450	123
252.173	164.963	-1	1953.737	<BeadTracker.Bead object at 0x000001B50A22CD60>	0.1	0	124	124	3	True	278.0	M450	M450	124
252.115	164.998	-1	1915.281	<BeadTracker.Bead object at 0x000001B50A214460>	0.1	0	125	125	3	True	277.0	M450	M450	125
252.125	164.998	-1	1916.792	<BeadTracker.Bead object at 0x000001B50A214B20>	0.1	0	126	126	3	True	278.0	M450	M450	126
252.107	164.872	-1	1917.829	<BeadTracker.Bead object at 0x000001B50A211220>	0.1	0	127	127	3	True	278.0	M450	M450	127
252.103	164.972	-1	1930.197	<BeadTracker.Bead object at 0x000001B50A2118E0>	0.1	0	128	128	3	True	277.0	M450	M450	128
252.044	164.939	-1	1901.308	<BeadTracker.Bead object at 0x000001B50A211FA0>	0.1	0	129	129	3	True	278.0	M450	M450	129
252.014	164.911	-1	1930.44	<BeadTracker.Bead object at 0x000001B50A22A6A0>	0.1	0	130	130	3	True	278.0	M450	M450	130
252.054	164.893	-1	1927.619	<BeadTracker.Bead object at 0x000001B50A22AD60>	0.1	0	131	131	3	True	278.0	M450	M450	131
252.096	164.915	-1	1911.514	<BeadTracker.Bead object at 0x000001B50A24A460>	0.1	0	132	132	3	True	278.0	M450	M450	132
252.116	164.881	-1	1896.217	<BeadTracker.Bead object at 0x000001B50A24AB20>	0.1	0	133	133	3	True	279.0	M450	M450	133
252.165	164.909	-1	1919.188	<BeadTracker.Bead object at 0x000001B50A210220>	0.1	0	134	134	3	True	278.0	M450	M450	134
252.186	164.958	-1	1911.902	<BeadTracker.Bead object at 0x000001B50A2108E0>	0.1	0	135	135	3	True	278.0	M450	M450	135
252.27	164.927	-1	1923.249	<BeadTracker.Bead object at 0x000001B50A210FA0>	0.1	0	136	136	3	True	279.0	M450	M450	136
252.223	164.887	-1	1915.484	<BeadTracker.Bead object at 0x000001B5050F1EB0>	0.1	0	137	137	3	True	279.0	M450	M450	137
252.341	164.936	-1	1905.006	<BeadTracker.Bead object at 0x000001B5050F1760>	0.1	0	138	138	3	True	279.0	M450	M450	138
252.363	164.897	-1	1913.896	<BeadTracker.Bead object at 0x000001B505114820>	0.1	0	139	139	3	True	278.0	M450	M450	139
252.433	164.876	-1	1913.936	<BeadTracker.Bead object at 0x000001B505114FD0>	0.1	0	140	140	3	True	279.0	M450	M450	140
252.48	164.936	-1	1880.399	<BeadTracker.Bead object at 0x000001B5050F73D0>	0.1	0	141	141	3	True	279.0	M450	M450	141
252.505	164.975	-1	1900.769	<BeadTracker.Bead object at 0x000001B5050F7E20>	0.1	0	142	142	3	True	276.0	M450	M450	142
252.531	164.942	-1	1898.358	<BeadTracker.Bead object at 0x000001B5050F7FA0>	0.1	0	143	143	3	True	277.0	M450	M450	143
252.556	164.899	-1	1914.092	<BeadTracker.Bead object at 0x000001B5050E36A0>	0.1	0	144	144	3	True	277.0	M450	M450	144
252.58	164.887	-1	1905.85	<BeadTracker.Bead object at 0x000001B5050E3D60>	0.1	0	145	145	3	True	277.0	M450	M450	145
252.606	164.92	-1	1907.095	<BeadTracker.Bead object at 0x000001B5050F2460>	0.1	0	146	146	3	True	277.0	M450	M450	146
252.615	164.805	-1	1921.872	<BeadTracker.Bead object at 0x000001B5050F2B20>	0.1	0	147	147	3	True	277.0	M450	M450	147
252.612	164.865	-1	1926.104	<BeadTracker.Bead object at 0x000001B5050EA220>	0.1	0	148	148	3	True	277.0	M450	M450	148
252.587	164.883	-1	1924.398	<BeadTracker.Bead object at 0x000001B5050EA8E0>	0.1	0	149	149	3	True	278.0	M450	M450	149
252.558	164.998	-1	1901.581	<BeadTracker.Bead object at 0x000001B5050EAFA0>	0.1	0	150	150	3	True	276.0	M450	M450	150
252.476	164.824	-1	1913.811	<BeadTracker.Bead object at 0x000001B5050F86A0>	0.1	0	151	151	3	True	279.0	M450	M450	151
252.585	164.852	-1	1916.136	<BeadTracker.Bead object at 0x000001B5050F8D60>	0.1	0	152	152	3	True	276.0	M450	M450	152
252.541	164.915	-1	1920.685	<BeadTracker.Bead object at 0x000001B50510B460>	0.1	0	153	153	3	True	277.0	M450	M450	153
252.546	164.92	-1	1905.161	<BeadTracker.Bead object at 0x000001B50510BB20>	0.1	0	154	154	3	True	276.0	M450	M450	154
252.51	164.856	-1	1925.062	<BeadTracker.Bead object at 0x000001B505106220>	0.1	0	155	155	3	True	276.0	M450	M450	155
252.469	164.884	-1	1904.908	<BeadTracker.Bead object at 0x000001B5051068E0>	0.1	0	156	156	3	True	279.0	M450	M450	156
