X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
148.153	149.427	0	10208.659	<BeadTracker.Bead object at 0x000001B50EC78A30>	2.0	1	1	1	1	True	-8.0		M450	1
149.319	148.975	0	10202.106	<BeadTracker.Bead object at 0x000001B50EC619D0>	2.0	2	4	4	1	True	-16.0		M450	4
149.708	148.614	0	10129.856	<BeadTracker.Bead object at 0x000001B502D9B970>	2.0	3	7	7	1	True	-22.0		M450	7
150.278	148.502	0	10179.827	<BeadTracker.Bead object at 0x000001B502552C40>	2.0	4	10	10	1	True	-22.0		M450	10
151.346	147.841	0	10241.84	<BeadTracker.Bead object at 0x000001B50B59A970>	2.0	5	13	13	1	True	-18.0		M450	13
151.854	147.484	0	10211.012	<BeadTracker.Bead object at 0x000001B50B5AEB20>	2.0	6	16	16	1	True	-13.0		M450	16
151.677	147.769	-1	7618.039	<BeadTracker.Bead object at 0x000001B56B018FA0>	0.1	0	18	18	1	True	17.0		M450	18
151.917	147.528	-1	9965.143	<BeadTracker.Bead object at 0x000001B50B58E340>	0.1	0	19	19	1	True	45.0		M450	19
152.028	147.557	-1	10186.939	<BeadTracker.Bead object at 0x000001B502DA81C0>	0.1	0	20	20	1	True	44.0		M450	20
152.097	147.385	-1	10156.137	<BeadTracker.Bead object at 0x000001B5699F73D0>	0.1	0	21	21	1	True	15.0		M450	21
152.123	147.481	-1	10252.284	<BeadTracker.Bead object at 0x000001B5699F72E0>	0.1	0	22	22	1	True	-3.0		M450	22
152.204	147.464	-1	10203.959	<BeadTracker.Bead object at 0x000001B507C24820>	0.1	0	23	23	1	True	-4.0		M450	23
152.282	147.34	-1	10268.065	<BeadTracker.Bead object at 0x000001B5688AA9D0>	0.1	0	24	24	1	True	-5.0		M450	24
152.232	147.508	-1	10196.492	<BeadTracker.Bead object at 0x000001B50005FC10>	0.1	0	25	25	1	True	-34.0		M450	25
152.273	147.484	-1	10220.442	<BeadTracker.Bead object at 0x000001B50005FDC0>	0.1	0	26	26	1	True	-4.0		M450	26
152.216	147.547	-1	10143.187	<BeadTracker.Bead object at 0x000001B50005FAC0>	0.1	0	27	27	1	True	-33.0		M450	27
152.261	147.494	-1	10253.223	<BeadTracker.Bead object at 0x000001B56841A670>	0.1	0	28	28	1	True	-3.0		M450	28
152.241	147.48	-1	10179.459	<BeadTracker.Bead object at 0x000001B56A4206A0>	0.1	0	29	29	1	True	-3.0		M450	29
152.284	147.419	-1	10215.399	<BeadTracker.Bead object at 0x000001B50DD29FA0>	0.1	0	30	30	1	True	-4.0		M450	30
152.203	147.401	-1	10199.783	<BeadTracker.Bead object at 0x000001B5049AAC40>	0.1	0	31	31	1	True	-4.0		M450	31
152.245	147.447	-1	10206.679	<BeadTracker.Bead object at 0x000001B50D076AF0>	0.1	0	32	32	1	True	-3.0		M450	32
152.23	147.53	-1	10165.423	<BeadTracker.Bead object at 0x000001B50D076340>	0.1	0	33	33	1	True	-32.0		M450	33
152.197	147.483	-1	10158.774	<BeadTracker.Bead object at 0x000001B582798EB0>	0.1	0	34	34	1	True	-3.0		M450	34
152.167	147.523	-1	10188.561	<BeadTracker.Bead object at 0x000001B53E7C27F0>	0.1	0	35	35	1	True	-32.0		M450	35
152.124	147.515	-1	10163.577	<BeadTracker.Bead object at 0x000001B56AEFF910>	0.1	0	36	36	1	True	-55.0		M450	36
152.14	147.622	-1	10172.633	<BeadTracker.Bead object at 0x000001B56AEFF730>	0.1	0	37	37	1	True	-78.0		M450	37
152.108	147.602	-1	10164.685	<BeadTracker.Bead object at 0x000001B507C1E310>	0.1	0	38	38	1	True	-78.0		M450	38
152.149	147.487	-1	10172.625	<BeadTracker.Bead object at 0x000001B509191B20>	0.1	0	39	39	1	True	-48.0		M450	39
152.182	147.561	-1	10196.831	<BeadTracker.Bead object at 0x000001B5091918B0>	0.1	0	40	40	1	True	-77.0		M450	40
152.179	147.516	-1	10192.563	<BeadTracker.Bead object at 0x000001B5091917C0>	0.1	0	41	41	1	True	-79.0		M450	41
152.135	147.436	-1	10188.071	<BeadTracker.Bead object at 0x000001B507A338E0>	0.1	0	42	42	1	True	-49.0		M450	42
152.175	147.511	-1	10111.633	<BeadTracker.Bead object at 0x000001B5050E4730>	0.1	0	43	43	1	True	-78.0		M450	43
152.253	147.44	-1	10177.51	<BeadTracker.Bead object at 0x000001B56A0C2FD0>	0.1	0	44	44	1	True	-48.0		M450	44
152.247	147.609	-1	10152.836	<BeadTracker.Bead object at 0x000001B56A0C28E0>	0.1	0	45	45	1	True	-77.0		M450	45
152.291	147.363	-1	10177.222	<BeadTracker.Bead object at 0x000001B568403AF0>	0.1	0	46	46	1	True	-47.0		M450	46
152.392	147.405	-1	10210.757	<BeadTracker.Bead object at 0x000001B5049B94F0>	0.1	0	47	47	1	True	-17.0		M450	47
152.405	147.494	-1	10165.912	<BeadTracker.Bead object at 0x000001B5049BD7C0>	0.1	0	48	48	1	True	-4.0		M450	48
152.494	147.451	-1	10155.979	<BeadTracker.Bead object at 0x000001B504AA4370>	0.1	0	49	49	1	True	-4.0		M450	49
152.536	147.489	-1	10125.74	<BeadTracker.Bead object at 0x000001B504AA47C0>	0.1	0	50	50	1	True	8.0		M450	50
152.631	147.506	-1	10193.998	<BeadTracker.Bead object at 0x000001B56EB9AF10>	0.1	0	51	51	1	True	-21.0		M450	51
152.662	147.34	-1	10208.143	<BeadTracker.Bead object at 0x000001B5050E10D0>	0.1	0	52	52	1	True	-3.0		M450	52
152.72	147.463	-1	10216.893	<BeadTracker.Bead object at 0x000001B507A52760>	0.1	0	53	53	1	True	-2.0		M450	53
152.727	147.385	-1	10205.756	<BeadTracker.Bead object at 0x000001B5045273D0>	0.1	0	54	54	1	True	-3.0		M450	54
152.766	147.519	-1	10181.865	<BeadTracker.Bead object at 0x000001B5049C01F0>	0.1	0	55	55	1	True	-32.0		M450	55
152.772	147.359	-1	10207.61	<BeadTracker.Bead object at 0x000001B507A30CD0>	0.1	0	56	56	1	True	-3.0		M450	56
152.833	147.324	-1	10203.387	<BeadTracker.Bead object at 0x000001B50EE91E20>	0.1	0	57	57	1	True	-5.0		M450	57
152.861	147.372	-1	10207.719	<BeadTracker.Bead object at 0x000001B5050F65B0>	0.1	0	58	58	1	True	-3.0		M450	58
152.838	147.332	-1	10205.615	<BeadTracker.Bead object at 0x000001B56B3B0490>	0.1	0	59	59	1	True	-5.0		M450	59
152.848	147.338	-1	10229.216	<BeadTracker.Bead object at 0x000001B56B3B0190>	0.1	0	60	60	1	True	-4.0		M450	60
152.765	147.285	-1	10260.766	<BeadTracker.Bead object at 0x000001B50499F400>	0.1	0	61	61	1	True	-5.0		M450	61
152.801	147.351	-1	10211.11	<BeadTracker.Bead object at 0x000001B56B5DF490>	0.1	0	62	62	1	True	-3.0		M450	62
152.787	147.292	-1	10203.039	<BeadTracker.Bead object at 0x000001B56B5DF400>	0.1	0	63	63	1	True	-6.0		M450	63
152.794	147.249	-1	10198.963	<BeadTracker.Bead object at 0x000001B56B5DF8B0>	0.1	0	64	64	1	True	-15.0		M450	64
152.716	147.219	-1	10155.921	<BeadTracker.Bead object at 0x000001B568489F40>	0.1	0	65	65	1	True	-17.0		M450	65
152.681	147.266	-1	10216.011	<BeadTracker.Bead object at 0x000001B5684891F0>	0.1	0	66	66	1	True	-4.0		M450	66
152.642	147.228	-1	10197.882	<BeadTracker.Bead object at 0x000001B509FF0640>	0.1	0	67	67	1	True	-4.0		M450	67
152.667	147.221	-1	10228.036	<BeadTracker.Bead object at 0x000001B50A00D760>	0.1	0	68	68	1	True	-17.0		M450	68
