X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
254.349	195.625	0	1858.377	<BeadTracker.Bead object at 0x0000017A995BEFA0>	1.0	1	0	0	0	True	279.0		M450	0
254.313	195.765	0	1854.188	<BeadTracker.Bead object at 0x0000017A99A87430>	1.0	2	3	3	0	True	279.0		M450	3
254.119	195.834	0	1839.703	<BeadTracker.Bead object at 0x0000017A99A876D0>	1.0	3	6	6	0	True	280.0		M450	6
254.222	195.7	0	1832.66	<BeadTracker.Bead object at 0x0000017A9B9BDEB0>	1.0	4	9	9	0	True	282.0		M450	9
253.981	195.499	0	1875.142	<BeadTracker.Bead object at 0x0000017A93360430>	1.0	5	12	12	0	True	280.0		M450	12
254.033	195.64	0	1851.548	<BeadTracker.Bead object at 0x0000017A99974370>	1.0	6	15	15	0	True	278.0		M450	15
254.229	195.646	-1	959.024	<BeadTracker.Bead object at 0x0000017A93360C70>	0.1	0	18	18	0	True	338.0		M450	18
254.096	195.651	-1	971.53	<BeadTracker.Bead object at 0x0000017A93360E50>	0.1	0	19	19	0	True	303.0		M450	19
254.179	195.483	-1	1140.741	<BeadTracker.Bead object at 0x0000017B06FA8070>	0.1	0	20	20	0	True	283.0		M450	20
254.249	195.542	-1	1202.476	<BeadTracker.Bead object at 0x0000017B06FA8250>	0.1	0	21	21	0	True	275.0		M450	21
254.343	195.496	-1	1210.774	<BeadTracker.Bead object at 0x0000017B06FA8430>	0.1	0	22	22	0	True	277.0		M450	22
254.298	195.443	-1	1200.296	<BeadTracker.Bead object at 0x0000017B06FA8610>	0.1	0	23	23	0	True	279.0		M450	23
254.383	195.358	-1	1197.774	<BeadTracker.Bead object at 0x0000017B06FA87F0>	0.1	0	24	24	0	True	278.0		M450	24
254.364	195.341	-1	1194.394	<BeadTracker.Bead object at 0x0000017B06FA89D0>	0.1	0	25	25	0	True	279.0		M450	25
254.361	195.534	-1	1183.776	<BeadTracker.Bead object at 0x0000017B06FA8BB0>	0.1	0	26	26	0	True	275.0		M450	26
254.376	195.439	-1	1165.603	<BeadTracker.Bead object at 0x0000017B06FA8D90>	0.1	0	27	27	0	True	280.0		M450	27
254.466	195.591	-1	1167.825	<BeadTracker.Bead object at 0x0000017A98135070>	0.1	0	28	28	0	True	280.0		M450	28
254.422	195.515	-1	1177.093	<BeadTracker.Bead object at 0x0000017A98135190>	0.1	0	29	29	0	True	278.0		M450	29
254.466	195.477	-1	1194.571	<BeadTracker.Bead object at 0x0000017A98135370>	0.1	0	30	30	0	True	280.0		M450	30
254.416	195.448	-1	1184.29	<BeadTracker.Bead object at 0x0000017A98135550>	0.1	0	31	31	0	True	279.0		M450	31
254.498	195.539	-1	1174.368	<BeadTracker.Bead object at 0x0000017A98135730>	0.1	0	32	32	0	True	277.0		M450	32
254.39	195.451	-1	1174.802	<BeadTracker.Bead object at 0x0000017A98135910>	0.1	0	33	33	0	True	280.0		M450	33
254.471	195.513	-1	1183.49	<BeadTracker.Bead object at 0x0000017A98135AF0>	0.1	0	34	34	0	True	277.0		M450	34
254.466	195.453	-1	1182.086	<BeadTracker.Bead object at 0x0000017A98135CD0>	0.1	0	35	35	0	True	278.0		M450	35
254.551	195.635	-1	1199.86	<BeadTracker.Bead object at 0x0000017A98135C40>	0.1	0	36	36	0	True	273.0		M450	36
