X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
403.531	140.703	0	1686.754	<BeadTracker.Bead object at 0x00000203B2E183D0>	3.0	1	2	2	1	True	199.0	M450	M450	2
403.614	140.974	0	1658.275	<BeadTracker.Bead object at 0x00000203B2E092B0>	3.0	2	5	5	1	True	197.0	M450	M450	5
403.183	141.31	0	1632.857	<BeadTracker.Bead object at 0x00000203B2E29190>	3.0	3	8	8	1	True	198.0	M450	M450	8
402.946	141.545	0	2101.939	<BeadTracker.Bead object at 0x00000203B2E29F70>	3.0	4	11	11	1	True	142.0	M450	M450	11
400.967	141.937	0	2173.843	<BeadTracker.Bead object at 0x00000203B2E0FF10>	3.0	5	14	14	1	True	121.0	M450	M450	14
402.454	142.31	0	2097.834	<BeadTracker.Bead object at 0x000002031E795DC0>	3.0	6	17	17	1	True	138.0	M450	M450	17
402.202	142.448	0	2105.657	<BeadTracker.Bead object at 0x000002031E7A7CA0>	3.0	7	20	20	1	True	135.0	M450	M450	20
400.58	142.721	0	2082.968	<BeadTracker.Bead object at 0x000002031E792B80>	3.0	8	23	23	1	True	134.0	M450	M450	23
400.607	143.144	0	2069.927	<BeadTracker.Bead object at 0x000002031E7AFA60>	3.0	9	26	26	1	True	151.0	M450	M450	26
401.127	143.308	0	2030.799	<BeadTracker.Bead object at 0x00000203B0B17940>	3.0	10	29	29	1	True	153.0	M450	M450	29
400.583	143.665	0	2049.304	<BeadTracker.Bead object at 0x00000203B0B0D820>	3.0	11	32	32	1	True	156.0	M450	M450	32
400.651	143.95	0	1977.799	<BeadTracker.Bead object at 0x00000203B0B13700>	3.0	12	35	35	1	True	156.0	M450	M450	35
399.881	143.946	0	1886.482	<BeadTracker.Bead object at 0x00000203B0B2D5E0>	3.0	13	38	38	1	True	165.0	M450	M450	38
397.956	144.044	0	1906.666	<BeadTracker.Bead object at 0x000002031ED874C0>	3.0	14	41	41	1	True	173.0	M450	M450	41
398.685	144.038	0	1858.4	<BeadTracker.Bead object at 0x000002031ED633D0>	3.0	15	44	44	2	True	180.0	M450	M450	44
397.909	143.915	0	1841.869	<BeadTracker.Bead object at 0x000002031ED832B0>	3.0	16	47	47	2	True	180.0	M450	M450	47
