X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
368.86	196.569	0	2239.353	<BeadTracker.Bead object at 0x000002036938D4C0>	3.0	1	2	2	4	True	-469.0	M450		2
369.082	196.657	0	2235.013	<BeadTracker.Bead object at 0x0000020369373310>	3.0	2	5	5	4	True	-449.0	M450		5
369.132	196.46	0	2275.474	<BeadTracker.Bead object at 0x0000020369393580>	3.0	3	8	8	4	True	-471.0	M450		8
368.478	196.221	0	2285.208	<BeadTracker.Bead object at 0x0000020369393730>	3.0	4	11	11	4	True	-450.0	M450		11
368.547	196.383	0	2285.873	<BeadTracker.Bead object at 0x00000203693A5F40>	3.0	5	14	14	4	True	-471.0	M450		14
368.112	196.174	0	2301.824	<BeadTracker.Bead object at 0x000002036938EC10>	3.0	6	17	17	4	True	-471.0	M450		17
368.215	196.47	0	957.434	<BeadTracker.Bead object at 0x00000203693A0A60>	3.0	7	20	20	4	True	-530.0	M450		20
368.125	196.07	0	2273.683	<BeadTracker.Bead object at 0x00000203693818B0>	3.0	8	23	23	4	True	-589.0	M450		23
367.367	196.018	0	2080.728	<BeadTracker.Bead object at 0x000002031C3A50D0>	3.0	9	26	26	4	True	-648.0	M450		26
367.318	195.973	0	2053.3	<BeadTracker.Bead object at 0x000002031C397A60>	3.0	10	29	29	4	True	-705.0	M450		29
366.947	195.908	0	2080.157	<BeadTracker.Bead object at 0x000002031C3803A0>	3.0	11	32	32	4	True	-764.0	M450		32
366.398	195.963	0	2069.818	<BeadTracker.Bead object at 0x000002031C3721F0>	3.0	12	35	35	4	True	-823.0	M450		35
366.565	195.782	0	2089.749	<BeadTracker.Bead object at 0x000002031C372EB0>	3.0	13	38	38	4	True	-880.0	M450		38
366.47	195.896	0	2070.025	<BeadTracker.Bead object at 0x000002031C394E50>	3.0	14	41	41	4	True	-895.0	M450		41
366.268	195.727	0	2063.149	<BeadTracker.Bead object at 0x000002031C38ED60>	3.0	15	44	44	4	True	-894.0	M450		44
365.525	195.665	0	2061.277	<BeadTracker.Bead object at 0x000002031C38AA30>	3.0	16	47	47	4	True	-895.0	M450		47
365.601	195.445	0	2055.502	<BeadTracker.Bead object at 0x000002031C379BE0>	3.0	17	50	50	4	True	-895.0	M450		50
364.699	195.277	0	2044.644	<BeadTracker.Bead object at 0x000002031C375790>	3.0	18	53	53	4	True	-895.0	M450		53
365.004	195.273	0	2059.052	<BeadTracker.Bead object at 0x000002036A91D5E0>	3.0	19	56	56	4	True	-895.0	M450		56
364.634	195.076	0	2033.096	<BeadTracker.Bead object at 0x000002036A94D430>	3.0	20	59	59	4	True	-894.0	M450		59
363.764	194.777	0	2049.572	<BeadTracker.Bead object at 0x000002036A945280>	3.0	21	62	62	4	True	-894.0	M450		62
363.064	194.672	0	2035.201	<BeadTracker.Bead object at 0x000002036A940190>	3.0	22	65	65	4	True	-894.0	M450		65
362.789	194.396	0	2057.497	<BeadTracker.Bead object at 0x000002036A940DC0>	3.0	23	68	68	4	True	-894.0	M450		68
362.507	194.211	0	2071.236	<BeadTracker.Bead object at 0x000002036A91BFD0>	3.0	24	71	71	4	True	-894.0	M450		71
362.799	193.954	0	2076.071	<BeadTracker.Bead object at 0x000002036A93FB80>	3.0	25	74	74	4	True	-893.0	M450		74
362.124	193.735	0	2081.664	<BeadTracker.Bead object at 0x000002036A9339D0>	3.0	26	77	77	4	True	-895.0	M450		77
361.747	193.497	0	2119.872	<BeadTracker.Bead object at 0x000002036A93A820>	3.0	27	80	80	4	True	-893.0	M450		80
361.501	193.261	0	2096.083	<BeadTracker.Bead object at 0x000002032054A670>	3.0	28	83	83	4	True	-894.0	M450		83
360.547	193.207	0	2110.594	<BeadTracker.Bead object at 0x000002032052C4C0>	3.0	29	86	86	4	True	-892.0	M450		86
360.339	193.183	0	2126.967	<BeadTracker.Bead object at 0x0000020320528310>	3.0	30	89	89	4	True	-880.0	M450		89
360.196	193.067	0	2139.579	<BeadTracker.Bead object at 0x000002032054F160>	3.0	31	92	92	4	True	-878.0	M450		92
359.493	192.654	0	2158.011	<BeadTracker.Bead object at 0x000002032054FF70>	3.0	32	95	95	4	True	-878.0	M450		95
359.254	192.616	0	2165.037	<BeadTracker.Bead object at 0x000002032054CDC0>	3.0	33	98	98	4	True	-830.0	M450		98
358.278	192.366	0	2189.028	<BeadTracker.Bead object at 0x0000020320549C10>	3.0	34	101	101	4	True	-830.0	M450		101
357.983	192.175	0	2190.372	<BeadTracker.Bead object at 0x000002032053DA60>	3.0	35	104	104	4	True	-830.0	M450		104
356.963	191.816	0	2214.833	<BeadTracker.Bead object at 0x000002032052F8B0>	3.0	36	107	107	4	True	-830.0	M450		107
356.542	191.573	0	2226.394	<BeadTracker.Bead object at 0x0000020320544700>	3.0	37	110	110	4	True	-770.0	M450		110
355.886	191.4	0	2256.954	<BeadTracker.Bead object at 0x0000020320533550>	3.0	38	113	113	4	True	-710.0	M450		113
355.694	191.112	0	2263.433	<BeadTracker.Bead object at 0x00000203200933A0>	3.0	39	116	116	4	True	-650.0	M450		116
355.205	190.839	0	2253.286	<BeadTracker.Bead object at 0x00000203200B71F0>	3.0	40	119	119	4	True	-603.0	M450		119
