X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
71.124	260.391	0	2021.367	<BeadTracker.Bead object at 0x0000014FD4BB2850>	3.0	1	2	2	1	True	-749.0		M450	2
71.201	260.584	0	2008.079	<BeadTracker.Bead object at 0x0000014FD4BD2AF0>	3.0	2	5	5	1	True	-749.0		M450	5
71.194	260.457	0	2029.255	<BeadTracker.Bead object at 0x0000014FD4BB1E50>	3.0	3	8	8	1	True	-749.0		M450	8
71.304	260.67	0	2006.383	<BeadTracker.Bead object at 0x0000014FD4BE21F0>	3.0	4	11	11	1	True	-749.0		M450	11
71.28	260.452	0	2018.621	<BeadTracker.Bead object at 0x0000014FD4BBF2B0>	3.0	5	14	14	1	True	-749.0		M450	14
71.205	260.585	0	2006.37	<BeadTracker.Bead object at 0x0000014FD4BB58B0>	3.0	6	17	17	1	True	-749.0		M450	17
70.609	261.136	-1	1860.342	<BeadTracker.Bead object at 0x0000014FD4BB5F10>	0.1	0	18	18	1	True	-719.0		M450	18
70.517	261.365	-1	1473.785	<BeadTracker.Bead object at 0x0000014FD34555B0>	0.1	0	19	19	1	True	-739.0		M450	19
70.555	261.328	-1	1267.175	<BeadTracker.Bead object at 0x0000014FD3455C10>	0.1	0	20	20	1	True	-768.0		M450	20
70.565	261.195	-1	1191.602	<BeadTracker.Bead object at 0x0000014FD34362B0>	0.1	0	21	21	1	True	-797.0		M450	21
70.808	261.231	-1	1165.334	<BeadTracker.Bead object at 0x0000014FD3436910>	0.1	0	22	22	1	True	-811.0		M450	22
70.81	261.122	-1	1156.112	<BeadTracker.Bead object at 0x0000014FD3436F70>	0.1	0	23	23	1	True	-812.0		M450	23
70.872	261.105	-1	1144.972	<BeadTracker.Bead object at 0x0000014FD344B610>	0.1	0	24	24	1	True	-812.0		M450	24
70.825	261.078	-1	1152.772	<BeadTracker.Bead object at 0x0000014FD344BC70>	0.1	0	25	25	1	True	-812.0		M450	25
70.802	261.212	-1	1172.12	<BeadTracker.Bead object at 0x0000014FD3461310>	0.1	0	26	26	1	True	-811.0		M450	26
70.736	261.124	-1	1174.827	<BeadTracker.Bead object at 0x0000014FD3461970>	0.1	0	27	27	1	True	-811.0		M450	27
70.913	261.163	-1	1174.856	<BeadTracker.Bead object at 0x0000014FD3461FD0>	0.1	0	28	28	1	True	-811.0		M450	28
70.837	261.074	-1	1155.921	<BeadTracker.Bead object at 0x0000014FD343A670>	0.1	0	29	29	1	True	-812.0		M450	29
70.907	261.141	-1	1151.826	<BeadTracker.Bead object at 0x0000014FD343ACD0>	0.1	0	30	30	1	True	-812.0		M450	30
70.883	261.135	-1	1175.06	<BeadTracker.Bead object at 0x0000014FD345E370>	0.1	0	31	31	1	True	-812.0		M450	31
70.99	261.213	-1	1149.388	<BeadTracker.Bead object at 0x0000014FD345E9D0>	0.1	0	32	32	1	True	-832.0		M450	32
70.933	261.199	-1	1143.697	<BeadTracker.Bead object at 0x0000014FD345EF70>	0.1	0	33	33	1	True	-835.0		M450	33
71.015	261.118	-1	1157.947	<BeadTracker.Bead object at 0x0000014FD34466D0>	0.1	0	34	34	1	True	-836.0		M450	34
70.996	261.2	-1	1130.215	<BeadTracker.Bead object at 0x0000014FD3446D30>	0.1	0	35	35	1	True	-833.0		M450	35
71.067	261.163	-1	1151.595	<BeadTracker.Bead object at 0x0000014FD34473D0>	0.1	0	36	36	1	True	-835.0		M450	36
70.948	261.262	-1	1176.358	<BeadTracker.Bead object at 0x0000014FD3447A30>	0.1	0	37	37	1	True	-833.0		M450	37
71.028	261.307	-1	1191.675	<BeadTracker.Bead object at 0x0000014FD3447FD0>	0.1	0	38	38	1	True	-811.0		M450	38
70.946	261.217	-1	1174.69	<BeadTracker.Bead object at 0x0000014FD343B730>	0.1	0	39	39	1	True	-812.0		M450	39
71.077	261.291	-1	1208.022	<BeadTracker.Bead object at 0x0000014FD343BD90>	0.1	0	40	40	1	True	-811.0		M450	40
71.032	261.22	-1	1169.642	<BeadTracker.Bead object at 0x0000014FD35D9430>	0.1	0	41	41	1	True	-811.0		M450	41
71.063	261.124	-1	1163.829	<BeadTracker.Bead object at 0x0000014FD35D9A90>	0.1	0	42	42	1	True	-812.0		M450	42
71.01	261.247	-1	1183.873	<BeadTracker.Bead object at 0x0000014FD35C3130>	0.1	0	43	43	1	True	-811.0		M450	43
70.978	261.162	-1	1156.185	<BeadTracker.Bead object at 0x0000014FD35C3790>	0.1	0	44	44	1	True	-812.0		M450	44
70.969	261.235	-1	1182.286	<BeadTracker.Bead object at 0x0000014FD35C3DF0>	0.1	0	45	45	1	True	-812.0		M450	45
71.052	261.173	-1	1162.849	<BeadTracker.Bead object at 0x0000014FD35CC490>	0.1	0	46	46	1	True	-835.0		M450	46
70.969	261.12	-1	1170.798	<BeadTracker.Bead object at 0x0000014FD35CCAF0>	0.1	0	47	47	1	True	-835.0		M450	47
71.029	261.252	-1	1170.316	<BeadTracker.Bead object at 0x0000014FD35E2190>	0.1	0	48	48	1	True	-812.0		M450	48
70.935	261.235	-1	1176.963	<BeadTracker.Bead object at 0x0000014FD35E27F0>	0.1	0	49	49	1	True	-833.0		M450	49
71.008	261.23	-1	1170.02	<BeadTracker.Bead object at 0x0000014FD35E2E50>	0.1	0	50	50	1	True	-811.0		M450	50
70.921	261.274	-1	1143.98	<BeadTracker.Bead object at 0x0000014FD35DD4F0>	0.1	0	51	51	1	True	-832.0		M450	51
70.97	261.267	-1	1158.713	<BeadTracker.Bead object at 0x0000014FD35DDB50>	0.1	0	52	52	1	True	-831.0		M450	52
70.876	261.225	-1	1138.257	<BeadTracker.Bead object at 0x0000014FD35B81F0>	0.1	0	53	53	1	True	-833.0		M450	53
70.903	261.179	-1	1148.405	<BeadTracker.Bead object at 0x0000014FD35B8850>	0.1	0	54	54	1	True	-834.0		M450	54
70.842	261.201	-1	1140.301	<BeadTracker.Bead object at 0x0000014FD35B8EB0>	0.1	0	55	55	1	True	-834.0		M450	55
70.895	261.076	-1	1155.552	<BeadTracker.Bead object at 0x0000014FD35B3550>	0.1	0	56	56	1	True	-812.0		M450	56
70.887	261.172	-1	1149.106	<BeadTracker.Bead object at 0x0000014FD35B3BB0>	0.1	0	57	57	1	True	-812.0		M450	57
70.861	261.284	-1	1140.601	<BeadTracker.Bead object at 0x0000014FD35D6250>	0.1	0	58	58	1	True	-831.0		M450	58
70.862	261.29	-1	1138.849	<BeadTracker.Bead object at 0x0000014FD35D68B0>	0.1	0	59	59	1	True	-831.0		M450	59
70.937	261.163	-1	1131.986	<BeadTracker.Bead object at 0x0000014FD35D6F10>	0.1	0	60	60	1	True	-836.0		M450	60
70.902	261.282	-1	1140.65	<BeadTracker.Bead object at 0x0000014FD35D85B0>	0.1	0	61	61	1	True	-834.0		M450	61
70.881	261.262	-1	1147.806	<BeadTracker.Bead object at 0x0000014FD35D8C10>	0.1	0	62	62	1	True	-829.0		M450	62
70.94	261.402	-1	1137.582	<BeadTracker.Bead object at 0x0000014FD4F082B0>	0.1	0	63	63	1	True	-831.0		M450	63
70.978	261.312	-1	1129.722	<BeadTracker.Bead object at 0x0000014FD4F08910>	0.1	0	64	64	1	True	-832.0		M450	64
