X	Y	idxCompression	StdDev	Bead	Status	Status_2	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
249.08	242.239	0	9608.081	<BeadTracker.Bead object at 0x000001DC0412D148>	1	1	0	0	0	True	316.0		M450	0
249.051	242.271	0	4084.202	<BeadTracker.Bead object at 0x000001DC0412D0C8>	2	1	1	1	0	False	316.0		M450	1
249.049	242.126	0	1752.121	<BeadTracker.Bead object at 0x000001DC0C0C6188>	3	1	2	2	0	False	316.0		M450	2
248.932	242.326	0	9575.71	<BeadTracker.Bead object at 0x000001DC00CA3608>	1	2	3	3	0	True	322.0		M450	3
249.148	242.206	0	4064.923	<BeadTracker.Bead object at 0x000001DC093AD188>	2	2	4	4	0	False	322.0		M450	4
248.964	242.362	0	1771.629	<BeadTracker.Bead object at 0x000001DC01406D48>	3	2	5	5	0	False	322.0		M450	5
249.134	242.093	0	9628.412	<BeadTracker.Bead object at 0x000001DC01406DC8>	1	3	6	6	0	True	312.0		M450	6
248.942	242.178	0	3975.829	<BeadTracker.Bead object at 0x000001DC01406448>	2	3	7	7	0	False	312.0		M450	7
249.052	242.024	0	1764.202	<BeadTracker.Bead object at 0x000001DC0412C448>	3	3	8	8	0	False	312.0		M450	8
248.974	242.175	0	9600.297	<BeadTracker.Bead object at 0x000001DC0412CF48>	1	4	9	9	0	True	328.0		M450	9
249.243	241.979	0	3915.218	<BeadTracker.Bead object at 0x000001DC00C9B208>	2	4	10	10	0	False	328.0		M450	10
248.771	242.073	0	1789.509	<BeadTracker.Bead object at 0x000001DC00C9B108>	3	4	11	11	0	False	328.0		M450	11
249.102	241.972	0	9548.948	<BeadTracker.Bead object at 0x000001DC0406B308>	1	5	12	12	0	True	325.0		M450	12
248.926	242.084	0	3940.842	<BeadTracker.Bead object at 0x000001DC0410A9C8>	2	5	13	13	0	False	325.0		M450	13
249.146	242.024	0	1734.721	<BeadTracker.Bead object at 0x000001DC00C9B048>	3	5	14	14	0	False	325.0		M450	14
248.819	242.003	0	9622.876	<BeadTracker.Bead object at 0x000001DC03FE32C8>	1	6	15	15	0	True	314.0		M450	15
249.074	241.801	0	3985.995	<BeadTracker.Bead object at 0x000001DC13181048>	2	6	16	16	0	False	314.0		M450	16
248.863	241.9	0	1761.117	<BeadTracker.Bead object at 0x000001DC06E12B48>	3	6	17	17	0	False	314.0		M450	17
248.973	241.777	1	1241.363	<BeadTracker.Bead object at 0x000001DC06E339C8>	0	0	18	18	0	True	354.0		M450	18
