X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
99.541	249.257	0	5857.44	<BeadTracker.Bead object at 0x0000014444B9A948>	1.0	1	0	0	0	False	-454.0		M450	0
99.03	249.293	0	4223.692	<BeadTracker.Bead object at 0x0000014444879788>	2.0	1	1	1	0	True	-454.0		M450	1
98.493	249.31	0	1313.917	<BeadTracker.Bead object at 0x0000014444BA5B08>	3.0	1	2	2	0	False	-454.0		M450	2
99.482	249.252	0	5863.765	<BeadTracker.Bead object at 0x0000014444879948>	1.0	2	3	3	0	False	-457.0		M450	3
99.174	249.171	0	4256.225	<BeadTracker.Bead object at 0x0000014444BA3D08>	2.0	2	4	4	0	True	-457.0		M450	4
98.619	249.237	0	1323.198	<BeadTracker.Bead object at 0x0000014444A7DC48>	3.0	2	5	5	0	False	-457.0		M450	5
99.61	249.129	0	5851.55	<BeadTracker.Bead object at 0x00000144452EAE08>	1.0	3	6	6	0	False	-457.0		M450	6
99.258	249.188	0	4239.758	<BeadTracker.Bead object at 0x00000144452EABC8>	2.0	3	7	7	0	True	-457.0		M450	7
98.666	249.17	0	1317.161	<BeadTracker.Bead object at 0x00000144453F8888>	3.0	3	8	8	0	False	-457.0		M450	8
99.757	249.035	0	5813.311	<BeadTracker.Bead object at 0x00000144453FE748>	1.0	4	9	9	0	False	-461.0		M450	9
99.407	249.187	0	4224.136	<BeadTracker.Bead object at 0x000001444540D888>	2.0	4	10	10	0	True	-461.0		M450	10
98.895	249.072	0	1314.75	<BeadTracker.Bead object at 0x000001444540D748>	3.0	4	11	11	0	False	-461.0		M450	11
99.792	248.969	0	5797.842	<BeadTracker.Bead object at 0x000001444540DF48>	1.0	5	12	12	0	False	-456.0		M450	12
99.566	248.935	0	4249.95	<BeadTracker.Bead object at 0x00000144453FE208>	2.0	5	13	13	0	True	-456.0		M450	13
98.796	248.97	0	1312.251	<BeadTracker.Bead object at 0x00000144453FED48>	3.0	5	14	14	0	False	-456.0		M450	14
99.947	248.768	0	5776.269	<BeadTracker.Bead object at 0x00000144453FEF08>	1.0	6	15	15	0	False	-458.0		M450	15
99.545	248.962	0	4212.475	<BeadTracker.Bead object at 0x0000014445424FC8>	2.0	6	16	16	0	True	-458.0		M450	16
99.034	248.827	0	1319.982	<BeadTracker.Bead object at 0x0000014445424288>	3.0	6	17	17	0	False	-458.0		M450	17
99.331	248.872	1	2744.567	<BeadTracker.Bead object at 0x0000014445424CC8>	0.0	0	18	18	0	True	-517.0		M450	18
99.451	248.912	1	3699.868	<BeadTracker.Bead object at 0x000001444541C908>	0.0	0	19	19	0	True	-457.0		M450	19
99.592	248.902	1	3973.864	<BeadTracker.Bead object at 0x000001444541CC08>	0.0	0	20	20	0	True	-397.0		M450	20
99.583	248.785	1	4079.812	<BeadTracker.Bead object at 0x000001444541CF08>	0.0	0	21	21	0	True	-337.0		M450	21
99.619	248.768	1	4107.218	<BeadTracker.Bead object at 0x000001444541CA88>	0.0	0	22	22	0	True	-318.0		M450	22
99.628	248.824	1	4105.323	<BeadTracker.Bead object at 0x000001444541CC48>	0.0	0	23	23	0	True	-280.0		M450	23
99.635	248.84	1	4113.629	<BeadTracker.Bead object at 0x00000144454177C8>	0.0	0	24	24	0	True	-317.0		M450	24
99.619	248.789	1	4088.007	<BeadTracker.Bead object at 0x0000014445408E08>	0.0	0	25	25	0	True	-319.0		M450	25
99.581	248.788	1	4125.753	<BeadTracker.Bead object at 0x00000144454171C8>	0.0	0	26	26	0	True	-280.0		M450	26
99.605	248.822	1	4100.482	<BeadTracker.Bead object at 0x0000014445417648>	0.0	0	27	27	0	True	-317.0		M450	27
99.629	248.82	1	4100.904	<BeadTracker.Bead object at 0x0000014445417488>	0.0	0	28	28	0	True	-318.0		M450	28
99.586	248.82	1	4098.939	<BeadTracker.Bead object at 0x0000014445408888>	0.0	0	29	29	0	True	-317.0		M450	29
99.507	248.831	1	4098.541	<BeadTracker.Bead object at 0x0000014445404EC8>	0.0	0	30	30	0	True	-318.0		M450	30
99.478	248.91	1	4089.754	<BeadTracker.Bead object at 0x0000014445408288>	0.0	0	31	31	0	True	-280.0		M450	31
99.455	248.909	1	4086.993	<BeadTracker.Bead object at 0x0000014445408708>	0.0	0	32	32	0	True	-279.0		M450	32
99.438	248.872	1	4079.093	<BeadTracker.Bead object at 0x0000014445408548>	0.0	0	33	33	0	True	-280.0		M450	33
99.477	248.884	1	4089.366	<BeadTracker.Bead object at 0x0000014445404948>	0.0	0	34	34	0	True	-280.0		M450	34
99.404	248.867	1	4110.826	<BeadTracker.Bead object at 0x00000144453FFF88>	0.0	0	35	35	0	True	-279.0		M450	35
99.399	248.904	1	4085.064	<BeadTracker.Bead object at 0x0000014445404348>	0.0	0	36	36	0	True	-280.0		M450	36
99.358	248.897	1	4090.737	<BeadTracker.Bead object at 0x0000014445404048>	0.0	0	37	37	0	True	-279.0		M450	37
99.421	248.955	1	4074.26	<BeadTracker.Bead object at 0x00000144454044C8>	0.0	0	38	38	0	True	-280.0		M450	38
99.391	249.024	1	4069.218	<BeadTracker.Bead object at 0x0000014445404308>	0.0	0	39	39	0	True	-314.0		M450	39
99.376	248.914	1	4105.233	<BeadTracker.Bead object at 0x00000144453FF708>	0.0	0	40	40	0	True	-279.0		M450	40
99.407	248.941	1	4099.199	<BeadTracker.Bead object at 0x00000144453FF408>	0.0	0	41	41	0	True	-279.0		M450	41
99.42	248.97	1	4090.362	<BeadTracker.Bead object at 0x00000144453FF108>	0.0	0	42	42	0	True	-280.0		M450	42
99.446	248.887	1	4114.149	<BeadTracker.Bead object at 0x00000144453FF588>	0.0	0	43	43	0	True	-279.0		M450	43
99.435	248.845	1	4131.112	<BeadTracker.Bead object at 0x00000144453FF3C8>	0.0	0	44	44	0	True	-280.0		M450	44
99.42	248.81	1	4089.709	<BeadTracker.Bead object at 0x000001444542B848>	0.0	0	45	45	0	True	-280.0		M450	45
99.422	248.819	1	4118.981	<BeadTracker.Bead object at 0x000001444542A208>	0.0	0	46	46	0	True	-279.0		M450	46
99.444	248.814	1	4112.091	<BeadTracker.Bead object at 0x000001444542BE48>	0.0	0	47	47	0	True	-280.0		M450	47
99.476	248.79	1	4157.566	<BeadTracker.Bead object at 0x000001444542B9C8>	0.0	0	48	48	0	True	-279.0		M450	48
99.493	248.821	1	4134.174	<BeadTracker.Bead object at 0x000001444542BB88>	0.0	0	49	49	0	True	-280.0		M450	49
99.496	248.771	1	4156.343	<BeadTracker.Bead object at 0x000001444542A788>	0.0	0	50	50	0	True	-279.0		M450	50
99.492	248.83	1	4157.883	<BeadTracker.Bead object at 0x0000014444CB4108>	0.0	0	51	51	0	True	-279.0		M450	51
99.509	248.763	1	4143.468	<BeadTracker.Bead object at 0x000001444542AD88>	0.0	0	52	52	0	True	-318.0		M450	52
99.513	248.71	1	4133.826	<BeadTracker.Bead object at 0x0000014445424448>	0.0	0	53	53	0	True	-319.0		M450	53
99.51	248.73	1	4136.186	<BeadTracker.Bead object at 0x000001444542A908>	0.0	0	54	54	0	True	-318.0		M450	54
99.454	248.757	1	4094.991	<BeadTracker.Bead object at 0x000001444542ADC8>	0.0	0	55	55	0	True	-280.0		M450	55
99.504	248.785	1	4101.212	<BeadTracker.Bead object at 0x000001444542A388>	0.0	0	56	56	0	True	-319.0		M450	56
99.46	248.761	1	4103.865	<BeadTracker.Bead object at 0x0000014444CB91C8>	0.0	0	57	57	0	True	-280.0		M450	57
99.443	248.676	1	4105.112	<BeadTracker.Bead object at 0x000001444542A348>	0.0	0	58	58	0	True	-280.0		M450	58
99.438	248.665	1	4102.614	<BeadTracker.Bead object at 0x000001444542A648>	0.0	0	59	59	0	True	-280.0		M450	59
99.422	248.638	1	4119.675	<BeadTracker.Bead object at 0x0000014444CB4BC8>	0.0	0	60	60	0	True	-280.0		M450	60
99.418	248.701	1	4082.694	<BeadTracker.Bead object at 0x0000014444CB4148>	0.0	0	61	61	0	True	-280.0		M450	61
99.347	248.615	1	4106.046	<BeadTracker.Bead object at 0x0000014444CB40C8>	0.0	0	62	62	0	True	-280.0		M450	62
99.357	248.61	1	4118.549	<BeadTracker.Bead object at 0x0000014444CB9C48>	0.0	0	63	63	0	True	-319.0		M450	63
99.289	248.573	1	4104.316	<BeadTracker.Bead object at 0x0000014444CB4388>	0.0	0	64	64	0	True	-319.0		M450	64
99.372	248.604	1	4126.214	<BeadTracker.Bead object at 0x0000014444CB9688>	0.0	0	65	65	0	True	-318.0		M450	65
99.35	248.54	1	4114.182	<BeadTracker.Bead object at 0x0000014444CB9C88>	0.0	0	66	66	0	True	-319.0		M450	66
99.354	248.539	1	4093.169	<BeadTracker.Bead object at 0x0000014444CB9348>	0.0	0	67	67	0	True	-320.0		M450	67
99.303	248.47	1	4088.815	<BeadTracker.Bead object at 0x0000014444CB9188>	0.0	0	68	68	0	True	-291.0		M450	68
99.296	248.327	1	4085.416	<BeadTracker.Bead object at 0x0000014444CBDD08>	0.0	0	69	69	0	True	-292.0		M450	69
99.325	248.388	1	4064.893	<BeadTracker.Bead object at 0x0000014444CB9448>	0.0	0	70	70	0	True	-292.0		M450	70
99.337	248.31	1	4084.762	<BeadTracker.Bead object at 0x0000014444CBD748>	0.0	0	71	71	0	True	-290.0		M450	71
99.41	248.248	1	4116.931	<BeadTracker.Bead object at 0x0000014444CBDD48>	0.0	0	72	72	0	True	-277.0		M450	72
99.356	248.169	1	4083.385	<BeadTracker.Bead object at 0x0000014444CBD588>	0.0	0	73	73	0	True	-281.0		M450	73
99.384	248.001	1	4062.41	<BeadTracker.Bead object at 0x0000014444CC7148>	0.0	0	74	74	0	True	-280.0		M450	74
99.403	247.89	1	4067.985	<BeadTracker.Bead object at 0x0000014444CC4DC8>	0.0	0	75	75	0	True	-280.0		M450	75
99.437	247.883	1	4071.384	<BeadTracker.Bead object at 0x0000014444CBD508>	0.0	0	76	76	0	True	-280.0		M450	76
99.393	247.733	1	4017.093	<BeadTracker.Bead object at 0x0000014444CC4B48>	0.0	0	77	77	0	True	-319.0		M450	77
99.367	247.606	1	4010.877	<BeadTracker.Bead object at 0x0000014444CC40C8>	0.0	0	78	78	0	True	-321.0		M450	78
99.352	247.546	1	3981.686	<BeadTracker.Bead object at 0x0000014444CC4048>	0.0	0	79	79	0	True	-322.0		M450	79
99.339	247.354	1	3956.238	<BeadTracker.Bead object at 0x0000014444CC7BC8>	0.0	0	80	80	0	True	-318.0		M450	80
99.324	247.294	1	3911.157	<BeadTracker.Bead object at 0x0000014444CC4308>	0.0	0	81	81	0	True	-319.0		M450	81
99.272	247.276	1	3890.136	<BeadTracker.Bead object at 0x0000014444CC45C8>	0.0	0	82	82	0	True	-320.0		M450	82
99.289	247.167	1	3842.347	<BeadTracker.Bead object at 0x0000014444CC7C08>	0.0	0	83	83	0	True	-337.0		M450	83
99.249	247.223	1	3772.359	<BeadTracker.Bead object at 0x0000014444CC72C8>	0.0	0	84	84	0	True	-339.0		M450	84
99.199	247.321	1	3784.881	<BeadTracker.Bead object at 0x0000014444CC7108>	0.0	0	85	85	0	True	-339.0		M450	85
99.264	247.481	1	3759.1	<BeadTracker.Bead object at 0x0000014444CCEC88>	0.0	0	86	86	0	True	-340.0		M450	86
99.277	247.548	1	3768.336	<BeadTracker.Bead object at 0x0000014444CC73C8>	0.0	0	87	87	0	True	-382.0		M450	87
99.285	247.665	1	3814.217	<BeadTracker.Bead object at 0x0000014444CCE6C8>	0.0	0	88	88	0	True	-338.0		M450	88
99.239	247.771	1	3794.376	<BeadTracker.Bead object at 0x0000014444CCECC8>	0.0	0	89	89	0	True	-338.0		M450	89
99.266	247.923	1	3798.892	<BeadTracker.Bead object at 0x0000014444CCE388>	0.0	0	90	90	0	True	-337.0		M450	90
99.25	247.932	1	3825.852	<BeadTracker.Bead object at 0x0000014444CCE1C8>	0.0	0	91	91	0	True	-336.0		M450	91
99.265	248.097	1	3798.645	<BeadTracker.Bead object at 0x0000014444CD4D48>	0.0	0	92	92	0	True	-337.0		M450	92
99.242	248.143	1	3807.952	<BeadTracker.Bead object at 0x0000014444CCE488>	0.0	0	93	93	0	True	-338.0		M450	93
99.3	248.23	1	3790.767	<BeadTracker.Bead object at 0x0000014444CD44C8>	0.0	0	94	94	0	True	-337.0		M450	94
99.319	248.338	1	3791.907	<BeadTracker.Bead object at 0x0000014444CD4D88>	0.0	0	95	95	0	True	-338.0		M450	95
99.294	248.354	1	3832.484	<BeadTracker.Bead object at 0x0000014444CD45C8>	0.0	0	96	96	0	True	-337.0		M450	96
99.38	248.293	1	3831.704	<BeadTracker.Bead object at 0x0000014444CDF188>	0.0	0	97	97	0	True	-337.0		M450	97
99.349	248.402	1	3830.365	<BeadTracker.Bead object at 0x0000014444CDBE08>	0.0	0	98	98	0	True	-337.0		M450	98
99.433	248.391	1	3865.824	<BeadTracker.Bead object at 0x0000014444CD4548>	0.0	0	99	99	0	True	-336.0		M450	99
99.449	248.459	1	3846.927	<BeadTracker.Bead object at 0x0000014444CDBB88>	0.0	0	100	100	0	True	-337.0		M450	100
99.441	248.467	1	3803.206	<BeadTracker.Bead object at 0x0000014444CDB108>	0.0	0	101	101	0	True	-338.0		M450	101
99.46	248.509	1	3860.884	<BeadTracker.Bead object at 0x0000014444CDB088>	0.0	0	102	102	0	True	-338.0		M450	102
99.513	248.594	1	3841.669	<BeadTracker.Bead object at 0x0000014444CDFC08>	0.0	0	103	103	0	True	-382.0		M450	103
99.562	248.653	1	3862.81	<BeadTracker.Bead object at 0x0000014444CDB348>	0.0	0	104	104	0	True	-338.0		M450	104
99.548	248.651	1	3851.252	<BeadTracker.Bead object at 0x0000014444CDB608>	0.0	0	105	105	0	True	-339.0		M450	105
99.519	248.654	1	3833.948	<BeadTracker.Bead object at 0x0000014444CDFC48>	0.0	0	106	106	0	True	-339.0		M450	106
99.545	248.665	1	3849.889	<BeadTracker.Bead object at 0x0000014444CDF308>	0.0	0	107	107	0	True	-339.0		M450	107
99.58	248.645	1	3838.674	<BeadTracker.Bead object at 0x0000014444CDF148>	0.0	0	108	108	0	True	-338.0		M450	108
99.563	248.671	1	3854.941	<BeadTracker.Bead object at 0x0000014444CE4CC8>	0.0	0	109	109	0	True	-338.0		M450	109
99.572	248.738	1	3853.744	<BeadTracker.Bead object at 0x0000014444CDF408>	0.0	0	110	110	0	True	-338.0		M450	110
99.566	248.808	1	3873.893	<BeadTracker.Bead object at 0x0000014444CE4708>	0.0	0	111	111	0	True	-337.0		M450	111
99.596	248.885	1	3848.95	<BeadTracker.Bead object at 0x0000014444CE4D08>	0.0	0	112	112	0	True	-338.0		M450	112
99.538	248.837	1	3876.539	<BeadTracker.Bead object at 0x0000014444CE43C8>	0.0	0	113	113	0	True	-337.0		M450	113
99.527	248.925	1	3867.651	<BeadTracker.Bead object at 0x0000014444CF0108>	0.0	0	114	114	0	True	-337.0		M450	114
99.499	248.91	1	3871.132	<BeadTracker.Bead object at 0x0000014444CEBD88>	0.0	0	115	115	0	True	-321.0		M450	115
99.465	248.915	1	3860.62	<BeadTracker.Bead object at 0x0000014444CE44C8>	0.0	0	116	116	0	True	-321.0		M450	116
99.441	248.851	1	3879.748	<BeadTracker.Bead object at 0x0000014444CEB508>	0.0	0	117	117	0	True	-321.0		M450	117
99.396	248.858	1	3873.18	<BeadTracker.Bead object at 0x0000014444CEBDC8>	0.0	0	118	118	0	True	-321.0		M450	118
99.418	248.883	1	3861.504	<BeadTracker.Bead object at 0x0000014444CEB608>	0.0	0	119	119	0	True	-321.0		M450	119
99.41	248.959	1	3836.028	<BeadTracker.Bead object at 0x0000014444CF0B88>	0.0	0	120	120	0	True	-322.0		M450	120
99.415	248.928	1	3845.989	<BeadTracker.Bead object at 0x0000014444CEB2C8>	0.0	0	121	121	0	True	-322.0		M450	121
99.388	248.986	1	3830.091	<BeadTracker.Bead object at 0x0000014444CF0888>	0.0	0	122	122	0	True	-335.0		M450	122
99.471	248.897	1	3859.203	<BeadTracker.Bead object at 0x0000014444CF0BC8>	0.0	0	123	123	0	True	-336.0		M450	123
99.477	248.94	1	3880.569	<BeadTracker.Bead object at 0x0000014444CF0148>	0.0	0	124	124	0	True	-336.0		M450	124
99.518	248.957	1	3857.293	<BeadTracker.Bead object at 0x0000014444CFB188>	0.0	0	125	125	0	True	-338.0		M450	125
