X	Y	idxCompression	StdDev	Bead	Status	Status_2	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
336.734	220.463	0	4305.155	<BeadTracker.Bead object at 0x000001DC00E3D0C8>	1	1	0	0	1	False	-48.0		M450	0
336.742	220.592	0	5682.113	<BeadTracker.Bead object at 0x000001DC09AAAE48>	2	1	1	1	0	True	-48.0		M450	1
337.167	220.59	0	5009.093	<BeadTracker.Bead object at 0x000001DC09B11688>	3	1	2	2	0	False	-48.0		M450	2
336.488	220.637	0	4309.918	<BeadTracker.Bead object at 0x000001DC084E0D48>	1	2	3	3	1	False	-51.0		M450	3
336.48	220.631	0	5596.981	<BeadTracker.Bead object at 0x000001DC02814908>	2	2	4	4	1	True	-51.0		M450	4
337.053	220.487	0	5043.63	<BeadTracker.Bead object at 0x000001DC0A0CA288>	3	2	5	5	1	False	-51.0		M450	5
336.316	220.367	0	4338.525	<BeadTracker.Bead object at 0x000001DC0A0CAE88>	1	3	6	6	1	False	-24.0		M450	6
336.513	220.37	0	5675.14	<BeadTracker.Bead object at 0x000001DC070D30C8>	2	3	7	7	1	True	-24.0		M450	7
336.741	220.431	0	5085.976	<BeadTracker.Bead object at 0x000001DC070D3BC8>	3	3	8	8	1	False	-24.0		M450	8
336.81	220.199	0	4297.771	<BeadTracker.Bead object at 0x000001DC03FD9B48>	1	4	9	9	0	False	-28.0		M450	9
336.878	220.422	0	5570.779	<BeadTracker.Bead object at 0x000001DC08501608>	2	4	10	10	1	True	-28.0		M450	10
337.51	220.307	0	4974.289	<BeadTracker.Bead object at 0x000001DC0320ADC8>	3	4	11	11	2	False	-28.0		M450	11
337.264	220.018	0	4298.07	<BeadTracker.Bead object at 0x000001DC0320A9C8>	1	5	12	12	1	False	-51.0		M450	12
337.403	220.078	0	5510.853	<BeadTracker.Bead object at 0x000001DC084F92C8>	2	5	13	13	1	True	-51.0		M450	13
337.726	220.257	0	5055.88	<BeadTracker.Bead object at 0x000001DC084F9E48>	3	5	14	14	1	False	-51.0		M450	14
337.128	219.586	0	4229.811	<BeadTracker.Bead object at 0x000001DC084F5348>	1	6	15	15	1	False	-50.0		M450	15
337.104	219.736	0	5482.021	<BeadTracker.Bead object at 0x000001DC10461A88>	2	6	16	16	0	True	-50.0		M450	16
337.651	219.616	0	5087.134	<BeadTracker.Bead object at 0x000001DC10461E88>	3	6	17	17	0	False	-50.0		M450	17
337.289	219.695	1	5522.565	<BeadTracker.Bead object at 0x000001DC01406AC8>	0	0	18	18	0	True	-89.0		M450	18
337.196	219.653	1	5553.0	<BeadTracker.Bead object at 0x000001DC00D740C8>	0	0	19	19	0	True	-128.0		M450	19
337.109	219.691	1	5520.085	<BeadTracker.Bead object at 0x000001DC0FF6A8C8>	0	0	20	20	0	True	-167.0		M450	20
337.193	219.683	1	5485.22	<BeadTracker.Bead object at 0x000001DC0281CCC8>	0	0	21	21	1	True	-206.0		M450	21
337.204	219.69	1	5487.568	<BeadTracker.Bead object at 0x000001DC0796CD48>	0	0	22	22	0	True	-245.0		M450	22
337.185	219.64	1	5499.209	<BeadTracker.Bead object at 0x000001DC031D9388>	0	0	23	23	1	True	-279.0		M450	23
337.186	219.674	1	5456.516	<BeadTracker.Bead object at 0x000001DC0CBB5708>	0	0	24	24	0	True	-279.0		M450	24
337.223	219.715	1	5395.533	<BeadTracker.Bead object at 0x000001DC0C0C6988>	0	0	25	25	0	True	-280.0		M450	25
337.203	219.672	1	5440.329	<BeadTracker.Bead object at 0x000001DC0C0C6A08>	0	0	26	26	0	True	-280.0		M450	26
337.215	219.557	1	5391.144	<BeadTracker.Bead object at 0x000001DC03FCD808>	0	0	27	27	0	True	-280.0		M450	27
337.17	219.509	1	5419.839	<BeadTracker.Bead object at 0x000001DC03FCD708>	0	0	28	28	0	True	-280.0		M450	28
337.221	219.55	1	5384.658	<BeadTracker.Bead object at 0x000001DC09CE8E08>	0	0	29	29	1	True	-280.0		M450	29
337.134	219.533	1	5397.876	<BeadTracker.Bead object at 0x000001DC1148ECC8>	0	0	30	30	1	True	-280.0		M450	30
337.178	219.658	1	5365.808	<BeadTracker.Bead object at 0x000001DC0291E808>	0	0	31	31	1	True	-280.0		M450	31
337.15	219.661	1	5435.084	<BeadTracker.Bead object at 0x000001DC03FE3CC8>	0	0	32	32	0	True	-280.0		M450	32
337.207	219.687	1	5426.568	<BeadTracker.Bead object at 0x000001DC09765108>	0	0	33	33	1	True	-280.0		M450	33
337.168	219.662	1	5423.431	<BeadTracker.Bead object at 0x000001DC11480208>	0	0	34	34	1	True	-280.0		M450	34
337.178	219.597	1	5498.79	<BeadTracker.Bead object at 0x000001DC092DB748>	0	0	35	35	1	True	-279.0		M450	35
337.249	219.61	1	5449.476	<BeadTracker.Bead object at 0x000001DC03FE3408>	0	0	36	36	0	True	-279.0		M450	36
337.222	219.607	1	5485.822	<BeadTracker.Bead object at 0x000001DC03FE3E08>	0	0	37	37	0	True	-280.0		M450	37
337.312	219.612	1	5408.167	<BeadTracker.Bead object at 0x000001DC05C96B88>	0	0	38	38	1	True	-280.0		M450	38
337.327	219.574	1	5416.001	<BeadTracker.Bead object at 0x000001DC0B140D08>	0	0	39	39	1	True	-280.0		M450	39
337.321	219.63	1	5436.917	<BeadTracker.Bead object at 0x000001DC0B1407C8>	0	0	40	40	1	True	-280.0		M450	40
337.337	219.596	1	5394.464	<BeadTracker.Bead object at 0x000001DC09B001C8>	0	0	41	41	1	True	-280.0		M450	41
337.389	219.491	1	5482.627	<BeadTracker.Bead object at 0x000001DC09B00B08>	0	0	42	42	1	True	-291.0		M450	42
337.446	219.553	1	5426.342	<BeadTracker.Bead object at 0x000001DC0FF94A88>	0	0	43	43	1	True	-280.0		M450	43
337.436	219.533	1	5424.45	<BeadTracker.Bead object at 0x000001DC00AEF788>	0	0	44	44	1	True	-280.0		M450	44
337.501	219.52	1	5367.16	<BeadTracker.Bead object at 0x000001DC00AEFFC8>	0	0	45	45	1	True	-317.0		M450	45
337.475	219.464	1	5436.611	<BeadTracker.Bead object at 0x000001DC00AF59C8>	0	0	46	46	1	True	-291.0		M450	46
337.535	219.555	1	5484.619	<BeadTracker.Bead object at 0x000001DC03F6CF48>	0	0	47	47	0	True	-280.0		M450	47
337.57	219.454	1	5463.234	<BeadTracker.Bead object at 0x000001DC0386C6C8>	0	0	48	48	1	True	-292.0		M450	48
337.604	219.394	1	5441.783	<BeadTracker.Bead object at 0x000001DC0386C3C8>	0	0	49	49	1	True	-292.0		M450	49
337.7	219.338	1	5440.438	<BeadTracker.Bead object at 0x000001DC08554F08>	0	0	50	50	0	True	-292.0		M450	50
337.599	219.3	1	5461.686	<BeadTracker.Bead object at 0x000001DC03F6C688>	0	0	51	51	0	True	-292.0		M450	51
337.661	219.309	1	5447.682	<BeadTracker.Bead object at 0x000001DC08554C08>	0	0	52	52	0	True	-292.0		M450	52
337.695	219.244	1	5457.135	<BeadTracker.Bead object at 0x000001DC08554108>	0	0	53	53	0	True	-291.0		M450	53
337.548	219.272	1	5481.145	<BeadTracker.Bead object at 0x000001DC085545C8>	0	0	54	54	0	True	-292.0		M450	54
337.544	219.205	1	5487.309	<BeadTracker.Bead object at 0x000001DC015D7188>	0	0	55	55	0	True	-291.0		M450	55
337.522	219.187	1	5471.052	<BeadTracker.Bead object at 0x000001DC08554F48>	0	0	56	56	0	True	-292.0		M450	56
337.506	219.142	1	5430.547	<BeadTracker.Bead object at 0x000001DC015D7308>	0	0	57	57	0	True	-291.0		M450	57
337.562	219.105	1	5457.584	<BeadTracker.Bead object at 0x000001DC015D7908>	0	0	58	58	0	True	-293.0		M450	58
337.478	219.08	1	5518.536	<BeadTracker.Bead object at 0x000001DC015D7E48>	0	0	59	59	0	True	-275.0		M450	59
337.327	219.082	1	5482.565	<BeadTracker.Bead object at 0x000001DC0412C948>	0	0	60	60	0	True	-276.0		M450	60
