X	Y	idxAnalysis	StdDev	Bead	Status	Status_2	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
320.761	299.54	0	10072.523	<BeadTracker.Bead object at 0x000001DC008D2EC8>	1	1	0	0	2	False	178.0	M450	M450	0
320.956	299.48	0	8944.502	<BeadTracker.Bead object at 0x000001DC0844E048>	2	1	1	1	2	True	178.0	M450	M450	1
320.95	299.502	0	3054.727	<BeadTracker.Bead object at 0x000001DC0844E848>	3	1	2	2	1	False	178.0	M450	M450	2
320.617	299.742	0	10005.299	<BeadTracker.Bead object at 0x000001DC147B4448>	1	2	3	3	2	False	180.0	M450	M450	3
320.744	299.74	0	8730.22	<BeadTracker.Bead object at 0x000001DC1157EC08>	2	2	4	4	2	True	180.0	M450	M450	4
320.89	299.545	0	3018.53	<BeadTracker.Bead object at 0x000001DC1157EA88>	3	2	5	5	1	False	180.0	M450	M450	5
320.586	299.647	0	10093.122	<BeadTracker.Bead object at 0x000001DC046AE5C8>	1	3	6	6	2	False	178.0	M450	M450	6
320.847	299.64	0	8868.468	<BeadTracker.Bead object at 0x000001DC046AEB88>	2	3	7	7	2	True	178.0	M450	M450	7
320.864	299.688	0	3008.734	<BeadTracker.Bead object at 0x000001DC046AE588>	3	3	8	8	1	False	178.0	M450	M450	8
320.688	299.277	0	10094.443	<BeadTracker.Bead object at 0x000001DC13EEAAC8>	1	4	9	9	2	False	177.0	M450	M450	9
320.92	299.116	0	8942.069	<BeadTracker.Bead object at 0x000001DC13EEAA08>	2	4	10	10	2	True	177.0	M450	M450	10
320.98	299.256	0	3028.337	<BeadTracker.Bead object at 0x000001DC00B99F88>	3	4	11	11	1	False	177.0	M450	M450	11
320.619	299.375	0	10039.687	<BeadTracker.Bead object at 0x000001DC00B99D48>	1	5	12	12	2	False	181.0	M450	M450	12
320.758	299.315	0	8797.949	<BeadTracker.Bead object at 0x000001DC13096DC8>	2	5	13	13	2	True	181.0	M450	M450	13
320.862	299.422	0	2968.415	<BeadTracker.Bead object at 0x000001DC01768F08>	3	5	14	14	1	False	181.0	M450	M450	14
320.572	299.155	0	9994.078	<BeadTracker.Bead object at 0x000001DC01768048>	1	6	15	15	2	False	183.0	M450	M450	15
320.736	298.985	0	8653.282	<BeadTracker.Bead object at 0x000001DC046ACBC8>	2	6	16	16	2	True	183.0	M450	M450	16
320.87	299.119	0	2867.379	<BeadTracker.Bead object at 0x000001DC046ACD08>	3	6	17	17	1	False	183.0	M450	M450	17
320.83	299.289	1	6148.199	<BeadTracker.Bead object at 0x000001DC0468EC08>	0	0	18	18	2	True	223.0	M450	M450	18
320.854	299.267	1	7799.038	<BeadTracker.Bead object at 0x000001DC0468E2C8>	0	0	19	19	2	True	263.0	M450	M450	19
320.79	299.286	1	8231.519	<BeadTracker.Bead object at 0x000001DC016E9CC8>	0	0	20	20	2	True	248.0	M450	M450	20
320.781	299.348	1	8334.14	<BeadTracker.Bead object at 0x000001DC1060BDC8>	0	0	21	21	2	True	230.0	M450	M450	21
320.751	299.352	1	8338.975	<BeadTracker.Bead object at 0x000001DC1060B3C8>	0	0	22	22	2	True	230.0	M450	M450	22
320.759	299.256	1	8363.272	<BeadTracker.Bead object at 0x000001DC13F608C8>	0	0	23	23	2	True	246.0	M450	M450	23
320.73	299.052	1	8341.282	<BeadTracker.Bead object at 0x000001DC13F60388>	0	0	24	24	2	True	246.0	M450	M450	24
320.727	299.06	1	8413.948	<BeadTracker.Bead object at 0x000001DC06175688>	0	0	25	25	2	True	244.0	M450	M450	25
320.698	299.119	1	8423.517	<BeadTracker.Bead object at 0x000001DC06175508>	0	0	26	26	2	True	231.0	M450	M450	26
320.675	299.287	1	8391.943	<BeadTracker.Bead object at 0x000001DC070433C8>	0	0	27	27	2	True	231.0	M450	M450	27
320.542	299.296	1	8423.037	<BeadTracker.Bead object at 0x000001DC0BD6B388>	0	0	28	28	2	True	247.0	M450	M450	28
320.533	299.437	1	8371.976	<BeadTracker.Bead object at 0x000001DC13749AC8>	0	0	29	29	2	True	248.0	M450	M450	29
320.421	299.48	1	8327.099	<BeadTracker.Bead object at 0x000001DC05E787C8>	0	0	30	30	2	True	228.0	M450	M450	30
320.433	299.513	1	8261.72	<BeadTracker.Bead object at 0x000001DC472DD088>	0	0	31	31	2	True	256.0	M450	M450	31
320.452	299.436	1	8276.484	<BeadTracker.Bead object at 0x000001DC472DDF88>	0	0	32	32	2	True	229.0	M450	M450	32
320.477	299.35	1	8310.441	<BeadTracker.Bead object at 0x000001DC13F06848>	0	0	33	33	2	True	228.0	M450	M450	33
320.451	299.145	1	8334.382	<BeadTracker.Bead object at 0x000001DC02020B88>	0	0	34	34	2	True	230.0	M450	M450	34
320.466	299.103	1	8371.174	<BeadTracker.Bead object at 0x000001DC046ADF88>	0	0	35	35	2	True	229.0	M450	M450	35
320.48	299.101	1	8402.399	<BeadTracker.Bead object at 0x000001DC046ADA48>	0	0	36	36	2	True	229.0	M450	M450	36
320.523	299.23	1	8370.453	<BeadTracker.Bead object at 0x000001DC02D13588>	0	0	37	37	2	True	248.0	M450	M450	37
320.454	299.348	1	8375.792	<BeadTracker.Bead object at 0x000001DC07061888>	0	0	38	38	2	True	228.0	M450	M450	38
320.437	299.223	1	8394.914	<BeadTracker.Bead object at 0x000001DC07061AC8>	0	0	39	39	2	True	228.0	M450	M450	39
320.454	299.196	1	8384.099	<BeadTracker.Bead object at 0x000001DC008D9488>	0	0	40	40	2	True	229.0	M450	M450	40
320.489	299.242	1	8353.623	<BeadTracker.Bead object at 0x000001DC008D9DC8>	0	0	41	41	2	True	228.0	M450	M450	41
320.543	299.017	1	8394.769	<BeadTracker.Bead object at 0x000001DC076DB348>	0	0	42	42	2	True	246.0	M450	M450	42
320.579	298.999	1	8449.316	<BeadTracker.Bead object at 0x000001DC076DBD88>	0	0	43	43	2	True	243.0	M450	M450	43
320.621	298.912	1	8499.716	<BeadTracker.Bead object at 0x000001DC04690408>	0	0	44	44	2	True	242.0	M450	M450	44
320.643	298.831	1	8491.893	<BeadTracker.Bead object at 0x000001DC04690B48>	0	0	45	45	2	True	242.0	M450	M450	45
320.662	298.807	1	8587.849	<BeadTracker.Bead object at 0x000001DC01EFDB88>	0	0	46	46	2	True	240.0	M450	M450	46
320.631	298.774	1	8632.359	<BeadTracker.Bead object at 0x000001DC01EFD1C8>	0	0	47	47	2	True	239.0	M450	M450	47
320.631	298.84	1	8651.0	<BeadTracker.Bead object at 0x000001DC0B359788>	0	0	48	48	2	True	235.0	M450	M450	48
320.619	298.846	1	8636.203	<BeadTracker.Bead object at 0x000001DC0A3302C8>	0	0	49	49	2	True	235.0	M450	M450	49
320.55	298.883	1	8584.188	<BeadTracker.Bead object at 0x000001DC0C0107C8>	0	0	50	50	2	True	235.0	M450	M450	50
320.56	298.821	1	8599.315	<BeadTracker.Bead object at 0x000001DC1065D688>	0	0	51	51	2	True	239.0	M450	M450	51
320.549	298.813	1	8628.077	<BeadTracker.Bead object at 0x000001DC1065DF48>	0	0	52	52	2	True	236.0	M450	M450	52
320.502	298.859	1	8619.656	<BeadTracker.Bead object at 0x000001DC06A07B88>	0	0	53	53	2	True	237.0	M450	M450	53
320.475	298.781	1	8636.842	<BeadTracker.Bead object at 0x000001DC06A07648>	0	0	54	54	2	True	210.0	M450	M450	54
320.491	298.756	1	8669.283	<BeadTracker.Bead object at 0x000001DC076F57C8>	0	0	55	55	2	True	210.0	M450	M450	55
320.5	298.684	1	8608.39	<BeadTracker.Bead object at 0x000001DC076F5908>	0	0	56	56	2	True	237.0	M450	M450	56
320.542	298.584	1	8592.61	<BeadTracker.Bead object at 0x000001DC1375F6C8>	0	0	57	57	2	True	242.0	M450	M450	57
320.547	298.452	1	8720.108	<BeadTracker.Bead object at 0x000001DC1375F888>	0	0	58	58	2	True	226.0	M450	M450	58
320.605	298.347	1	8769.58	<BeadTracker.Bead object at 0x000001DC008C2C08>	0	0	59	59	2	True	225.0	M450	M450	59
