X	Y	idxCompression	StdDev	Bead	Status	Status_2	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
104.173	246.542	0	7523.736	<BeadTracker.Bead object at 0x000001DC472CC748>	1	1	0	0	0	True	-110.0	M450	M450	0
104.409	246.391	0	10246.843	<BeadTracker.Bead object at 0x000001DC024B3B88>	2	1	1	1	1	False	-110.0	M450	M450	1
104.235	246.49	0	10223.322	<BeadTracker.Bead object at 0x000001DC084B6CC8>	3	1	2	2	1	False	-110.0	M450	M450	2
104.515	246.574	0	7513.648	<BeadTracker.Bead object at 0x000001DC0B8ACF48>	1	2	3	3	0	True	-153.0	M450	M450	3
104.804	246.621	0	10137.003	<BeadTracker.Bead object at 0x000001DC07F26808>	2	2	4	4	1	False	-153.0	M450	M450	4
104.595	246.78	0	10228.81	<BeadTracker.Bead object at 0x000001DC07F26788>	3	2	5	5	1	False	-153.0	M450	M450	5
104.863	246.779	0	7574.546	<BeadTracker.Bead object at 0x000001DC01052488>	1	3	6	6	0	True	-152.0	M450	M450	6
105.284	246.606	0	10221.044	<BeadTracker.Bead object at 0x000001DC060A6B08>	2	3	7	7	1	False	-152.0	M450	M450	7
105.026	246.752	0	10180.426	<BeadTracker.Bead object at 0x000001DC060A6688>	3	3	8	8	1	False	-152.0	M450	M450	8
104.936	246.812	0	7554.45	<BeadTracker.Bead object at 0x000001DC0249DB48>	1	4	9	9	1	True	-141.0	M450	M450	9
105.272	246.749	0	10164.902	<BeadTracker.Bead object at 0x000001DC024937C8>	2	4	10	10	1	False	-141.0	M450	M450	10
105.112	246.946	0	10182.087	<BeadTracker.Bead object at 0x000001DC02493D08>	3	4	11	11	1	False	-141.0	M450	M450	11
105.226	247.151	0	7595.278	<BeadTracker.Bead object at 0x000001DC022E2388>	1	5	12	12	0	True	-102.0	M450	M450	12
105.374	247.14	0	10263.372	<BeadTracker.Bead object at 0x000001DC093C1808>	2	5	13	13	1	False	-102.0	M450	M450	13
105.359	247.189	0	10085.255	<BeadTracker.Bead object at 0x000001DC093C1C48>	3	5	14	14	1	False	-102.0	M450	M450	14
105.213	247.404	0	7724.21	<BeadTracker.Bead object at 0x000001DC03D9F7C8>	1	6	15	15	1	True	-84.0	M450	M450	15
105.336	247.446	0	10259.29	<BeadTracker.Bead object at 0x000001DC03D9F288>	2	6	16	16	1	False	-84.0	M450	M450	16
105.408	247.528	0	9990.945	<BeadTracker.Bead object at 0x000001DC024AAB88>	3	6	17	17	1	False	-84.0	M450	M450	17
105.325	247.711	1	10742.612	<BeadTracker.Bead object at 0x000001DC024AAC48>	0	0	18	18	1	True	-123.0	M450	M450	18
105.316	247.691	1	10456.29	<BeadTracker.Bead object at 0x000001DC08AB3F08>	0	0	19	19	1	True	-162.0	M450	M450	19
105.284	247.695	1	10388.733	<BeadTracker.Bead object at 0x000001DC024B19C8>	0	0	20	20	1	True	-192.0	M450	M450	20
105.248	247.733	1	10352.562	<BeadTracker.Bead object at 0x000001DC06753608>	0	0	21	21	1	True	-192.0	M450	M450	21
105.246	247.779	1	10271.756	<BeadTracker.Bead object at 0x000001DC06753E08>	0	0	22	22	1	True	-192.0	M450	M450	22
105.258	247.833	1	10306.34	<BeadTracker.Bead object at 0x000001DC024C3788>	0	0	23	23	1	True	-168.0	M450	M450	23
105.284	247.743	1	10323.766	<BeadTracker.Bead object at 0x000001DC024C3B48>	0	0	24	24	1	True	-192.0	M450	M450	24
105.321	247.733	1	10294.282	<BeadTracker.Bead object at 0x000001DC4D0C0308>	0	0	25	25	1	True	-193.0	M450	M450	25
105.303	247.722	1	10300.787	<BeadTracker.Bead object at 0x000001DC024CADC8>	0	0	26	26	1	True	-193.0	M450	M450	26
105.229	247.746	1	10353.904	<BeadTracker.Bead object at 0x000001DC029F7488>	0	0	27	27	1	True	-192.0	M450	M450	27
105.3	247.731	1	10325.737	<BeadTracker.Bead object at 0x000001DC029F72C8>	0	0	28	28	1	True	-192.0	M450	M450	28
105.248	247.745	1	10322.453	<BeadTracker.Bead object at 0x000001DC02102288>	0	0	29	29	1	True	-192.0	M450	M450	29
105.285	247.721	1	10359.012	<BeadTracker.Bead object at 0x000001DC4D0C1408>	0	0	30	30	1	True	-192.0	M450	M450	30
105.29	247.714	1	10347.119	<BeadTracker.Bead object at 0x000001DC02101A08>	0	0	31	31	1	True	-192.0	M450	M450	31
105.272	247.767	1	10350.761	<BeadTracker.Bead object at 0x000001DC02101608>	0	0	32	32	1	True	-192.0	M450	M450	32
105.303	247.523	1	10430.671	<BeadTracker.Bead object at 0x000001DC08081FC8>	0	0	33	33	1	True	-225.0	M450	M450	33
105.37	247.66	1	10353.336	<BeadTracker.Bead object at 0x000001DC020F99C8>	0	0	34	34	1	True	-193.0	M450	M450	34
105.374	247.41	1	10455.61	<BeadTracker.Bead object at 0x000001DC020F9548>	0	0	35	35	1	True	-153.0	M450	M450	35
105.347	247.527	1	10461.548	<BeadTracker.Bead object at 0x000001DC020EDC08>	0	0	36	36	1	True	-192.0	M450	M450	36
105.36	247.504	1	10429.039	<BeadTracker.Bead object at 0x000001DC07F153C8>	0	0	37	37	1	True	-225.0	M450	M450	37
105.456	247.481	1	10454.858	<BeadTracker.Bead object at 0x000001DC07F15DC8>	0	0	38	38	1	True	-185.0	M450	M450	38
105.452	247.562	1	10415.842	<BeadTracker.Bead object at 0x000001DC020E3C08>	0	0	39	39	1	True	-224.0	M450	M450	39
105.471	247.519	1	10487.365	<BeadTracker.Bead object at 0x000001DC020D9708>	0	0	40	40	1	True	-193.0	M450	M450	40
105.514	247.393	1	10465.362	<BeadTracker.Bead object at 0x000001DC020D9B88>	0	0	41	41	1	True	-179.0	M450	M450	41
105.518	247.378	1	10546.082	<BeadTracker.Bead object at 0x000001DC04683748>	0	0	42	42	1	True	-141.0	M450	M450	42
105.577	247.293	1	10476.352	<BeadTracker.Bead object at 0x000001DC020D0608>	0	0	43	43	1	True	-141.0	M450	M450	43
105.605	247.221	1	10493.827	<BeadTracker.Bead object at 0x000001DC0C16D808>	0	0	44	44	1	True	-142.0	M450	M450	44
105.652	247.241	1	10568.154	<BeadTracker.Bead object at 0x000001DC0C16DE48>	0	0	45	45	1	True	-141.0	M450	M450	45
105.662	247.153	1	10525.771	<BeadTracker.Bead object at 0x000001DC020DCC08>	0	0	46	46	1	True	-143.0	M450	M450	46
105.678	247.162	1	10524.479	<BeadTracker.Bead object at 0x000001DC020E6B88>	0	0	47	47	1	True	-142.0	M450	M450	47
105.742	247.059	1	10545.714	<BeadTracker.Bead object at 0x000001DC020E6448>	0	0	48	48	1	True	-151.0	M450	M450	48
105.762	247.053	1	10571.831	<BeadTracker.Bead object at 0x000001DC08050E08>	0	0	49	49	1	True	-151.0	M450	M450	49
105.785	246.827	1	10598.708	<BeadTracker.Bead object at 0x000001DC020F5808>	0	0	50	50	1	True	-153.0	M450	M450	50
105.799	246.878	1	10582.464	<BeadTracker.Bead object at 0x000001DC0C9EE9C8>	0	0	51	51	1	True	-153.0	M450	M450	51
105.827	246.757	1	10574.147	<BeadTracker.Bead object at 0x000001DC0C9EE348>	0	0	52	52	1	True	-168.0	M450	M450	52
