X	Y	idxCompression	StdDev	Bead	Status	Status_2	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
218.502	231.919	0	11101.443	<BeadTracker.Bead object at 0x000001DC037D8EC8>	1	1	0	0	3	True	259.0	M450		0
218.424	231.885	0	8520.787	<BeadTracker.Bead object at 0x000001DC037C5508>	2	1	1	1	3	False	259.0	M450		1
218.195	232.021	0	3142.959	<BeadTracker.Bead object at 0x000001DC037D7388>	3	1	2	2	3	False	259.0	M450		2
218.488	232.188	0	11076.715	<BeadTracker.Bead object at 0x000001DC037D7D08>	1	2	3	3	3	True	256.0	M450		3
218.453	232.063	0	8641.971	<BeadTracker.Bead object at 0x000001DC037C36C8>	2	2	4	4	3	False	256.0	M450		4
218.143	232.216	0	3193.035	<BeadTracker.Bead object at 0x000001DC037CA088>	3	2	5	5	3	False	256.0	M450		5
218.392	232.166	0	11065.272	<BeadTracker.Bead object at 0x000001DC037CAA08>	1	3	6	6	3	True	262.0	M450		6
218.437	232.129	0	8636.025	<BeadTracker.Bead object at 0x000001DC037DB3C8>	2	3	7	7	3	False	262.0	M450		7
218.132	232.113	0	3146.672	<BeadTracker.Bead object at 0x000001DC037DBD48>	3	3	8	8	3	False	262.0	M450		8
218.425	231.983	0	11097.996	<BeadTracker.Bead object at 0x000001DC037C6708>	1	4	9	9	3	True	255.0	M450		9
218.39	231.996	0	8672.814	<BeadTracker.Bead object at 0x000001DC037B40C8>	2	4	10	10	3	False	255.0	M450		10
218.198	231.969	0	3237.757	<BeadTracker.Bead object at 0x000001DC037B4A48>	3	4	11	11	3	False	255.0	M450		11
218.456	231.718	0	11089.066	<BeadTracker.Bead object at 0x000001DC037B2408>	1	5	12	12	3	True	255.0	M450		12
218.292	231.707	0	8611.949	<BeadTracker.Bead object at 0x000001DC037B2D88>	2	5	13	13	3	False	255.0	M450		13
218.162	231.671	0	3211.338	<BeadTracker.Bead object at 0x000001DC037A4748>	3	5	14	14	3	False	255.0	M450		14
218.47	231.585	0	11180.204	<BeadTracker.Bead object at 0x000001DC07C0B108>	1	6	15	15	3	True	257.0	M450		15
218.258	231.607	0	8670.664	<BeadTracker.Bead object at 0x000001DC07C0BA88>	2	6	16	16	3	False	257.0	M450		16
218.217	231.607	0	3263.351	<BeadTracker.Bead object at 0x000001DC07C06448>	3	6	17	17	3	False	257.0	M450		17
218.294	231.683	1	6111.568	<BeadTracker.Bead object at 0x000001DC07C06DC8>	0	0	18	18	3	True	297.0	M450		18
218.356	231.637	1	7801.144	<BeadTracker.Bead object at 0x000001DC07BE4A88>	0	0	19	19	3	True	289.0	M450		19
218.371	231.606	1	8263.587	<BeadTracker.Bead object at 0x000001DC07BDA688>	0	0	20	20	3	True	254.0	M450		20
218.371	231.663	1	8398.96	<BeadTracker.Bead object at 0x000001DC07BDA6C8>	0	0	21	21	3	True	250.0	M450		21
218.351	231.639	1	8480.384	<BeadTracker.Bead object at 0x000001DC07BEF488>	0	0	22	22	3	True	245.0	M450		22
218.453	231.526	1	8517.519	<BeadTracker.Bead object at 0x000001DC07BEFE08>	0	0	23	23	3	True	247.0	M450		23
218.444	231.661	1	8479.168	<BeadTracker.Bead object at 0x000001DC07C0A7C8>	0	0	24	24	3	True	245.0	M450		24
218.372	231.605	1	8488.234	<BeadTracker.Bead object at 0x000001DC07BF6188>	0	0	25	25	3	True	248.0	M450		25
218.411	231.607	1	8518.546	<BeadTracker.Bead object at 0x000001DC07BF6BC8>	0	0	26	26	3	True	247.0	M450		26
218.399	231.587	1	8553.626	<BeadTracker.Bead object at 0x000001DC07BF2648>	0	0	27	27	3	True	246.0	M450		27
218.427	231.626	1	8562.602	<BeadTracker.Bead object at 0x000001DC07BFC0C8>	0	0	28	28	3	True	245.0	M450		28
218.407	231.682	1	8480.172	<BeadTracker.Bead object at 0x000001DC07BFCB08>	0	0	29	29	3	True	244.0	M450		29
218.355	231.62	1	8512.451	<BeadTracker.Bead object at 0x000001DC07C040C8>	0	0	30	30	3	True	245.0	M450		30
218.424	231.533	1	8560.173	<BeadTracker.Bead object at 0x000001DC07BEE108>	0	0	31	31	3	True	245.0	M450		31
