X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
328.872	258.955	0	7824.691	<BeadTracker.Bead object at 0x0000023199819648>	1.0	1	0	0	4	False	-431.0	M450		0
328.742	258.907	0	6770.693	<BeadTracker.Bead object at 0x0000023199802708>	2.0	1	1	1	4	True	-431.0	M450		1
328.975	258.854	0	3494.096	<BeadTracker.Bead object at 0x00000231AE625D48>	3.0	1	2	2	4	False	-431.0	M450		2
329.049	258.395	0	7822.835	<BeadTracker.Bead object at 0x00000231AE625588>	1.0	2	3	3	4	False	-416.0	M450		3
329.092	258.233	0	6771.786	<BeadTracker.Bead object at 0x00000231AE635FC8>	2.0	2	4	4	4	True	-416.0	M450		4
329.141	258.124	0	3426.856	<BeadTracker.Bead object at 0x00000231AE6356C8>	3.0	2	5	5	4	False	-416.0	M450		5
328.69	258.131	0	7804.077	<BeadTracker.Bead object at 0x00000231AE659588>	1.0	3	6	6	4	False	-421.0	M450		6
328.649	257.985	0	6757.148	<BeadTracker.Bead object at 0x00000231AE659CC8>	2.0	3	7	7	4	True	-421.0	M450		7
328.598	257.945	0	3434.342	<BeadTracker.Bead object at 0x00000231AE63DEC8>	3.0	3	8	8	4	False	-421.0	M450		8
329.136	257.801	0	7840.165	<BeadTracker.Bead object at 0x00000231AE629248>	1.0	4	9	9	4	False	-430.0	M450		9
328.914	257.749	0	6732.72	<BeadTracker.Bead object at 0x00000231AE629B88>	2.0	4	10	10	4	True	-430.0	M450		10
329.009	257.66	0	3407.685	<BeadTracker.Bead object at 0x00000231AE651508>	3.0	4	11	11	4	False	-430.0	M450		11
329.03	257.362	0	7805.584	<BeadTracker.Bead object at 0x00000231AE651E48>	1.0	5	12	12	4	False	-434.0	M450		12
328.848	257.353	0	6735.507	<BeadTracker.Bead object at 0x00000231AE6267C8>	2.0	5	13	13	4	True	-434.0	M450		13
329.12	257.175	0	3437.058	<BeadTracker.Bead object at 0x00000231AE646148>	3.0	5	14	14	4	False	-434.0	M450		14
329.57	256.885	0	7782.746	<BeadTracker.Bead object at 0x00000231AE646A88>	1.0	6	15	15	4	False	-441.0	M450		15
329.599	256.793	0	6754.683	<BeadTracker.Bead object at 0x00000231AE644408>	2.0	6	16	16	4	True	-441.0	M450		16
329.768	256.724	0	3513.69	<BeadTracker.Bead object at 0x00000231AE644D48>	3.0	6	17	17	4	False	-441.0	M450		17
329.907	256.297	0	7773.87	<BeadTracker.Bead object at 0x00000231AE64A6C8>	1.0	7	18	18	4	False	-417.0	M450		18
329.971	256.126	0	6833.502	<BeadTracker.Bead object at 0x000002319887E208>	2.0	7	19	19	4	True	-417.0	M450		19
329.91	256.181	0	3541.386	<BeadTracker.Bead object at 0x000002319887EDC8>	3.0	7	20	20	4	False	-417.0	M450		20
330.407	255.886	0	7752.963	<BeadTracker.Bead object at 0x0000023198871308>	1.0	8	21	21	4	False	-413.0	M450		21
330.034	255.946	0	6883.239	<BeadTracker.Bead object at 0x0000023198871C48>	2.0	8	22	22	4	True	-413.0	M450		22
330.286	255.91	0	3569.876	<BeadTracker.Bead object at 0x00000231988605C8>	3.0	8	23	23	4	False	-413.0	M450		23
330.239	255.319	0	7737.021	<BeadTracker.Bead object at 0x0000023198860F08>	1.0	9	24	24	4	False	-430.0	M450		24
330.048	255.474	0	6847.134	<BeadTracker.Bead object at 0x0000023198886888>	2.0	9	25	25	4	True	-430.0	M450		25
330.365	255.196	0	3578.053	<BeadTracker.Bead object at 0x000002319887A2C8>	3.0	9	26	26	4	False	-430.0	M450		26
330.425	254.901	0	7769.614	<BeadTracker.Bead object at 0x000002319887ACC8>	1.0	10	27	27	4	False	-443.0	M450		27
330.543	254.774	0	6820.836	<BeadTracker.Bead object at 0x0000023198889708>	2.0	10	28	28	4	True	-443.0	M450		28
330.409	254.73	0	3559.19	<BeadTracker.Bead object at 0x0000023198881148>	3.0	10	29	29	4	False	-443.0	M450		29
330.237	254.665	0	7791.469	<BeadTracker.Bead object at 0x0000023198881B48>	1.0	11	30	30	4	False	-427.0	M450		30
330.288	254.468	0	6815.957	<BeadTracker.Bead object at 0x0000023198867588>	2.0	11	31	31	4	True	-427.0	M450		31
330.221	254.593	0	3502.319	<BeadTracker.Bead object at 0x0000023198867F88>	3.0	11	32	32	4	False	-427.0	M450		32
330.366	254.173	0	7855.371	<BeadTracker.Bead object at 0x00000231988669C8>	1.0	12	33	33	4	False	-430.0	M450		33
330.122	254.227	0	6715.041	<BeadTracker.Bead object at 0x0000023198888408>	2.0	12	34	34	4	True	-430.0	M450		34
330.306	254.06	0	3451.631	<BeadTracker.Bead object at 0x0000023198888E08>	3.0	12	35	35	4	False	-430.0	M450		35
330.541	253.886	0	7867.377	<BeadTracker.Bead object at 0x0000023198959848>	1.0	13	36	36	4	False	-439.0	M450		36
330.266	254.132	0	6659.55	<BeadTracker.Bead object at 0x000002319895D288>	2.0	13	37	37	4	True	-439.0	M450		37
330.622	253.923	0	3367.049	<BeadTracker.Bead object at 0x000002319895DC88>	3.0	13	38	38	4	False	-439.0	M450		38
330.247	253.903	0	7927.09	<BeadTracker.Bead object at 0x000002319894E6C8>	1.0	14	39	39	4	False	-463.0	M450		39
330.175	253.876	0	6555.043	<BeadTracker.Bead object at 0x0000023198923108>	2.0	14	40	40	4	True	-463.0	M450		40
330.301	253.855	0	3317.635	<BeadTracker.Bead object at 0x0000023198923B08>	3.0	14	41	41	4	False	-463.0	M450		41
330.314	253.577	0	7926.069	<BeadTracker.Bead object at 0x000002319892F548>	1.0	15	42	42	4	True	-456.0	M450		42
330.446	253.608	0	6561.426	<BeadTracker.Bead object at 0x000002319892FF48>	2.0	15	43	43	4	False	-456.0	M450		43
330.337	253.472	0	3313.069	<BeadTracker.Bead object at 0x0000023198949988>	3.0	15	44	44	4	False	-456.0	M450		44
330.576	253.266	0	7936.576	<BeadTracker.Bead object at 0x00000231989293C8>	1.0	16	45	45	4	True	-439.0	M450		45
330.526	253.194	0	6515.906	<BeadTracker.Bead object at 0x0000023198929DC8>	2.0	16	46	46	4	False	-439.0	M450		46
330.636	253.38	0	3288.704	<BeadTracker.Bead object at 0x0000023198954808>	3.0	16	47	47	4	False	-439.0	M450		47
330.623	253.149	0	7893.061	<BeadTracker.Bead object at 0x0000023198921248>	1.0	17	48	48	4	True	-448.0	M450		48
330.443	253.18	0	6497.754	<BeadTracker.Bead object at 0x0000023198921C48>	2.0	17	49	49	4	False	-448.0	M450		49
330.71	253.073	0	3282.162	<BeadTracker.Bead object at 0x000002319892B688>	3.0	17	50	50	4	False	-448.0	M450		50
330.191	253.006	0	7927.534	<BeadTracker.Bead object at 0x00000231989550C8>	1.0	18	51	51	4	True	-468.0	M450		51
330.074	253.061	0	6525.571	<BeadTracker.Bead object at 0x0000023198955AC8>	2.0	18	52	52	4	False	-468.0	M450		52
330.271	252.922	0	3354.456	<BeadTracker.Bead object at 0x0000023198931508>	3.0	18	53	53	4	False	-468.0	M450		53
330.09	252.671	0	7883.751	<BeadTracker.Bead object at 0x0000023198931F08>	1.0	19	54	54	4	True	-444.0	M450		54
330.158	252.582	0	6613.61	<BeadTracker.Bead object at 0x000002319806C948>	2.0	19	55	55	4	False	-444.0	M450		55
330.096	252.586	0	3406.487	<BeadTracker.Bead object at 0x0000023198094348>	3.0	19	56	56	4	False	-444.0	M450		56
330.147	252.055	0	7896.387	<BeadTracker.Bead object at 0x0000023198094B08>	1.0	20	57	57	4	True	-437.0	M450		57
330.031	251.919	0	6639.847	<BeadTracker.Bead object at 0x000002319807D7C8>	2.0	20	58	58	4	False	-437.0	M450		58
330.073	251.985	0	3401.793	<BeadTracker.Bead object at 0x0000023198062208>	3.0	20	59	59	4	False	-437.0	M450		59
330.545	251.419	0	7868.583	<BeadTracker.Bead object at 0x0000023198062C08>	1.0	21	60	60	4	True	-469.0	M450		60
330.251	251.555	0	6628.175	<BeadTracker.Bead object at 0x0000023198073648>	2.0	21	61	61	4	False	-469.0	M450		61
330.574	251.546	0	3458.324	<BeadTracker.Bead object at 0x0000023198097088>	3.0	21	62	62	4	False	-469.0	M450		62
330.422	251.458	0	7870.244	<BeadTracker.Bead object at 0x0000023198097A88>	1.0	22	63	63	4	True	-435.0	M450		63
330.364	251.45	0	6587.223	<BeadTracker.Bead object at 0x00000231980794C8>	2.0	22	64	64	4	False	-435.0	M450		64
330.507	251.391	0	3485.955	<BeadTracker.Bead object at 0x0000023198079EC8>	3.0	22	65	65	4	False	-435.0	M450		65
330.31	251.268	0	7883.802	<BeadTracker.Bead object at 0x0000023198090908>	1.0	23	66	66	4	True	-426.0	M450		66
330.47	251.154	0	6656.375	<BeadTracker.Bead object at 0x000002319808F348>	2.0	23	67	67	4	False	-426.0	M450		67
330.504	251.402	0	3462.401	<BeadTracker.Bead object at 0x000002319808FD48>	3.0	23	68	68	4	False	-426.0	M450		68
330.573	251.31	0	7874.348	<BeadTracker.Bead object at 0x0000023198084788>	1.0	24	69	69	4	True	-432.0	M450		69
330.48	251.362	0	6608.083	<BeadTracker.Bead object at 0x000002319C7F0988>	2.0	24	70	70	4	False	-432.0	M450		70
330.488	251.419	0	3459.636	<BeadTracker.Bead object at 0x000002319C7F0EC8>	3.0	24	71	71	4	False	-432.0	M450		71
330.339	251.469	0	7893.072	<BeadTracker.Bead object at 0x000002319C7EC448>	1.0	25	72	72	4	True	-461.0	M450		72
330.116	251.458	0	6569.508	<BeadTracker.Bead object at 0x000002319C7DA048>	2.0	25	73	73	4	False	-461.0	M450		73
330.294	251.473	0	3403.092	<BeadTracker.Bead object at 0x000002319C7DAA48>	3.0	25	74	74	4	False	-461.0	M450		74
330.27	250.78	0	7915.805	<BeadTracker.Bead object at 0x000002319C7FC488>	1.0	26	75	75	4	True	-447.0	M450		75
330.075	250.79	0	6604.667	<BeadTracker.Bead object at 0x000002319C7FCE88>	2.0	26	76	76	4	False	-447.0	M450		76
330.298	250.827	0	3394.578	<BeadTracker.Bead object at 0x000002319C7E08C8>	3.0	26	77	77	4	False	-447.0	M450		77
329.889	250.505	0	7926.817	<BeadTracker.Bead object at 0x000002319C7FD308>	1.0	27	78	78	4	True	-469.0	M450		78
329.999	250.473	0	6615.049	<BeadTracker.Bead object at 0x000002319C7FDD08>	2.0	27	79	79	4	False	-469.0	M450		79
330.088	250.583	0	3397.915	<BeadTracker.Bead object at 0x000002319C7C4748>	3.0	27	80	80	4	False	-469.0	M450		80
330.108	250.504	0	7917.693	<BeadTracker.Bead object at 0x000002319C7EF188>	1.0	28	81	81	4	True	-468.0	M450		81
330.191	250.283	0	6662.676	<BeadTracker.Bead object at 0x000002319C7EFB88>	2.0	28	82	82	4	False	-468.0	M450		82
330.12	250.36	0	3440.692	<BeadTracker.Bead object at 0x000002319C7EE5C8>	3.0	28	83	83	4	False	-468.0	M450		83
330.395	250.016	0	7880.221	<BeadTracker.Bead object at 0x000002319C7EEFC8>	1.0	29	84	84	4	True	-445.0	M450		84
330.181	250.12	0	6692.262	<BeadTracker.Bead object at 0x000002319C7F1A08>	2.0	29	85	85	4	False	-445.0	M450		85
330.321	250.122	0	3489.314	<BeadTracker.Bead object at 0x000002319C7F5448>	3.0	29	86	86	4	False	-445.0	M450		86
330.125	249.897	0	7895.72	<BeadTracker.Bead object at 0x000002319C7F5E48>	1.0	30	87	87	4	True	-442.0	M450		87
329.835	250.082	0	6680.294	<BeadTracker.Bead object at 0x0000023198EAB7C8>	2.0	30	88	88	4	False	-442.0	M450		88
330.117	249.857	0	3476.721	<BeadTracker.Bead object at 0x0000023198EBC2C8>	3.0	30	89	89	4	False	-442.0	M450		89
330.1	249.936	0	7864.514	<BeadTracker.Bead object at 0x0000023198EBCCC8>	1.0	31	90	90	4	True	-448.0	M450		90
330.093	249.889	0	6720.991	<BeadTracker.Bead object at 0x0000023198ED3708>	2.0	31	91	91	4	False	-448.0	M450		91
330.093	250.059	0	3541.636	<BeadTracker.Bead object at 0x0000023198EDC148>	3.0	31	92	92	4	False	-448.0	M450		92
329.766	249.505	0	7825.546	<BeadTracker.Bead object at 0x0000023198EDCB48>	1.0	32	93	93	4	True	-424.0	M450		93
329.911	249.353	0	6753.867	<BeadTracker.Bead object at 0x0000023198EB3588>	2.0	32	94	94	4	False	-424.0	M450		94
329.8	249.249	0	3619.551	<BeadTracker.Bead object at 0x0000023198EB3F88>	3.0	32	95	95	4	False	-424.0	M450		95
329.84	249.388	0	7805.882	<BeadTracker.Bead object at 0x0000023198ED89C8>	1.0	33	96	96	4	True	-435.0	M450		96
329.73	249.225	0	6844.981	<BeadTracker.Bead object at 0x0000023198ED6408>	2.0	33	97	97	4	False	-435.0	M450		97
329.807	249.276	0	3660.78	<BeadTracker.Bead object at 0x0000023198ED6E08>	3.0	33	98	98	4	False	-435.0	M450		98
329.744	249.377	0	7783.304	<BeadTracker.Bead object at 0x0000023198EAF848>	1.0	34	99	99	4	True	-438.0	M450		99
