X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
133.091	141.962	0	10042.309	<BeadTracker.Bead object at 0x00000195A6CCFF40>	1.0	1	0	0	0	False	-82.0	M450	M450	0
132.507	142.084	0	9753.085	<BeadTracker.Bead object at 0x00000195A6CCFB80>	2.0	1	1	1	0	True	-82.0	M450	M450	1
132.438	141.568	0	4290.185	<BeadTracker.Bead object at 0x00000195A6CCF6A0>	3.0	1	2	2	0	False	-82.0	M450	M450	2
132.866	141.839	0	9783.209	<BeadTracker.Bead object at 0x00000195A6CCFFD0>	1.0	2	3	3	0	False	-70.0	M450	M450	3
132.777	141.507	0	10191.71	<BeadTracker.Bead object at 0x00000195A5ED35B0>	2.0	2	4	4	0	True	-70.0	M450	M450	4
132.236	141.313	0	4757.651	<BeadTracker.Bead object at 0x00000195A5ED37C0>	3.0	2	5	5	0	False	-70.0	M450	M450	5
132.364	141.337	0	9650.694	<BeadTracker.Bead object at 0x00000195A6CDAD30>	1.0	3	6	6	0	False	-69.0	M450	M450	6
131.96	141.58	0	10271.222	<BeadTracker.Bead object at 0x00000195A5ED39D0>	2.0	3	7	7	0	True	-69.0	M450	M450	7
131.872	141.289	0	4882.824	<BeadTracker.Bead object at 0x00000195A5ED3970>	3.0	3	8	8	0	False	-69.0	M450	M450	8
132.499	141.626	0	9685.777	<BeadTracker.Bead object at 0x00000195A5ED3610>	1.0	4	9	9	0	False	-59.0	M450	M450	9
132.408	141.459	0	10385.939	<BeadTracker.Bead object at 0x00000195A6CC0190>	2.0	4	10	10	0	True	-59.0	M450	M450	10
132.029	141.171	0	4990.186	<BeadTracker.Bead object at 0x00000195A6CC0280>	3.0	4	11	11	0	False	-59.0	M450	M450	11
132.555	140.971	0	9327.9	<BeadTracker.Bead object at 0x00000195A6CC02B0>	1.0	5	12	12	0	False	-48.0	M450	M450	12
132.145	140.825	0	10703.4	<BeadTracker.Bead object at 0x00000195A6CC0220>	2.0	5	13	13	0	True	-48.0	M450	M450	13
131.883	140.834	0	5382.247	<BeadTracker.Bead object at 0x00000195A6CC0520>	3.0	5	14	14	0	False	-48.0	M450	M450	14
132.641	140.89	0	8875.937	<BeadTracker.Bead object at 0x00000195A6CC0310>	1.0	6	15	15	0	False	-45.0	M450	M450	15
132.486	140.98	0	10787.507	<BeadTracker.Bead object at 0x00000195A6CC06D0>	2.0	6	16	16	0	True	-45.0	M450	M450	16
132.161	140.715	0	5786.205	<BeadTracker.Bead object at 0x00000195A6CC0B80>	3.0	6	17	17	0	False	-45.0	M450	M450	17
132.643	141.158	0	8938.976	<BeadTracker.Bead object at 0x00000195AF4D8400>	1.0	7	18	18	0	False	-37.0	M450	M450	18
132.475	141.352	0	10858.656	<BeadTracker.Bead object at 0x00000195A5EDA730>	2.0	7	19	19	0	True	-37.0	M450	M450	19
132.201	141.141	0	6047.521	<BeadTracker.Bead object at 0x00000195A5EDA2B0>	3.0	7	20	20	0	False	-37.0	M450	M450	20
133.034	141.005	0	8155.409	<BeadTracker.Bead object at 0x00000195A5EDA3D0>	1.0	8	21	21	0	False	-27.0	M450	M450	21
132.717	141.202	0	10939.754	<BeadTracker.Bead object at 0x00000195A5EDA0D0>	2.0	8	22	22	0	True	-27.0	M450	M450	22
132.769	140.746	0	6948.944	<BeadTracker.Bead object at 0x00000195A5EDA5E0>	3.0	8	23	23	0	False	-27.0	M450	M450	23
133.118	141.157	0	7754.123	<BeadTracker.Bead object at 0x00000195B467EA00>	1.0	9	24	24	0	False	-14.0	M450	M450	24
132.989	141.086	0	10914.135	<BeadTracker.Bead object at 0x00000195A6CCB7C0>	2.0	9	25	25	0	True	-14.0	M450	M450	25
132.672	141.25	0	7570.679	<BeadTracker.Bead object at 0x00000195A6CCB730>	3.0	9	26	26	0	False	-14.0	M450	M450	26
133.315	141.364	0	7601.652	<BeadTracker.Bead object at 0x00000195A6CCB550>	1.0	10	27	27	0	False	-13.0	M450	M450	27
132.795	141.777	0	10952.747	<BeadTracker.Bead object at 0x00000195A6CCBBB0>	2.0	10	28	28	0	True	-13.0	M450	M450	28
132.817	141.512	0	7575.751	<BeadTracker.Bead object at 0x00000195A6CCBEE0>	3.0	10	29	29	0	False	-13.0	M450	M450	29
133.025	142.503	0	7407.142	<BeadTracker.Bead object at 0x00000195A6CCB760>	1.0	11	30	30	0	False	-5.0	M450	M450	30
132.903	142.495	0	10930.851	<BeadTracker.Bead object at 0x00000195A6CCB460>	2.0	11	31	31	0	True	-5.0	M450	M450	31
132.604	142.385	0	8083.395	<BeadTracker.Bead object at 0x000001959BE948E0>	3.0	11	32	32	0	False	-5.0	M450	M450	32
133.364	142.212	0	7185.031	<BeadTracker.Bead object at 0x000001959BE94040>	1.0	12	33	33	0	False	-1.0	M450	M450	33
133.241	142.274	0	10800.065	<BeadTracker.Bead object at 0x000001959BE94820>	2.0	12	34	34	0	False	-1.0	M450	M450	34
133.005	142.237	0	8626.426	<BeadTracker.Bead object at 0x000001959BE94C10>	3.0	12	35	35	0	True	-1.0	M450	M450	35
132.977	141.86	0	5812.18	<BeadTracker.Bead object at 0x000001959BE943A0>	1.0	13	36	36	0	False	21.0	M450	M450	36
132.48	142.025	0	10171.372	<BeadTracker.Bead object at 0x000001959BE94AF0>	2.0	13	37	37	0	False	21.0	M450	M450	37
132.193	142.125	0	10155.393	<BeadTracker.Bead object at 0x000001959BE94A30>	3.0	13	38	38	0	True	21.0	M450	M450	38
131.814	142.128	0	5903.584	<BeadTracker.Bead object at 0x00000195B466C700>	1.0	14	39	39	0	False	13.0	M450	M450	39
131.598	142.309	0	10252.629	<BeadTracker.Bead object at 0x000001959BE71580>	2.0	14	40	40	0	False	13.0	M450	M450	40
131.076	141.97	0	9763.808	<BeadTracker.Bead object at 0x000001959BE71C10>	3.0	14	41	41	0	True	13.0	M450	M450	41
130.778	141.024	0	7188.314	<BeadTracker.Bead object at 0x000001959BE71F70>	1.0	15	42	42	0	False	-7.0	M450	M450	42
130.539	141.191	0	10854.397	<BeadTracker.Bead object at 0x000001959BE71A30>	2.0	15	43	43	0	False	-7.0	M450	M450	43
130.349	141.405	0	8249.759	<BeadTracker.Bead object at 0x000001959BE71460>	3.0	15	44	44	0	True	-7.0	M450	M450	44
130.647	141.764	0	8480.008	<BeadTracker.Bead object at 0x000001959BE71A90>	1.0	16	45	45	0	False	-46.0	M450	M450	45
130.514	141.759	0	10965.348	<BeadTracker.Bead object at 0x000001959BE71AC0>	2.0	16	46	46	0	True	-46.0	M450	M450	46
