X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
207.447	109.756	0	6087.475	<BeadTracker.Bead object at 0x00000195ADF7AE80>	1.0	1	0	0	0	False	-1.0	M450		0
206.93	109.687	0	9336.73	<BeadTracker.Bead object at 0x00000195ADF7A640>	2.0	1	1	1	0	True	-1.0	M450		1
206.838	109.653	0	8512.006	<BeadTracker.Bead object at 0x00000195ADF7A550>	3.0	1	2	2	0	False	-1.0	M450		2
206.706	109.158	0	6059.803	<BeadTracker.Bead object at 0x00000195B315B8E0>	1.0	2	3	3	0	False	1.0	M450		3
206.459	108.996	0	9378.217	<BeadTracker.Bead object at 0x00000195B315BB80>	2.0	2	4	4	0	True	1.0	M450		4
206.164	108.866	0	8554.085	<BeadTracker.Bead object at 0x00000195B315BC70>	3.0	2	5	5	0	False	1.0	M450		5
206.374	108.908	0	6109.711	<BeadTracker.Bead object at 0x00000195B315BA60>	1.0	3	6	6	0	False	-3.0	M450		6
205.988	108.674	0	9332.019	<BeadTracker.Bead object at 0x00000195B315B580>	2.0	3	7	7	0	True	-3.0	M450		7
205.76	108.689	0	8532.194	<BeadTracker.Bead object at 0x000001959C174400>	3.0	3	8	8	1	False	-3.0	M450		8
205.961	108.239	0	6186.189	<BeadTracker.Bead object at 0x000001959D9953D0>	1.0	4	9	9	0	False	-9.0	M450		9
205.625	108.166	0	9509.261	<BeadTracker.Bead object at 0x00000195B315B040>	2.0	4	10	10	0	True	-9.0	M450		10
205.397	108.107	0	8100.142	<BeadTracker.Bead object at 0x00000195B315B850>	3.0	4	11	11	0	False	-9.0	M450		11
205.644	107.921	0	6573.346	<BeadTracker.Bead object at 0x00000195B312A520>	1.0	5	12	12	0	False	-19.0	M450		12
205.267	107.732	0	9659.577	<BeadTracker.Bead object at 0x00000195B312A4F0>	2.0	5	13	13	0	True	-19.0	M450		13
204.987	107.83	0	7486.136	<BeadTracker.Bead object at 0x00000195B312AF10>	3.0	5	14	14	0	False	-19.0	M450		14
204.914	107.891	0	6547.908	<BeadTracker.Bead object at 0x00000195B312ADF0>	1.0	6	15	15	0	False	-15.0	M450		15
204.418	107.765	0	9653.942	<BeadTracker.Bead object at 0x00000195B312AC10>	2.0	6	16	16	0	True	-15.0	M450		16
204.298	107.851	0	7359.352	<BeadTracker.Bead object at 0x00000195B312A790>	3.0	6	17	17	0	False	-15.0	M450		17
204.334	107.968	0	6789.641	<BeadTracker.Bead object at 0x00000195B312AAF0>	1.0	7	18	18	0	False	-23.0	M450		18
204.072	107.676	0	9707.59	<BeadTracker.Bead object at 0x00000195B312EB50>	2.0	7	19	19	1	True	-23.0	M450		19
203.654	107.771	0	7077.302	<BeadTracker.Bead object at 0x00000195B312A130>	3.0	7	20	20	0	False	-23.0	M450		20
204.112	107.381	0	6702.109	<BeadTracker.Bead object at 0x00000195B3112880>	1.0	8	21	21	1	False	-18.0	M450		21
203.479	107.344	0	9805.227	<BeadTracker.Bead object at 0x00000195B311D2E0>	2.0	8	22	22	0	True	-18.0	M450		22
203.406	107.104	0	7046.854	<BeadTracker.Bead object at 0x00000195B311D430>	3.0	8	23	23	0	False	-18.0	M450		23
203.579	107.186	0	6911.989	<BeadTracker.Bead object at 0x00000195B311DAF0>	1.0	9	24	24	0	False	-18.0	M450		24
203.474	106.522	0	9487.727	<BeadTracker.Bead object at 0x00000195B311DD00>	2.0	9	25	25	0	True	-18.0	M450		25
203.229	106.706	0	6906.032	<BeadTracker.Bead object at 0x00000195B311D970>	3.0	9	26	26	0	False	-18.0	M450		26
203.592	106.855	0	6619.747	<BeadTracker.Bead object at 0x00000195B311D550>	1.0	10	27	27	0	False	-19.0	M450		27
202.967	106.384	0	9536.706	<BeadTracker.Bead object at 0x00000195B311D250>	2.0	10	28	28	0	True	-19.0	M450		28
202.964	106.349	0	7264.557	<BeadTracker.Bead object at 0x00000195B3116400>	3.0	10	29	29	0	False	-19.0	M450		29
202.711	105.206	0	6235.876	<BeadTracker.Bead object at 0x00000195B3116490>	1.0	11	30	30	0	False	-12.0	M450		30
202.696	104.483	0	9432.411	<BeadTracker.Bead object at 0x00000195B3116DC0>	2.0	11	31	31	0	False	-12.0	M450		31
202.414	104.028	0	7916.499	<BeadTracker.Bead object at 0x00000195B3116B50>	3.0	11	32	32	0	True	-12.0	M450		32
207.119	102.486	0	7435.2	<BeadTracker.Bead object at 0x00000195B3116EE0>	1.0	12	33	33	0	False	-50.0	M450		33
207.135	102.351	0	9802.923	<BeadTracker.Bead object at 0x00000195B31165E0>	2.0	12	34	34	0	True	-50.0	M450		34
206.809	102.298	0	5181.236	<BeadTracker.Bead object at 0x00000195B31162E0>	3.0	12	35	35	0	False	-50.0	M450		35
190.93	155.316	0	8590.35	<BeadTracker.Bead object at 0x00000195B3116760>	1.0	13	36	36	0	False	-87.0	M450		36
181.445	179.167	0	8783.372	<BeadTracker.Bead object at 0x00000195B31166D0>	2.0	13	37	37	0	True	-87.0	M450		37
173.28	201.298	0	4004.491	<BeadTracker.Bead object at 0x00000195B3111730>	3.0	13	38	38	0	False	-87.0	M450		38
165.51	219.338	0	7567.174	<BeadTracker.Bead object at 0x00000195B3111AF0>	1.0	14	39	39	0	False	-49.0	M450		39
165.34	219.287	0	9600.564	<BeadTracker.Bead object at 0x00000195B3111820>	2.0	14	40	40	0	True	-49.0	M450		40
