X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
290.607	261.423	0	5322.599	<BeadTracker.Bead object at 0x000002EBC889C1C0>	1.0	1	0	0	2	False	35.0		M450	0
290.74	261.23	0	8215.159	<BeadTracker.Bead object at 0x000002EBC889CE50>	2.0	1	1	1	2	False	35.0		M450	1
290.965	261.135	0	9976.332	<BeadTracker.Bead object at 0x000002EBC888F730>	3.0	1	2	2	3	True	35.0		M450	2
290.631	261.272	0	5402.459	<BeadTracker.Bead object at 0x000002EBC88BAC10>	1.0	2	3	3	2	False	26.0		M450	3
290.673	261.009	0	8331.285	<BeadTracker.Bead object at 0x000002EBC8898670>	2.0	2	4	4	2	False	26.0		M450	4
290.985	261.112	0	9954.076	<BeadTracker.Bead object at 0x000002EBC8898BB0>	3.0	2	5	5	3	True	26.0		M450	5
290.916	261.331	0	5473.513	<BeadTracker.Bead object at 0x000002EBC8898DF0>	1.0	3	6	6	2	False	35.0		M450	6
291.058	260.995	0	8367.888	<BeadTracker.Bead object at 0x000002EBC8880910>	2.0	3	7	7	2	False	35.0		M450	7
291.328	261.101	0	9914.865	<BeadTracker.Bead object at 0x000002EBC8880E80>	3.0	3	8	8	3	True	35.0		M450	8
290.609	261.358	0	5501.183	<BeadTracker.Bead object at 0x000002EBC8FB2670>	1.0	4	9	9	2	False	28.0		M450	9
290.759	261.111	0	8444.523	<BeadTracker.Bead object at 0x000002EBC8FB2DC0>	2.0	4	10	10	2	False	28.0		M450	10
290.847	261.603	0	9931.065	<BeadTracker.Bead object at 0x000002EBC8FD0250>	3.0	4	11	11	3	True	28.0		M450	11
286.82	259.468	0	5573.015	<BeadTracker.Bead object at 0x000002EBC8FD0760>	1.0	5	12	12	2	False	29.0		M450	12
286.966	259.127	0	8550.0	<BeadTracker.Bead object at 0x000002EBC8FD0CD0>	2.0	5	13	13	2	False	29.0		M450	13
286.957	259.236	0	9952.449	<BeadTracker.Bead object at 0x000002EBC8FAA1C0>	3.0	5	14	14	3	True	29.0		M450	14
