X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
335.376	215.387	0	3658.843	<BeadTracker.Bead object at 0x000002EBC84931C0>	1.0	1	0	0	0	False	202.0	M450		0
335.374	214.712	0	5933.741	<BeadTracker.Bead object at 0x000002EBC182EAC0>	2.0	1	1	1	0	False	202.0	M450		1
335.033	214.22	0	9262.243	<BeadTracker.Bead object at 0x000002EBC182EA00>	3.0	1	2	2	0	True	202.0	M450		2
335.543	215.494	0	3760.251	<BeadTracker.Bead object at 0x000002EBC182E5B0>	1.0	2	3	3	0	False	178.0	M450		3
335.432	214.92	0	6147.798	<BeadTracker.Bead object at 0x000002EBC182E0A0>	2.0	2	4	4	0	False	178.0	M450		4
335.306	214.452	0	9428.837	<BeadTracker.Bead object at 0x000002EBC1F28DF0>	3.0	2	5	5	0	True	178.0	M450		5
335.585	215.461	0	3857.519	<BeadTracker.Bead object at 0x000002EBC90C4C40>	1.0	3	6	6	0	False	174.0	M450		6
335.606	214.793	0	6203.907	<BeadTracker.Bead object at 0x000002EBC90C44C0>	2.0	3	7	7	0	False	174.0	M450		7
335.189	214.495	0	9508.57	<BeadTracker.Bead object at 0x000002EBC90C4BE0>	3.0	3	8	8	0	True	174.0	M450		8
335.644	215.732	0	3950.274	<BeadTracker.Bead object at 0x000002EBC90C4CD0>	1.0	4	9	9	0	False	175.0	M450		9
335.714	215.294	0	6398.737	<BeadTracker.Bead object at 0x000002EBC90C41F0>	2.0	4	10	10	0	False	175.0	M450		10
335.499	214.717	0	9421.269	<BeadTracker.Bead object at 0x000002EBC90C4250>	3.0	4	11	11	0	True	175.0	M450		11
335.681	216.009	0	3941.191	<BeadTracker.Bead object at 0x000002EBC90A7220>	1.0	5	12	12	0	False	172.0	M450		12
335.719	215.342	0	6248.75	<BeadTracker.Bead object at 0x000002EBC90A7370>	2.0	5	13	13	0	False	172.0	M450		13
335.396	215.022	0	9209.273	<BeadTracker.Bead object at 0x000002EBC90A7670>	3.0	5	14	14	0	True	172.0	M450		14
335.922	216.157	0	3932.394	<BeadTracker.Bead object at 0x000002EBC90A7BE0>	1.0	6	15	15	0	False	151.0	M450		15
335.875	215.723	0	6174.271	<BeadTracker.Bead object at 0x000002EBC90A7F10>	2.0	6	16	16	0	False	151.0	M450		16
335.633	215.099	0	9002.178	<BeadTracker.Bead object at 0x000002EBC90A7610>	3.0	6	17	17	0	True	151.0	M450		17
335.224	215.756	1	7852.452	<BeadTracker.Bead object at 0x000002EBC90A3AC0>	0.0	0	18	18	1	True	191.0	M450		18
335.387	215.928	1	6713.71	<BeadTracker.Bead object at 0x000002EBC90A7100>	0.0	0	19	19	0	True	231.0	M450		19
335.535	215.838	1	6277.94	<BeadTracker.Bead object at 0x000002EBC31D2580>	0.0	0	20	20	0	True	271.0	M450		20
335.656	215.833	1	6162.673	<BeadTracker.Bead object at 0x000002EBC7FDC880>	0.0	0	21	21	0	True	311.0	M450		21
335.705	215.675	1	6130.423	<BeadTracker.Bead object at 0x000002EBC7FDCB50>	0.0	0	22	22	0	True	311.0	M450		22
335.729	215.721	1	6156.578	<BeadTracker.Bead object at 0x000002EBC0D3D610>	0.0	0	23	23	0	True	310.0	M450		23
335.747	215.709	1	6152.053	<BeadTracker.Bead object at 0x000002EBC86DF700>	0.0	0	24	24	0	True	309.0	M450		24
335.769	215.624	1	6179.621	<BeadTracker.Bead object at 0x000002EBC4D01940>	0.0	0	25	25	0	True	310.0	M450		25
335.774	215.599	1	6190.913	<BeadTracker.Bead object at 0x000002EBC31D2190>	0.0	0	26	26	0	True	310.0	M450		26
335.787	215.673	1	6213.666	<BeadTracker.Bead object at 0x000002EBC31D2250>	0.0	0	27	27	0	True	310.0	M450		27
335.836	215.702	1	6219.207	<BeadTracker.Bead object at 0x000002EBC31D2160>	0.0	0	28	28	0	True	311.0	M450		28
335.802	215.63	1	6187.33	<BeadTracker.Bead object at 0x000002EBC31D2DF0>	0.0	0	29	29	0	True	310.0	M450		29
335.829	215.661	1	6173.99	<BeadTracker.Bead object at 0x000002EBC31D2610>	0.0	0	30	30	0	True	311.0	M450		30
335.839	215.732	1	6224.356	<BeadTracker.Bead object at 0x000002EBC31D28E0>	0.0	0	31	31	0	True	309.0	M450		31
335.837	215.674	1	6168.862	<BeadTracker.Bead object at 0x000002EBC31D2F10>	0.0	0	32	32	0	True	310.0	M450		32
335.883	215.77	1	6191.69	<BeadTracker.Bead object at 0x000002EBC15A3E20>	0.0	0	33	33	0	True	310.0	M450		33
335.862	215.642	1	6164.315	<BeadTracker.Bead object at 0x000002EBC15A38E0>	0.0	0	34	34	0	True	311.0	M450		34
335.877	215.862	1	6172.625	<BeadTracker.Bead object at 0x000002EBC15A37F0>	0.0	0	35	35	0	True	310.0	M450		35
335.865	215.811	1	6191.874	<BeadTracker.Bead object at 0x000002EBC15A3340>	0.0	0	36	36	0	True	309.0	M450		36
335.837	215.817	1	6204.435	<BeadTracker.Bead object at 0x000002EBC15A35B0>	0.0	0	37	37	0	True	310.0	M450		37
335.833	215.786	1	6166.236	<BeadTracker.Bead object at 0x000002EBC15A32B0>	0.0	0	38	38	0	True	310.0	M450		38
335.846	215.891	1	6161.521	<BeadTracker.Bead object at 0x000002EBC15A3130>	0.0	0	39	39	0	True	310.0	M450		39
335.829	215.819	1	6185.467	<BeadTracker.Bead object at 0x000002EBC8D40250>	0.0	0	40	40	0	True	310.0	M450		40
335.799	215.926	1	6182.412	<BeadTracker.Bead object at 0x000002EBC8D40A00>	0.0	0	41	41	0	True	310.0	M450		41
335.793	215.858	1	6192.715	<BeadTracker.Bead object at 0x000002EBC8D40E80>	0.0	0	42	42	0	True	310.0	M450		42
335.804	215.977	1	6194.371	<BeadTracker.Bead object at 0x000002EBC8D40EE0>	0.0	0	43	43	0	True	310.0	M450		43
335.805	215.86	1	6181.27	<BeadTracker.Bead object at 0x000002EBC8D404C0>	0.0	0	44	44	0	True	310.0	M450		44
335.8	215.896	1	6205.059	<BeadTracker.Bead object at 0x000002EBC8D40880>	0.0	0	45	45	0	True	310.0	M450		45
335.845	215.817	1	6215.098	<BeadTracker.Bead object at 0x000002EBC8D40460>	0.0	0	46	46	0	True	310.0	M450		46
335.903	215.832	1	6191.832	<BeadTracker.Bead object at 0x000002EBC8D40190>	0.0	0	47	47	0	True	311.0	M450		47
335.908	215.716	1	6199.328	<BeadTracker.Bead object at 0x000002EBC8D40220>	0.0	0	48	48	0	True	310.0	M450		48
335.864	215.684	1	6227.837	<BeadTracker.Bead object at 0x000002EBC7BC2AC0>	0.0	0	49	49	0	True	310.0	M450		49
335.868	215.664	1	6165.937	<BeadTracker.Bead object at 0x000002EBC7BC2370>	0.0	0	50	50	0	True	311.0	M450		50
335.857	215.578	1	6167.277	<BeadTracker.Bead object at 0x000002EBC7BC2790>	0.0	0	51	51	0	True	311.0	M450		51
335.878	215.551	1	6209.502	<BeadTracker.Bead object at 0x000002EBC7BC2970>	0.0	0	52	52	0	True	311.0	M450		52
335.807	215.518	1	6247.352	<BeadTracker.Bead object at 0x000002EBC7BC2FA0>	0.0	0	53	53	0	True	311.0	M450		53
335.852	215.403	1	6184.284	<BeadTracker.Bead object at 0x000002EBC7BC2670>	0.0	0	54	54	0	True	311.0	M450		54
335.784	215.546	1	6258.242	<BeadTracker.Bead object at 0x000002EBC7BC2220>	0.0	0	55	55	0	True	310.0	M450		55
335.739	215.454	1	6236.213	<BeadTracker.Bead object at 0x000002EBC7BCAB80>	0.0	0	56	56	0	True	311.0	M450		56
335.767	215.483	1	6314.295	<BeadTracker.Bead object at 0x000002EBC1159160>	0.0	0	57	57	1	True	309.0	M450		57
335.779	215.473	1	6324.387	<BeadTracker.Bead object at 0x000002EBC1159730>	0.0	0	58	58	1	True	310.0	M450		58
335.733	215.463	1	6342.929	<BeadTracker.Bead object at 0x000002EBC1159DF0>	0.0	0	59	59	1	True	309.0	M450		59
335.729	215.406	1	6315.966	<BeadTracker.Bead object at 0x000002EBC11834F0>	0.0	0	60	60	1	True	309.0	M450		60
335.751	215.468	1	6317.891	<BeadTracker.Bead object at 0x000002EBC1183BB0>	0.0	0	61	61	1	True	309.0	M450		61
335.673	215.42	1	6315.03	<BeadTracker.Bead object at 0x000002EBC11722B0>	0.0	0	62	62	1	True	310.0	M450		62
335.659	215.437	1	6332.48	<BeadTracker.Bead object at 0x000002EBC1172970>	0.0	0	63	63	1	True	310.0	M450		63
335.579	215.394	1	6364.868	<BeadTracker.Bead object at 0x000002EBC1172F70>	0.0	0	64	64	1	True	308.0	M450		64
335.507	215.435	1	6368.932	<BeadTracker.Bead object at 0x000002EBC1180730>	0.0	0	65	65	1	True	309.0	M450		65
335.507	215.358	1	6389.442	<BeadTracker.Bead object at 0x000002EBC1180DF0>	0.0	0	66	66	1	True	308.0	M450		66
335.502	215.277	1	6431.922	<BeadTracker.Bead object at 0x000002EBC117D520>	0.0	0	67	67	2	True	307.0	M450		67
335.457	215.188	1	6366.029	<BeadTracker.Bead object at 0x000002EBC117DBE0>	0.0	0	68	68	2	True	307.0	M450		68
335.399	215.178	1	6369.808	<BeadTracker.Bead object at 0x000002EBC118B2E0>	0.0	0	69	69	2	True	306.0	M450		69
335.366	215.076	1	6398.243	<BeadTracker.Bead object at 0x000002EBC118B9A0>	0.0	0	70	70	2	True	306.0	M450		70
335.373	215.062	1	6410.679	<BeadTracker.Bead object at 0x000002EBC076E0A0>	0.0	0	71	71	2	True	306.0	M450		71
335.411	214.945	1	6423.316	<BeadTracker.Bead object at 0x000002EBC076E730>	0.0	0	72	72	1	True	305.0	M450		72
335.363	214.941	1	6433.783	<BeadTracker.Bead object at 0x000002EBC076EE20>	0.0	0	73	73	2	True	305.0	M450		73
335.313	214.842	1	6474.055	<BeadTracker.Bead object at 0x000002EBC0758520>	0.0	0	74	74	2	True	305.0	M450		74
335.334	214.766	1	6520.228	<BeadTracker.Bead object at 0x000002EBC0758BE0>	0.0	0	75	75	2	True	304.0	M450		75
335.258	214.518	1	6539.211	<BeadTracker.Bead object at 0x000002EBC074B2E0>	0.0	0	76	76	2	True	304.0	M450		76
335.234	214.49	1	6554.574	<BeadTracker.Bead object at 0x000002EBC074B9A0>	0.0	0	77	77	2	True	305.0	M450		77
