X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
244.126	213.414	0	6965.043	<BeadTracker.Bead object at 0x000002EBC91C82B0>	1.0	1	0	0	0	False	61.0	M450	M450	0
244.023	213.269	0	9836.462	<BeadTracker.Bead object at 0x000002EBC91C5A60>	2.0	1	1	1	0	True	61.0	M450	M450	1
244.025	213.02	0	11392.253	<BeadTracker.Bead object at 0x000002EBC7B0CA00>	3.0	1	2	2	0	False	61.0	M450	M450	2
243.923	213.542	0	6882.841	<BeadTracker.Bead object at 0x000002EBC7B0C550>	1.0	2	3	3	0	False	82.0	M450	M450	3
243.998	213.096	0	9853.392	<BeadTracker.Bead object at 0x000002EBC7B0C970>	2.0	2	4	4	0	True	82.0	M450	M450	4
243.795	213.086	0	11443.206	<BeadTracker.Bead object at 0x000002EBC8399790>	3.0	2	5	5	0	False	82.0	M450	M450	5
243.894	213.365	0	6932.996	<BeadTracker.Bead object at 0x000002EBC83996A0>	1.0	3	6	6	0	False	58.0	M450	M450	6
243.813	213.294	0	9852.913	<BeadTracker.Bead object at 0x000002EBC8399CA0>	2.0	3	7	7	0	True	58.0	M450	M450	7
243.789	213.098	0	11430.314	<BeadTracker.Bead object at 0x000002EBC8399DF0>	3.0	3	8	8	0	False	58.0	M450	M450	8
243.979	213.731	0	6835.569	<BeadTracker.Bead object at 0x000002EBC8399070>	1.0	4	9	9	0	False	84.0	M450	M450	9
243.997	213.272	0	9878.259	<BeadTracker.Bead object at 0x000002EBC8399310>	2.0	4	10	10	0	True	84.0	M450	M450	10
243.825	213.406	0	11351.532	<BeadTracker.Bead object at 0x000002EBBFAA9760>	3.0	4	11	11	0	False	84.0	M450	M450	11
243.78	213.94	0	6841.053	<BeadTracker.Bead object at 0x000002EBC03C1340>	1.0	5	12	12	1	False	64.0	M450	M450	12
243.846	213.705	0	9996.535	<BeadTracker.Bead object at 0x000002EBCC58BB50>	2.0	5	13	13	0	True	64.0	M450	M450	13
243.933	213.569	0	11417.145	<BeadTracker.Bead object at 0x000002EBCC58B1C0>	3.0	5	14	14	0	False	64.0	M450	M450	14
243.693	214.776	0	6867.459	<BeadTracker.Bead object at 0x000002EBCC58BE80>	1.0	6	15	15	0	False	83.0	M450	M450	15
243.817	214.353	0	9961.58	<BeadTracker.Bead object at 0x000002EBCC58B0A0>	2.0	6	16	16	0	True	83.0	M450	M450	16
243.645	214.346	0	11328.617	<BeadTracker.Bead object at 0x000002EBCC58B850>	3.0	6	17	17	0	False	83.0	M450	M450	17
243.157	214.679	1	11119.714	<BeadTracker.Bead object at 0x000002EBCC58B070>	0.0	0	18	18	0	True	123.0	M450	M450	18
243.221	214.534	1	10379.414	<BeadTracker.Bead object at 0x000002EBCC58B9A0>	0.0	0	19	19	0	True	163.0	M450	M450	19
243.222	214.41	1	10057.657	<BeadTracker.Bead object at 0x000002EBCC58B5E0>	0.0	0	20	20	0	True	203.0	M450	M450	20
243.313	214.259	1	9872.009	<BeadTracker.Bead object at 0x000002EBC91C06A0>	0.0	0	21	21	0	True	217.0	M450	M450	21
243.292	214.295	1	9888.284	<BeadTracker.Bead object at 0x000002EBCC5773D0>	0.0	0	22	22	0	True	217.0	M450	M450	22
243.206	214.468	1	9870.383	<BeadTracker.Bead object at 0x000002EBC91C8040>	0.0	0	23	23	0	True	212.0	M450	M450	23
243.208	214.485	1	9840.62	<BeadTracker.Bead object at 0x000002EBC8F04430>	0.0	0	24	24	0	True	213.0	M450	M450	24
243.287	214.291	1	9912.589	<BeadTracker.Bead object at 0x000002EBCADD0DC0>	0.0	0	25	25	0	True	216.0	M450	M450	25
243.282	214.24	1	9843.443	<BeadTracker.Bead object at 0x000002EBC4B15C10>	0.0	0	26	26	0	True	217.0	M450	M450	26
243.259	214.26	1	9891.893	<BeadTracker.Bead object at 0x000002EBC4B15640>	0.0	0	27	27	0	True	217.0	M450	M450	27
243.271	214.274	1	9887.22	<BeadTracker.Bead object at 0x000002EBC4B15070>	0.0	0	28	28	0	True	216.0	M450	M450	28
243.292	214.235	1	9860.144	<BeadTracker.Bead object at 0x000002EBC4B15EE0>	0.0	0	29	29	0	True	217.0	M450	M450	29
243.294	214.312	1	9886.417	<BeadTracker.Bead object at 0x000002EBC4B15B80>	0.0	0	30	30	0	True	215.0	M450	M450	30
243.38	214.378	1	9887.018	<BeadTracker.Bead object at 0x000002EBC4B150A0>	0.0	0	31	31	0	True	216.0	M450	M450	31
243.369	214.386	1	9876.434	<BeadTracker.Bead object at 0x000002EBC4B15AC0>	0.0	0	32	32	0	True	216.0	M450	M450	32
