X	Y	idxCompression	StdDev	Bead	Status	Status_2	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
348.1498017411541	102.19421704503011	0	7194.059716786843	<BeadTracker.Bead object at 0x000001FCF5188C88>	1	1	0	0	7	False	44.0		M270	0
349.1211535969471	101.47164625291012	0	9351.167175014636	<BeadTracker.Bead object at 0x000001FCF5174288>	2	1	1	1	7	True	44.0		M270	1
349.30435774336274	101.2272755853884	0	3171.5074454930545	<BeadTracker.Bead object at 0x000001FCF5174E88>	3	1	2	2	7	False	44.0		M270	2
348.24084098771857	102.49410788083838	0	7349.544602444479	<BeadTracker.Bead object at 0x000001FCF517AB08>	1	2	3	3	7	False	55.0		M270	3
348.9707854002833	101.55112797435478	0	9345.445305615698	<BeadTracker.Bead object at 0x000001FCF59017C8>	2	2	4	4	7	True	55.0		M270	4
349.17937057584027	101.26426820816108	0	2939.7972142739177	<BeadTracker.Bead object at 0x000001FCF5901388>	3	2	5	5	7	False	55.0		M270	5
347.8008504577731	102.92954036726168	0	7235.503654557033	<BeadTracker.Bead object at 0x000001FCF51992C8>	1	3	6	6	7	False	56.0		M270	6
348.642944868111	101.87624173388278	0	9228.926284428111	<BeadTracker.Bead object at 0x000001FCF5199748>	2	3	7	7	7	True	56.0		M270	7
348.8159912106948	101.1721970799418	0	2989.111346031626	<BeadTracker.Bead object at 0x000001FCF5187188>	3	3	8	8	7	False	56.0		M270	8
347.6592642297883	103.0333970584093	0	7236.646383037926	<BeadTracker.Bead object at 0x000001FCF5171248>	1	4	9	9	7	False	49.0		M270	9
348.4848872420113	101.95224010766684	0	9342.82312602031	<BeadTracker.Bead object at 0x000001FCF5171508>	2	4	10	10	7	True	49.0		M270	10
348.3882414068951	101.59055845214792	0	2951.945892197444	<BeadTracker.Bead object at 0x000001FD04843088>	3	4	11	11	7	False	49.0		M270	11
347.549191499738	103.74805017323706	0	7350.126094238865	<BeadTracker.Bead object at 0x000001FD048431C8>	1	5	12	12	7	False	53.0		M270	12
348.73492746192284	102.97956801214484	0	9378.90446401222	<BeadTracker.Bead object at 0x000001FCF516ACC8>	2	5	13	13	7	True	53.0		M270	13
348.7495586183392	102.3453200568498	0	3038.396711715438	<BeadTracker.Bead object at 0x000001FCF58B18C8>	3	5	14	14	7	False	53.0		M270	14
347.1261183187623	103.16017916271784	0	6459.577792728826	<BeadTracker.Bead object at 0x000001FCF58B1F88>	1	6	15	15	7	False	16.0		M270	15
348.3375500924987	102.37549345832814	0	9672.449026950182	<BeadTracker.Bead object at 0x000001FCF5909888>	2	6	16	16	7	True	16.0		M270	16
348.1953660330947	102.03122983263312	0	3982.2473085761567	<BeadTracker.Bead object at 0x000001FCF58BC388>	3	6	17	17	7	False	16.0		M270	17
347.5505821318695	102.89097681291771	1	6885.44412398554	<BeadTracker.Bead object at 0x000001FCF58BC6C8>	0	0	18	18	7	True	48.0		M270	18
347.5201380142737	102.92924013434089	1	9028.390798654162	<BeadTracker.Bead object at 0x000001FCF58DD088>	0	0	19	19	7	True	73.0		M270	19
347.58028221914566	102.74537037441422	1	9555.23475010426	<BeadTracker.Bead object at 0x000001FCF58CA048>	0	0	20	20	7	True	72.0		M270	20
347.67761320805727	102.52521378850852	1	9697.280826671027	<BeadTracker.Bead object at 0x000001FCF58CA388>	0	0	21	21	7	True	87.0		M270	21
347.7391673095445	102.61358550695724	1	9733.074029900228	<BeadTracker.Bead object at 0x000001FCF58B93C8>	0	0	22	22	7	True	69.0		M270	22
347.749584844082	102.69203633650535	1	9670.453154886987	<BeadTracker.Bead object at 0x000001FCF58B9508>	0	0	23	23	7	True	69.0		M270	23
347.7477323549965	102.7182752445842	1	9652.527975315896	<BeadTracker.Bead object at 0x000001FCF590F348>	0	0	24	24	7	True	70.0		M270	24
347.7509503393601	102.60359769768326	1	9667.301629819132	<BeadTracker.Bead object at 0x000001FCF58CF848>	0	0	25	25	7	True	69.0		M270	25
347.8147742445994	102.55078033198988	1	9602.793297008911	<BeadTracker.Bead object at 0x000001FCF58CFD48>	0	0	26	26	7	True	71.0		M270	26
347.8050028125516	102.66678213160476	1	9691.69502185542	<BeadTracker.Bead object at 0x000001FCF58E4348>	0	0	27	27	7	True	68.0		M270	27
347.71751450496305	102.6325082680805	1	9616.402287731196	<BeadTracker.Bead object at 0x000001FCF58E4D08>	0	0	28	28	7	True	70.0		M270	28
347.6298690004423	102.53347008983276	1	9664.195949037732	<BeadTracker.Bead object at 0x000001FCF58BD048>	0	0	29	29	7	True	71.0		M270	29
347.6859316266864	102.55164159627698	1	9667.099225177915	<BeadTracker.Bead object at 0x000001FCF58C0048>	0	0	30	30	7	True	71.0		M270	30
347.6184788535514	102.44686102533078	1	9625.54745794181	<BeadTracker.Bead object at 0x000001FCF58C0C08>	0	0	31	31	7	True	42.0		M270	31
347.65520329344787	102.32919480621698	1	9696.765882148737	<BeadTracker.Bead object at 0x000001FCF9FC01C8>	0	0	32	32	7	True	13.0		M270	32
347.58624785604536	102.3217434227239	1	9649.075883238203	<BeadTracker.Bead object at 0x000001FCF58D1088>	0	0	33	33	7	True	-26.0		M270	33
347.68011719641373	102.4477711255768	1	9731.499212772913	<BeadTracker.Bead object at 0x000001FCF58D1748>	0	0	34	34	7	True	-59.0		M270	34
347.67931426696606	102.5649269708193	1	9649.69907170647	<BeadTracker.Bead object at 0x000001FCF58C24C8>	0	0	35	35	7	True	-72.0		M270	35
347.6567494813877	102.50009401488148	1	9682.564649046237	<BeadTracker.Bead object at 0x000001FCF58C2DC8>	0	0	36	36	7	True	-71.0		M270	36
347.6857809902333	102.53218567768292	1	9727.719397534	<BeadTracker.Bead object at 0x000001FCF5030C08>	0	0	37	37	7	True	-70.0		M270	37
347.6744609018881	102.5888859353126	1	9652.10721471966	<BeadTracker.Bead object at 0x000001FCF58CE348>	0	0	38	38	7	True	-70.0		M270	38
347.7595248639618	102.65798317116912	1	9618.208434202958	<BeadTracker.Bead object at 0x000001FCF58CEE08>	0	0	39	39	7	True	-61.0		M270	39
347.7123415102185	102.59882925143562	1	9657.26789432506	<BeadTracker.Bead object at 0x000001FCF58C1C48>	0	0	40	40	7	True	-71.0		M270	40
347.7345726778074	102.64551059498794	1	9599.953920925447	<BeadTracker.Bead object at 0x000001FCF58B76C8>	0	0	41	41	7	True	-60.0		M270	41
347.6734237092688	102.75945399362458	1	9652.241262416932	<BeadTracker.Bead object at 0x000001FCF58B7DC8>	0	0	42	42	7	True	-59.0		M270	42
347.65340809197465	102.81627163849832	1	9656.928454204635	<BeadTracker.Bead object at 0x000001FCF51DDE08>	0	0	43	43	7	True	-59.0		M270	43
347.7452660340545	102.6949195169924	1	9612.93675564419	<BeadTracker.Bead object at 0x000001FCF62B0148>	0	0	44	44	7	True	-58.0		M270	44
347.73587965098926	102.91850033335456	1	9696.510195751662	<BeadTracker.Bead object at 0x000001FCF62B0F88>	0	0	45	45	7	True	-58.0		M270	45
347.7334013409446	102.98162015478312	1	9644.223468933104	<BeadTracker.Bead object at 0x000001FCF62BD988>	0	0	46	46	7	True	-59.0		M270	46
347.74251017207285	102.86148102233048	1	9579.491977357464	<BeadTracker.Bead object at 0x000001FCF62DF188>	0	0	47	47	7	True	-59.0		M270	47
347.7813796210424	102.68740618010251	1	9496.606956927397	<BeadTracker.Bead object at 0x000001FCF62DF8C8>	0	0	48	48	7	True	-61.0		M270	48
347.83049807959827	102.45696244061628	1	9569.378204383102	<BeadTracker.Bead object at 0x000001FCF464CA08>	0	0	49	49	7	True	-60.0		M270	49
347.83253180294	102.50759724739316	1	9559.018000327917	<BeadTracker.Bead object at 0x000001FCF62E03C8>	0	0	50	50	7	True	-71.0		M270	50
347.8657461989759	102.80572295224698	1	9535.654584435406	<BeadTracker.Bead object at 0x000001FCF62E0CC8>	0	0	51	51	7	True	-59.0		M270	51
347.9331215603226	102.86715470323456	1	9542.946365779071	<BeadTracker.Bead object at 0x000001FCF62C9548>	0	0	52	52	7	True	-59.0		M270	52
347.92207519557303	102.64944203838594	1	9492.76815041345	<BeadTracker.Bead object at 0x000001FCF62D1108>	0	0	53	53	7	True	-73.0		M270	53
347.9676511597205	102.46834524201653	1	9496.500765134126	<BeadTracker.Bead object at 0x000001FCF5044448>	0	0	54	54	7	True	-79.0		M270	54
347.9486391594708	102.61160597730776	1	9475.72090304554	<BeadTracker.Bead object at 0x000001FCF5044748>	0	0	55	55	7	True	-73.0		M270	55
347.91197056328565	102.70578400590496	1	9408.330850058906	<BeadTracker.Bead object at 0x000001FCF58B7A88>	0	0	56	56	7	True	-62.0		M270	56
347.9445149517146	102.52467161403662	1	9430.925212059314	<BeadTracker.Bead object at 0x000001FCF51DD0C8>	0	0	57	57	7	True	-90.0		M270	57
347.90434172044826	102.32132387058677	1	9440.9488244944	<BeadTracker.Bead object at 0x000001FCF58CF248>	0	0	58	58	7	True	-60.0		M270	58
347.9026525342531	102.28358821176086	1	9443.857185589924	<BeadTracker.Bead object at 0x000001FCF58B1648>	0	0	59	59	7	True	-60.0		M270	59
347.92441504024697	102.31917212482082	1	9460.457971028258	<BeadTracker.Bead object at 0x000001FCF590F888>	0	0	60	60	7	True	-59.0		M270	60
347.91095986518945	102.39259518618044	1	9340.681846823816	<BeadTracker.Bead object at 0x000001FCF5172E88>	0	0	61	61	7	True	-80.0		M270	61
347.8915484238222	102.16213675684514	1	9435.725583651454	<BeadTracker.Bead object at 0x000001FCF519FC48>	0	0	62	62	7	True	-60.0		M270	62
347.86418244266963	101.95679689020164	1	9329.07765376405	<BeadTracker.Bead object at 0x000001FCF17BAD48>	0	0	63	63	7	True	-79.0		M270	63
347.8272504522015	102.12614719911848	1	9159.576986636674	<BeadTracker.Bead object at 0x000001FCF59273C8>	0	0	64	64	7	True	-103.0		M270	64
347.8546225886	102.14922139795574	1	8961.411049713262	<BeadTracker.Bead object at 0x000001FCF17B33C8>	0	0	65	65	7	True	-104.0		M270	65
347.87848002797267	102.20614259704344	1	8919.401171344667	<BeadTracker.Bead object at 0x000001FCF19A2988>	0	0	66	66	7	True	-105.0		M270	66
347.8116390351721	102.12612963705088	1	8944.998617310463	<BeadTracker.Bead object at 0x000001FCF592D348>	0	0	67	67	7	True	-105.0		M270	67
347.7799399529528	101.8758578149596	1	8922.265454379349	<BeadTracker.Bead object at 0x000001FCF1975848>	0	0	68	68	7	True	-105.0		M270	68
347.78055848858133	101.74249849967772	1	8855.003700125475	<BeadTracker.Bead object at 0x000001FCF6AA1408>	0	0	69	69	7	True	-107.0		M270	69
347.59774197433427	101.59980747843066	1	8806.52392053542	<BeadTracker.Bead object at 0x000001FCF6AAF088>	0	0	70	70	7	True	-110.0		M270	70
347.5409220617679	101.49564112626965	1	8759.536931794253	<BeadTracker.Bead object at 0x000001FCF6A713C8>	0	0	71	71	7	True	-107.0		M270	71
347.5503631250958	101.48362853765066	1	8680.434248849584	<BeadTracker.Bead object at 0x000001FCF9D8D588>	0	0	72	72	7	True	-131.0		M270	72
347.4838720353967	101.27861348453573	1	8526.983518175024	<BeadTracker.Bead object at 0x000001FCF9D99688>	0	0	73	73	7	True	-131.0		M270	73
347.38202432760875	101.015560697673	1	8523.331945497654	<BeadTracker.Bead object at 0x000001FCF6630408>	0	0	74	74	7	True	-130.0		M270	74
347.32470357225765	100.76720661479696	1	8408.484400197192	<BeadTracker.Bead object at 0x000001FCF7B9F508>	0	0	75	75	7	True	-132.0		M270	75
347.3054595418348	100.78180640828016	1	8346.412974182487	<BeadTracker.Bead object at 0x000001FCF7B74588>	0	0	76	76	7	True	-133.0		M270	76
347.2318062265508	100.6482800104835	1	8251.730519008539	<BeadTracker.Bead object at 0x000001FCF7B93088>	0	0	77	77	7	True	-136.0		M270	77
347.1735205279391	100.66712470732398	1	8128.939057165391	<BeadTracker.Bead object at 0x000001FD991D3648>	0	0	78	78	7	True	-140.0		M270	78
347.0834392611749	100.40786137332957	1	7937.835356881721	<BeadTracker.Bead object at 0x000001FD991BF148>	0	0	79	79	7	True	-134.0		M270	79
347.13830995701915	100.26371903515022	1	7785.044229007516	<BeadTracker.Bead object at 0x000001FCF61E6488>	0	0	80	80	7	True	-135.0		M270	80
347.1351262626597	100.38738154395598	1	7534.988529417604	<BeadTracker.Bead object at 0x000001FCF78BF288>	0	0	81	81	7	True	-164.0		M270	81
347.1839094873339	100.30107586228822	1	7385.659024493362	<BeadTracker.Bead object at 0x000001FD991A5AC8>	0	0	82	82	7	True	-189.0		M270	82
347.16963040747174	99.9759559751183	1	7296.7421001368575	<BeadTracker.Bead object at 0x000001FCF78BDB88>	0	0	83	83	7	True	-188.0		M270	83
347.0493291520924	99.98545834658265	1	7365.395551834445	<BeadTracker.Bead object at 0x000001FD991D9648>	0	0	84	84	7	True	-188.0		M270	84
