X	Y	idxCompression	StdDev	Bead	Status	Status_2	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
615.058	246.982	0	46.308	<BeadTracker.Bead object at 0x00000248286E36D0>	1	1	0	0	0	True	1001.0	M450	M450	0
615.866	247.119	0	45.472	<BeadTracker.Bead object at 0x00000248286E3640>	2	1	1	1	0	False	1001.0	M450	M450	1
615.977	246.824	0	45.534	<BeadTracker.Bead object at 0x00000248286E3190>	3	1	2	2	0	False	1001.0	M450	M450	2
615.939	246.566	0	45.993	<BeadTracker.Bead object at 0x00000248286E3130>	1	2	3	3	0	False	1002.0	M450	M450	3
615.98	246.283	0	46.209	<BeadTracker.Bead object at 0x00000248286E3D00>	2	2	4	4	0	False	1002.0	M450	M450	4
615.209	246.001	0	46.688	<BeadTracker.Bead object at 0x00000248286E31F0>	3	2	5	5	0	True	1002.0	M450	M450	5
616.07	246.06	0	46.489	<BeadTracker.Bead object at 0x00000248286E3B50>	1	3	6	6	0	False	982.0	M450	M450	6
615.62	245.755	0	46.788	<BeadTracker.Bead object at 0x00000248270ACCA0>	2	3	7	7	0	False	982.0	M450	M450	7
615.892	245.59	0	47.362	<BeadTracker.Bead object at 0x0000024820000D30>	3	3	8	8	0	True	982.0	M450	M450	8
616.083	245.583	0	47.176	<BeadTracker.Bead object at 0x00000248270CF9D0>	1	4	9	9	0	False	963.0	M450	M450	9
616.1	245.524	0	47.458	<BeadTracker.Bead object at 0x0000024828703F70>	2	4	10	10	0	False	963.0	M450	M450	10
615.95	245.452	0	47.507	<BeadTracker.Bead object at 0x0000024828703850>	3	4	11	11	0	True	963.0	M450	M450	11
615.356	245.155	0	47.801	<BeadTracker.Bead object at 0x0000024828703340>	1	5	12	12	0	False	939.0	M450	M450	12
616.014	245.126	0	48.189	<BeadTracker.Bead object at 0x0000024828703AF0>	2	5	13	13	0	False	939.0	M450	M450	13
616.043	244.936	0	48.201	<BeadTracker.Bead object at 0x0000024828703130>	3	5	14	14	0	True	939.0	M450	M450	14
616.313	244.742	0	48.711	<BeadTracker.Bead object at 0x00000248287035E0>	1	6	15	15	0	True	940.0	M450	M450	15
616.633	244.857	0	48.711	<BeadTracker.Bead object at 0x0000024828703CA0>	2	6	16	16	0	False	940.0	M450	M450	16
616.468	244.637	0	48.647	<BeadTracker.Bead object at 0x000002482B5BC970>	3	6	17	17	0	False	940.0	M450	M450	17
615.803	244.536	0	49.265	<BeadTracker.Bead object at 0x00000248286F8910>	1	7	18	18	0	False	961.0	M450	M450	18
616.352	244.843	0	49.591	<BeadTracker.Bead object at 0x00000248286F8430>	2	7	19	19	0	True	961.0	M450	M450	19
616.931	244.772	0	49.044	<BeadTracker.Bead object at 0x00000248286F8970>	3	7	20	20	0	False	961.0	M450	M450	20
617.229	244.689	0	49.461	<BeadTracker.Bead object at 0x00000248286F88B0>	1	8	21	21	0	True	940.0	M450	M450	21
617.357	244.769	0	49.315	<BeadTracker.Bead object at 0x00000248286F8250>	2	8	22	22	0	False	940.0	M450	M450	22
617.283	244.587	0	49.298	<BeadTracker.Bead object at 0x00000248286F80D0>	3	8	23	23	0	False	940.0	M450	M450	23
617.657	244.781	0	49.214	<BeadTracker.Bead object at 0x00000248286F8730>	1	9	24	24	0	False	939.0	M450	M450	24
617.688	244.594	0	49.736	<BeadTracker.Bead object at 0x00000248286F81C0>	2	9	25	25	0	False	939.0	M450	M450	25
618.116	244.74	0	49.039	<BeadTracker.Bead object at 0x0000024825D0B910>	3	9	26	26	0	True	939.0	M450	M450	26
617.93	244.544	0	49.461	<BeadTracker.Bead object at 0x000002482627E6D0>	1	10	27	27	0	True	939.0	M450	M450	27
617.981	244.406	0	49.062	<BeadTracker.Bead object at 0x000002482627EE20>	2	10	28	28	0	False	939.0	M450	M450	28
618.611	244.607	0	49.429	<BeadTracker.Bead object at 0x000002482627EDF0>	3	10	29	29	0	False	939.0	M450	M450	29
618.457	244.703	0	49.654	<BeadTracker.Bead object at 0x000002482627E9D0>	1	11	30	30	0	True	941.0	M450	M450	30
618.428	244.783	0	49.227	<BeadTracker.Bead object at 0x000002482627EB20>	2	11	31	31	0	False	941.0	M450	M450	31
618.571	244.645	0	49.537	<BeadTracker.Bead object at 0x000002482627E580>	3	11	32	32	0	False	941.0	M450	M450	32
618.271	244.634	0	49.566	<BeadTracker.Bead object at 0x000002482627E2E0>	1	12	33	33	0	True	941.0	M450	M450	33
619.047	244.95	0	49.66	<BeadTracker.Bead object at 0x000002482627E3A0>	2	12	34	34	0	False	941.0	M450	M450	34
619.517	245.385	0	49.426	<BeadTracker.Bead object at 0x000002482627E460>	3	12	35	35	0	False	941.0	M450	M450	35
619.409	245.503	0	49.625	<BeadTracker.Bead object at 0x000002482612DBE0>	1	13	36	36	0	True	940.0	M450	M450	36
619.814	245.692	0	49.499	<BeadTracker.Bead object at 0x000002482B8F6EB0>	2	13	37	37	0	False	940.0	M450	M450	37
619.982	245.999	0	49.048	<BeadTracker.Bead object at 0x000002482B8F6C40>	3	13	38	38	0	False	940.0	M450	M450	38
619.926	246.111	0	49.549	<BeadTracker.Bead object at 0x000002482B8F6400>	1	14	39	39	0	False	938.0	M450	M450	39
