X	Y	idxAnalysis	StdDev	Bead	Status	Status_2	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
401.466	215.731	0	11323.499	<BeadTracker.Bead object at 0x000001DA93E7B9C8>	1	1	0	0	2	False	238.0		M450	0
401.747	215.113	0	6981.721	<BeadTracker.Bead object at 0x000001DA93E7BF08>	2	1	1	1	1	True	238.0		M450	1
402.027	214.885	0	2314.794	<BeadTracker.Bead object at 0x000001DB2207CEC8>	3	1	2	2	0	False	238.0		M450	2
401.193	215.489	0	11354.407	<BeadTracker.Bead object at 0x000001DA93209588>	1	2	3	3	2	True	362.0		M450	3
401.795	215.136	0	3574.928	<BeadTracker.Bead object at 0x000001DA93209D48>	2	2	4	4	1	False	362.0		M450	4
402.19	214.737	0	1412.017	<BeadTracker.Bead object at 0x000001DB2207CD48>	3	2	5	5	0	False	362.0		M450	5
401.439	215.313	0	8318.683	<BeadTracker.Bead object at 0x000001DA93E85A08>	1	3	6	6	1	True	436.0		M450	6
401.713	215.117	0	2686.331	<BeadTracker.Bead object at 0x000001DB2207C9C8>	2	3	7	7	0	False	436.0		M450	7
402.126	214.37	0	1423.559	<BeadTracker.Bead object at 0x000001DB220823C8>	3	3	8	8	0	False	436.0		M450	8
401.299	215.504	0	8795.692	<BeadTracker.Bead object at 0x000001DA9320DA08>	1	4	9	9	2	True	426.0		M450	9
401.652	214.954	0	2828.732	<BeadTracker.Bead object at 0x000001DA93E8D488>	2	4	10	10	1	False	426.0		M450	10
402.007	214.703	0	1443.576	<BeadTracker.Bead object at 0x000001DB220829C8>	3	4	11	11	0	False	426.0		M450	11
401.26	215.572	0	10634.818	<BeadTracker.Bead object at 0x000001DA93E91708>	1	5	12	12	2	True	332.0		M450	12
401.464	215.217	0	3977.079	<BeadTracker.Bead object at 0x000001DA93E94408>	2	5	13	13	1	False	332.0		M450	13
401.759	214.97	0	1683.432	<BeadTracker.Bead object at 0x000001DB220742C8>	3	5	14	14	0	False	332.0		M450	14
401.184	215.533	0	11354.126	<BeadTracker.Bead object at 0x000001DA932120C8>	1	6	15	15	2	True	283.0		M450	15
401.515	215.366	0	5421.159	<BeadTracker.Bead object at 0x000001DA93212508>	2	6	16	16	1	False	283.0		M450	16
401.75	214.741	0	1997.356	<BeadTracker.Bead object at 0x000001DB22082848>	3	6	17	17	0	False	283.0		M450	17
401.417	215.441	1	2776.198	<BeadTracker.Bead object at 0x000001DA93E9C1C8>	0	0	18	18	1	True	323.0		M450	18
401.372	215.505	1	4302.619	<BeadTracker.Bead object at 0x000001DA93E9C6C8>	0	0	19	19	1	True	321.0		M450	19
401.467	215.414	1	5205.2	<BeadTracker.Bead object at 0x000001DA93EA3248>	0	0	20	20	1	True	283.0		M450	20
401.483	215.371	1	5503.857	<BeadTracker.Bead object at 0x000001DA93218408>	0	0	21	21	1	True	276.0		M450	21
401.472	215.348	1	5550.842	<BeadTracker.Bead object at 0x000001DA93218B88>	0	0	22	22	1	True	274.0		M450	22
401.5	215.418	1	5492.534	<BeadTracker.Bead object at 0x000001DA93EA6D48>	0	0	23	23	1	True	280.0		M450	23
401.589	215.339	1	5445.959	<BeadTracker.Bead object at 0x000001DA93EA6F08>	0	0	24	24	1	True	280.0		M450	24
401.596	215.355	1	5457.961	<BeadTracker.Bead object at 0x000001DA93EAAF08>	0	0	25	25	1	True	280.0		M450	25
401.589	215.342	1	5477.495	<BeadTracker.Bead object at 0x000001DA93EAF4C8>	0	0	26	26	1	True	279.0		M450	26
401.627	215.273	1	5510.058	<BeadTracker.Bead object at 0x000001DA93EAFE48>	0	0	27	27	1	True	279.0		M450	27
401.618	215.242	1	5485.956	<BeadTracker.Bead object at 0x000001DA93EB1E48>	0	0	28	28	1	True	280.0		M450	28
401.62	215.224	1	5403.67	<BeadTracker.Bead object at 0x000001DA93EB7888>	0	0	29	29	1	True	281.0		M450	29
401.657	215.269	1	5439.804	<BeadTracker.Bead object at 0x000001DA93EB7C08>	0	0	30	30	1	True	280.0		M450	30
401.681	215.207	1	5393.795	<BeadTracker.Bead object at 0x000001DA9321D548>	0	0	31	31	1	True	280.0		M450	31
401.722	215.255	1	5444.732	<BeadTracker.Bead object at 0x000001DA93EB9188>	0	0	32	32	1	True	280.0		M450	32
401.692	215.23	1	5435.348	<BeadTracker.Bead object at 0x000001DA93EB98C8>	0	0	33	33	1	True	280.0		M450	33
401.652	215.251	1	5392.98	<BeadTracker.Bead object at 0x000001DA93EBFD88>	0	0	34	34	1	True	281.0		M450	34
401.76	215.242	1	5396.03	<BeadTracker.Bead object at 0x000001DA93223888>	0	0	35	35	1	True	281.0		M450	35
401.754	215.321	1	5426.208	<BeadTracker.Bead object at 0x000001DA93223308>	0	0	36	36	1	True	280.0		M450	36
