X	Y	idxAnalysis	StdDev	Bead	Status	Status_2	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
192.25	94.22	0	9100.103	<BeadTracker.Bead object at 0x000001DADDCA2E48>	1	1	0	0	0	True	107.0		M270	0
192.008	93.862	0	8410.823	<BeadTracker.Bead object at 0x000001DA9AA6F208>	2	1	1	1	0	False	107.0		M270	1
192.457	93.719	0	2503.436	<BeadTracker.Bead object at 0x000001DA9AA6F3C8>	3	1	2	2	0	False	107.0		M270	2
192.553	94.171	0	8742.245	<BeadTracker.Bead object at 0x000001DA9695E088>	1	2	3	3	0	True	86.0		M270	3
192.53	93.679	0	8804.843	<BeadTracker.Bead object at 0x000001DA9AA6F9C8>	2	2	4	4	0	False	86.0		M270	4
192.45	93.758	0	2815.946	<BeadTracker.Bead object at 0x000001DA9AA6FD88>	3	2	5	5	0	False	86.0		M270	5
192.436	94.067	0	9327.382	<BeadTracker.Bead object at 0x000001DA9AA6F308>	1	3	6	6	0	True	117.0		M270	6
192.61	93.792	0	7927.714	<BeadTracker.Bead object at 0x000001DA9452D308>	2	3	7	7	0	False	117.0		M270	7
192.41	93.507	0	2333.434	<BeadTracker.Bead object at 0x000001DA9695E448>	3	3	8	8	0	False	117.0		M270	8
192.222	93.987	0	8216.971	<BeadTracker.Bead object at 0x000001DA9695E188>	1	4	9	9	0	True	350.0		M270	9
192.217	93.687	0	2567.252	<BeadTracker.Bead object at 0x000001DA9695E2C8>	2	4	10	10	0	False	350.0		M270	10
192.017	93.866	0	6628.36	<BeadTracker.Bead object at 0x000001DADD899B88>	1	5	12	12	0	True	-23.0		M270	12
191.832	93.396	0	10329.23	<BeadTracker.Bead object at 0x000001DADE2D6C08>	2	5	13	13	0	False	-23.0		M270	13
191.972	93.427	0	4622.339	<BeadTracker.Bead object at 0x000001DADD899188>	3	5	14	14	0	False	-23.0		M270	14
191.928	93.567	0	6876.565	<BeadTracker.Bead object at 0x000001DADE2D6308>	1	6	15	15	0	True	-4.0		M270	15
192.157	93.377	0	10061.383	<BeadTracker.Bead object at 0x000001DADE2D6388>	2	6	16	16	0	False	-4.0		M270	16
191.903	93.188	0	4116.798	<BeadTracker.Bead object at 0x000001DADE2FB108>	3	6	17	17	0	False	-4.0		M270	17
191.628	93.675	1	7095.726	<BeadTracker.Bead object at 0x000001DADE2EFF08>	0	0	18	18	0	True	-43.0		M270	18
191.74	93.598	1	9324.693	<BeadTracker.Bead object at 0x000001DADE2FB4C8>	0	0	19	19	0	True	-82.0		M270	19
191.823	93.542	1	9859.483	<BeadTracker.Bead object at 0x000001DADE2FBEC8>	0	0	20	20	0	True	-87.0		M270	20
191.92	93.554	1	10065.468	<BeadTracker.Bead object at 0x000001DADE2FBA88>	0	0	21	21	0	True	-86.0		M270	21
191.87	93.632	1	10051.738	<BeadTracker.Bead object at 0x000001DADE2EF7C8>	0	0	22	22	0	True	-85.0		M270	22
191.832	93.562	1	10035.753	<BeadTracker.Bead object at 0x000001DA94BB85C8>	0	0	23	23	0	True	-86.0		M270	23
191.896	93.556	1	9990.426	<BeadTracker.Bead object at 0x000001DA96982888>	0	0	24	24	0	True	-86.0		M270	24
191.813	93.415	1	10004.431	<BeadTracker.Bead object at 0x000001DA969828C8>	0	0	25	25	0	True	-69.0		M270	25
191.887	93.408	1	10008.776	<BeadTracker.Bead object at 0x000001DADE2EF4C8>	0	0	26	26	0	True	-69.0		M270	26
191.753	93.481	1	9983.445	<BeadTracker.Bead object at 0x000001DADE2EFD48>	0	0	27	27	0	True	-69.0		M270	27
191.798	93.434	1	9963.117	<BeadTracker.Bead object at 0x000001DA9A5531C8>	0	0	28	28	0	True	-69.0		M270	28
191.727	93.448	1	9953.249	<BeadTracker.Bead object at 0x000001DADE2F9788>	0	0	29	29	0	True	-69.0		M270	29
191.8	93.405	1	9957.889	<BeadTracker.Bead object at 0x000001DA9A553188>	0	0	30	30	0	True	-69.0		M270	30
191.825	93.473	1	9919.956	<BeadTracker.Bead object at 0x000001DA9A553A08>	0	0	31	31	0	True	-69.0		M270	31
191.855	93.428	1	9902.402	<BeadTracker.Bead object at 0x000001DA9A553AC8>	0	0	32	32	0	True	-69.0		M270	32
191.811	93.384	1	9951.649	<BeadTracker.Bead object at 0x000001DADE2F9208>	0	0	33	33	0	True	-68.0		M270	33
191.872	93.33	1	9897.89	<BeadTracker.Bead object at 0x000001DA954C8988>	0	0	34	34	0	True	-66.0		M270	34
191.897	93.225	1	9881.261	<BeadTracker.Bead object at 0x000001DADE2F9A08>	0	0	35	35	0	True	-60.0		M270	35
191.946	93.264	1	9911.483	<BeadTracker.Bead object at 0x000001DA954C84C8>	0	0	36	36	0	True	-41.0		M270	36
191.983	93.208	1	9921.561	<BeadTracker.Bead object at 0x000001DADE2F9F48>	0	0	37	37	0	True	-57.0		M270	37
191.989	93.199	1	9868.298	<BeadTracker.Bead object at 0x000001DADE2F92C8>	0	0	38	38	0	True	-61.0		M270	38
192.035	93.18	1	9940.596	<BeadTracker.Bead object at 0x000001DADE2D3288>	0	0	39	39	0	True	-57.0		M270	39
