X	Y	idxCompression	StdDev	Bead	Status	Status_2	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
396.615	254.642	0	1519.345	<BeadTracker.Bead object at 0x000001DA942247C8>	1	1	0	0	3	False	-306.0	M270	M270	0
397.537	254.652	0	4652.146	<BeadTracker.Bead object at 0x000001DA94236A48>	2	1	1	1	3	True	-306.0	M270	M270	1
398.023	254.718	0	10783.052	<BeadTracker.Bead object at 0x000001DA94236F48>	3	1	2	2	3	False	-306.0	M270	M270	2
396.662	254.568	0	1423.023	<BeadTracker.Bead object at 0x000001DA9423F348>	1	2	3	3	3	False	-312.0	M270	M270	3
397.169	254.614	0	4277.03	<BeadTracker.Bead object at 0x000001DA9423FB88>	2	2	4	4	3	True	-312.0	M270	M270	4
398.177	254.879	0	10498.687	<BeadTracker.Bead object at 0x000001DA9421B7C8>	3	2	5	5	3	False	-312.0	M270	M270	5
396.086	254.979	0	1387.263	<BeadTracker.Bead object at 0x000001DA9421BD88>	1	3	6	6	3	False	-336.0	M270	M270	6
397.005	254.807	0	4104.091	<BeadTracker.Bead object at 0x000001DA9423CE48>	2	3	7	7	3	False	-336.0	M270	M270	7
397.627	254.995	0	10308.51	<BeadTracker.Bead object at 0x000001DA9423C8C8>	3	3	8	8	3	True	-336.0	M270	M270	8
396.156	255.017	0	1337.097	<BeadTracker.Bead object at 0x000001DA94234448>	1	4	9	9	3	False	-340.0	M270	M270	9
397.425	254.388	0	3715.165	<BeadTracker.Bead object at 0x000001DA9423D3C8>	2	4	10	10	3	False	-340.0	M270	M270	10
398.206	254.436	0	9937.781	<BeadTracker.Bead object at 0x000001DA9423D688>	3	4	11	11	3	True	-340.0	M270	M270	11
395.902	254.951	0	1211.642	<BeadTracker.Bead object at 0x000001DA94237308>	1	5	12	12	3	False	-366.0	M270	M270	12
396.517	254.841	0	3307.209	<BeadTracker.Bead object at 0x000001DA94237808>	2	5	13	13	3	False	-366.0	M270	M270	13
397.501	255.268	0	9378.401	<BeadTracker.Bead object at 0x000001DA9420CB88>	3	5	14	14	3	True	-366.0	M270	M270	14
395.649	255.112	0	1161.843	<BeadTracker.Bead object at 0x000001DA94202788>	1	6	15	15	3	False	-394.0	M270	M270	15
396.72	254.946	0	3079.346	<BeadTracker.Bead object at 0x000001DA94202F88>	2	6	16	16	3	False	-394.0	M270	M270	16
397.127	255.178	0	8852.105	<BeadTracker.Bead object at 0x000001DA9421CD88>	3	6	17	17	3	True	-394.0	M270	M270	17
396.62	255.544	1	6018.303	<BeadTracker.Bead object at 0x000001DA9420B988>	0	0	18	18	3	True	-354.0	M270	M270	18
396.539	255.523	1	3963.497	<BeadTracker.Bead object at 0x000001DA9420BD88>	0	0	19	19	3	True	-332.0	M270	M270	19
396.377	255.404	1	3205.895	<BeadTracker.Bead object at 0x000001DA94207408>	0	0	20	20	3	True	-360.0	M270	M270	20
396.331	255.368	1	3046.745	<BeadTracker.Bead object at 0x000001DA942077C8>	0	0	21	21	3	True	-380.0	M270	M270	21
396.374	255.267	1	3023.712	<BeadTracker.Bead object at 0x000001DA95FFA288>	0	0	22	22	3	True	-380.0	M270	M270	22
396.318	255.26	1	2978.517	<BeadTracker.Bead object at 0x000001DA95FE7088>	0	0	23	23	3	True	-380.0	M270	M270	23
396.321	255.423	1	3106.032	<BeadTracker.Bead object at 0x000001DA95FE7548>	0	0	24	24	3	True	-379.0	M270	M270	24
396.26	255.325	1	3010.063	<BeadTracker.Bead object at 0x000001DA95FEE3C8>	0	0	25	25	3	True	-380.0	M270	M270	25
396.24	255.213	1	2973.64	<BeadTracker.Bead object at 0x000001DA95FF0088>	0	0	26	26	3	True	-380.0	M270	M270	26
396.228	255.484	1	2967.092	<BeadTracker.Bead object at 0x000001DA95FF0688>	0	0	27	27	3	True	-381.0	M270	M270	27
396.241	255.349	1	2991.103	<BeadTracker.Bead object at 0x000001DA95FE6148>	0	0	28	28	3	True	-380.0	M270	M270	28
396.216	255.414	1	3051.579	<BeadTracker.Bead object at 0x000001DA95FDD188>	0	0	29	29	3	True	-380.0	M270	M270	29
396.237	255.27	1	2987.794	<BeadTracker.Bead object at 0x000001DA95FDD808>	0	0	30	30	3	True	-380.0	M270	M270	30
396.37	255.23	1	3001.054	<BeadTracker.Bead object at 0x000001DA95FD82C8>	0	0	31	31	3	True	-380.0	M270	M270	31
396.235	255.21	1	3050.87	<BeadTracker.Bead object at 0x000001DA95FD2148>	0	0	32	32	3	True	-378.0	M270	M270	32
396.154	255.29	1	3041.448	<BeadTracker.Bead object at 0x000001DA95FCF608>	0	0	33	33	3	True	-379.0	M270	M270	33
396.219	255.402	1	3110.091	<BeadTracker.Bead object at 0x000001DA95FCF348>	0	0	34	34	3	True	-378.0	M270	M270	34
396.051	255.58	1	3113.574	<BeadTracker.Bead object at 0x000001DA95FCE208>	0	0	35	35	3	True	-370.0	M270	M270	35
396.135	255.494	1	3100.249	<BeadTracker.Bead object at 0x000001DA95FC7408>	0	0	36	36	3	True	-378.0	M270	M270	36
396.205	255.373	1	3146.497	<BeadTracker.Bead object at 0x000001DA95FC77C8>	0	0	37	37	3	True	-378.0	M270	M270	37
396.128	255.608	1	3126.833	<BeadTracker.Bead object at 0x000001DA95FC3788>	0	0	38	38	3	True	-368.0	M270	M270	38
396.189	255.604	1	3169.917	<BeadTracker.Bead object at 0x000001DA95FC8708>	0	0	39	39	3	True	-365.0	M270	M270	39
