X	Y	idxCompression	StdDev	Bead	Status	Status_2	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
268.713	320.514	0	1496.936	<BeadTracker.Bead object at 0x0000014874E82D60>	1	1	0	0	0	True	-1466.0	M450	M450	0
269.172	320.362	0	1251.49	<BeadTracker.Bead object at 0x00000149D7A76610>	2	1	1	1	0	False	-1466.0	M450	M450	1
269.165	320.018	0	1002.616	<BeadTracker.Bead object at 0x00000149D7A76490>	3	1	2	2	0	False	-1466.0	M450	M450	2
270.165	320.409	0	1494.633	<BeadTracker.Bead object at 0x00000149D7A685E0>	1	2	3	3	0	True	-1476.0	M450	M450	3
268.922	319.997	0	1242.756	<BeadTracker.Bead object at 0x000001487503B250>	2	2	4	4	0	False	-1476.0	M450	M450	4
269.236	319.961	0	998.302	<BeadTracker.Bead object at 0x000001487503B520>	3	2	5	5	0	False	-1476.0	M450	M450	5
269.84	320.075	0	1490.715	<BeadTracker.Bead object at 0x00000149D5111310>	1	3	6	6	0	True	-1424.0	M450	M450	6
269.308	320.022	0	1246.563	<BeadTracker.Bead object at 0x00000149D51115B0>	2	3	7	7	0	False	-1424.0	M450	M450	7
269.154	319.626	0	1015.603	<BeadTracker.Bead object at 0x00000149D5111340>	3	3	8	8	0	False	-1424.0	M450	M450	8
270.252	320.054	0	1520.98	<BeadTracker.Bead object at 0x00000149D51115E0>	1	4	9	9	0	True	-1435.0	M450	M450	9
269.707	319.836	0	1262.129	<BeadTracker.Bead object at 0x00000149D5119790>	2	4	10	10	0	False	-1435.0	M450	M450	10
269.45	319.664	0	1007.018	<BeadTracker.Bead object at 0x00000149D5119580>	3	4	11	11	0	False	-1435.0	M450	M450	11
270.389	319.648	0	1524.716	<BeadTracker.Bead object at 0x00000149D51197C0>	1	5	12	12	0	True	-1472.0	M450	M450	12
270.131	319.434	0	1279.238	<BeadTracker.Bead object at 0x00000149D5119A60>	2	5	13	13	0	False	-1472.0	M450	M450	13
269.571	319.185	0	1026.168	<BeadTracker.Bead object at 0x00000149D5119C40>	3	5	14	14	0	False	-1472.0	M450	M450	14
270.103	319.436	0	1534.04	<BeadTracker.Bead object at 0x00000149D5119E20>	1	6	15	15	0	True	-1417.0	M450	M450	15
269.498	319.242	0	1279.574	<BeadTracker.Bead object at 0x00000149D5119FD0>	2	6	16	16	0	False	-1417.0	M450	M450	16
269.149	319.033	0	1025.613	<BeadTracker.Bead object at 0x00000149D5119130>	3	6	17	17	0	False	-1417.0	M450	M450	17
270.502	319.805	0	1538.278	<BeadTracker.Bead object at 0x00000149D4787E20>	1	7	18	18	0	True	-1397.0	M450	M450	18
269.439	319.342	0	1278.361	<BeadTracker.Bead object at 0x00000149D4787700>	2	7	19	19	0	False	-1397.0	M450	M450	19
269.274	319.307	0	1034.706	<BeadTracker.Bead object at 0x00000149D4787AF0>	3	7	20	20	0	False	-1397.0	M450	M450	20
270.027	319.562	0	1543.921	<BeadTracker.Bead object at 0x00000149D4787730>	1	8	21	21	0	True	-1423.0	M450	M450	21
