X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
145.223	202.04	0	1092.339	<BeadTracker.Bead object at 0x00000162927ADB80>	1.0	1	0	0	0	False	307.0	M450		0
145.818	202.328	0	1569.801	<BeadTracker.Bead object at 0x00000162927AD520>	2.0	1	1	1	0	False	307.0	M450		1
145.773	202.451	0	1950.558	<BeadTracker.Bead object at 0x0000016331B5A220>	3.0	1	2	2	1	True	307.0	M450		2
146.109	202.649	0	1116.57	<BeadTracker.Bead object at 0x00000162927ADA90>	1.0	2	3	3	0	False	308.0	M450		3
146.114	202.52	0	1582.229	<BeadTracker.Bead object at 0x0000016331B5AA60>	2.0	2	4	4	1	False	308.0	M450		4
146.234	202.568	0	1980.351	<BeadTracker.Bead object at 0x0000016331B5AE80>	3.0	2	5	5	1	True	308.0	M450		5
145.792	202.794	0	1115.896	<BeadTracker.Bead object at 0x0000016331B602E0>	1.0	3	6	6	1	False	305.0	M450		6
145.855	202.805	0	1587.458	<BeadTracker.Bead object at 0x0000016331B60700>	2.0	3	7	7	1	False	305.0	M450		7
146.15	202.832	0	1976.216	<BeadTracker.Bead object at 0x0000016331B4F2E0>	3.0	3	8	8	1	True	305.0	M450		8
146.553	202.938	0	1117.936	<BeadTracker.Bead object at 0x0000016331B60BB0>	1.0	4	9	9	1	False	309.0	M450		9
145.847	202.697	0	1586.168	<BeadTracker.Bead object at 0x0000016331B60FD0>	2.0	4	10	10	1	False	309.0	M450		10
146.24	202.732	0	1980.249	<BeadTracker.Bead object at 0x0000016331B69430>	3.0	4	11	11	1	True	309.0	M450		11
146.143	203.085	0	1106.328	<BeadTracker.Bead object at 0x0000016331B69850>	1.0	5	12	12	1	False	305.0	M450		12
146.307	202.799	0	1553.481	<BeadTracker.Bead object at 0x0000016331B69C70>	2.0	5	13	13	1	False	305.0	M450		13
145.895	203.08	0	1967.956	<BeadTracker.Bead object at 0x0000016331B69FD0>	3.0	5	14	14	1	True	305.0	M450		14
145.527	203.172	0	1055.617	<BeadTracker.Bead object at 0x0000016331B714F0>	1.0	6	15	15	1	False	302.0	M450		15
146.172	203.264	0	1515.191	<BeadTracker.Bead object at 0x0000016331B71910>	2.0	6	16	16	1	False	302.0	M450		16
145.72	203.358	0	1933.591	<BeadTracker.Bead object at 0x0000016331B71D30>	3.0	6	17	17	1	True	302.0	M450		17
145.767	203.68	0	1031.464	<BeadTracker.Bead object at 0x0000016331B77190>	1.0	7	18	18	1	False	308.0	M450		18
146.095	203.534	0	1497.726	<BeadTracker.Bead object at 0x0000016331B775B0>	2.0	7	19	19	1	False	308.0	M450		19
146.029	203.487	0	1920.369	<BeadTracker.Bead object at 0x0000016331B779D0>	3.0	7	20	20	1	True	308.0	M450		20
146.402	203.896	0	1020.712	<BeadTracker.Bead object at 0x0000016331B77DF0>	1.0	8	21	21	1	False	342.0	M450		21
146.399	203.733	0	1463.365	<BeadTracker.Bead object at 0x0000016331B7E250>	2.0	8	22	22	1	False	342.0	M450		22
146.668	203.577	0	1921.109	<BeadTracker.Bead object at 0x0000016331B7E670>	3.0	8	23	23	1	True	342.0	M450		23
146.265	203.845	0	1009.877	<BeadTracker.Bead object at 0x0000016331B7EA90>	1.0	9	24	24	1	False	339.0	M450		24
146.385	203.854	0	1457.741	<BeadTracker.Bead object at 0x0000016331B7EEB0>	2.0	9	25	25	1	False	339.0	M450		25
146.427	203.82	0	1907.767	<BeadTracker.Bead object at 0x0000016331B89310>	3.0	9	26	26	1	True	339.0	M450		26
146.476	204.673	0	965.099	<BeadTracker.Bead object at 0x0000016331B89730>	1.0	10	27	27	1	False	371.0	M450		27
147.062	204.731	0	1397.742	<BeadTracker.Bead object at 0x0000016331B89B50>	2.0	10	28	28	1	False	371.0	M450		28
147.087	204.591	0	1872.366	<BeadTracker.Bead object at 0x0000016331B89F70>	3.0	10	29	29	1	True	371.0	M450		29
147.208	205.004	0	947.806	<BeadTracker.Bead object at 0x0000016331B8F3D0>	1.0	11	30	30	1	False	364.0	M450		30
147.117	204.982	0	1405.617	<BeadTracker.Bead object at 0x0000016331B8F7F0>	2.0	11	31	31	1	False	364.0	M450		31
147.165	204.862	0	1873.499	<BeadTracker.Bead object at 0x0000016331B8FC10>	3.0	11	32	32	1	True	364.0	M450		32
147.343	205.209	0	945.831	<BeadTracker.Bead object at 0x0000016331B8FF70>	1.0	12	33	33	1	False	364.0	M450		33
147.163	205.101	0	1373.457	<BeadTracker.Bead object at 0x0000016331B97490>	2.0	12	34	34	1	False	364.0	M450		34
147.117	205.234	0	1871.823	<BeadTracker.Bead object at 0x0000016331B978B0>	3.0	12	35	35	1	True	364.0	M450		35
146.869	205.221	0	927.634	<BeadTracker.Bead object at 0x0000016331B97CD0>	1.0	13	36	36	1	False	371.0	M450		36
147.429	205.241	0	1374.63	<BeadTracker.Bead object at 0x0000016331B9E130>	2.0	13	37	37	1	False	371.0	M450		37
147.267	205.293	0	1887.976	<BeadTracker.Bead object at 0x0000016331B9E550>	3.0	13	38	38	1	True	371.0	M450		38
147.96	205.638	0	908.985	<BeadTracker.Bead object at 0x0000016331B9E970>	1.0	14	39	39	1	False	366.0	M450		39
147.756	205.324	0	1361.018	<BeadTracker.Bead object at 0x0000016331B9ED90>	2.0	14	40	40	1	False	366.0	M450		40
147.491	205.424	0	1868.661	<BeadTracker.Bead object at 0x0000016331BA51F0>	3.0	14	41	41	1	True	366.0	M450		41
147.67	205.762	0	901.513	<BeadTracker.Bead object at 0x0000016331BA5610>	1.0	15	42	42	1	False	363.0	M450		42
148.058	205.454	0	1362.025	<BeadTracker.Bead object at 0x0000016331BA5A30>	2.0	15	43	43	1	False	363.0	M450		43
148.093	205.44	0	1878.116	<BeadTracker.Bead object at 0x0000016331BA5E50>	3.0	15	44	44	1	True	363.0	M450		44
147.84	205.832	0	907.289	<BeadTracker.Bead object at 0x0000016331BAB2B0>	1.0	16	45	45	1	False	370.0	M450		45
147.9	205.748	0	1363.54	<BeadTracker.Bead object at 0x0000016331BAB6D0>	2.0	16	46	46	1	False	370.0	M450		46
147.987	205.841	0	1865.233	<BeadTracker.Bead object at 0x0000016331BABAF0>	3.0	16	47	47	1	True	370.0	M450		47
