X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
432.282	176.122	0	11273.546	<BeadTracker.Bead object at 0x000001991EC2E308>	1.0	1	0	0	1	True	284.0		M450	0
432.635	176.044	0	5803.37	<BeadTracker.Bead object at 0x000001991EC1BA08>	2.0	1	1	1	1	False	284.0		M450	1
433.092	176.402	0	1941.413	<BeadTracker.Bead object at 0x000001991EC1D708>	3.0	1	2	2	1	False	284.0		M450	2
432.167	175.816	0	11316.645	<BeadTracker.Bead object at 0x000001991EC1DF48>	1.0	2	3	3	1	True	287.0		M450	3
432.655	175.806	0	5814.124	<BeadTracker.Bead object at 0x000001991EC047C8>	2.0	2	4	4	1	False	287.0		M450	4
433.108	175.973	0	1906.704	<BeadTracker.Bead object at 0x000001991EC04FC8>	3.0	2	5	5	1	False	287.0		M450	5
431.833	175.457	0	11175.25	<BeadTracker.Bead object at 0x000001991EC0A888>	1.0	3	6	6	1	True	289.0		M450	6
432.443	175.732	0	5516.425	<BeadTracker.Bead object at 0x000001991EC0AFC8>	2.0	3	7	7	1	False	289.0		M450	7
432.75	175.912	0	1862.555	<BeadTracker.Bead object at 0x000001991EC3B888>	3.0	3	8	8	1	False	289.0		M450	8
431.656	175.665	0	11057.831	<BeadTracker.Bead object at 0x000001991EC32108>	1.0	4	9	9	1	True	317.0		M450	9
432.341	175.87	0	5142.837	<BeadTracker.Bead object at 0x000001991EC32948>	2.0	4	10	10	1	False	317.0		M450	10
432.436	176.201	0	1860.892	<BeadTracker.Bead object at 0x00000197B1A961C8>	3.0	4	11	11	1	False	317.0		M450	11
431.461	175.986	0	11025.139	<BeadTracker.Bead object at 0x00000197B1A96A08>	1.0	5	12	12	1	True	320.0		M450	12
432.123	176.053	0	5078.687	<BeadTracker.Bead object at 0x00000197B1A71808>	2.0	5	13	13	1	False	320.0		M450	13
432.39	176.411	0	1820.337	<BeadTracker.Bead object at 0x00000197B1A719C8>	3.0	5	14	14	1	False	320.0		M450	14
431.662	176.357	0	10372.028	<BeadTracker.Bead object at 0x00000197B1AA2348>	1.0	6	15	15	1	True	321.0		M450	15
431.98	175.738	0	4881.663	<BeadTracker.Bead object at 0x00000197B1AA2B88>	2.0	6	16	16	1	False	321.0		M450	16
432.436	176.158	0	1805.776	<BeadTracker.Bead object at 0x00000197B1A88408>	3.0	6	17	17	1	False	321.0		M450	17
431.924	176.617	-1	2000.427	<BeadTracker.Bead object at 0x00000197B1A88C48>	0.1	0	18	18	1	True	361.0		M450	18
431.729	176.175	-1	3277.318	<BeadTracker.Bead object at 0x00000197B1A9A4C8>	0.1	0	19	19	1	True	381.0		M450	19
431.78	176.187	-1	4255.425	<BeadTracker.Bead object at 0x00000197B1A9AD08>	0.1	0	20	20	1	True	347.0		M450	20
431.895	176.061	-1	4764.489	<BeadTracker.Bead object at 0x00000197B1A8C588>	0.1	0	21	21	1	True	328.0		M450	21
431.893	176.292	-1	4593.05	<BeadTracker.Bead object at 0x00000197B1A8CDC8>	0.1	0	22	22	1	True	333.0		M450	22
431.901	176.113	-1	4679.229	<BeadTracker.Bead object at 0x00000197B1AAB648>	0.1	0	23	23	1	True	331.0		M450	23
431.913	176.203	-1	4444.295	<BeadTracker.Bead object at 0x00000197B1AABE88>	0.1	0	24	24	1	True	339.0		M450	24
431.885	176.144	-1	4462.271	<BeadTracker.Bead object at 0x00000197B1AA9708>	0.1	0	25	25	1	True	339.0		M450	25
431.834	176.22	-1	4411.873	<BeadTracker.Bead object at 0x00000197B1AA9FC8>	0.1	0	26	26	1	True	341.0		M450	26
431.842	176.093	-1	4493.338	<BeadTracker.Bead object at 0x00000197B1A91948>	0.1	0	27	27	1	True	341.0		M450	27
431.85	176.18	-1	4401.936	<BeadTracker.Bead object at 0x00000197B1A97288>	0.1	0	28	28	1	True	342.0		M450	28
431.815	176.093	-1	4458.972	<BeadTracker.Bead object at 0x00000197B1A97B88>	0.1	0	29	29	1	True	342.0		M450	29
431.831	176.009	-1	4489.835	<BeadTracker.Bead object at 0x00000197B1A924C8>	0.1	0	30	30	1	True	342.0		M450	30
431.858	175.998	-1	4502.749	<BeadTracker.Bead object at 0x00000197B1A92DC8>	0.1	0	31	31	1	True	342.0		M450	31
431.835	175.986	-1	4554.767	<BeadTracker.Bead object at 0x00000197B2A63548>	0.1	0	32	32	1	True	340.0		M450	32
431.873	175.967	-1	4605.985	<BeadTracker.Bead object at 0x00000197B2A633C8>	0.1	0	33	33	1	True	340.0		M450	33
431.8	175.967	-1	4559.074	<BeadTracker.Bead object at 0x00000197B2A74948>	0.1	0	34	34	1	True	342.0		M450	34
431.81	175.915	-1	4755.931	<BeadTracker.Bead object at 0x00000197B2A82288>	0.1	0	35	35	1	True	337.0		M450	35
431.809	175.945	-1	4688.412	<BeadTracker.Bead object at 0x00000197B2A82B88>	0.1	0	36	36	1	True	339.0		M450	36
431.794	175.8	-1	4714.426	<BeadTracker.Bead object at 0x00000197B2A844C8>	0.1	0	37	37	1	True	341.0		M450	37
431.693	175.895	-1	4622.437	<BeadTracker.Bead object at 0x00000197B2A84DC8>	0.1	0	38	38	1	True	342.0		M450	38
431.731	175.899	-1	4626.354	<BeadTracker.Bead object at 0x00000197B2A8A708>	0.1	0	39	39	1	True	343.0		M450	39
431.717	175.82	-1	4535.173	<BeadTracker.Bead object at 0x00000197B2A8AFC8>	0.1	0	40	40	1	True	346.0		M450	40
431.73	175.834	-1	4595.826	<BeadTracker.Bead object at 0x00000197B2A8C948>	0.1	0	41	41	1	True	344.0		M450	41
431.651	175.928	-1	4487.878	<BeadTracker.Bead object at 0x00000197B2A88288>	0.1	0	42	42	1	True	347.0		M450	42
431.695	175.867	-1	4515.565	<BeadTracker.Bead object at 0x00000197B2A88B88>	0.1	0	43	43	1	True	347.0		M450	43
431.66	175.828	-1	4471.698	<BeadTracker.Bead object at 0x00000197B2A7A4C8>	0.1	0	44	44	1	True	349.0		M450	44
431.694	175.894	-1	4386.292	<BeadTracker.Bead object at 0x00000197B2A7ADC8>	0.1	0	45	45	1	True	351.0		M450	45
431.728	175.918	-1	4404.942	<BeadTracker.Bead object at 0x00000197B2A75708>	0.1	0	46	46	1	True	350.0		M450	46
431.677	175.872	-1	4455.166	<BeadTracker.Bead object at 0x00000197B2A75FC8>	0.1	0	47	47	1	True	348.0		M450	47
431.673	175.878	-1	4459.117	<BeadTracker.Bead object at 0x00000197B2A78948>	0.1	0	48	48	1	True	350.0		M450	48
431.701	175.865	-1	4480.021	<BeadTracker.Bead object at 0x00000197B2A64288>	0.1	0	49	49	1	True	349.0		M450	49
431.664	175.82	-1	4590.854	<BeadTracker.Bead object at 0x00000197B2A64B88>	0.1	0	50	50	1	True	346.0		M450	50
431.691	175.948	-1	4563.835	<BeadTracker.Bead object at 0x00000197B2A5C4C8>	0.1	0	51	51	1	True	346.0		M450	51
431.682	175.871	-1	4561.054	<BeadTracker.Bead object at 0x00000197B2A5CDC8>	0.1	0	52	52	1	True	346.0		M450	52
431.7	175.926	-1	4520.003	<BeadTracker.Bead object at 0x00000197B2A53708>	0.1	0	53	53	1	True	347.0		M450	53
431.7	175.894	-1	4556.872	<BeadTracker.Bead object at 0x00000197B2A53FC8>	0.1	0	54	54	1	True	347.0		M450	54
