X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
115.012	234.821	0	10062.603	<BeadTracker.Bead object at 0x00000196FACB5A88>	1.0	1	0	0	1	False	-28.0		M450	0
115.187	234.015	0	12696.5	<BeadTracker.Bead object at 0x00000196FACCD248>	2.0	1	1	1	1	True	-28.0		M450	1
114.893	234.102	0	7449.035	<BeadTracker.Bead object at 0x0000019921668308>	3.0	1	2	2	1	False	-28.0		M450	2
114.976	234.441	0	10219.149	<BeadTracker.Bead object at 0x0000019921668FC8>	1.0	2	3	3	1	False	-19.0		M450	3
115.091	233.758	0	12669.602	<BeadTracker.Bead object at 0x00000196FACDD0C8>	2.0	2	4	4	1	True	-19.0		M450	4
114.851	233.98	0	7196.985	<BeadTracker.Bead object at 0x00000196F4743148>	3.0	2	5	5	1	False	-19.0		M450	5
114.976	234.25	0	10174.272	<BeadTracker.Bead object at 0x00000196F4743608>	1.0	3	6	6	1	False	-24.0		M450	6
115.16	233.845	0	12693.717	<BeadTracker.Bead object at 0x00000196F47519C8>	2.0	3	7	7	1	True	-24.0		M450	7
114.932	233.831	0	7388.104	<BeadTracker.Bead object at 0x0000019921670608>	3.0	3	8	8	1	False	-24.0		M450	8
115.049	234.005	0	10267.818	<BeadTracker.Bead object at 0x0000019921670808>	1.0	4	9	9	1	False	-39.0		M450	9
115.276	233.656	0	12744.651	<BeadTracker.Bead object at 0x00000196F473C808>	2.0	4	10	10	1	True	-39.0		M450	10
114.961	233.477	0	7343.646	<BeadTracker.Bead object at 0x00000196F475F208>	3.0	4	11	11	1	False	-39.0		M450	11
115.17	233.965	0	10334.301	<BeadTracker.Bead object at 0x00000196F4753088>	1.0	5	12	12	1	False	-37.0		M450	12
115.546	233.618	0	12672.096	<BeadTracker.Bead object at 0x00000196F4753C88>	2.0	5	13	13	1	True	-37.0		M450	13
115.074	233.376	0	7332.132	<BeadTracker.Bead object at 0x000001992167D3C8>	3.0	5	14	14	1	False	-37.0		M450	14
115.448	233.711	0	10378.277	<BeadTracker.Bead object at 0x00000196F476B3C8>	1.0	6	15	15	1	False	-6.0		M450	15
