X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
283.513	167.751	0	5593.596	<BeadTracker.Bead object at 0x0000024389BA3760>	0.0	0	0	0	0	True	364.0		M450	0
283.531	167.814	0	5654.855	<BeadTracker.Bead object at 0x0000024389BA39D0>	0.0	0	1	1	0	True	364.0		M450	1
283.474	167.706	0	5614.453	<BeadTracker.Bead object at 0x0000024389BA3BB0>	0.0	0	2	2	0	True	364.0		M450	2
283.497	167.706	0	5602.397	<BeadTracker.Bead object at 0x0000024389BA3D90>	0.0	0	3	3	0	True	364.0		M450	3
283.522	167.733	0	5664.959	<BeadTracker.Bead object at 0x0000024389C71070>	0.0	0	4	4	0	True	364.0		M450	4
283.425	167.7	0	5653.1	<BeadTracker.Bead object at 0x0000024389C71190>	0.0	0	5	5	0	True	363.0		M450	5
283.445	167.747	0	5671.312	<BeadTracker.Bead object at 0x0000024389C71370>	0.0	0	6	6	0	True	364.0		M450	6
283.444	167.79	0	5679.747	<BeadTracker.Bead object at 0x0000024389C71550>	0.0	0	7	7	0	True	364.0		M450	7
283.432	167.716	0	5683.967	<BeadTracker.Bead object at 0x0000024389C71730>	0.0	0	8	8	0	True	364.0		M450	8
283.457	167.785	0	5649.221	<BeadTracker.Bead object at 0x0000024389C71910>	0.0	0	9	9	0	True	364.0		M450	9
283.458	167.744	0	5650.842	<BeadTracker.Bead object at 0x0000024389C71AF0>	0.0	0	10	10	0	True	364.0		M450	10
283.473	167.729	0	5647.887	<BeadTracker.Bead object at 0x0000024389C71CD0>	0.0	0	11	11	0	True	364.0		M450	11
283.509	167.78	0	5648.605	<BeadTracker.Bead object at 0x0000024389C71EB0>	0.0	0	12	12	0	True	364.0		M450	12
283.492	167.74	0	5671.656	<BeadTracker.Bead object at 0x0000024389C6E0D0>	0.0	0	13	13	0	True	365.0		M450	13
283.49	167.729	0	5648.791	<BeadTracker.Bead object at 0x0000024389C6E2B0>	0.0	0	14	14	0	True	364.0		M450	14
283.527	167.73	0	5712.366	<BeadTracker.Bead object at 0x0000024389C6E490>	0.0	0	15	15	0	True	364.0		M450	15
283.466	167.693	0	5704.769	<BeadTracker.Bead object at 0x0000024389C6E670>	0.0	0	16	16	0	True	363.0		M450	16
283.494	167.691	0	5684.962	<BeadTracker.Bead object at 0x0000024389C6E850>	0.0	0	17	17	0	True	363.0		M450	17
283.52	167.69	0	5706.016	<BeadTracker.Bead object at 0x0000024389C6EA30>	0.0	0	18	18	0	True	365.0		M450	18
283.502	167.622	0	5694.22	<BeadTracker.Bead object at 0x0000024389C6EC10>	0.0	0	19	19	0	True	365.0		M450	19
