X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
245.422	155.363	0	5325.038	<BeadTracker.Bead object at 0x000002443E7C86A0>	1.0	1	0	0	3	True	-1280.0	M450		0
245.114	155.679	0	3646.197	<BeadTracker.Bead object at 0x000002443E7C8A60>	2.0	1	1	1	3	False	-1280.0	M450		1
245.224	156.356	0	2750.929	<BeadTracker.Bead object at 0x0000024404F893D0>	3.0	1	2	2	3	False	-1280.0	M450		2
245.615	155.583	0	5277.805	<BeadTracker.Bead object at 0x0000024404F898E0>	1.0	2	3	3	3	True	-1264.0	M450		3
245.271	155.766	0	3700.777	<BeadTracker.Bead object at 0x0000024404F9A400>	2.0	2	4	4	3	False	-1264.0	M450		4
245.366	156.541	0	2767.422	<BeadTracker.Bead object at 0x0000024404F9A6D0>	3.0	2	5	5	3	False	-1264.0	M450		5
245.572	155.539	0	5329.52	<BeadTracker.Bead object at 0x0000024403DD71C0>	1.0	3	6	6	3	True	-1266.0	M450		6
245.324	155.701	0	3716.167	<BeadTracker.Bead object at 0x0000024403DD7A00>	2.0	3	7	7	3	False	-1266.0	M450		7
245.172	156.445	0	2777.582	<BeadTracker.Bead object at 0x0000024404F8F0D0>	3.0	3	8	8	3	False	-1266.0	M450		8
245.677	155.523	0	5335.322	<BeadTracker.Bead object at 0x0000024404F8FAF0>	1.0	4	9	9	3	True	-1267.0	M450		9
245.492	155.653	0	3755.806	<BeadTracker.Bead object at 0x0000024404FB1160>	2.0	4	10	10	3	False	-1267.0	M450		10
245.327	156.39	0	2787.867	<BeadTracker.Bead object at 0x0000024404FB1880>	3.0	4	11	11	3	False	-1267.0	M450		11
245.527	155.652	0	5300.364	<BeadTracker.Bead object at 0x0000024404F88190>	1.0	5	12	12	3	True	-1228.0	M450		12
245.441	155.9	0	3765.276	<BeadTracker.Bead object at 0x0000024404F88B20>	2.0	5	13	13	3	False	-1228.0	M450		13
245.164	156.49	0	2779.251	<BeadTracker.Bead object at 0x0000024403DEFFA0>	3.0	5	14	14	3	False	-1228.0	M450		14
245.483	155.947	0	5301.254	<BeadTracker.Bead object at 0x0000024403DEF580>	1.0	6	15	15	3	True	-1222.0	M450		15
245.531	156.369	0	3694.34	<BeadTracker.Bead object at 0x0000024403DEFB50>	2.0	6	16	16	3	False	-1222.0	M450		16
245.326	157.0	0	2753.723	<BeadTracker.Bead object at 0x00000243CA9834F0>	3.0	6	17	17	3	False	-1222.0	M450		17
245.238	156.601	-1	2997.289	<BeadTracker.Bead object at 0x00000243CA9721F0>	0.1	0	18	18	3	True	-1182.0	M450		18
245.398	156.357	-1	3281.93	<BeadTracker.Bead object at 0x00000243903D4A90>	0.1	0	19	19	3	True	-1142.0	M450		19
245.377	156.317	-1	3495.969	<BeadTracker.Bead object at 0x00000243903D6BE0>	0.1	0	20	20	3	True	-1108.0	M450		20
245.354	156.23	-1	3559.053	<BeadTracker.Bead object at 0x0000024415F212E0>	0.1	0	21	21	3	True	-1068.0	M450		21
245.359	156.141	-1	3598.454	<BeadTracker.Bead object at 0x0000024415F219A0>	0.1	0	22	22	3	True	-1044.0	M450		22
245.347	156.205	-1	3603.153	<BeadTracker.Bead object at 0x0000024415F0F0A0>	0.1	0	23	23	3	True	-1065.0	M450		23
245.38	156.181	-1	3607.696	<BeadTracker.Bead object at 0x0000024415F0F760>	0.1	0	24	24	3	True	-1046.0	M450		24
245.365	156.303	-1	3593.977	<BeadTracker.Bead object at 0x0000024415F0FE20>	0.1	0	25	25	3	True	-1034.0	M450		25
245.357	156.254	-1	3574.9	<BeadTracker.Bead object at 0x0000024415EF5520>	0.1	0	26	26	3	True	-1043.0	M450		26
245.408	156.211	-1	3604.024	<BeadTracker.Bead object at 0x0000024415EF5BE0>	0.1	0	27	27	3	True	-1046.0	M450		27
245.443	156.229	-1	3604.822	<BeadTracker.Bead object at 0x0000024415F122E0>	0.1	0	28	28	3	True	-1043.0	M450		28
245.417	156.253	-1	3598.725	<BeadTracker.Bead object at 0x0000024415F129A0>	0.1	0	29	29	3	True	-1045.0	M450		29
