X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
184.544	147.441	0	7695.953	<BeadTracker.Bead object at 0x0000021C29FAB730>	1.0	1	0	0	0	True	462.0	M450		0
184.132	147.68	0	4285.435	<BeadTracker.Bead object at 0x0000021C29FABA90>	2.0	1	1	1	0	False	462.0	M450		1
183.897	147.372	0	3061.194	<BeadTracker.Bead object at 0x0000021C29FA3C10>	3.0	1	2	2	0	False	462.0	M450		2
184.632	147.348	0	7663.379	<BeadTracker.Bead object at 0x0000021C29FA3940>	1.0	2	3	3	0	True	459.0	M450		3
184.104	147.564	0	4312.427	<BeadTracker.Bead object at 0x0000021C29FA3250>	2.0	2	4	4	0	False	459.0	M450		4
183.9	147.138	0	3058.143	<BeadTracker.Bead object at 0x0000021C29FB2E50>	3.0	2	5	5	0	False	459.0	M450		5
184.53	147.178	0	7658.262	<BeadTracker.Bead object at 0x0000021C29FB2F10>	1.0	3	6	6	0	True	460.0	M450		6
183.938	147.262	0	4253.26	<BeadTracker.Bead object at 0x0000021C29FB20A0>	2.0	3	7	7	0	False	460.0	M450		7
183.937	147.017	0	3067.838	<BeadTracker.Bead object at 0x0000021C29FB2BB0>	3.0	3	8	8	0	False	460.0	M450		8
184.757	146.875	0	7886.394	<BeadTracker.Bead object at 0x0000021C29FBD070>	1.0	4	9	9	0	True	461.0	M450		9
184.175	146.943	0	4247.999	<BeadTracker.Bead object at 0x0000021C29FBD190>	2.0	4	10	10	0	False	461.0	M450		10
184.163	146.852	0	3067.057	<BeadTracker.Bead object at 0x0000021C29FBD370>	3.0	4	11	11	0	False	461.0	M450		11
184.033	146.998	0	4287.809	<BeadTracker.Bead object at 0x0000021C29FBD550>	1.0	5	12	12	0	True	501.0	M450		12
184.131	146.905	0	4301.34	<BeadTracker.Bead object at 0x0000021C29FBD730>	2.0	5	13	13	0	False	501.0	M450		13
184.152	146.928	0	4311.513	<BeadTracker.Bead object at 0x0000021C29FBD910>	3.0	5	14	14	0	False	501.0	M450		14
184.211	146.824	0	4291.387	<BeadTracker.Bead object at 0x0000021C29FBDAF0>	1.0	6	15	15	0	True	498.0	M450		15
184.251	146.884	0	4277.26	<BeadTracker.Bead object at 0x0000021C29FBDCD0>	2.0	6	16	16	0	False	498.0	M450		16
184.265	146.816	0	4275.914	<BeadTracker.Bead object at 0x0000021C29FBDC40>	3.0	6	17	17	0	False	498.0	M450		17
