X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
235.18	186.695	0	4956.548	<BeadTracker.Bead object at 0x000001C63309D520>	1.0	1	0	0	1	False	477.0	M450	M450	0
235.152	186.636	0	3685.002	<BeadTracker.Bead object at 0x000001C63309DE20>	2.0	1	1	1	1	False	477.0	M450	M450	1
235.237	186.675	0	2396.016	<BeadTracker.Bead object at 0x000001C6330A24C0>	3.0	1	2	2	1	True	477.0	M450	M450	2
235.024	186.629	0	4999.139	<BeadTracker.Bead object at 0x000001C6330A2B20>	1.0	2	3	3	1	False	472.0	M450	M450	3
235.096	186.545	0	3695.941	<BeadTracker.Bead object at 0x000001C6330A71C0>	2.0	2	4	4	1	False	472.0	M450	M450	4
235.084	186.644	0	2354.134	<BeadTracker.Bead object at 0x000001C6330A7820>	3.0	2	5	5	1	True	472.0	M450	M450	5
235.027	186.47	0	5108.458	<BeadTracker.Bead object at 0x000001C6330A7E80>	1.0	3	6	6	1	False	463.0	M450	M450	6
234.878	186.46	0	3732.021	<BeadTracker.Bead object at 0x000001C6330AE520>	2.0	3	7	7	1	False	463.0	M450	M450	7
234.952	186.621	0	2370.711	<BeadTracker.Bead object at 0x000001C6330AEB80>	3.0	3	8	8	1	True	463.0	M450	M450	8
235.009	186.496	0	5239.964	<BeadTracker.Bead object at 0x000001C6330B3220>	1.0	4	9	9	1	False	458.0	M450	M450	9
234.739	186.19	0	3764.516	<BeadTracker.Bead object at 0x000001C6330B3880>	2.0	4	10	10	1	False	458.0	M450	M450	10
234.901	186.599	0	2356.475	<BeadTracker.Bead object at 0x000001C6330B3EE0>	3.0	4	11	11	1	True	458.0	M450	M450	11
234.599	186.215	0	5289.345	<BeadTracker.Bead object at 0x000001C6330BB580>	1.0	5	12	12	1	False	455.0	M450	M450	12
234.342	186.339	0	3811.608	<BeadTracker.Bead object at 0x000001C6330BBBE0>	2.0	5	13	13	1	False	455.0	M450	M450	13
234.546	186.389	0	2359.153	<BeadTracker.Bead object at 0x000001C6330C0280>	3.0	5	14	14	1	True	455.0	M450	M450	14
234.168	186.198	0	5293.237	<BeadTracker.Bead object at 0x000001C6330C08E0>	1.0	6	15	15	1	False	452.0	M450	M450	15
234.166	186.341	0	3882.08	<BeadTracker.Bead object at 0x000001C6330C0F40>	2.0	6	16	16	1	False	452.0	M450	M450	16
234.16	186.311	0	2417.406	<BeadTracker.Bead object at 0x000001C6330C55E0>	3.0	6	17	17	1	True	452.0	M450	M450	17
233.869	185.921	-1	2521.69	<BeadTracker.Bead object at 0x000001C6330C5C40>	0.1	0	18	18	1	True	492.0	M450	M450	18
233.941	186.279	-1	3212.937	<BeadTracker.Bead object at 0x000001C6330CC2E0>	0.1	0	19	19	1	True	455.0	M450	M450	19
234.007	186.044	-1	3541.623	<BeadTracker.Bead object at 0x000001C6330CC940>	0.1	0	20	20	1	True	424.0	M450	M450	20
233.968	186.519	-1	3697.306	<BeadTracker.Bead object at 0x000001C6330CCFA0>	0.1	0	21	21	1	True	399.0	M450	M450	21
233.936	186.182	-1	3741.096	<BeadTracker.Bead object at 0x000001C6330D2640>	0.1	0	22	22	1	True	404.0	M450	M450	22
233.959	186.538	-1	3744.14	<BeadTracker.Bead object at 0x000001C6330D2CA0>	0.1	0	23	23	1	True	397.0	M450	M450	23
233.924	186.142	-1	3728.481	<BeadTracker.Bead object at 0x000001C6330D9340>	0.1	0	24	24	1	True	397.0	M450	M450	24
233.964	186.437	-1	3723.971	<BeadTracker.Bead object at 0x000001C6330D99A0>	0.1	0	25	25	1	True	409.0	M450	M450	25
233.915	186.243	-1	3723.742	<BeadTracker.Bead object at 0x000001C6330D9F40>	0.1	0	26	26	1	True	395.0	M450	M450	26
233.924	186.591	-1	3788.471	<BeadTracker.Bead object at 0x000001C6330DE6A0>	0.1	0	27	27	1	True	397.0	M450	M450	27
233.917	186.334	-1	3705.33	<BeadTracker.Bead object at 0x000001C6330DED00>	0.1	0	28	28	1	True	407.0	M450	M450	28
233.976	186.337	-1	3750.548	<BeadTracker.Bead object at 0x000001C6330E43A0>	0.1	0	29	29	1	True	409.0	M450	M450	29
233.964	186.334	-1	3708.317	<BeadTracker.Bead object at 0x000001C6330E4940>	0.1	0	30	30	1	True	408.0	M450	M450	30
233.94	186.655	-1	3764.028	<BeadTracker.Bead object at 0x000001C6330E4FA0>	0.1	0	31	31	1	True	398.0	M450	M450	31
233.919	186.449	-1	3718.353	<BeadTracker.Bead object at 0x000001C6330EB640>	0.1	0	32	32	1	True	410.0	M450	M450	32
233.977	186.485	-1	3742.265	<BeadTracker.Bead object at 0x000001C6330EBCA0>	0.1	0	33	33	1	True	409.0	M450	M450	33
233.977	186.235	-1	3764.897	<BeadTracker.Bead object at 0x000001C6330F0340>	0.1	0	34	34	1	True	398.0	M450	M450	34
234.002	186.606	-1	3811.301	<BeadTracker.Bead object at 0x000001C6330F09A0>	0.1	0	35	35	1	True	396.0	M450	M450	35
233.921	186.467	-1	3739.384	<BeadTracker.Bead object at 0x000001C6330F0F40>	0.1	0	36	36	1	True	409.0	M450	M450	36
233.997	186.482	-1	3758.751	<BeadTracker.Bead object at 0x000001C6330F66A0>	0.1	0	37	37	1	True	410.0	M450	M450	37
233.98	186.29	-1	3780.159	<BeadTracker.Bead object at 0x000001C6330F6D00>	0.1	0	38	38	1	True	404.0	M450	M450	38
233.996	186.68	-1	3787.604	<BeadTracker.Bead object at 0x000001C6330FD3A0>	0.1	0	39	39	1	True	397.0	M450	M450	39
233.984	186.439	-1	3754.265	<BeadTracker.Bead object at 0x000001C6330FDA00>	0.1	0	40	40	1	True	410.0	M450	M450	40
233.948	186.71	-1	3807.367	<BeadTracker.Bead object at 0x000001C6330FDFA0>	0.1	0	41	41	1	True	397.0	M450	M450	41
233.967	186.293	-1	3753.902	<BeadTracker.Bead object at 0x000001C633104700>	0.1	0	42	42	1	True	408.0	M450	M450	42
234.062	186.547	-1	3782.935	<BeadTracker.Bead object at 0x000001C633104D60>	0.1	0	43	43	1	True	398.0	M450	M450	43
234.034	186.189	-1	3791.498	<BeadTracker.Bead object at 0x000001C63310B400>	0.1	0	44	44	1	True	397.0	M450	M450	44
233.991	186.51	-1	3769.858	<BeadTracker.Bead object at 0x000001C63310BA60>	0.1	0	45	45	1	True	397.0	M450	M450	45
233.889	186.328	-1	3757.62	<BeadTracker.Bead object at 0x000001C63310F100>	0.1	0	46	46	1	True	408.0	M450	M450	46
233.897	186.486	-1	3739.092	<BeadTracker.Bead object at 0x000001C63310F760>	0.1	0	47	47	1	True	409.0	M450	M450	47
233.91	186.117	-1	3755.41	<BeadTracker.Bead object at 0x000001C63310FDC0>	0.1	0	48	48	1	True	397.0	M450	M450	48
233.92	186.485	-1	3753.615	<BeadTracker.Bead object at 0x000001C633115460>	0.1	0	49	49	1	True	410.0	M450	M450	49
233.836	186.247	-1	3753.393	<BeadTracker.Bead object at 0x000001C633115AC0>	0.1	0	50	50	1	True	395.0	M450	M450	50
233.813	186.395	-1	3711.219	<BeadTracker.Bead object at 0x000001C63311C160>	0.1	0	51	51	1	True	408.0	M450	M450	51
233.839	186.194	-1	3723.696	<BeadTracker.Bead object at 0x000001C63311C7C0>	0.1	0	52	52	1	True	397.0	M450	M450	52
233.782	186.35	-1	3743.344	<BeadTracker.Bead object at 0x000001C63311CE20>	0.1	0	53	53	1	True	406.0	M450	M450	53
233.793	186.212	-1	3696.656	<BeadTracker.Bead object at 0x000001C6331234C0>	0.1	0	54	54	1	True	396.0	M450	M450	54
233.736	186.495	-1	3745.659	<BeadTracker.Bead object at 0x000001C633123B20>	0.1	0	55	55	1	True	409.0	M450	M450	55
233.724	186.184	-1	3757.11	<BeadTracker.Bead object at 0x000001C6331291C0>	0.1	0	56	56	1	True	396.0	M450	M450	56
233.803	186.432	-1	3728.225	<BeadTracker.Bead object at 0x000001C633129820>	0.1	0	57	57	1	True	409.0	M450	M450	57
233.819	186.079	-1	3728.217	<BeadTracker.Bead object at 0x000001C633129E80>	0.1	0	58	58	1	True	395.0	M450	M450	58
233.799	186.523	-1	3730.603	<BeadTracker.Bead object at 0x000001C63312F520>	0.1	0	59	59	1	True	396.0	M450	M450	59
233.749	186.326	-1	3740.887	<BeadTracker.Bead object at 0x000001C63312FB80>	0.1	0	60	60	1	True	407.0	M450	M450	60
233.778	186.502	-1	3709.362	<BeadTracker.Bead object at 0x000001C633134220>	0.1	0	61	61	1	True	397.0	M450	M450	61
233.781	186.367	-1	3701.659	<BeadTracker.Bead object at 0x000001C633134880>	0.1	0	62	62	1	True	406.0	M450	M450	62
233.846	186.482	-1	3745.99	<BeadTracker.Bead object at 0x000001C633134EE0>	0.1	0	63	63	1	True	410.0	M450	M450	63
233.785	186.592	-1	3766.848	<BeadTracker.Bead object at 0x000001C63313D580>	0.1	0	64	64	1	True	396.0	M450	M450	64
233.821	186.488	-1	3776.214	<BeadTracker.Bead object at 0x000001C63313DBE0>	0.1	0	65	65	1	True	410.0	M450	M450	65
233.753	186.449	-1	3734.811	<BeadTracker.Bead object at 0x000001C633141280>	0.1	0	66	66	1	True	408.0	M450	M450	66
233.852	186.465	-1	3705.875	<BeadTracker.Bead object at 0x000001C6331418E0>	0.1	0	67	67	1	True	409.0	M450	M450	67
233.796	186.405	-1	3771.179	<BeadTracker.Bead object at 0x000001C633141F40>	0.1	0	68	68	1	True	408.0	M450	M450	68
233.819	186.641	-1	3793.193	<BeadTracker.Bead object at 0x000001C6331475E0>	0.1	0	69	69	1	True	396.0	M450	M450	69
233.813	186.333	-1	3711.504	<BeadTracker.Bead object at 0x000001C633147C40>	0.1	0	70	70	1	True	396.0	M450	M450	70
233.886	186.64	-1	3779.93	<BeadTracker.Bead object at 0x000001C63314D2E0>	0.1	0	71	71	1	True	397.0	M450	M450	71
233.842	186.38	-1	3728.962	<BeadTracker.Bead object at 0x000001C63314D940>	0.1	0	72	72	1	True	409.0	M450	M450	72
233.896	186.737	-1	3779.12	<BeadTracker.Bead object at 0x000001C63314DFA0>	0.1	0	73	73	1	True	396.0	M450	M450	73
233.862	186.316	-1	3737.969	<BeadTracker.Bead object at 0x000001C633153640>	0.1	0	74	74	1	True	396.0	M450	M450	74
233.885	186.54	-1	3757.26	<BeadTracker.Bead object at 0x000001C633153CA0>	0.1	0	75	75	1	True	397.0	M450	M450	75
233.85	186.202	-1	3742.694	<BeadTracker.Bead object at 0x000001C633159340>	0.1	0	76	76	1	True	396.0	M450	M450	76
233.845	186.481	-1	3766.319	<BeadTracker.Bead object at 0x000001C6331599A0>	0.1	0	77	77	1	True	410.0	M450	M450	77
233.801	186.202	-1	3752.187	<BeadTracker.Bead object at 0x000001C633159F40>	0.1	0	78	78	1	True	395.0	M450	M450	78
233.81	186.555	-1	3750.049	<BeadTracker.Bead object at 0x000001C6331606A0>	0.1	0	79	79	1	True	396.0	M450	M450	79
233.822	186.249	-1	3745.428	<BeadTracker.Bead object at 0x000001C633160D00>	0.1	0	80	80	1	True	396.0	M450	M450	80
233.829	186.434	-1	3745.813	<BeadTracker.Bead object at 0x000001C6331663A0>	0.1	0	81	81	1	True	409.0	M450	M450	81
233.799	186.123	-1	3762.505	<BeadTracker.Bead object at 0x000001C633166A00>	0.1	0	82	82	1	True	395.0	M450	M450	82
