X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
466.858	142.108	0	7521.025	<BeadTracker.Bead object at 0x000001C6176557C0>	1.0	1	0	0	1	False	186.0		M450	0
466.358	142.406	0	4537.365	<BeadTracker.Bead object at 0x000001C617655CA0>	2.0	1	1	1	1	True	186.0		M450	1
466.529	142.931	0	2277.011	<BeadTracker.Bead object at 0x000001C61C49E910>	3.0	1	2	2	1	False	186.0		M450	2
466.898	142.144	0	7592.466	<BeadTracker.Bead object at 0x000001C5CC616160>	1.0	2	3	3	1	False	182.0		M450	3
466.5	142.661	0	4574.529	<BeadTracker.Bead object at 0x000001C5CC6169D0>	2.0	2	4	4	1	True	182.0		M450	4
466.702	142.802	0	2248.585	<BeadTracker.Bead object at 0x000001C5CC5F3430>	3.0	2	5	5	1	False	182.0		M450	5
466.864	142.265	0	7592.113	<BeadTracker.Bead object at 0x000001C5CC5F3DC0>	1.0	3	6	6	1	False	180.0		M450	6
466.646	142.762	0	4666.955	<BeadTracker.Bead object at 0x000001C5CC5E1460>	2.0	3	7	7	1	True	180.0		M450	7
466.701	142.903	0	2261.646	<BeadTracker.Bead object at 0x000001C5CC5E17C0>	3.0	3	8	8	1	False	180.0		M450	8
466.844	142.449	0	7695.575	<BeadTracker.Bead object at 0x000001C5CC5F7460>	1.0	4	9	9	1	False	184.0		M450	9
466.619	142.685	0	4674.961	<BeadTracker.Bead object at 0x000001C5CC5F7D60>	2.0	4	10	10	1	True	184.0		M450	10
466.651	143.035	0	2334.065	<BeadTracker.Bead object at 0x000001C61C497310>	3.0	4	11	11	1	False	184.0		M450	11
466.975	142.5	0	7676.732	<BeadTracker.Bead object at 0x000001C61C497EE0>	1.0	5	12	12	1	False	181.0		M450	12
466.643	142.754	0	4723.561	<BeadTracker.Bead object at 0x000001C5CC60A760>	2.0	5	13	13	1	True	181.0		M450	13
466.687	143.172	0	2319.14	<BeadTracker.Bead object at 0x000001C5CC60AB50>	3.0	5	14	14	1	False	181.0		M450	14
466.915	142.564	0	7778.628	<BeadTracker.Bead object at 0x000001C5CC60D0A0>	1.0	6	15	15	1	False	179.0		M450	15
466.498	142.768	0	4693.185	<BeadTracker.Bead object at 0x000001C5CC60DF40>	2.0	6	16	16	1	True	179.0		M450	16
466.661	143.22	0	2341.283	<BeadTracker.Bead object at 0x000001C5CC5EFA00>	3.0	6	17	17	1	False	179.0		M450	17
466.596	143.356	-1	2545.134	<BeadTracker.Bead object at 0x000001C5CC5EFF10>	0.1	0	18	18	1	True	219.0		M450	18
466.487	143.249	-1	3578.91	<BeadTracker.Bead object at 0x000001C61C463910>	0.1	0	19	19	1	True	221.0		M450	19
466.574	143.114	-1	4137.93	<BeadTracker.Bead object at 0x000001C61C463E20>	0.1	0	20	20	1	True	207.0		M450	20
466.553	143.038	-1	4416.804	<BeadTracker.Bead object at 0x000001C5CC60C910>	0.1	0	21	21	1	True	194.0		M450	21
466.537	143.13	-1	4472.824	<BeadTracker.Bead object at 0x000001C5CC5F1220>	0.1	0	22	22	1	True	192.0		M450	22
466.518	143.143	-1	4538.774	<BeadTracker.Bead object at 0x000001C5CC5F1430>	0.1	0	23	23	1	True	191.0		M450	23
466.522	142.973	-1	4480.653	<BeadTracker.Bead object at 0x000001C5CC5F6460>	0.1	0	24	24	1	True	191.0		M450	24
466.541	142.922	-1	4502.725	<BeadTracker.Bead object at 0x000001C5CC5F6F70>	0.1	0	25	25	1	True	191.0		M450	25
466.537	142.872	-1	4533.48	<BeadTracker.Bead object at 0x000001C61C4693D0>	0.1	0	26	26	1	True	191.0		M450	26
466.481	143.234	-1	4538.962	<BeadTracker.Bead object at 0x000001C61C469C10>	0.1	0	27	27	1	True	187.0		M450	27
466.492	143.072	-1	4509.143	<BeadTracker.Bead object at 0x000001C5CEF135B0>	0.1	0	28	28	1	True	189.0		M450	28
466.548	143.036	-1	4530.744	<BeadTracker.Bead object at 0x000001C5CEF139A0>	0.1	0	29	29	1	True	191.0		M450	29
466.555	142.895	-1	4501.25	<BeadTracker.Bead object at 0x000001C5CEEF7040>	0.1	0	30	30	1	True	191.0		M450	30
466.466	143.128	-1	4546.29	<BeadTracker.Bead object at 0x000001C5CEEF7F10>	0.1	0	31	31	1	True	188.0		M450	31
466.504	143.0	-1	4476.556	<BeadTracker.Bead object at 0x000001C5CEF11A00>	0.1	0	32	32	1	True	192.0		M450	32
466.432	143.017	-1	4533.281	<BeadTracker.Bead object at 0x000001C5CEF11F10>	0.1	0	33	33	1	True	189.0		M450	33
466.469	142.898	-1	4523.127	<BeadTracker.Bead object at 0x000001C61C474280>	0.1	0	34	34	1	True	189.0		M450	34
466.388	143.077	-1	4511.461	<BeadTracker.Bead object at 0x000001C61C474700>	0.1	0	35	35	1	True	188.0		M450	35
