X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
541.045	129.465	0	7425.918	<BeadTracker.Bead object at 0x000001C5C3DAC790>	1.0	1	0	0	0	False	-24.0	M450		0
540.452	129.424	0	11327.564	<BeadTracker.Bead object at 0x000001C5CAB274F0>	2.0	1	1	1	0	True	-24.0	M450		1
540.193	129.965	0	9034.447	<BeadTracker.Bead object at 0x000001C61D455E80>	3.0	1	2	2	0	False	-24.0	M450		2
540.923	129.221	0	7494.793	<BeadTracker.Bead object at 0x000001C61D4550D0>	1.0	2	3	3	0	False	-32.0	M450		3
540.392	129.389	0	11293.511	<BeadTracker.Bead object at 0x000001C61D455FD0>	2.0	2	4	4	0	True	-32.0	M450		4
540.19	129.492	0	8867.75	<BeadTracker.Bead object at 0x000001C61D455D90>	3.0	2	5	5	0	False	-32.0	M450		5
540.756	129.287	0	7563.485	<BeadTracker.Bead object at 0x000001C5CCFC5670>	1.0	3	6	6	0	False	-21.0	M450		6
540.476	129.41	0	11385.7	<BeadTracker.Bead object at 0x000001C5CB8C6DC0>	2.0	3	7	7	0	True	-21.0	M450		7
540.139	129.566	0	8672.128	<BeadTracker.Bead object at 0x000001C5CB8C69D0>	3.0	3	8	8	0	False	-21.0	M450		8
540.637	129.226	0	7712.595	<BeadTracker.Bead object at 0x000001C5CB8C64F0>	1.0	4	9	9	0	False	-29.0	M450		9
540.286	129.18	0	11479.161	<BeadTracker.Bead object at 0x000001C5CB8C6AF0>	2.0	4	10	10	0	True	-29.0	M450		10
539.925	129.444	0	8606.435	<BeadTracker.Bead object at 0x000001C5CB8C6D90>	3.0	4	11	11	0	False	-29.0	M450		11
540.549	128.916	0	7824.381	<BeadTracker.Bead object at 0x000001C5CB8C6A90>	1.0	5	12	12	0	False	-31.0	M450		12
540.119	128.969	0	11411.268	<BeadTracker.Bead object at 0x000001C633C8E9D0>	2.0	5	13	13	0	True	-31.0	M450		13
539.731	129.346	0	8579.859	<BeadTracker.Bead object at 0x000001C633C8E700>	3.0	5	14	14	0	False	-31.0	M450		14
540.268	128.729	0	7780.91	<BeadTracker.Bead object at 0x000001C633C8E100>	1.0	6	15	15	0	False	-37.0	M450		15
539.735	128.837	0	11447.088	<BeadTracker.Bead object at 0x000001C633C8E6A0>	2.0	6	16	16	0	True	-37.0	M450		16
539.507	129.29	0	8558.8	<BeadTracker.Bead object at 0x000001C633C8E1C0>	3.0	6	17	17	0	False	-37.0	M450		17
539.607	129.362	-1	9368.359	<BeadTracker.Bead object at 0x000001C633C8EB20>	0.1	0	18	18	0	True	0.0	M450		18
539.783	129.295	-1	11601.193	<BeadTracker.Bead object at 0x000001C633C8E730>	0.1	0	19	19	0	True	35.0	M450		19
539.803	129.209	-1	11802.32	<BeadTracker.Bead object at 0x000001C6160C2B20>	0.1	0	20	20	0	True	-4.0	M450		20
539.758	129.164	-1	11639.629	<BeadTracker.Bead object at 0x000001C5CAB27A00>	0.1	0	21	21	0	True	-40.0	M450		21
539.799	129.122	-1	11647.445	<BeadTracker.Bead object at 0x000001C5CAB27DF0>	0.1	0	22	22	0	True	-50.0	M450		22
539.736	129.088	-1	11671.878	<BeadTracker.Bead object at 0x000001C61B7A4FA0>	0.1	0	23	23	0	True	-50.0	M450		23
539.742	128.961	-1	11622.252	<BeadTracker.Bead object at 0x000001C5CC22C520>	0.1	0	24	24	0	True	-60.0	M450		24
539.746	128.914	-1	11582.882	<BeadTracker.Bead object at 0x000001C5CC22C370>	0.1	0	25	25	0	True	-60.0	M450		25
539.767	128.9	-1	11594.041	<BeadTracker.Bead object at 0x000001C5CC22C700>	0.1	0	26	26	0	True	-60.0	M450		26
539.76	129.236	-1	11601.633	<BeadTracker.Bead object at 0x000001C5CC22C340>	0.1	0	27	27	0	True	-37.0	M450		27
539.722	128.962	-1	11618.261	<BeadTracker.Bead object at 0x000001C5CC22CE50>	0.1	0	28	28	0	True	-60.0	M450		28
539.749	128.959	-1	11610.491	<BeadTracker.Bead object at 0x000001C5CC22C3D0>	0.1	0	29	29	0	True	-60.0	M450		29
539.755	128.894	-1	11622.259	<BeadTracker.Bead object at 0x000001C5CC22C040>	0.1	0	30	30	0	True	-60.0	M450		30
539.702	129.024	-1	11619.717	<BeadTracker.Bead object at 0x000001C5CC22C790>	0.1	0	31	31	0	True	-59.0	M450		31
539.692	128.905	-1	11630.215	<BeadTracker.Bead object at 0x000001C5CC22C880>	0.1	0	32	32	0	True	-60.0	M450		32
539.597	128.9	-1	11617.597	<BeadTracker.Bead object at 0x000001C61DB9C940>	0.1	0	33	33	0	True	-60.0	M450		33
539.634	128.855	-1	11599.577	<BeadTracker.Bead object at 0x000001C61DB9C610>	0.1	0	34	34	0	True	-60.0	M450		34
539.556	128.894	-1	11638.597	<BeadTracker.Bead object at 0x000001C61DB9CD90>	0.1	0	35	35	0	True	-60.0	M450		35
539.643	128.879	-1	11593.83	<BeadTracker.Bead object at 0x000001C61DB9C580>	0.1	0	36	36	0	True	-60.0	M450		36
539.585	128.932	-1	11658.785	<BeadTracker.Bead object at 0x000001C61DB9C130>	0.1	0	37	37	0	True	-60.0	M450		37
539.615	128.878	-1	11622.493	<BeadTracker.Bead object at 0x000001C61DB9CBB0>	0.1	0	38	38	0	True	-60.0	M450		38
539.615	128.851	-1	11597.65	<BeadTracker.Bead object at 0x000001C61DB9C8E0>	0.1	0	39	39	0	True	-60.0	M450		39
539.653	128.85	-1	11627.799	<BeadTracker.Bead object at 0x000001C61DB9CC70>	0.1	0	40	40	0	True	-60.0	M450		40
539.586	128.931	-1	11647.229	<BeadTracker.Bead object at 0x000001C61DB9CFD0>	0.1	0	41	41	0	True	-60.0	M450		41
539.6	128.903	-1	11653.309	<BeadTracker.Bead object at 0x000001C61DBAB670>	0.1	0	42	42	0	True	-60.0	M450		42
539.62	128.896	-1	11648.898	<BeadTracker.Bead object at 0x000001C61DBAB760>	0.1	0	43	43	0	True	-60.0	M450		43
539.612	128.919	-1	11669.445	<BeadTracker.Bead object at 0x000001C61DBAB4F0>	0.1	0	44	44	0	True	-60.0	M450		44
539.608	128.87	-1	11636.848	<BeadTracker.Bead object at 0x000001C61DBAB310>	0.1	0	45	45	0	True	-60.0	M450		45
539.637	128.976	-1	11668.544	<BeadTracker.Bead object at 0x000001C61DBAB040>	0.1	0	46	46	0	True	-59.0	M450		46
539.57	128.943	-1	11614.035	<BeadTracker.Bead object at 0x000001C61DBAB220>	0.1	0	47	47	0	True	-60.0	M450		47
539.6	128.875	-1	11636.632	<BeadTracker.Bead object at 0x000001C61DBABB50>	0.1	0	48	48	0	True	-60.0	M450		48
539.6	128.994	-1	11629.272	<BeadTracker.Bead object at 0x000001C635BFAC70>	0.1	0	49	49	0	True	-59.0	M450		49
539.684	128.861	-1	11620.227	<BeadTracker.Bead object at 0x000001C635BFAE80>	0.1	0	50	50	0	True	-60.0	M450		50
539.636	128.991	-1	11691.445	<BeadTracker.Bead object at 0x000001C635BFAE50>	0.1	0	51	51	0	True	-59.0	M450		51
539.633	128.892	-1	11676.464	<BeadTracker.Bead object at 0x000001C635BFAD60>	0.1	0	52	52	0	True	-60.0	M450		52
539.663	128.945	-1	11698.351	<BeadTracker.Bead object at 0x000001C635BFACA0>	0.1	0	53	53	0	True	-60.0	M450		53
539.715	128.895	-1	11615.369	<BeadTracker.Bead object at 0x000001C635BFA610>	0.1	0	54	54	0	True	-60.0	M450		54
539.702	128.905	-1	11632.981	<BeadTracker.Bead object at 0x000001C635BFA7C0>	0.1	0	55	55	0	True	-60.0	M450		55
539.76	128.864	-1	11553.144	<BeadTracker.Bead object at 0x000001C635BFA6A0>	0.1	0	56	56	0	True	-60.0	M450		56
539.711	128.856	-1	11630.955	<BeadTracker.Bead object at 0x000001C617642C70>	0.1	0	57	57	1	True	-60.0	M450		57
539.738	128.766	-1	11645.835	<BeadTracker.Bead object at 0x000001C6430DD580>	0.1	0	58	58	0	True	-60.0	M450		58
539.705	128.865	-1	11478.29	<BeadTracker.Bead object at 0x000001C6430DD310>	0.1	0	59	59	0	True	-60.0	M450		59
539.682	128.917	-1	11666.786	<BeadTracker.Bead object at 0x000001C6430DD550>	0.1	0	60	60	0	True	-60.0	M450		60
539.672	128.858	-1	11632.107	<BeadTracker.Bead object at 0x000001C6430DD490>	0.1	0	61	61	0	True	-60.0	M450		61
539.709	128.67	-1	11638.349	<BeadTracker.Bead object at 0x000001C6430DD190>	0.1	0	62	62	0	True	-71.0	M450		62
539.694	128.9	-1	11541.134	<BeadTracker.Bead object at 0x000001C6430DD6A0>	0.1	0	63	63	0	True	-60.0	M450		63
539.692	128.923	-1	11660.051	<BeadTracker.Bead object at 0x000001C6430DD940>	0.1	0	64	64	0	True	-60.0	M450		64
539.708	128.849	-1	11604.689	<BeadTracker.Bead object at 0x000001C6430DDFD0>	0.1	0	65	65	0	True	-60.0	M450		65
539.729	128.713	-1	11609.799	<BeadTracker.Bead object at 0x000001C643150760>	0.1	0	66	66	0	True	-71.0	M450		66
539.64	128.754	-1	11628.762	<BeadTracker.Bead object at 0x000001C643150100>	0.1	0	67	67	0	True	-71.0	M450		67
539.644	128.751	-1	11604.091	<BeadTracker.Bead object at 0x000001C643150250>	0.1	0	68	68	0	True	-60.0	M450		68
539.636	128.795	-1	11590.61	<BeadTracker.Bead object at 0x000001C643150B20>	0.1	0	69	69	0	True	-60.0	M450		69
539.671	128.78	-1	11570.447	<BeadTracker.Bead object at 0x000001C643150370>	0.1	0	70	70	0	True	-60.0	M450		70
539.663	128.806	-1	11562.138	<BeadTracker.Bead object at 0x000001C643150E50>	0.1	0	71	71	0	True	-60.0	M450		71
539.7	128.744	-1	11594.326	<BeadTracker.Bead object at 0x000001C6431506A0>	0.1	0	72	72	0	True	-60.0	M450		72
